,accuracy
ALL,inf
thsmon_selng_amt,0.9025115209624487
thsmon_selng_co,0.857560453944826
mdwk_selng_amt,0.9179198567303947
wkend_selng_amt,1.301221595961945
mon_selng_amt,1.0878448428924856
tues_selng_amt,0.890155788860965
wed_selng_amt,0.595076620492063
thur_selng_amt,0.6315690842032309
fri_selng_amt,0.6754714773806849
sat_selng_amt,1.1357409183467677
sun_selng_amt,inf
tmzon_00_06_selng_amt,inf
tmzon_06_11_selng_amt,0.6270845575057016
tmzon_11_14_selng_amt,0.8708525348600429
tmzon_14_17_selng_amt,0.6438377699233153
tmzon_17_21_selng_amt,0.5053494598211805
tmzon_21_24_selng_amt,inf
ml_selng_amt,0.7308663240974456
fml_selng_amt,0.8508335820418034
agrde_10_selng_amt,inf
agrde_20_selng_amt,0.40377482794429675
agrde_30_selng_amt,0.5338810074437074
agrde_40_selng_amt,0.5624388764429011
agrde_50_selng_amt,0.4272539806651529
agrde_60_above_selng_amt,0.8386848814406825
mdwk_selng_co,0.8993843407462936
wkend_selng_co,0.832406539822308
mon_selng_co,0.7873134918219252
tues_selng_co,0.5029419742373146
wed_selng_co,0.8848325539328061
thur_selng_co,0.7670708054692212
fri_selng_co,0.8059982290831271
sat_selng_co,0.8345630017168224
sun_selng_co,inf
tmzon_00_06_selng_co,inf
tmzon_06_11_selng_co,0.8545011856923972
tmzon_11_14_selng_co,0.7369445708630351
tmzon_14_17_selng_co,0.776975435669446
tmzon_17_21_selng_co,0.7359297200828516
tmzon_21_24_selng_co,inf
ml_selng_co,0.8657008157937897
fml_selng_co,0.8022092303060746
agrde_10_selng_co,inf
agrde_20_selng_co,0.9219289179984138
agrde_30_selng_co,0.9551314091462763
agrde_40_selng_co,0.8825889673953424
agrde_50_selng_co,0.7447799070444521
agrde_60_above_selng_co,0.695154728403709
stor_co,0.7755503627100389
