,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-25766469.69308572,5319399.464208287,58323480.77006776,-25766469.69308572,-25766469.69308572,57473886.07496926,57473886.07496926,57473886.07496926,45095791.72175516,45095791.72175516,45095791.72175516,12378094.35321407,12378094.35321407,12378094.35321407,0.0,0.0,0.0,31707416.381883543
1,2014-04-01,-26088577.346120663,-7922011.0609358465,45265634.1393862,-26088577.346120663,-26088577.346120663,46160263.09444689,46160263.09444689,46160263.09444689,28975361.16025375,28975361.16025375,28975361.16025375,17184901.934193157,17184901.934193157,17184901.934193157,0.0,0.0,0.0,20071685.748326227
2,2014-07-01,-26414263.972860835,-5942027.641573124,43963031.92386532,-26414263.972860835,-26414263.972860835,44883690.32163168,44883690.32163168,44883690.32163168,16692122.017437607,16692122.017437607,16692122.017437607,28191568.30419408,28191568.30419408,28191568.30419408,0.0,0.0,0.0,18469426.348770842
3,2014-10-01,-26743529.575306144,367548.5619353947,52038150.23332506,-26743529.575306144,-26743529.575306144,51924132.34226606,51924132.34226606,51924132.34226606,42988431.29356188,42988431.29356188,42988431.29356188,8935701.04870418,8935701.04870418,8935701.04870418,0.0,0.0,0.0,25180602.766959917
4,2015-01-01,-27072795.178457752,320756.8284594414,51886593.890996195,-27072795.178457752,-27072795.178457752,53029816.51450613,53029816.51450613,53029816.51450613,45095791.721649125,45095791.721649125,45095791.721649125,7934024.792857007,7934024.792857007,7934024.792857007,0.0,0.0,0.0,25957021.33604838
5,2015-04-01,-27394902.833772343,-2555270.938050839,50117679.97721221,-27394902.833772343,-27394902.833772343,51695743.95862241,51695743.95862241,51695743.95862241,28975361.16009936,28975361.16009936,28975361.16009936,22720382.798523042,22720382.798523042,22720382.798523042,0.0,0.0,0.0,24300841.12485007
6,2015-07-01,-27720589.46171849,-2521379.173408504,46304379.60075393,-27720589.46171849,-27720589.46171849,49678577.52055313,49678577.52055313,49678577.52055313,16692122.01764185,16692122.01764185,16692122.01764185,32986455.502911273,32986455.502911273,32986455.502911273,0.0,0.0,0.0,21957988.05883464
7,2015-10-01,-28049855.062180467,-9063358.146464664,40589917.23830884,-28049855.062180467,-28049855.062180467,44420933.20595366,44420933.20595366,44420933.20595366,42988431.29360704,42988431.29360704,42988431.29360704,1432501.912346603,1432501.912346603,1432501.912346603,0.0,0.0,0.0,16371078.14377319
8,2016-01-01,-28379120.665072285,-5759472.1155429315,45598922.39804426,-28379120.665072285,-28379120.665072285,48715536.18309922,48715536.18309922,48715536.18309922,45095791.72149713,45095791.72149713,45095791.72149713,3619744.4616020573,3619744.4616020573,3619744.4616020573,0.0,0.0,0.0,20336415.518026933
9,2016-04-01,-28704807.294354435,-2001740.7051884246,50846908.62247903,-28704807.294354435,-28704807.294354435,51537586.93074896,51537586.93074896,51537586.93074896,46202054.816351674,46202054.816351674,46202054.816351674,5335532.114397311,5335532.114397311,5335532.114397311,0.0,0.0,0.0,22832779.636394527
