,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,159161.68210241513,-1086943.0455977565,5830442.868905194,159161.68210241513,159161.68210241513,2220863.6765651405,2220863.6765651405,2220863.6765651405,85352166.0476488,85352166.0476488,85352166.0476488,-83131302.37108368,-83131302.37108368,-83131302.37108368,0.0,0.0,0.0,2380025.3586675557
1,2014-04-01,93102.0381349268,1148703.8734153404,8144941.869363457,93102.0381349268,93102.0381349268,4542942.985283274,4542942.985283274,4542942.985283274,87997167.54002701,87997167.54002701,87997167.54002701,-83454224.55474372,-83454224.55474372,-83454224.55474372,0.0,0.0,0.0,4636045.023418201
2,2014-07-01,26308.39821658481,-830954.3899402196,6005129.914641612,26308.39821658481,26308.39821658481,2731067.4617468,2731067.4617468,2731067.4617468,87443353.06315534,87443353.06315534,87443353.06315534,-84712285.60140854,-84712285.60140854,-84712285.60140854,0.0,0.0,0.0,2757375.859963385
3,2014-10-01,-41219.23773628139,2831110.768869147,9511332.662026795,-41219.23773628139,-41219.23773628139,6361647.837490215,6361647.837490215,6361647.837490215,87584728.66346465,87584728.66346465,87584728.66346465,-81223080.82597443,-81223080.82597443,-81223080.82597443,0.0,0.0,0.0,6320428.599753934
4,2015-01-01,-108746.8736490544,-957437.2180065888,6013567.288740401,-108746.8736490544,-108746.8736490544,2763251.247219619,2763251.247219619,2763251.247219619,85352166.04763068,85352166.04763068,85352166.04763068,-82588914.80041106,-82588914.80041106,-82588914.80041106,0.0,0.0,0.0,2654504.3735705647
5,2015-04-01,-174806.51754753597,-870036.8338267187,5789577.435471727,-174806.51754753597,-174806.51754753597,2614131.1442214027,2614131.1442214027,2614131.1442214027,87997167.5399786,87997167.5399786,87997167.5399786,-85383036.39575718,-85383036.39575718,-85383036.39575718,0.0,0.0,0.0,2439324.6266738665
6,2015-07-01,-241600.1575781526,-1449058.4444477598,5378389.425832975,-241600.1575781526,-241600.1575781526,2172507.191101073,2172507.191101073,2172507.191101073,87443353.06320722,87443353.06320722,87443353.06320722,-85270845.87210613,-85270845.87210613,-85270845.87210613,0.0,0.0,0.0,1930907.0335229202
7,2015-10-01,-309127.79374308704,4165729.8698365474,10763743.015929572,-309127.79374308704,-309127.79374308704,7642875.851017981,7642875.851017981,7642875.851017981,87584728.66347854,87584728.66347854,87584728.66347854,-79941852.81246057,-79941852.81246057,-79941852.81246057,0.0,0.0,0.0,7333748.057274894
8,2016-01-01,-376655.4298446268,-397104.9754760352,6403867.64753708,-376655.4298446268,-376655.4298446268,3403669.7258795956,3403669.7258795956,3403669.7258795956,85352166.04760471,85352166.04760471,85352166.04760471,-81948496.32172512,-81948496.32172512,-81948496.32172512,0.0,0.0,0.0,3027014.296034969
9,2016-04-01,-443449.069919492,2643757.225610962,9810197.231988905,-443449.069919492,-443449.069919492,6757119.966315933,6757119.966315933,6757119.966315933,86134787.21001783,86134787.21001783,86134787.21001783,-79377667.24370189,-79377667.24370189,-79377667.24370189,0.0,0.0,0.0,6313670.89639644
