,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,18560560.589199707,22369418.890699994,71381928.45378177,18560560.589199707,18560560.589199707,28384285.030855406,28384285.030855406,28384285.030855406,-202804856.0519135,-202804856.0519135,-202804856.0519135,231189141.08276892,231189141.08276892,231189141.08276892,0.0,0.0,0.0,46944845.62005511
1,2014-04-01,18549499.428487893,18364128.28076656,67561855.13718522,18549499.428487893,18549499.428487893,23098176.680087052,23098176.680087052,23098176.680087052,-198662722.60206345,-198662722.60206345,-198662722.60206345,221760899.28215042,221760899.28215042,221760899.28215042,0.0,0.0,0.0,41647676.10857494
2,2014-07-01,18538315.366543815,16620740.305180626,65905930.667548016,18538315.366543815,18538315.366543815,23530642.903340105,23530642.903340105,23530642.903340105,-212100786.976056,-212100786.976056,-212100786.976056,235631429.8793961,235631429.8793961,235631429.8793961,0.0,0.0,0.0,42068958.269883916
3,2014-10-01,18527008.403762776,30118124.526431687,79746382.44023012,18527008.403762776,18527008.403762776,37788275.90605436,37788275.90605436,37788275.90605436,-188868685.13472906,-188868685.13472906,-188868685.13472906,226656961.04078344,226656961.04078344,226656961.04078344,0.0,0.0,0.0,56315284.309817135
4,2015-01-01,18515701.441306073,18568850.48714532,70987973.70643178,18515701.441306073,18515701.441306073,24801696.730116136,24801696.730116136,24801696.730116136,-202804856.05211124,-202804856.05211124,-202804856.05211124,227606552.78222734,227606552.78222734,227606552.78222734,0.0,0.0,0.0,43317398.17142221
5,2015-04-01,18504640.280900083,12760607.285082038,64285705.38436614,18504640.280900083,18504640.280900083,20031150.845352992,20031150.845352992,20031150.845352992,-198662722.60221064,-198662722.60221064,-198662722.60221064,218693873.4475636,218693873.4475636,218693873.4475636,0.0,0.0,0.0,38535791.126253076
6,2015-07-01,18493456.22014707,19399762.230856985,67346532.20756206,18493456.22014707,18493456.22014707,25251144.146655083,25251144.146655083,25251144.146655083,-212100786.97601804,-212100786.97601804,-212100786.97601804,237351931.12267318,237351931.12267318,237351931.12267318,0.0,0.0,0.0,43744600.366802156
7,2015-10-01,18482149.258800995,13983266.947021265,63644616.565627255,18482149.258800995,18482149.258800995,20508260.191650145,20508260.191650145,20508260.191650145,-188868685.1346719,-188868685.1346719,-188868685.1346719,209376945.32632202,209376945.32632202,209376945.32632202,0.0,0.0,0.0,38990409.450451136
8,2016-01-01,18470842.297431752,16028020.313333888,66096015.81825709,18470842.297431752,18470842.297431752,21323687.171860933,21323687.171860933,21323687.171860933,-202804856.05255756,-202804856.05255756,-202804856.05255756,224128543.22441855,224128543.22441855,224128543.22441855,0.0,0.0,0.0,39794529.469292685
9,2016-04-01,18459658.237896707,25179063.46271406,74925992.78481477,18459658.237896707,18459658.237896707,30783862.309472643,30783862.309472643,30783862.309472643,-195981580.2483871,-195981580.2483871,-195981580.2483871,226765442.55785978,226765442.55785978,226765442.55785978,0.0,0.0,0.0,49243520.547369346
