,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-5723841.60033046,28023699.345143214,175610911.32914507,-5723841.60033046,-5723841.60033046,106992269.47068723,106992269.47068723,106992269.47068723,-897823147.3811601,-897823147.3811601,-897823147.3811601,1004815416.8518472,1004815416.8518472,1004815416.8518472,0.0,0.0,0.0,101268427.87035677
1,2014-04-01,-5993580.040847365,31465485.32893509,174351889.3632208,-5993580.040847365,-5993580.040847365,109740066.91258052,109740066.91258052,109740066.91258052,-919783640.3116441,-919783640.3116441,-919783640.3116441,1029523707.2242242,1029523707.2242242,1029523707.2242242,0.0,0.0,0.0,103746486.87173316
2,2014-07-01,-6266315.576379764,931727.5664395068,138723376.35954875,-6266315.576379764,-6266315.576379764,77763284.79619837,77763284.79619837,77763284.79619837,-946779830.374567,-946779830.374567,-946779830.374567,1024543115.1707654,1024543115.1707654,1024543115.1707654,0.0,0.0,0.0,71496969.2198186
3,2014-10-01,-6542048.204284385,29468616.670081414,176897705.55780122,-6542048.204284385,-6542048.204284385,110596833.8455425,110596833.8455425,110596833.8455425,-889447854.715394,-889447854.715394,-889447854.715394,1000044688.5609365,1000044688.5609365,1000044688.5609365,0.0,0.0,0.0,104054785.64125812
4,2015-01-01,-6817780.833548803,17578870.47958717,167254385.55242807,-6817780.833548803,-6817780.833548803,99662750.62046775,99662750.62046775,99662750.62046775,-897823147.3815415,-897823147.3815415,-897823147.3815415,997485898.0020093,997485898.0020093,997485898.0020093,0.0,0.0,0.0,92844969.78691895
5,2015-04-01,-7087519.273411657,27449582.115408696,173083929.4419777,-7087519.273411657,-7087519.273411657,104584977.78468594,104584977.78468594,104584977.78468594,-919783640.3115485,-919783640.3115485,-919783640.3115485,1024368618.0962347,1024368618.0962347,1024368618.0962347,0.0,0.0,0.0,97497458.51127428
6,2015-07-01,-7360254.8058745,13139869.316080444,154754224.0731885,-7360254.8058745,-7360254.8058745,93050946.90144107,93050946.90144107,93050946.90144107,-946779830.3747524,-946779830.3747524,-946779830.3747524,1039830777.2761936,1039830777.2761936,1039830777.2761936,0.0,0.0,0.0,85690692.09556657
7,2015-10-01,-7635987.431352922,18191939.796208475,162291929.79322502,-7635987.431352922,-7635987.431352922,95408665.38293108,95408665.38293108,95408665.38293108,-889447854.7153691,-889447854.7153691,-889447854.7153691,984856520.0983005,984856520.0983005,984856520.0983005,0.0,0.0,0.0,87772677.95157816
8,2016-01-01,-7911720.05499266,15887162.657843161,158465319.41263518,-7911720.05499266,-7911720.05499266,93244520.23846748,93244520.23846748,93244520.23846748,-897823147.3820843,-897823147.3820843,-897823147.3820843,991067667.6205517,991067667.6205517,991067667.6205517,0.0,0.0,0.0,85332800.18347482
9,2016-04-01,-8184455.584657305,62072451.95615185,205458525.46390942,-8184455.584657305,-8184455.584657305,140724597.367382,140724597.367382,140724597.367382,-889103355.420178,-889103355.420178,-889103355.420178,1029827952.7875601,1029827952.7875601,1029827952.7875601,0.0,0.0,0.0,132540141.78272468
10,2016-07-01,-8457191.11646131,28010678.096630916,171579001.05079392,-8457191.11646131,-8457191.11646131,107386413.6400455,107386413.6400455,107386413.6400455,-885884343.2568492,-885884343.2568492,-885884343.2568492,993270756.8968946,993270756.8968946,993270756.8968946,0.0,0.0,0.0,98929222.52358419
