,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,14573063.47260887,22780087.055818517,54245393.53610507,14573063.47260887,14573063.47260887,23015529.37307907,23015529.37307907,23015529.37307907,110744412.87753819,110744412.87753819,110744412.87753819,-87728883.5044591,-87728883.5044591,-87728883.5044591,0.0,0.0,0.0,37588592.84568794
1,2014-04-01,13841928.781379806,25077376.646812547,55684974.08640318,13841928.781379806,13841928.781379806,26303312.880820815,26303312.880820815,26303312.880820815,104791926.2392116,104791926.2392116,104791926.2392116,-78488613.35839078,-78488613.35839078,-78488613.35839078,0.0,0.0,0.0,40145241.66220062
2,2014-07-01,13102670.371405577,14303108.536411317,44566029.226823404,13102670.371405577,13102670.371405577,16047390.32817894,16047390.32817894,16047390.32817894,103338342.90469861,103338342.90469861,103338342.90469861,-87290952.5765197,-87290952.5765197,-87290952.5765197,0.0,0.0,0.0,29150060.699584518
3,2014-10-01,12355288.242570398,16236801.175044954,46840359.522799924,12355288.242570398,12355288.242570398,19142292.459015362,19142292.459015362,19142292.459015362,107665070.57974102,107665070.57974102,107665070.57974102,-88522778.12072565,-88522778.12072565,-88522778.12072565,0.0,0.0,0.0,31497580.701585762
4,2015-01-01,11607906.11382033,18739336.159245223,50668087.154377416,11607906.11382033,11607906.11382033,22327687.44484279,22327687.44484279,22327687.44484279,110744412.87754685,110744412.87754685,110744412.87754685,-88416725.43270406,-88416725.43270406,-88416725.43270406,0.0,0.0,0.0,33935593.558663115
5,2015-04-01,10876771.422489142,24864643.280205607,55473575.24183166,10876771.422489142,10876771.422489142,29044453.483852252,29044453.483852252,29044453.483852252,104791926.239241,104791926.239241,104791926.239241,-75747472.75538875,-75747472.75538875,-75747472.75538875,0.0,0.0,0.0,39921224.906341396
6,2015-07-01,10137513.012228923,8342850.931305228,38933288.75267776,10137513.012228923,10137513.012228923,12899256.039746251,12899256.039746251,12899256.039746251,103338342.90466277,103338342.90466277,103338342.90466277,-90439086.86491652,-90439086.86491652,-90439086.86491652,0.0,0.0,0.0,23036769.051975176
7,2015-10-01,9390130.8831164,10400755.953776922,40322070.5951553,9390130.8831164,9390130.8831164,15694717.411754025,15694717.411754025,15694717.411754025,107665070.57972968,107665070.57972968,107665070.57972968,-91970353.16797568,-91970353.16797568,-91970353.16797568,0.0,0.0,0.0,25084848.294870425
8,2016-01-01,8642748.753808293,15386204.114342125,45743938.02450976,8642748.753808293,8642748.753808293,22036047.786530208,22036047.786530208,22036047.786530208,110744412.87755428,110744412.87755428,110744412.87755428,-88708365.09102407,-88708365.09102407,-88708365.09102407,0.0,0.0,0.0,30678796.5403385
9,2016-04-01,7903490.343297867,18293219.09061039,50270860.83476822,7903490.343297867,7903490.343297867,26208187.417858053,26208187.417858053,26208187.417858053,109963957.43459992,109963957.43459992,109963957.43459992,-83755770.01674186,-83755770.01674186,-83755770.01674186,0.0,0.0,0.0,34111677.76115592
