,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-23583127.256333884,93144418.23471124,372625067.672278,-23583127.256333884,-23583127.256333884,249438476.9609859,249438476.9609859,249438476.9609859,-1228138816.2971,-1228138816.2971,-1228138816.2971,1477577293.2580855,1477577293.2580855,1477577293.2580855,0.0,0.0,0.0,225855349.704652
1,2014-04-01,-24983775.62982125,70225350.27002099,344699668.3595234,-24983775.62982125,-24983775.62982125,233582952.33440578,233582952.33440578,233582952.33440578,-1303663617.1655684,-1303663617.1655684,-1303663617.1655684,1537246569.4999743,1537246569.4999743,1537246569.4999743,0.0,0.0,0.0,208599176.70458454
2,2014-07-01,-26399986.755253904,17947971.16881885,281801704.36863655,-26399986.755253904,-26399986.755253904,177075042.43112957,177075042.43112957,177075042.43112957,-1358668134.8719792,-1358668134.8719792,-1358668134.8719792,1535743177.303109,1535743177.303109,1535743177.303109,0.0,0.0,0.0,150675055.67587566
3,2014-10-01,-27831760.646839246,82250880.04578958,345743434.51626354,-27831760.646839246,-27831760.646839246,237757829.24091324,237757829.24091324,237757829.24091324,-1235563106.043537,-1235563106.043537,-1235563106.043537,1473320935.28445,1473320935.28445,1473320935.28445,0.0,0.0,0.0,209926068.594074
4,2015-01-01,-29263534.543736592,57214239.084995136,327746826.677352,-29263534.543736592,-29263534.543736592,222769606.5245095,222769606.5245095,222769606.5245095,-1228138816.2976766,-1228138816.2976766,-1228138816.2976766,1450908422.8221855,1450908422.8221855,1450908422.8221855,0.0,0.0,0.0,193506071.9807729
5,2015-04-01,-30664182.919471618,87537264.81489846,346716717.3452016,-30664182.919471618,-30664182.919471618,245332446.84071493,245332446.84071493,245332446.84071493,-1303663617.165484,-1303663617.165484,-1303663617.165484,1548996064.006198,1548996064.006198,1548996064.006198,0.0,0.0,0.0,214668263.9212433
6,2015-07-01,-32080394.049520213,53714873.70220838,308963121.5702419,-32080394.049520213,-32080394.049520213,209055999.95832378,209055999.95832378,209055999.95832378,-1358668134.8721325,-1358668134.8721325,-1358668134.8721325,1567724134.830456,1567724134.830456,1567724134.830456,0.0,0.0,0.0,176975605.90880355
7,2015-10-01,-33512167.93620789,44508405.25860699,295906617.4204135,-33512167.93620789,-33512167.93620789,197123004.76608643,197123004.76608643,197123004.76608643,-1235563106.043501,-1235563106.043501,-1235563106.043501,1432686110.8095875,1432686110.8095875,1432686110.8095875,0.0,0.0,0.0,163610836.82987854
8,2016-01-01,-34943941.82117317,24028199.05072264,289189865.91413206,-34943941.82117317,-34943941.82117317,197879990.22689673,197879990.22689673,197879990.22689673,-1228138816.2985325,-1228138816.2985325,-1228138816.2985325,1426018806.5254295,1426018806.5254295,1426018806.5254295,0.0,0.0,0.0,162936048.40572357
9,2016-04-01,-36360152.95440896,105545349.07878508,366971298.5559192,-36360152.95440896,-36360152.95440896,278275557.76382583,278275557.76382583,278275557.76382583,-1220068756.7766306,-1220068756.7766306,-1220068756.7766306,1498344314.540456,1498344314.540456,1498344314.540456,0.0,0.0,0.0,241915404.8094169
10,2016-07-01,-37776364.08166337,70407041.29735395,330016936.59334797,-37776364.08166337,-37776364.08166337,246952736.24394503,246952736.24394503,246952736.24394503,-1221852187.4763713,-1221852187.4763713,-1221852187.4763713,1468804923.7203164,1468804923.7203164,1468804923.7203164,0.0,0.0,0.0,209176372.16228166
11,2016-10-01,-39208137.96413548,132288525.84911472,401357126.0806878,-39208137.96413548,-39208137.96413548,305328395.41778344,305328395.41778344,305328395.41778344,-1243394186.4529152,-1243394186.4529152,-1243394186.4529152,1548722581.8706987,1548722581.8706987,1548722581.8706987,0.0,0.0,0.0,266120257.45364797
12,2017-01-01,-40639911.84614116,28393092.063449215,298820180.7613116,-40639911.84614116,-40639911.84614116,207174501.92873207,207174501.92873207,207174501.92873207,-1298805292.5539706,-1298805292.5539706,-1298805292.5539706,1505979794.4827034,1505979794.4827034,1505979794.4827034,0.0,0.0,0.0,166534590.0825909
13,2017-04-01,-42040560.21474206,117836190.44988391,390999645.5386358,-42040560.21474206,-42040560.21474206,300297127.8635258,300297127.8635258,300297127.8635258,-1220068756.7752886,-1220068756.7752886,-1220068756.7752886,1520365884.638815,1520365884.638815,1520365884.638815,0.0,0.0,0.0,258256567.64878374
14,2017-07-01,-43456771.3432143,102287577.27401207,362843367.1959421,-43456771.3432143,-43456771.3432143,280897236.53297156,280897236.53297156,280897236.53297156,-1221852187.4761324,-1221852187.4761324,-1221852187.4761324,1502749424.0091038,1502749424.0091038,1502749424.0091038,0.0,0.0,0.0,237440465.18975726
15,2017-10-01,-44888545.262100644,93729026.78170706,353063857.0815308,-44888545.262100644,-44888545.262100644,268613791.0343277,268613791.0343277,268613791.0343277,-1243394186.453466,-1243394186.453466,-1243394186.453466,1512007977.4877937,1512007977.4877937,1512007977.4877937,0.0,0.0,0.0,223725245.77222705
