,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,40766.63808634985,-19078.99934316102,44159.656100554676,40766.63808634985,40766.63808634985,-27720.7769152032,-27720.7769152032,-27720.7769152032,-415766.8484228398,-415766.8484228398,-415766.8484228398,388046.0715076366,388046.0715076366,388046.0715076366,0.0,0.0,0.0,13045.861171146647
1,2014-04-01,40623.89631459076,-19415.09242631536,43357.66596273935,40623.89631459076,40623.89631459076,-28797.313362295212,-28797.313362295212,-28797.313362295212,-435369.58281961625,-435369.58281961625,-435369.58281961625,406572.269457321,406572.269457321,406572.269457321,0.0,0.0,0.0,11826.58295229555
2,2014-07-01,40479.56852250052,-41622.71269278692,19234.219950563693,40479.56852250052,40479.56852250052,-52712.91228520312,-52712.91228520312,-52712.91228520312,-440994.2916792873,-440994.2916792873,-440994.2916792873,388281.3793940841,388281.3793940841,388281.3793940841,0.0,0.0,0.0,-12233.3437627026
3,2014-10-01,40333.65471112268,-27422.1587862876,33516.2097772981,40333.65471112268,40333.65471112268,-35631.26526969948,-35631.26526969948,-35631.26526969948,-423544.7703947802,-423544.7703947802,-423544.7703947802,387913.5051250807,387913.5051250807,387913.5051250807,0.0,0.0,0.0,4702.389441423205
4,2015-01-01,40187.74089890665,-22029.787916580302,39742.62245306177,40187.74089890665,40187.74089890665,-30631.931827342556,-30631.931827342556,-30631.931827342556,-415766.8484228268,-415766.8484228268,-415766.8484228268,385134.9165954842,385134.9165954842,385134.9165954842,0.0,0.0,0.0,9555.809071564097
5,2015-04-01,40044.99912567453,-10056.222250840001,50493.60790033537,40044.99912567453,40044.99912567453,-21180.393028392766,-21180.393028392766,-21180.393028392766,-435369.58281927486,-435369.58281927486,-435369.58281927486,414189.18979088205,414189.18979088205,414189.18979088205,0.0,0.0,0.0,18864.60609728176
6,2015-07-01,39900.671332545964,-39742.49269541463,20640.82028966959,39900.671332545964,39900.671332545964,-48970.83690621955,-48970.83690621955,-48970.83690621955,-440994.2916797133,-440994.2916797133,-440994.2916797133,392023.45477349364,392023.45477349364,392023.45477349364,0.0,0.0,0.0,-9070.165573673585
7,2015-10-01,39754.757519778555,-40457.21028376396,19085.379055741098,39754.757519778555,39754.757519778555,-51163.083602219966,-51163.083602219966,-51163.083602219966,-423544.77039486653,-423544.77039486653,-423544.77039486653,372381.68679264653,372381.68679264653,372381.68679264653,0.0,0.0,0.0,-11408.32608244141
8,2016-01-01,39608.84370665109,-23454.391460787294,38499.157951848436,39608.84370665109,39608.84370665109,-33754.80610426765,-33754.80610426765,-33754.80610426765,-415766.84842285555,-415766.84842285555,-415766.84842285555,382012.04231858795,382012.04231858795,382012.04231858795,0.0,0.0,0.0,5854.03760238344
9,2016-04-01,39464.515912679584,-17015.970464827802,40189.41632964716,39464.515912679584,39464.515912679584,-27930.25471125098,-27930.25471125098,-27930.25471125098,-416401.64894527756,-416401.64894527756,-416401.64894527756,388471.39423402655,388471.39423402655,388471.39423402655,0.0,0.0,0.0,11534.261201428606
10,2016-07-01,39320.1881180976,-30572.2385986237,32144.920690470506,39320.1881180976,39320.1881180976,-38538.542000156966,-38538.542000156966,-38538.542000156966,-419089.21070113586,-419089.21070113586,-419089.21070113586,380550.6687009788,380550.6687009788,380550.6687009788,0.0,0.0,0.0,781.6461179406324
11,2016-10-01,39174.27430329629,11349.82347526277,70847.20870587556,39174.27430329629,39174.27430329629,1738.6395229801335,1738.6395229801335,1738.6395229801335,-417202.45758690033,-417202.45758690033,-417202.45758690033,418941.0971098805,418941.0971098805,418941.0971098805,0.0,0.0,0.0,40912.913826276425
12,2017-01-01,39028.36048791269,-33201.53927308745,32179.082770530502,39028.36048791269,39028.36048791269,-39394.94398943558,-39394.94398943558,-39394.94398943558,-430132.21213781787,-430132.21213781787,-430132.21213781787,390737.26814838225,390737.26814838225,390737.26814838225,0.0,0.0,0.0,-366.58350152289495
13,2017-04-01,38885.61871203713,-11976.205976947407,49505.9720258073,38885.61871203713,38885.61871203713,-18404.636445330718,-18404.636445330718,-18404.636445330718,-416401.648945495,-416401.648945495,-416401.648945495,397997.0125001642,397997.0125001642,397997.0125001642,0.0,0.0,0.0,20480.982266706415
14,2017-07-01,38741.290916003134,-28599.930584127873,33991.9524271238,38741.290916003134,38741.290916003134,-34635.72306696915,-34635.72306696915,-34635.72306696915,-419089.2107012215,-419089.2107012215,-419089.2107012215,384453.4876342523,384453.4876342523,384453.4876342523,0.0,0.0,0.0,4105.567849033985
15,2017-10-01,38595.37710001344,-7047.1862036912225,54976.197436601455,38595.37710001344,38595.37710001344,-13763.694442956756,-13763.694442956756,-13763.694442956756,-417202.4575869615,-417202.4575869615,-417202.4575869615,403438.7631440048,403438.7631440048,403438.7631440048,0.0,0.0,0.0,24831.68265705668
16,2018-01-01,38449.46328448972,-33983.45763738338,28472.163955875094,38449.46328448972,38449.46328448972,-42086.14063054461,-42086.14063054461,-42086.14063054461,-430132.2121380625,-430132.2121380625,-430132.2121380625,388046.071507518,388046.071507518,388046.071507518,0.0,0.0,0.0,-3636.6773460548866
17,2018-04-01,38306.721508062066,-3028.6998855735796,59050.47778528953,38306.721508062066,38306.721508062066,-9829.379488044402,-9829.379488044402,-9829.379488044402,-416401.64894539124,-416401.64894539124,-416401.64894539124,406572.26945734693,406572.26945734693,406572.26945734693,0.0,0.0,0.0,28477.342020017662
18,2018-07-01,38162.39371248884,-25122.70703785071,36702.74473601085,38162.39371248884,38162.39371248884,-30807.831307166303,-30807.831307166303,-30807.831307166303,-419089.2107011724,-419089.2107011724,-419089.2107011724,388281.3793940061,388281.3793940061,388281.3793940061,0.0,0.0,0.0,7354.5624053225365
19,2018-10-01,38016.47989642529,-23487.28041352677,38798.68020352008,38016.47989642529,38016.47989642529,-29288.952461912573,-29288.952461912573,-29288.952461912573,-417202.45758702414,-417202.45758702414,-417202.45758702414,387913.5051251116,387913.5051251116,387913.5051251116,0.0,0.0,0.0,8727.527434512718
20,2019-01-01,37870.56608075143,-39775.94146195325,24177.52283453777,37870.56608075143,37870.56608075143,-44997.2955415376,-44997.2955415376,-44997.2955415376,-430132.2121370481,-430132.2121370481,-430132.2121370481,385134.9165955105,385134.9165955105,385134.9165955105,0.0,0.0,0.0,-7126.7294607861695
21,2019-04-01,37727.824303783294,5509.693073073377,66781.96198571083,37727.824303783294,37727.824303783294,-2212.459154353654,-2212.459154353654,-2212.459154353654,-416401.6489453372,-416401.6489453372,-416401.6489453372,414189.1897909837,414189.1897909837,414189.1897909837,0.0,0.0,0.0,35515.36514942964
22,2019-07-01,37583.496507477335,-20104.061941872802,41955.17474144476,37583.496507477335,37583.496507477335,-27065.75592773966,-27065.75592773966,-27065.75592773966,-419089.2107011355,-419089.2107011355,-419089.2107011355,392023.4547733958,392023.4547733958,392023.4547733958,0.0,0.0,0.0,10517.740579737674
23,2019-10-01,37437.58269171457,-38032.61378236562,23575.46029989573,37437.58269171457,37437.58269171457,-44820.770794162534,-44820.770794162534,-44820.770794162534,-417202.4575868246,-417202.4575868246,-417202.4575868246,372381.6867926621,372381.6867926621,372381.6867926621,0.0,0.0,0.0,-7383.188102447966
