,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,9289124.06649568,6616982.108138962,38493731.97811004,9289124.06649568,9289124.06649568,12899327.221900743,12899327.221900743,12899327.221900743,57662575.03316913,57662575.03316913,57662575.03316913,-44763247.811268374,-44763247.811268374,-44763247.811268374,0.0,0.0,0.0,22188451.28839642
1,2014-04-01,8384839.357175773,2481922.703538381,33044881.060024213,8384839.357175773,8384839.357175773,10028605.482309863,10028605.482309863,10028605.482309863,44611712.41161583,44611712.41161583,44611712.41161583,-34583106.929305986,-34583106.929305986,-34583106.929305986,0.0,0.0,0.0,18413444.839485638
2,2014-07-01,7470507.039517262,2269703.9289525184,33758065.59354234,7470507.039517262,7470507.039517262,9988981.028421257,9988981.028421257,9988981.028421257,38783712.419213235,38783712.419213235,38783712.419213235,-28794731.39079194,-28794731.39079194,-28794731.39079194,0.0,0.0,0.0,17459488.067938518
3,2014-10-01,6546127.113695572,11613955.482276103,43730932.838945344,6546127.113695572,6546127.113695572,20952749.97935185,20952749.97935185,20952749.97935185,52847637.48400362,52847637.48400362,52847637.48400362,-31894887.504651707,-31894887.504651707,-31894887.504651707,0.0,0.0,0.0,27498877.09304742
4,2015-01-01,5621747.188251935,1333616.6904362205,32924531.30552679,5621747.188251935,5621747.188251935,12135780.598228745,12135780.598228745,12135780.598228745,57662575.03312027,57662575.03312027,57662575.03312027,-45526794.43489154,-45526794.43489154,-45526794.43489154,0.0,0.0,0.0,17757527.78648068
5,2015-04-01,4717462.478245449,-6902188.514937999,26158176.633075327,4717462.478245449,4717462.478245449,5306354.272398693,5306354.272398693,5306354.272398693,44611712.41161347,44611712.41161347,44611712.41161347,-39305358.139214784,-39305358.139214784,-39305358.139214784,0.0,0.0,0.0,10023816.750644142
6,2015-07-01,3803130.1600997606,-5892188.057983397,24811356.140041113,3803130.1600997606,3803130.1600997606,5159716.68727281,5159716.68727281,5159716.68727281,38783712.41921179,38783712.41921179,38783712.41921179,-33623995.731938936,-33623995.731938936,-33623995.731938936,0.0,0.0,0.0,8962846.847372571
7,2015-10-01,2878750.233860341,9456457.086699871,40599313.62568814,2878750.233860341,2878750.233860341,21919111.92652741,21919111.92652741,21919111.92652741,52847637.484004565,52847637.484004565,52847637.484004565,-30928525.557477262,-30928525.557477262,-30928525.557477262,0.0,0.0,0.0,24797862.16038775
8,2016-01-01,1954370.3074216892,-2591542.202577603,28997091.074979845,1954370.3074216892,1954370.3074216892,11845187.487746892,11845187.487746892,11845187.487746892,57662575.033055834,57662575.033055834,57662575.033055834,-45817387.545308925,-45817387.545308925,-45817387.545308925,0.0,0.0,0.0,13799557.795168582
9,2016-04-01,1040037.989209801,15947748.218520502,47989676.181636855,1040037.989209801,1040037.989209801,31151044.483078536,31151044.483078536,31151044.483078536,56893865.041065834,56893865.041065834,56893865.041065834,-25742820.557987284,-25742820.557987284,-25742820.557987284,0.0,0.0,0.0,32191082.472288337
10,2016-07-01,125705.67067061583,21999914.46565071,53342526.076884374,125705.67067061583,125705.67067061583,37669623.83952311,37669623.83952311,37669623.83952311,55342162.22104333,55342162.22104333,55342162.22104333,-17672538.381520208,-17672538.381520208,-17672538.381520208,0.0,0.0,0.0,37795329.51019372
11,2016-10-01,-798674.2557994325,5254809.837151114,37122257.53891228,-798674.2557994325,-798674.2557994325,22423116.853270173,22423116.853270173,22423116.853270173,57845288.49113745,57845288.49113745,57845288.49113745,-35422171.637867324,-35422171.637867324,-35422171.637867324,0.0,0.0,0.0,21624442.59747074
12,2017-01-01,-1723054.1823013958,-4204806.106020461,28261801.819301445,-1723054.1823013958,-1723054.1823013958,13715054.485814916,13715054.485814916,13715054.485814916,57242226.650068864,57242226.650068864,57242226.650068864,-43527172.16425398,-43527172.16425398,-43527172.16425398,0.0,0.0,0.0,11992000.30351352
13,2017-04-01,-2627338.8928475725,7657784.937669772,40243335.331800915,-2627338.8928475725,-2627338.8928475725,26833054.78250332,26833054.78250332,26833054.78250332,56893865.04117492,56893865.04117492,56893865.04117492,-30060810.258671585,-30060810.258671585,-30060810.258671585,0.0,0.0,0.0,24205715.88965575
14,2017-07-01,-3541671.2116447003,12494513.118557286,44744482.19191579,-3541671.2116447003,-3541671.2116447003,31866829.67679057,31866829.67679057,31866829.67679057,55342162.22105862,55342162.22105862,55342162.22105862,-23475332.544268083,-23475332.544268083,-23475332.544268083,0.0,0.0,0.0,28325158.465145867
15,2017-10-01,-4466051.138112525,3461108.8876387253,35310731.9406467,-4466051.138112525,-4466051.138112525,24451929.290015414,24451929.290015414,24451929.290015414,57845288.49108916,57845288.49108916,57845288.49108916,-33393359.20107377,-33393359.20107377,-33393359.20107377,0.0,0.0,0.0,19985878.151902888
16,2018-01-01,-5390431.065013708,-8747407.778019648,23876587.34035358,-5390431.065013708,-5390431.065013708,12478978.838830566,12478978.838830566,12478978.838830566,57242226.65001626,57242226.65001626,57242226.65001626,-44763247.81118568,-44763247.81118568,-44763247.81118568,0.0,0.0,0.0,7088547.773816858
17,2018-04-01,-6294715.776017931,483918.16592078377,32479340.41192652,-6294715.776017931,-6294715.776017931,22310758.111837234,22310758.111837234,22310758.111837234,56893865.0411424,56893865.0411424,56893865.0411424,-34583106.92930517,-34583106.92930517,-34583106.92930517,0.0,0.0,0.0,16016042.335819304
