,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,266.716997224831,1118.9794194351805,2124.565689939104,266.716997224831,266.716997224831,1344.8959747843378,1344.8959747843378,1344.8959747843378,-2662.6533307565123,-2662.6533307565123,-2662.6533307565123,4007.5493055408506,4007.5493055408506,4007.5493055408506,0.0,0.0,0.0,1611.6129720091687
1,2014-04-01,244.13567282386055,824.4960586640804,1833.028435578267,244.13567282386055,244.13567282386055,1071.6742495180958,1071.6742495180958,1071.6742495180958,-3043.200100020683,-3043.200100020683,-3043.200100020683,4114.87434953878,4114.87434953878,4114.87434953878,0.0,0.0,0.0,1315.8099223419563
2,2014-07-01,221.3034448183927,738.7762788779814,1666.3731481165573,221.3034448183927,221.3034448183927,944.0218173890802,944.0218173890802,944.0218173890802,-3196.3836817440406,-3196.3836817440406,-3196.3836817440406,4140.40549913312,4140.40549913312,4140.40549913312,0.0,0.0,0.0,1165.3252622074729
3,2014-10-01,198.22031321555073,916.4038813484767,1900.3020734538795,198.22031321555073,198.22031321555073,1179.4912451853822,1179.4912451853822,1179.4912451853822,-2803.0636756497306,-2803.0636756497306,-2803.0636756497306,3982.5549208351126,3982.5549208351126,3982.5549208351126,0.0,0.0,0.0,1377.711558400933
4,2015-01-01,175.13718155332845,1010.2861328073549,1963.9579251648527,175.13718155332845,175.13718155332845,1324.8741288404028,1324.8741288404028,1324.8741288404028,-2662.653330757877,-2662.653330757877,-2662.653330757877,3987.5274595982796,3987.5274595982796,3987.5274595982796,0.0,0.0,0.0,1500.0113103937313
5,2015-04-01,152.5558571476778,734.5413100951333,1712.6606362120472,152.5558571476778,152.5558571476778,1077.8022023199533,1077.8022023199533,1077.8022023199533,-3043.2001000186547,-3043.2001000186547,-3043.2001000186547,4121.002302338608,4121.002302338608,4121.002302338608,0.0,0.0,0.0,1230.3580594676312
6,2015-07-01,129.72362907797205,621.4498442629467,1559.4825156745371,129.72362907797205,129.72362907797205,963.6494607040227,963.6494607040227,963.6494607040227,-3196.383681746464,-3196.383681746464,-3196.383681746464,4160.033142450487,4160.033142450487,4160.033142450487,0.0,0.0,0.0,1093.3730897819946
7,2015-10-01,106.64049742192458,674.1796509755363,1669.9864319651153,106.64049742192458,106.64049742192458,1035.414309008173,1035.414309008173,1035.414309008173,-2803.0636756501553,-2803.0636756501553,-2803.0636756501553,3838.477984658328,3838.477984658328,3838.477984658328,0.0,0.0,0.0,1142.0548064300974
8,2016-01-01,83.55736570489195,890.8260209373032,1864.3383314565847,83.55736570489195,83.55736570489195,1315.9800901864276,1315.9800901864276,1315.9800901864276,-2662.653330759342,-2662.653330759342,-2662.653330759342,3978.633420945771,3978.633420945771,3978.633420945771,0.0,0.0,0.0,1399.5374558913195
9,2016-04-01,60.725137555552934,946.6411257743632,1969.6687746144605,60.725137555552934,60.725137555552934,1375.6516229893932,1375.6516229893932,1375.6516229893932,-2679.2986182945797,-2679.2986182945797,-2679.2986182945797,4054.950241283974,4054.950241283974,4054.950241283974,0.0,0.0,0.0,1436.3767605449461
