,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-108.56297028742526,197.38467772680264,362.7798176490185,-108.56297028742526,-108.56297028742526,389.7355111674263,389.7355111674263,389.7355111674263,-489.3882650528827,-489.3882650528827,-489.3882650528827,879.123776220309,879.123776220309,879.123776220309,0.0,0.0,0.0,281.17254088000107
1,2014-04-01,-113.90110991240273,212.82690461225033,368.82028924450816,-113.90110991240273,-113.90110991240273,402.01540395466077,402.01540395466077,402.01540395466077,-485.4794057671534,-485.4794057671534,-485.4794057671534,887.4948097218141,887.4948097218141,887.4948097218141,0.0,0.0,0.0,288.11429404225805
2,2014-07-01,-119.29856219999427,197.826515150595,365.2152848601164,-119.29856219999427,-119.29856219999427,398.58830307224906,398.58830307224906,398.58830307224906,-498.39205852356037,-498.39205852356037,-498.39205852356037,896.9803615958097,896.9803615958097,896.9803615958097,0.0,0.0,0.0,279.2897408722548
3,2014-10-01,-124.75532715113043,179.5970325285531,344.8880432387194,-124.75532715113043,-124.75532715113043,388.81687910301736,388.81687910301736,388.81687910301736,-477.7010596033947,-477.7010596033947,-477.7010596033947,866.5179387064122,866.5179387064122,866.5179387064122,0.0,0.0,0.0,264.06155195188694
4,2015-01-01,-130.2120921036224,190.575437141222,343.96106220007766,-130.2120921036224,-130.2120921036224,393.29905838550167,393.29905838550167,393.29905838550167,-489.38826505310016,-489.38826505310016,-489.38826505310016,882.6873234386019,882.6873234386019,882.6873234386019,0.0,0.0,0.0,263.08696628187926
5,2015-04-01,-135.5502317322416,187.67997811027243,351.0727480555071,-135.5502317322416,-135.5502317322416,404.48855740554177,404.48855740554177,404.48855740554177,-485.47940576760936,-485.47940576760936,-485.47940576760936,889.9679631731514,889.9679631731514,889.9679631731514,0.0,0.0,0.0,268.93832567330014
6,2015-07-01,-140.9476840223955,175.58408602664315,342.166144573451,-140.9476840223955,-140.9476840223955,404.83300411600004,404.83300411600004,404.83300411600004,-498.3920585230247,-498.3920585230247,-498.3920585230247,903.2250626390247,903.2250626390247,903.2250626390247,0.0,0.0,0.0,263.88532009360455
7,2015-10-01,-146.40444897494933,126.11194321442062,292.90323500203095,-146.40444897494933,-146.40444897494933,357.88231678561624,357.88231678561624,357.88231678561624,-477.70105960325407,-477.70105960325407,-477.70105960325407,835.5833763888703,835.5833763888703,835.5833763888703,0.0,0.0,0.0,211.4778678106669
8,2016-01-01,-151.8612139270125,166.78629311850167,323.56726080196347,-151.8612139270125,-151.8612139270125,396.6583478034625,396.6583478034625,396.6583478034625,-489.3882650534556,-489.3882650534556,-489.3882650534556,886.046612856918,886.046612856918,886.046612856918,0.0,0.0,0.0,244.79713387645
9,2016-04-01,-157.25866621588784,158.46266498448415,318.6399630631903,-157.25866621588784,-157.25866621588784,395.0255407539175,395.0255407539175,395.0255407539175,-484.3095793459063,-484.3095793459063,-484.3095793459063,879.3351200998238,879.3351200998238,879.3351200998238,0.0,0.0,0.0,237.76687453802964
10,2016-07-01,-162.65611850585904,148.73114328448915,308.0386756378434,-162.65611850585904,-162.65611850585904,392.23785321820174,392.23785321820174,392.23785321820174,-479.942985796668,-479.942985796668,-479.942985796668,872.1808390148699,872.1808390148699,872.1808390148699,0.0,0.0,0.0,229.5817347123427
11,2016-10-01,-168.11288345782316,191.85275076323677,352.1614480979339,-168.11288345782316,-168.11288345782316,437.1573695346931,437.1573695346931,437.1573695346931,-493.87750392619864,-493.87750392619864,-493.87750392619864,931.034873460892,931.034873460892,931.034873460892,0.0,0.0,0.0,269.04448607686993
12,2017-01-01,-173.56964841142698,127.96150440128281,290.40473508859657,-173.56964841142698,-173.56964841142698,381.97084060106647,381.97084060106647,381.97084060106647,-493.38753739847596,-493.38753739847596,-493.38753739847596,875.3583779995425,875.3583779995425,875.3583779995425,0.0,0.0,0.0,208.4011921896395
13,2017-04-01,-178.9077880413207,146.71194042077406,295.17861075102735,-178.9077880413207,-178.9077880413207,399.65086972116217,399.65086972116217,399.65086972116217,-484.3095793450759,-484.3095793450759,-484.3095793450759,883.9604490662381,883.9604490662381,883.9604490662381,0.0,0.0,0.0,220.74308167984145
14,2017-07-01,-184.3052403346575,139.85708985040006,305.8060500269824,-184.3052403346575,-184.3052403346575,406.6795793386124,406.6795793386124,406.6795793386124,-479.9429857964313,-479.9429857964313,-479.9429857964313,886.6225651350437,886.6225651350437,886.6225651350437,0.0,0.0,0.0,222.37433900395493
15,2017-10-01,-189.76200529054108,135.0458015214627,293.2012362370827,-189.76200529054108,-189.76200529054108,404.4627351273201,404.4627351273201,404.4627351273201,-493.87750392628186,-493.87750392628186,-493.87750392628186,898.3402390536022,898.3402390536022,898.3402390536022,0.0,0.0,0.0,214.70072983677903
16,2018-01-01,-195.21877024652855,108.84136560376562,270.9700343465525,-195.21877024652855,-195.21877024652855,385.7362388214209,385.7362388214209,385.7362388214209,-493.38753739838484,-493.38753739838484,-493.38753739838484,879.1237762198057,879.1237762198057,879.1237762198057,0.0,0.0,0.0,190.51746857489235
17,2018-04-01,-200.55690992146202,123.39288570440601,277.44766557476015,-200.55690992146202,-200.55690992146202,403.1852303767857,403.1852303767857,403.1852303767857,-484.30957934532233,-484.30957934532233,-484.30957934532233,887.4948097221078,887.4948097221078,887.4948097221078,0.0,0.0,0.0,202.62832045532366
18,2018-07-01,-205.9543622602556,125.93573567586344,289.59316768835066,-205.9543622602556,-205.9543622602556,417.0373757990151,417.0373757990151,417.0373757990151,-479.9429857966327,-479.9429857966327,-479.9429857966327,896.9803615956479,896.9803615956479,896.9803615956479,0.0,0.0,0.0,211.08301353875947
