,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,116.31827333377288,219.4558300246683,431.30080254495056,116.31827333377288,116.31827333377288,212.92652075686655,212.92652075686655,212.92652075686655,-482.148669108488,-482.148669108488,-482.148669108488,695.0751898653548,695.0751898653548,695.0751898653548,0.0,0.0,0.0,329.2447940906394
1,2014-04-01,112.85852938522422,161.56416964573805,385.6607965548047,112.85852938522422,112.85852938522422,157.19499713610858,157.19499713610858,157.19499713610858,-521.6978597048344,-521.6978597048344,-521.6978597048344,678.8928568409431,678.8928568409431,678.8928568409431,0.0,0.0,0.0,270.0535265213328
2,2014-07-01,109.36034383874556,152.14870593364395,372.3692610705568,109.36034383874556,109.36034383874556,155.80355106716604,155.80355106716604,155.80355106716604,-541.4014578511627,-541.4014578511627,-541.4014578511627,697.2050089183289,697.2050089183289,697.2050089183289,0.0,0.0,0.0,265.1638949059116
3,2014-10-01,105.82371669234612,195.57314588254513,406.20904908315356,105.82371669234612,105.82371669234612,202.1044783098105,202.1044783098105,202.1044783098105,-490.38548033608345,-490.38548033608345,-490.38548033608345,692.4899586458938,692.4899586458938,692.4899586458938,0.0,0.0,0.0,307.9281950021566
4,2015-01-01,102.28708954563466,195.55628850483328,407.8640555986265,102.28708954563466,102.28708954563466,201.96791773575544,201.96791773575544,201.96791773575544,-482.1486691086334,-482.1486691086334,-482.1486691086334,684.116586844389,684.116586844389,684.116586844389,0.0,0.0,0.0,304.2550072813901
5,2015-04-01,98.82734559879152,137.36971605320622,348.32099036276685,98.82734559879152,98.82734559879152,142.8439441365129,142.8439441365129,142.8439441365129,-521.6978597042005,-521.6978597042005,-521.6978597042005,664.5418038407131,664.5418038407131,664.5418038407131,0.0,0.0,0.0,241.6712897353044
6,2015-07-01,95.3291600543022,157.18982928770603,369.0952616431912,95.3291600543022,95.3291600543022,164.4463173624772,164.4463173624772,164.4463173624772,-541.4014578519862,-541.4014578519862,-541.4014578519862,705.8477752144632,705.8477752144632,705.8477752144632,0.0,0.0,0.0,259.7754774167794
7,2015-10-01,91.79253290951002,163.3524197092307,388.37470919231,91.79253290951002,91.79253290951002,188.2283294772437,188.2283294772437,188.2283294772437,-490.3854803362254,-490.3854803362254,-490.3854803362254,678.6138098134691,678.6138098134691,678.6138098134691,0.0,0.0,0.0,280.0208623867537
8,2016-01-01,88.25590576164535,174.5535651346125,395.26136176164795,88.25590576164535,88.25590576164535,192.94031022170546,192.94031022170546,192.94031022170546,-482.1486691088612,-482.1486691088612,-482.1486691088612,675.0889793305669,675.0889793305669,675.0889793305669,0.0,0.0,0.0,281.19621598335084
9,2016-04-01,84.75772021539628,198.9154802753716,411.74887927070625,84.75772021539628,84.75772021539628,221.98175004060758,221.98175004060758,221.98175004060758,-479.0144340963409,-479.0144340963409,-479.0144340963409,700.9961841369487,700.9961841369487,700.9961841369487,0.0,0.0,0.0,306.73947025600387
10,2016-07-01,81.2595346697547,164.96907481503857,385.37191839073654,81.2595346697547,81.2595346697547,197.45337892099877,197.45337892099877,197.45337892099877,-481.79235324330153,-481.79235324330153,-481.79235324330153,679.2457321643002,679.2457321643002,679.2457321643002,0.0,0.0,0.0,278.7129135907535
11,2016-10-01,77.72290752525137,199.85219392198016,408.4346620292424,77.72290752525137,77.72290752525137,225.64805577414552,225.64805577414552,225.64805577414552,-490.6931652456314,-490.6931652456314,-490.6931652456314,716.3412210197769,716.3412210197769,716.3412210197769,0.0,0.0,0.0,303.37096329939686
