,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,23.828129418477918,219.586991739915,452.09627580010635,23.828129418477918,23.828129418477918,309.69626065074897,309.69626065074897,309.69626065074897,-66.06986954760096,-66.06986954760096,-66.06986954760096,375.7661301983501,375.7661301983501,375.7661301983501,0.0,0.0,0.0,333.5243900692269
1,2014-04-01,16.944679750279377,181.8662175687506,393.6465720994609,16.944679750279377,16.944679750279377,269.9648814898595,269.9648814898595,269.9648814898595,-179.72188097089187,-179.72188097089187,-179.72188097089187,449.6867624607511,449.6867624607511,449.6867624607511,0.0,0.0,0.0,286.9095612401389
2,2014-07-01,9.98474731850996,121.05152057966474,351.43896716107923,9.98474731850996,9.98474731850996,229.85210463109004,229.85210463109004,229.85210463109004,-207.49498188390282,-207.49498188390282,-207.49498188390282,437.347086514993,437.347086514993,437.347086514993,0.0,0.0,0.0,239.8368519496
3,2014-10-01,2.9483321138273473,139.96741573134062,369.5594660942196,2.9483321138273473,2.9483321138273473,247.5806474971829,247.5806474971829,247.5806474971829,-126.18443616105131,-126.18443616105131,-126.18443616105131,373.7650836582342,373.7650836582342,373.7650836582342,0.0,0.0,0.0,250.52897961101024
4,2015-01-01,-4.08808308648746,186.22830588910904,413.79424164053614,-4.08808308648746,-4.08808308648746,306.2783039211895,306.2783039211895,306.2783039211895,-66.06986954785631,-66.06986954785631,-66.06986954785631,372.34817346904583,372.34817346904583,372.34817346904583,0.0,0.0,0.0,302.190220834702
5,2015-04-01,-10.971532747896815,169.74954302949217,387.36469128381805,-10.971532747896815,-10.971532747896815,293.8871550277171,293.8871550277171,293.8871550277171,-179.72188097058137,-179.72188097058137,-179.72188097058137,473.60903599829845,473.60903599829845,473.60903599829845,0.0,0.0,0.0,282.9156222798203
6,2015-07-01,-17.931465177386936,87.81370669180924,306.8102186350664,-17.931465177386936,-17.931465177386936,219.73340676561446,219.73340676561446,219.73340676561446,-207.49498188412102,-207.49498188412102,-207.49498188412102,427.22838864973573,427.22838864973573,427.22838864973573,0.0,0.0,0.0,201.80194158822752
7,2015-10-01,-24.96788039425743,76.75476472931992,311.2551080524705,-24.96788039425743,-24.96788039425743,222.1389881615595,222.1389881615595,222.1389881615595,-126.18443616113024,-126.18443616113024,-126.18443616113024,348.3234243226897,348.3234243226897,348.3234243226897,0.0,0.0,0.0,197.17110776730206
8,2016-01-01,-32.004295602070364,155.67881522571298,377.7345255545599,-32.004295602070364,-32.004295602070364,305.89164427097376,305.89164427097376,305.89164427097376,-66.0698695478331,-66.0698695478331,-66.0698695478331,371.9615138188066,371.9615138188066,371.9615138188066,0.0,0.0,0.0,273.88734866890337
9,2016-04-01,-38.96422803449938,162.35121241448383,389.8609860101876,-38.96422803449938,-38.96422803449938,309.32940282605006,309.32940282605006,309.32940282605006,-82.38597333062962,-82.38597333062962,-82.38597333062962,391.7153761566798,391.7153761566798,391.7153761566798,0.0,0.0,0.0,270.36517479155066
