,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-2.4073367015578433,215.79955288855427,388.2887461495443,-2.4073367015578433,-2.4073367015578433,309.1129632208201,309.1129632208201,309.1129632208201,-1209.305946013012,-1209.305946013012,-1209.305946013012,1518.4189092338322,1518.4189092338322,1518.4189092338322,0.0,0.0,0.0,306.7056265192623
1,2014-04-01,-7.042359193934594,216.16456359421244,388.69416471124765,-7.042359193934594,-7.042359193934594,311.83657082206923,311.83657082206923,311.83657082206923,-1269.8607861699984,-1269.8607861699984,-1269.8607861699984,1581.6973569920676,1581.6973569920676,1581.6973569920676,0.0,0.0,0.0,304.79421162813463
2,2014-07-01,-11.72888193764517,192.8174640180949,367.61549629047886,-11.72888193764517,-11.72888193764517,296.720674808148,296.720674808148,296.720674808148,-1295.118252069699,-1295.118252069699,-1295.118252069699,1591.8389268778471,1591.8389268778471,1591.8389268778471,0.0,0.0,0.0,284.9917928705028
3,2014-10-01,-16.466904930040133,217.9800315217723,389.29735007011465,-16.466904930040133,-16.466904930040133,316.8141904620162,316.8141904620162,316.8141904620162,-1231.0197489980646,-1231.0197489980646,-1231.0197489980646,1547.8339394600812,1547.8339394600812,1547.8339394600812,0.0,0.0,0.0,300.34728553197607
4,2015-01-01,-21.20492792116756,209.4375454006591,385.661474595237,-21.20492792116756,-21.20492792116756,316.25884739197824,316.25884739197824,316.25884739197824,-1209.305946013344,-1209.305946013344,-1209.305946013344,1525.5647934053222,1525.5647934053222,1525.5647934053222,0.0,0.0,0.0,295.0539194708107
5,2015-04-01,-25.83995041399186,208.59696636747594,377.5312227515357,-25.83995041399186,-25.83995041399186,318.621251126217,318.621251126217,318.621251126217,-1269.86078616969,-1269.86078616969,-1269.86078616969,1588.482037295907,1588.482037295907,1588.482037295907,0.0,0.0,0.0,292.7813007122251
6,2015-07-01,-30.52647315788487,180.76832329260392,360.66531960895554,-30.52647315788487,-30.52647315788487,300.9444703041652,300.9444703041652,300.9444703041652,-1295.1182520700595,-1295.1182520700595,-1295.1182520700595,1596.0627223742244,1596.0627223742244,1596.0627223742244,0.0,0.0,0.0,270.4179971462803
7,2015-10-01,-35.26449615255629,159.70734258610025,326.27714099196737,-35.26449615255629,-35.26449615255629,278.76386655274274,278.76386655274274,278.76386655274274,-1231.0197489981088,-1231.0197489981088,-1231.0197489981088,1509.7836155508517,1509.7836155508517,1509.7836155508517,0.0,0.0,0.0,243.49937040018645
8,2016-01-01,-40.00251914745562,200.1448880429225,374.7319631778283,-40.00251914745562,-40.00251914745562,323.7580039768979,323.7580039768979,323.7580039768979,-1209.305946013665,-1209.305946013665,-1209.305946013665,1533.0639499905633,1533.0639499905633,1533.0639499905633,0.0,0.0,0.0,283.75548482944225
9,2016-04-01,-44.68904190349886,214.82694595904738,391.5875231534824,-44.68904190349886,-44.68904190349886,346.9511449477277,346.9511449477277,346.9511449477277,-1211.7502224122177,-1211.7502224122177,-1211.7502224122177,1558.7013673599454,1558.7013673599454,1558.7013673599454,0.0,0.0,0.0,302.26210304422887
10,2016-07-01,-49.375564661094444,223.39237750959637,388.95750210674555,-49.375564661094444,-49.375564661094444,358.05375401831844,358.05375401831844,358.05375401831844,-1218.8574778183108,-1218.8574778183108,-1218.8574778183108,1576.9112318366294,1576.9112318366294,1576.9112318366294,0.0,0.0,0.0,308.678189357224
11,2016-10-01,-54.11358766850699,262.89802322961066,440.70353825978793,-54.11358766850699,-54.11358766850699,408.67728931256937,408.67728931256937,408.67728931256937,-1210.707309378204,-1210.707309378204,-1210.707309378204,1619.3845986907734,1619.3845986907734,1619.3845986907734,0.0,0.0,0.0,354.5637016440624
12,2017-01-01,-58.85161067714421,143.61551497182444,323.47230712509185,-58.85161067714421,-58.85161067714421,287.39893726863926,287.39893726863926,287.39893726863926,-1224.2290176899123,-1224.2290176899123,-1224.2290176899123,1511.6279549585515,1511.6279549585515,1511.6279549585515,0.0,0.0,0.0,228.54732659149505
13,2017-04-01,-63.48668807492534,211.9789288737678,383.1489057714416,-63.48668807492534,-63.48668807492534,360.0250828898792,360.0250828898792,360.0250828898792,-1211.7502224116838,-1211.7502224116838,-1211.7502224116838,1571.7753053015629,1571.7753053015629,1571.7753053015629,0.0,0.0,0.0,296.53839481495385
14,2017-07-01,-68.17326633185107,211.07483083256875,386.87277180338407,-68.17326633185107,-68.17326633185107,366.5891412451802,366.5891412451802,366.5891412451802,-1218.8574778183008,-1218.8574778183008,-1218.8574778183008,1585.4466190634812,1585.4466190634812,1585.4466190634812,0.0,0.0,0.0,298.41587491332916
15,2017-10-01,-72.91134545073476,217.9458845481654,382.8528236078652,-72.91134545073476,-72.91134545073476,373.6690814439663,373.6690814439663,373.6690814439663,-1210.7073093785993,-1210.7073093785993,-1210.7073093785993,1584.3763908225656,1584.3763908225656,1584.3763908225656,0.0,0.0,0.0,300.75773599323156
16,2018-01-01,-77.64949425095365,131.42871597237036,307.81855578806903,-77.64949425095365,-77.64949425095365,294.189891543094,294.189891543094,294.189891543094,-1224.2290176903955,-1224.2290176903955,-1224.2290176903955,1518.4189092334896,1518.4189092334896,1518.4189092334896,0.0,0.0,0.0,216.54039729214037
17,2018-04-01,-82.28463982127806,202.2592645755977,374.70770590069117,-82.28463982127806,-82.28463982127806,369.94713458036733,369.94713458036733,369.94713458036733,-1211.750222411894,-1211.750222411894,-1211.750222411894,1581.697356992261,1581.697356992261,1581.697356992261,0.0,0.0,0.0,287.66249475908927
18,2018-07-01,-86.97128701017627,207.0229742694217,372.08636390411937,-86.97128701017627,-86.97128701017627,372.98144905927484,372.98144905927484,372.98144905927484,-1218.857477818407,-1218.857477818407,-1218.857477818407,1591.838926877682,1591.838926877682,1591.838926877682,0.0,0.0,0.0,286.01016204909854
