,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,8488637.499859829,89188967.92521366,305953014.2280267,8488637.499859829,8488637.499859829,183377911.81012416,183377911.81012416,183377911.81012416,-1421042728.8853943,-1421042728.8853943,-1421042728.8853943,1604420640.6955183,1604420640.6955183,1604420640.6955183,0.0,0.0,0.0,191866549.309984
1,2014-04-01,7503156.902127075,69629579.4012421,291345193.2641864,7503156.902127075,7503156.902127075,176150912.96613708,176150912.96613708,176150912.96613708,-1482874597.2450938,-1482874597.2450938,-1482874597.2450938,1659025510.2112312,1659025510.2112312,1659025510.2112312,0.0,0.0,0.0,183654069.86826417
2,2014-07-01,6506726.520658975,18021801.04664301,230433442.45619267,6506726.520658975,6506726.520658975,123153738.15201326,123153738.15201326,123153738.15201326,-1524224460.4480498,-1524224460.4480498,-1524224460.4480498,1647378198.6000628,1647378198.6000628,1647378198.6000628,0.0,0.0,0.0,129660464.67267223
3,2014-10-01,5499346.3538055895,78361556.84159368,285910836.4844436,5499346.3538055895,5499346.3538055895,172625363.1179744,172625363.1179744,172625363.1179744,-1428822637.7407556,-1428822637.7407556,-1428822637.7407556,1601448000.8587303,1601448000.8587303,1601448000.8587303,0.0,0.0,0.0,178124709.47178
4,2015-01-01,4491966.188250033,61881800.89124226,273817443.26958215,4491966.188250033,4491966.188250033,160561356.4825747,160561356.4825747,160561356.4825747,-1421042728.885839,-1421042728.885839,-1421042728.885839,1581604085.368414,1581604085.368414,1581604085.368414,0.0,0.0,0.0,165053322.67082474
5,2015-04-01,3506485.591166863,79919674.80767132,296211356.06297654,3506485.591166863,3506485.591166863,184023811.664496,184023811.664496,184023811.664496,-1482874597.2447522,-1482874597.2447522,-1482874597.2447522,1666898408.9092484,1666898408.9092484,1666898408.9092484,0.0,0.0,0.0,187530297.25566286
6,2015-07-01,2510055.2086691703,50142437.39011581,262082815.3201049,2510055.2086691703,2510055.2086691703,150818788.44425407,150818788.44425407,150818788.44425407,-1524224460.4485295,-1524224460.4485295,-1524224460.4485295,1675043248.8927839,1675043248.8927839,1675043248.8927839,0.0,0.0,0.0,153328843.65292323
7,2015-10-01,1502675.0398099092,29006682.20685729,250798183.58281127,1502675.0398099092,1502675.0398099092,137947532.89330307,137947532.89330307,137947532.89330307,-1428822637.740792,-1428822637.740792,-1428822637.740792,1566770170.6340954,1566770170.6340954,1566770170.6340954,0.0,0.0,0.0,139450207.93311298
8,2016-01-01,495294.87127184385,25551503.45681059,245502129.73774856,495294.87127184385,495294.87127184385,139337457.0216946,139337457.0216946,139337457.0216946,-1421042728.8865063,-1421042728.8865063,-1421042728.8865063,1560380185.908201,1560380185.908201,1560380185.908201,0.0,0.0,0.0,139832751.89296645
9,2016-04-01,-501135.51227080135,107312634.98095834,316119109.1627945,-501135.51227080135,-501135.51227080135,213045149.60445657,213045149.60445657,213045149.60445657,-1414915806.4121578,-1414915806.4121578,-1414915806.4121578,1627960956.0166144,1627960956.0166144,1627960956.0166144,0.0,0.0,0.0,212544014.09218577
10,2016-07-01,-1497565.8979140942,61662253.24773648,292389781.92895454,-1497565.8979140942,-1497565.8979140942,173272949.08752757,173272949.08752757,173272949.08752757,-1417068129.9049344,-1417068129.9049344,-1417068129.9049344,1590341078.9924622,1590341078.9924622,1590341078.9924622,0.0,0.0,0.0,171775383.1896135
11,2016-10-01,-2504946.0697209327,110043011.52477713,337075620.9496039,-2504946.0697209327,-2504946.0697209327,230036998.85079736,230036998.85079736,230036998.85079736,-1433465768.0802917,-1433465768.0802917,-1433465768.0802917,1663502766.9310892,1663502766.9310892,1663502766.9310892,0.0,0.0,0.0,227532052.78107643
12,2017-01-01,-3512326.243098256,29397000.693142846,258122401.79559582,-3512326.243098256,-3512326.243098256,148382734.57199338,148382734.57199338,148382734.57199338,-1480406915.4374595,-1480406915.4374595,-1480406915.4374595,1628789650.009453,1628789650.009453,1628789650.009453,0.0,0.0,0.0,144870408.32889512
13,2017-04-01,-4497806.849156102,117722399.23443478,336440289.800076,-4497806.849156102,-4497806.849156102,231133431.17089432,231133431.17089432,231133431.17089432,-1414915806.4112937,-1414915806.4112937,-1414915806.4112937,1646049237.5821874,1646049237.5821874,1646049237.5821874,0.0,0.0,0.0,226635624.3217382
14,2017-07-01,-5494237.241300603,92573008.46366815,303042971.1389958,-5494237.241300603,-5494237.241300603,202058153.4436636,202058153.4436636,202058153.4436636,-1417068129.9048166,-1417068129.9048166,-1417068129.9048166,1619126283.34848,1619126283.34848,1619126283.34848,0.0,0.0,0.0,196563916.20236298
