,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-80.90629211241453,625.0962605546167,1111.6421373522667,-80.90629211241453,-80.90629211241453,954.6881456984349,954.6881456984349,954.6881456984349,-1162.3061407160026,-1162.3061407160026,-1162.3061407160026,2116.9942864144386,2116.9942864144386,2116.9942864144386,0.0,0.0,0.0,873.7818535860204
1,2014-04-01,-96.84145359122628,587.6695321138415,1104.455418067026,-96.84145359122628,-96.84145359122628,947.3803316510798,947.3803316510798,947.3803316510798,-1278.87476858461,-1278.87476858461,-1278.87476858461,2226.2551002356895,2226.2551002356895,2226.2551002356895,0.0,0.0,0.0,850.5388780598536
2,2014-07-01,-112.95367242844998,540.7867629253032,1050.548186871945,-112.95367242844998,-112.95367242844998,903.4053194765174,903.4053194765174,903.4053194765174,-1353.2745823297253,-1353.2745823297253,-1353.2745823297253,2256.679901806243,2256.679901806243,2256.679901806243,0.0,0.0,0.0,790.4516470480675
3,2014-10-01,-129.24294861064507,605.5941768603329,1129.8640397737342,-129.24294861064507,-129.24294861064507,1007.3893881925975,1007.3893881925975,1007.3893881925975,-1187.3175796332482,-1187.3175796332482,-1187.3175796332482,2194.706967825846,2194.706967825846,2194.706967825846,0.0,0.0,0.0,878.1464395819524
4,2015-01-01,-145.53222480009282,562.2294155163704,1076.9005659293225,-145.53222480009282,-145.53222480009282,961.0399940065421,961.0399940065421,961.0399940065421,-1162.3061407171565,-1162.3061407171565,-1162.3061407171565,2123.3461347236985,2123.3461347236985,2123.3461347236985,0.0,0.0,0.0,815.5077692064492
5,2015-04-01,-161.46738630399858,514.0086563828561,1018.0006392428269,-161.46738630399858,-161.46738630399858,928.7974960074142,928.7974960074142,928.7974960074142,-1278.8747685850124,-1278.8747685850124,-1278.8747685850124,2207.672264592427,2207.672264592427,2207.672264592427,0.0,0.0,0.0,767.3301097034157
6,2015-07-01,-177.57960517524154,482.733282143533,989.3191678341092,-177.57960517524154,-177.57960517524154,908.8295253772094,908.8295253772094,908.8295253772094,-1353.2745823292742,-1353.2745823292742,-1353.2745823292742,2262.104107706484,2262.104107706484,2262.104107706484,0.0,0.0,0.0,731.2499202019678
7,2015-10-01,-193.86888140578876,487.2474570570174,1002.7686857738017,-193.86888140578876,-193.86888140578876,940.8983177156728,940.8983177156728,940.8983177156728,-1187.3175796330418,-1187.3175796330418,-1187.3175796330418,2128.2158973487144,2128.2158973487144,2128.2158973487144,0.0,0.0,0.0,747.029436309884
8,2016-01-01,-210.1581576392993,499.2895677748958,1017.2290204731535,-210.1581576392993,-210.1581576392993,972.4529421766367,972.4529421766367,972.4529421766367,-1162.3061407183975,-1162.3061407183975,-1162.3061407183975,2134.759082895034,2134.759082895034,2134.759082895034,0.0,0.0,0.0,762.2947845373374
9,2016-04-01,-226.27037653265032,580.5571095570814,1111.3889045349233,-226.27037653265032,-226.27037653265032,1077.1492846342044,1077.1492846342044,1077.1492846342044,-1159.5796322929061,-1159.5796322929061,-1159.5796322929061,2236.7289169271103,2236.7289169271103,2236.7289169271103,0.0,0.0,0.0,850.8789081015541
10,2016-07-01,-242.38259542654376,558.7011061304402,1097.169503493353,-242.38259542654376,-242.38259542654376,1070.9229714491848,1070.9229714491848,1070.9229714491848,-1166.7837240088588,-1166.7837240088588,-1166.7837240088588,2237.706695458043,2237.706695458043,2237.706695458043,0.0,0.0,0.0,828.5403760226411
11,2016-10-01,-258.67187166571875,612.7997648274543,1159.1790066149154,-258.67187166571875,-258.67187166571875,1147.1584363436111,1147.1584363436111,1147.1584363436111,-1171.1031567580358,-1171.1031567580358,-1171.1031567580358,2318.261593101647,2318.261593101647,2318.261593101647,0.0,0.0,0.0,888.4865646778924
12,2017-01-01,-274.961147914584,372.5311943710517,885.1581663067507,-274.961147914584,-274.961147914584,924.0658220550738,924.0658220550738,924.0658220550738,-1191.6123815405876,-1191.6123815405876,-1191.6123815405876,2115.678203595661,2115.678203595661,2115.678203595661,0.0,0.0,0.0,649.1046741404898
13,2017-04-01,-290.89630946734684,528.4133350038152,1041.1817099477832,-290.89630946734684,-290.89630946734684,1076.38794391962,1076.38794391962,1076.38794391962,-1159.5796322901333,-1159.5796322901333,-1159.5796322901333,2235.967576209753,2235.967576209753,2235.967576209753,0.0,0.0,0.0,785.4916344522733
14,2017-07-01,-307.0085284546701,519.7845114329065,1039.04411063289,-307.0085284546701,-307.0085284546701,1081.7402827219303,1081.7402827219303,1081.7402827219303,-1166.7837240083793,-1166.7837240083793,-1166.7837240083793,2248.5240067303093,2248.5240067303093,2248.5240067303093,0.0,0.0,0.0,774.7317542672602
15,2017-10-01,-323.29780479621485,483.14279336664475,1009.1508178231743,-323.29780479621485,-323.29780479621485,1086.9619382978094,1086.9619382978094,1086.9619382978094,-1171.1031567590867,-1171.1031567590867,-1171.1031567590867,2258.0650950568956,2258.0650950568956,2258.0650950568956,0.0,0.0,0.0,763.6641335015945
16,2018-01-01,-339.5870811598069,300.9100178286729,819.7928131277382,-339.5870811598069,-339.5870811598069,925.3819048721107,925.3819048721107,925.3819048721107,-1191.612381541371,-1191.612381541371,-1191.612381541371,2116.9942864134823,2116.9942864134823,2116.9942864134823,0.0,0.0,0.0,585.7948237123037
17,2018-04-01,-355.5222428299778,434.7365788801283,958.5734018684806,-355.5222428299778,-355.5222428299778,1066.6754679450626,1066.6754679450626,1066.6754679450626,-1159.5796322911312,-1159.5796322911312,-1159.5796322911312,2226.255100236194,2226.255100236194,2226.255100236194,0.0,0.0,0.0,711.1532251150848
