,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,186.12086603404174,467.5811658851011,716.9570826038463,186.12086603404174,186.12086603404174,403.2723789125798,403.2723789125798,403.2723789125798,-743.5230745503318,-743.5230745503318,-743.5230745503318,1146.7954534629125,1146.7954534629125,1146.7954534629125,0.0,0.0,0.0,589.3932449466215
1,2014-04-01,173.97645125441184,483.3350565679012,730.2869506425999,173.97645125441184,173.97645125441184,433.2225206931157,433.2225206931157,433.2225206931157,-750.289074138086,-750.289074138086,-750.289074138086,1183.5115948312018,1183.5115948312018,1183.5115948312018,0.0,0.0,0.0,607.1989719475275
2,2014-07-01,161.69709849934748,412.17534263894595,656.6929545869506,161.69709849934748,161.69709849934748,374.6175439823281,374.6175439823281,374.6175439823281,-759.912990262099,-759.912990262099,-759.912990262099,1134.5305342444271,1134.5305342444271,1134.5305342444271,0.0,0.0,0.0,536.3146424816755
3,2014-10-01,149.28280776504664,441.5272917050284,690.8016226896034,149.28280776504664,149.28280776504664,416.5952694260116,416.5952694260116,416.5952694260116,-736.2266452737142,-736.2266452737142,-736.2266452737142,1152.8219146997258,1152.8219146997258,1152.8219146997258,0.0,0.0,0.0,565.8780771910583
4,2015-01-01,136.86851705364467,438.29312155661603,676.4852311476715,136.86851705364467,136.86851705364467,420.9597589051526,420.9597589051526,420.9597589051526,-743.5230745507947,-743.5230745507947,-743.5230745507947,1164.4828334559463,1164.4828334559463,1164.4828334559463,0.0,0.0,0.0,557.8282759587973
5,2015-04-01,124.72410223525088,408.8831850050183,651.3389743510444,124.72410223525088,124.72410223525088,405.0297742875959,405.0297742875959,405.0297742875959,-750.2890741373905,-750.2890741373905,-750.2890741373905,1155.318848424986,1155.318848424986,1155.318848424986,0.0,0.0,0.0,529.7538765228468
6,2015-07-01,112.44474948718317,352.8176191069963,597.1570424716575,112.44474948718317,112.44474948718317,367.9668290663716,367.9668290663716,367.9668290663716,-759.9129902631828,-759.9129902631828,-759.9129902631828,1127.8798193295545,1127.8798193295545,1127.8798193295545,0.0,0.0,0.0,480.41157855355476
7,2015-10-01,100.03045882189008,351.2732942339737,595.6064525469399,100.03045882189008,100.03045882189008,366.5760857478285,366.5760857478285,366.5760857478285,-736.2266452738279,-736.2266452738279,-736.2266452738279,1102.8027310216564,1102.8027310216564,1102.8027310216564,0.0,0.0,0.0,466.60654456971855
8,2016-01-01,87.6161681445066,411.4078549822059,649.6303306974321,87.6161681445066,87.6161681445066,444.3391659487268,444.3391659487268,444.3391659487268,-743.5230745512893,-743.5230745512893,-743.5230745512893,1187.862240500016,1187.862240500016,1187.862240500016,0.0,0.0,0.0,531.9553340932334
9,2016-04-01,75.33676711887951,439.64973764110186,678.5623035143823,75.33676711887951,75.33676711887951,483.1309893788993,483.1309893788993,483.1309893788993,-737.1919558480286,-737.1919558480286,-737.1919558480286,1220.3229452269281,1220.3229452269281,1220.3229452269281,0.0,0.0,0.0,558.4677564977789
10,2016-07-01,63.05736606345484,348.2862449039305,598.9704249582868,63.05736606345484,63.05736606345484,413.28463949462673,413.28463949462673,413.28463949462673,-734.5943246756667,-734.5943246756667,-734.5943246756667,1147.8789641702936,1147.8789641702936,1147.8789641702936,0.0,0.0,0.0,476.34200555808155
11,2016-10-01,50.643026492210744,420.3378200176845,668.821183664376,50.643026492210744,50.643026492210744,493.4619006028588,493.4619006028588,493.4619006028588,-752.3280840353838,-752.3280840353838,-752.3280840353838,1245.7899846382425,1245.7899846382425,1245.7899846382425,0.0,0.0,0.0,544.1049270950696
12,2017-01-01,38.22868688799705,282.2808951739046,521.2101046616071,38.22868688799705,38.22868688799705,364.0621719787273,364.0621719787273,364.0621719787273,-770.7311046263791,-770.7311046263791,-770.7311046263791,1134.793276605106,1134.793276605106,1134.793276605106,0.0,0.0,0.0,402.29085886672436
13,2017-04-01,26.084175237946923,374.54188124222486,615.0532770087807,26.084175237946923,26.084175237946923,468.01322608864984,468.01322608864984,468.01322608864984,-737.191955847531,-737.191955847531,-737.191955847531,1205.2051819361807,1205.2051819361807,1205.2051819361807,0.0,0.0,0.0,494.09740132659675
14,2017-07-01,13.804574975475555,297.6540207566169,536.0533637470074,13.804574975475555,13.804574975475555,406.58800821891833,406.58800821891833,406.58800821891833,-734.5943246756632,-734.5943246756632,-734.5943246756632,1141.1823328945816,1141.1823328945816,1141.1823328945816,0.0,0.0,0.0,420.39258319439386
15,2017-10-01,1.390025818565813,324.06752125215,567.3458031897397,1.390025818565813,1.390025818565813,448.1644217939948,448.1644217939948,448.1644217939948,-752.3280840360757,-752.3280840360757,-752.3280840360757,1200.4925058300705,1200.4925058300705,1200.4925058300705,0.0,0.0,0.0,449.5544476125606
16,2018-01-01,-11.024523386811067,238.55679113980005,476.76184994831004,-11.024523386811067,-11.024523386811067,376.0643488348494,376.0643488348494,376.0643488348494,-770.7311046274177,-770.7311046274177,-770.7311046274177,1146.7954534622668,1146.7954534622668,1146.7954534622668,0.0,0.0,0.0,365.03982544803836
17,2018-04-01,-23.16946686594545,290.5522701340376,547.0645700940338,-23.16946686594545,-23.16946686594545,446.319638983848,446.319638983848,446.319638983848,-737.1919558476653,-737.1919558476653,-737.1919558476653,1183.5115948315133,1183.5115948315133,1183.5115948315133,0.0,0.0,0.0,423.15017211790257
18,2018-07-01,-35.44935782882276,241.00223844679408,489.40201534438523,-35.44935782882276,-35.44935782882276,399.93620956833604,399.93620956833604,399.93620956833604,-734.5943246756623,-734.5943246756623,-734.5943246756623,1134.5305342439983,1134.5305342439983,1134.5305342439983,0.0,0.0,0.0,364.48685173951327
19,2018-10-01,-47.864192629291324,232.20110948383487,483.419996116101,-47.864192629291324,-47.864192629291324,400.49383066295735,400.49383066295735,400.49383066295735,-752.3280840366399,-752.3280840366399,-752.3280840366399,1152.8219146995973,1152.8219146995973,1152.8219146995973,0.0,0.0,0.0,352.629638033666
20,2019-01-01,-60.27902741179433,218.11952964044423,453.8388828872241,-60.27902741179433,-60.27902741179433,393.7517288326799,393.7517288326799,393.7517288326799,-770.7311046232551,-770.7311046232551,-770.7311046232551,1164.482833455935,1164.482833455935,1164.482833455935,0.0,0.0,0.0,333.4727014208855
21,2019-04-01,-72.4239744809934,222.1557746159508,471.8820651745969,-72.4239744809934,-72.4239744809934,418.1268925773249,418.1268925773249,418.1268925773249,-737.1919558479223,-737.1919558479223,-737.1919558479223,1155.3188484252476,1155.3188484252476,1155.3188484252476,0.0,0.0,0.0,345.7029180963315
22,2019-07-01,-84.7038654170267,188.97975869440444,429.6902717255369,-84.7038654170267,-84.7038654170267,393.2854946532816,393.2854946532816,393.2854946532816,-734.5943246756221,-734.5943246756221,-734.5943246756221,1127.8798193289035,1127.8798193289035,1127.8798193289035,0.0,0.0,0.0,308.5816292362549
23,2019-10-01,-97.11870018900234,131.20425407775795,377.28636762569715,-97.11870018900234,-97.11870018900234,350.47464698690675,350.47464698690675,350.47464698690675,-752.3280840346606,-752.3280840346606,-752.3280840346606,1102.802731021567,1102.802731021567,1102.802731021567,0.0,0.0,0.0,253.3559467979044
24,2020-01-01,-109.53353496670368,185.73808590616693,433.3551186694266,-109.53353496670368,-109.53353496670368,417.1311358748231,417.1311358748231,417.1311358748231,-770.7311046254888,-770.7311046254888,-770.7311046254888,1187.8622405003123,1187.8622405003123,1187.8622405003123,0.0,0.0,0.0,307.5976009081194
25,2020-04-01,-121.81342589912883,213.18430533417654,447.7307040906426,-121.81342589912883,-121.81342589912883,451.5068567008529,451.5068567008529,451.5068567008529,-768.8160885258928,-768.8160885258928,-768.8160885258928,1220.3229452267458,1220.3229452267458,1220.3229452267458,0.0,0.0,0.0,329.69343080172405
26,2020-07-01,-134.09331683155398,126.24026335572208,373.85808966989333,-134.09331683155398,-134.09331683155398,386.2479253904974,386.2479253904974,386.2479253904974,-761.6310387800723,-761.6310387800723,-761.6310387800723,1147.8789641705698,1147.8789641705698,1147.8789641705698,0.0,0.0,0.0,252.15460855894344
27,2020-10-01,-146.5081516203794,213.76887238909947,460.4135928549112,-146.5081516203794,-146.5081516203794,481.9748934275231,481.9748934275231,481.9748934275231,-763.8150912102229,-763.8150912102229,-763.8150912102229,1245.7899846377459,1245.7899846377459,1245.7899846377459,0.0,0.0,0.0,335.4667418071437
28,2021-01-01,-158.92298640920484,199.3023182796582,437.3916096661415,-158.92298640920484,-158.92298640920484,483.2714006155898,483.2714006155898,483.2714006155898,-651.5218759899639,-651.5218759899639,-651.5218759899639,1134.7932766055537,1134.7932766055537,1134.7932766055537,0.0,0.0,0.0,324.348414206385
29,2021-04-01,-171.06793348522976,156.17393885620103,385.2589479045619,-171.06793348522976,-171.06793348522976,436.38909341182426,436.38909341182426,436.38909341182426,-768.8160885248074,-768.8160885248074,-768.8160885248074,1205.2051819366313,1205.2051819366313,1205.2051819366313,0.0,0.0,0.0,265.32115992659453
30,2021-07-01,-183.3478244176549,62.34620883904992,321.3313540827246,-183.3478244176549,-183.3478244176549,379.55129411330984,379.55129411330984,379.55129411330984,-761.6310387808653,-761.6310387808653,-761.6310387808653,1141.182332894175,1141.182332894175,1141.182332894175,0.0,0.0,0.0,196.20346969565495
31,2021-10-01,-195.76265920648032,126.99656186797942,364.1252049076917,-195.76265920648032,-195.76265920648032,436.677414623614,436.677414623614,436.677414623614,-763.8150912069457,-763.8150912069457,-763.8150912069457,1200.4925058305598,1200.4925058305598,1200.4925058305598,0.0,0.0,0.0,240.9147554171337
32,2022-01-01,-208.17749399530575,162.6415037316412,407.08579853248597,-208.17750500832113,-208.17748001996262,495.27357747122414,495.27357747122414,495.27357747122414,-651.5218759920045,-651.5218759920045,-651.5218759920045,1146.795453463229,1146.795453463229,1146.795453463229,0.0,0.0,0.0,287.09608347591836
33,2022-04-01,-220.32244107133062,72.40105862155285,316.4048341701924,-220.3224845456321,-220.32238885481826,414.69550630673683,414.69550630673683,414.69550630673683,-768.8160885247038,-768.8160885247038,-768.8160885247038,1183.5115948314408,1183.5115948314408,1183.5115948314408,0.0,0.0,0.0,194.37306523540622
34,2022-07-01,-232.60233200375583,16.19014732645933,267.3332207147139,-232.60242302584666,-232.6022383921641,372.89949546232714,372.89949546232714,372.89949546232714,-761.6310387814511,-761.6310387814511,-761.6310387814511,1134.5305342437782,1134.5305342437782,1134.5305342437782,0.0,0.0,0.0,140.2971634585713
35,2022-10-01,-245.0171667925813,18.538017001856293,267.29110715266114,-245.01731301034366,-245.01701496121674,389.00682349215185,389.00682349215185,389.00682349215185,-763.815091207532,-763.815091207532,-763.815091207532,1152.8219146996837,1152.8219146996837,1152.8219146996837,0.0,0.0,0.0,143.98965669957056
