,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-25749884.77563784,9413960.207983296,59322202.117663994,-25749884.77563784,-25749884.77563784,59869809.32786261,59869809.32786261,59869809.32786261,113036300.5086949,113036300.5086949,113036300.5086949,-53166491.18083232,-53166491.18083232,-53166491.18083232,0.0,0.0,0.0,34119924.55222477
1,2014-04-01,-26133967.922440566,-2745530.481639461,50364663.1346,-26133967.922440566,-26133967.922440566,50831008.86460549,50831008.86460549,50831008.86460549,99592993.52043001,99592993.52043001,99592993.52043001,-48761984.65582453,-48761984.65582453,-48761984.65582453,0.0,0.0,0.0,24697040.94216492
2,2014-07-01,-26522318.901129484,-2408157.4739969713,46842938.49902478,-26522318.901129484,-26522318.901129484,47797477.30392176,47797477.30392176,47797477.30392176,86855920.35125434,86855920.35125434,86855920.35125434,-39058443.04733259,-39058443.04733259,-39058443.04733259,0.0,0.0,0.0,21275158.402792275
3,2014-10-01,-26914937.254981376,5732991.722692996,59094529.83316597,-26914937.254981376,-26914937.254981376,58388933.45620006,58388933.45620006,58388933.45620006,113138387.6991775,113138387.6991775,113138387.6991775,-54749454.242977366,-54749454.242977366,-54749454.242977366,0.0,0.0,0.0,31473996.201218687
4,2015-01-01,-27307555.489664167,869842.2575242803,52416750.490252785,-27307555.489664167,-27307555.489664167,55954318.458989374,55954318.458989374,55954318.458989374,113036300.50857279,113036300.50857279,113036300.50857279,-57081982.04958342,-57081982.04958342,-57081982.04958342,0.0,0.0,0.0,28646762.969325207
5,2015-04-01,-27691638.56734171,403796.66752365686,52050694.661314,-27691638.56734171,-27691638.56734171,54420170.87431289,54420170.87431289,54420170.87431289,99592993.52023399,99592993.52023399,99592993.52023399,-45172822.64592107,-45172822.64592107,-45172822.64592107,0.0,0.0,0.0,26728532.30697118
6,2015-07-01,-28079989.141188163,-1135843.1774452177,48241049.63443038,-28079989.141188163,-28079989.141188163,52004857.829418205,52004857.829418205,52004857.829418205,86855920.35150231,86855920.35150231,86855920.35150231,-34851062.522084124,-34851062.522084124,-34851062.522084124,0.0,0.0,0.0,23924868.68823004
7,2015-10-01,-28472607.008620493,-3229559.604997424,50842263.98002843,-28472607.008620493,-28472607.008620493,52114730.83152825,52114730.83152825,52114730.83152825,113138387.69923498,113138387.69923498,113138387.69923498,-61023656.86770667,-61023656.86770667,-61023656.86770667,0.0,0.0,0.0,23642123.822907753
8,2016-01-01,-28865224.762141958,-2912797.2796292114,49381809.86493217,-28865224.762141958,-28865224.762141958,52246621.58207431,52246621.58207431,52246621.58207431,113036300.50839633,113036300.50839633,113036300.50839633,-60789678.926321976,-60789678.926321976,-60789678.926321976,0.0,0.0,0.0,23381396.81993235
9,2016-04-01,-29253574.899594985,2759098.603055257,54794619.04121841,-29253574.899594985,-29253574.899594985,58382641.53998826,58382641.53998826,58382641.53998826,114921073.18734956,114921073.18734956,114921073.18734956,-56538431.64736129,-56538431.64736129,-56538431.64736129,0.0,0.0,0.0,29129066.640393272
10,2016-07-01,-29641924.80916959,12584343.098913413,62781283.312063254,-29641924.80916959,-29641924.80916959,66794792.651500106,66794792.651500106,66794792.651500106,115173302.95521748,115173302.95521748,115173302.95521748,-48378510.303717375,-48378510.303717375,-48378510.303717375,0.0,0.0,0.0,37152867.842330515
11,2016-10-01,-30034542.62929144,13291703.768896025,65434446.2070828,-30034542.62929144,-30034542.62929144,68745750.90077119,68745750.90077119,68745750.90077119,110144406.14514533,110144406.14514533,110144406.14514533,-41398655.24437407,-41398655.24437407,-41398655.24437407,0.0,0.0,0.0,38711208.27147974
12,2017-01-01,-30427160.759919733,-5721234.46237517,46542240.27303603,-30427160.759919733,-30427160.759919733,51732356.10380417,51732356.10380417,51732356.10380417,100781269.3735143,100781269.3735143,100781269.3735143,-49048913.26971017,-49048913.26971017,-49048913.26971017,0.0,0.0,0.0,21305195.34388444
13,2017-04-01,-30811243.867189955,6805985.561520357,56621337.36316271,-30811243.867189955,-30811243.867189955,62370736.98728081,62370736.98728081,62370736.98728081,114921073.18776743,114921073.18776743,114921073.18776743,-52550336.20048666,-52550336.20048666,-52550336.20048666,0.0,0.0,0.0,31559493.120090853
14,2017-07-01,-31199594.584206603,15715281.287705606,65857056.90834066,-31199594.584206603,-31199594.584206603,71602987.44319937,71602987.44319937,71602987.44319937,115173302.9553201,115173302.9553201,115173302.9553201,-43570315.512120776,-43570315.512120776,-43570315.512120776,0.0,0.0,0.0,40403392.85899276
15,2017-10-01,-31592213.153719004,5487982.021429826,58197490.28413706,-31592213.153719004,-31592213.153719004,61937947.58606398,61937947.58606398,61937947.58606398,110144406.14508171,110144406.14508171,110144406.14508171,-48206458.55901773,-48206458.55901773,-48206458.55901773,0.0,0.0,0.0,30345734.432344977
