,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-31003278.03762882,17623648.48401135,64685591.89940781,-31003278.03762882,-31003278.03762882,70709792.7192158,70709792.7192158,70709792.7192158,209789892.32498443,209789892.32498443,209789892.32498443,-139080099.60576862,-139080099.60576862,-139080099.60576862,0.0,0.0,0.0,39706514.68158698
1,2014-04-01,-31493243.79355831,11706816.566698331,57880612.90242124,-31493243.79355831,-31493243.79355831,66086090.86702531,66086090.86702531,66086090.86702531,197301437.63775226,197301437.63775226,197301437.63775226,-131215346.77072692,-131215346.77072692,-131215346.77072692,0.0,0.0,0.0,34592847.073467
2,2014-07-01,-31988653.613434315,6637491.611328596,54817097.849568315,-31988653.613434315,-31988653.613434315,62665597.18431169,62665597.18431169,62665597.18431169,184638800.84308168,184638800.84308168,184638800.84308168,-121973203.65877,-121973203.65877,-121973203.65877,0.0,0.0,0.0,30676943.570877373
3,2014-10-01,-32489507.499775846,20162515.23817082,67555377.10655645,-32489507.499775846,-32489507.499775846,75221837.58744067,75221837.58744067,75221837.58744067,209963010.82004568,209963010.82004568,209963010.82004568,-134741173.232605,-134741173.232605,-134741173.232605,0.0,0.0,0.0,42732330.08766483
4,2015-01-01,-32990361.386668216,10546719.92107965,58204204.04943403,-32990361.386668216,-32990361.386668216,66452353.0720981,66452353.0720981,66452353.0720981,209789892.32484692,209789892.32484692,209789892.32484692,-143337539.2527488,-143337539.2527488,-143337539.2527488,0.0,0.0,0.0,33461991.685429882
5,2015-04-01,-33480327.142043564,8841275.285228435,59768218.509096466,-33480327.142043564,-33480327.142043564,68326818.56849177,68326818.56849177,68326818.56849177,197301437.63747647,197301437.63747647,197301437.63747647,-128974619.06898469,-128974619.06898469,-128974619.06898469,0.0,0.0,0.0,34846491.42644821
6,2015-07-01,-33975736.959340215,12322156.268616002,60391671.9758333,-33975736.959340215,-33975736.959340215,70640727.0564951,70640727.0564951,70640727.0564951,184638800.8434207,184638800.8434207,184638800.8434207,-113998073.78692558,-113998073.78692558,-113998073.78692558,0.0,0.0,0.0,36664990.097154886
7,2015-10-01,-34476590.83883191,4146921.8780499,54510708.4538557,-34476590.83883191,-34476590.83883191,64388593.29687418,64388593.29687418,64388593.29687418,209963010.82012278,209963010.82012278,209963010.82012278,-145574417.5232486,-145574417.5232486,-145574417.5232486,0.0,0.0,0.0,29912002.45804227
8,2016-01-01,-34977444.71687346,2799868.7273375266,52296044.5017417,-34977444.71687346,-34977444.71687346,62374988.53810535,62374988.53810535,62374988.53810535,209789892.3246545,209789892.3246545,209789892.3246545,-147414903.78654912,-147414903.78654912,-147414903.78654912,0.0,0.0,0.0,27397543.821231894
9,2016-04-01,-35472854.52889479,15146793.327910544,63892919.363639005,-35472854.52889479,-35472854.52889479,75168649.99848998,75168649.99848998,75168649.99848998,211319574.68219575,211319574.68219575,211319574.68219575,-136150924.68370578,-136150924.68370578,-136150924.68370578,0.0,0.0,0.0,39695795.46959519
