,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,35908338.663451634,13749063.875896396,85346851.8421885,35908338.663451634,35908338.663451634,12881512.259972053,12881512.259972053,12881512.259972053,-842126037.6285694,-842126037.6285694,-842126037.6285694,855007549.8885413,855007549.8885413,855007549.8885413,0.0,0.0,0.0,48789850.923423685
1,2014-04-01,37245605.40331497,-13249647.712898975,58935694.12619501,37245605.40331497,37245605.40331497,-14172780.318510476,-14172780.318510476,-14172780.318510476,-852310513.0310935,-852310513.0310935,-852310513.0310935,838137732.7125831,838137732.7125831,838137732.7125831,0.0,0.0,0.0,23072825.084804494
2,2014-07-01,38597730.65933447,-31569372.19286512,45971363.73322735,38597730.65933447,38597730.65933447,-32171695.470458753,-32171695.470458753,-32171695.470458753,-869195958.3566926,-869195958.3566926,-869195958.3566926,837024262.8862337,837024262.8862337,837024262.8862337,0.0,0.0,0.0,6426035.18887572
3,2014-10-01,39964714.43760103,7395885.028830762,79121360.19601002,39964714.43760103,39964714.43760103,3711913.360679113,3711913.360679113,3711913.360679113,-832776563.7179698,-832776563.7179698,-832776563.7179698,836488477.078649,836488477.078649,836488477.078649,0.0,0.0,0.0,43676627.79828014
4,2015-01-01,41331698.21616077,2868975.729073051,77521057.3971703,41331698.21616077,41331698.21616077,-1473508.9339869875,-1473508.9339869875,-1473508.9339869875,-842126037.6287171,-842126037.6287171,-842126037.6287171,840652528.6947302,840652528.6947302,840652528.6947302,0.0,0.0,0.0,39858189.28217378
5,2015-04-01,42668964.95956404,-12414163.863243485,60462002.925494306,42668964.95956404,42668964.95956404,-17528420.35248977,-17528420.35248977,-17528420.35248977,-852310513.0308003,-852310513.0308003,-852310513.0308003,834782092.6783105,834782092.6783105,834782092.6783105,0.0,0.0,0.0,25140544.60707427
6,2015-07-01,44021090.223351166,-15594387.484020991,58603054.89682932,44021090.223351166,44021090.223351166,-21505605.429022156,-21505605.429022156,-21505605.429022156,-869195958.357146,-869195958.357146,-869195958.357146,847690352.928124,847690352.928124,847690352.928124,0.0,0.0,0.0,22515484.79432901
7,2015-10-01,45388074.00783774,4737871.243367418,77859221.94172579,45388074.00783774,45388074.00783774,-4212525.870987205,-4212525.870987205,-4212525.870987205,-832776563.7180189,-832776563.7180189,-832776563.7180189,828564037.8470317,828564037.8470317,828564037.8470317,0.0,0.0,0.0,41175548.136850536
8,2016-01-01,46755057.79228997,-8560828.878241654,67031463.229859166,46755057.79228997,46755057.79228997,-15842504.078850757,-15842504.078850757,-15842504.078850757,-842126037.6290944,-842126037.6290944,-842126037.6290944,826283533.5502439,826283533.5502439,826283533.5502439,0.0,0.0,0.0,30912553.713439215
9,2016-04-01,48107183.059772156,16124267.827222982,90833829.78967336,48107183.059772156,48107183.059772156,5679785.214608006,5679785.214608006,5679785.214608006,-834351580.7211074,-834351580.7211074,-834351580.7211074,840031365.9357154,840031365.9357154,840031365.9357154,0.0,0.0,0.0,53786968.27438016
