,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,12803866.140611056,14022019.14596425,61998541.60477311,12803866.140611056,12803866.140611056,24801182.74003683,24801182.74003683,24801182.74003683,25719922.065523125,25719922.065523125,25719922.065523125,-918739.3254862484,-918739.3254862484,-918739.3254862484,0.0,0.0,0.0,37605048.88064788
1,2014-04-01,12166281.699912084,9754055.541352954,53036059.27133113,12166281.699912084,12166281.699912084,19071528.633054394,19071528.633054394,19071528.633054394,5295201.080805204,5295201.080805204,5295201.080805204,13776327.55224919,13776327.55224919,13776327.55224919,0.0,0.0,0.0,31237810.332966477
2,2014-07-01,11521612.987398826,-5124214.715663368,43005901.65044756,11521612.987398826,11521612.987398826,6969142.681415381,6969142.681415381,6969142.681415381,-2686318.6876327945,-2686318.6876327945,-2686318.6876327945,9655461.369048176,9655461.369048176,9655461.369048176,0.0,0.0,0.0,18490755.668814205
3,2014-10-01,10869860.003230168,2531142.2273516753,48123829.304597676,10869860.003230168,10869860.003230168,14913024.160089668,14913024.160089668,14913024.160089668,17569445.695636015,17569445.695636015,17569445.695636015,-2656421.535546347,-2656421.535546347,-2656421.535546347,0.0,0.0,0.0,25782884.163319834
4,2015-01-01,10218107.018811202,11089477.873842344,58388568.97694489,10218107.018811202,10218107.018811202,25898234.339776732,25898234.339776732,25898234.339776732,25719922.065472756,25719922.065472756,25719922.065472756,178312.274303953,178312.274303953,178312.274303953,0.0,0.0,0.0,36116341.358587936
5,2015-04-01,9580522.577746945,1674559.5528468918,50384693.424814105,9580522.577746945,9580522.577746945,16738513.294241194,16738513.294241194,16738513.294241194,5295201.0808519805,5295201.0808519805,5295201.0808519805,11443312.213389236,11443312.213389236,11443312.213389236,0.0,0.0,0.0,26319035.87198814
6,2015-07-01,8935853.865233805,-1206088.0951927383,44135214.40985318,8935853.865233805,8935853.865233805,10586849.091484437,10586849.091484437,10586849.091484437,-2686318.687680515,-2686318.687680515,-2686318.687680515,13273167.779164976,13273167.779164976,13273167.779164976,0.0,0.0,0.0,19522702.956718244
7,2015-10-01,8283807.416280097,-7697129.285667265,39508365.0372605,8283807.416280097,8283807.416280097,7558557.353155092,7558557.353155092,7558557.353155092,17569445.69562388,17569445.69562388,17569445.69562388,-10010888.342468785,-10010888.342468785,-10010888.342468785,0.0,0.0,0.0,15842364.76943519
8,2016-01-01,7631760.967119826,11950585.319424713,58625526.12288394,7631760.967119826,7631760.967119826,27593913.863956105,27593913.863956105,27593913.863956105,25719922.06541535,25719922.06541535,25719922.06541535,1873991.7985407207,1873991.7985407207,1873991.7985407207,0.0,0.0,0.0,35225674.83107593
9,2016-04-01,6986801.979429872,25001552.382657334,71246978.05434652,6986801.979429872,6986801.979429872,41008875.71184024,41008875.71184024,41008875.71184024,24339102.473376855,24339102.473376855,24339102.473376855,16669773.238463443,16669773.238463443,16669773.238463443,0.0,0.0,0.0,47995677.69127011
10,2016-07-01,6341842.991253128,6800080.287262917,52377511.261925876,6341842.991253128,6341842.991253128,24954183.984231196,24954183.984231196,24954183.984231196,21648982.336707186,21648982.336707186,21648982.336707186,3305201.6475240556,3305201.6475240556,3305201.6475240556,0.0,0.0,0.0,31296026.975484326
11,2016-10-01,5689796.541409497,19570331.1108247,67086696.39781583,5689796.541409497,5689796.541409497,37317345.25753431,37317345.25753431,37317345.25753431,25942624.431469202,25942624.431469202,25942624.431469202,11374720.826065108,11374720.826065108,11374720.826065108,0.0,0.0,0.0,43007141.79894381
12,2017-01-01,5037750.09123302,4436848.5511704935,48696591.10689467,5037750.09123302,5037750.09123302,20680393.66989907,20680393.66989907,20680393.66989907,22098126.316016927,22098126.316016927,22098126.316016927,-1417732.6461178989,-1417732.6461178989,-1417732.6461178989,0.0,0.0,0.0,25718143.761132088
13,2017-04-01,4399878.563567908,21873083.07439277,68127734.43979931,4399878.563567908,4399878.563567908,39859594.62257628,39859594.62257628,39859594.62257628,24339102.47345948,24339102.47345948,24339102.47345948,15520492.149116801,15520492.149116801,15520492.149116801,0.0,0.0,0.0,44259473.18614419
14,2017-07-01,3754919.5743929925,9318507.476119924,56275446.379320115,3754919.5743929925,3754919.5743929925,27978946.432123877,27978946.432123877,27978946.432123877,21648982.33670447,21648982.33670447,21648982.33670447,6329964.095419406,6329964.095419406,6329964.095419406,0.0,0.0,0.0,31733866.00651687
15,2017-10-01,3102873.123697028,10179557.995117193,56237668.540381536,3102873.123697028,3102873.123697028,30417049.98376707,30417049.98376707,30417049.98376707,25942624.43141023,25942624.43141023,25942624.43141023,4474425.552356828,4474425.552356828,4474425.552356828,0.0,0.0,0.0,33519923.107464097
16,2018-01-01,2450826.6730314363,337379.83613007877,48569678.03158292,2450826.6730314363,2450826.6730314363,21179386.990396954,21179386.990396954,21179386.990396954,22098126.315937225,22098126.315937225,22098126.315937225,-918739.3255402334,-918739.3255402334,-918739.3255402334,0.0,0.0,0.0,23630213.66342839
17,2018-04-01,1812955.1451481872,18213864.875647668,63990145.33218589,1812955.1451481872,1812955.1451481872,38115430.02568241,38115430.02568241,38115430.02568241,24339102.47343092,24339102.47343092,24339102.47343092,13776327.552251494,13776327.552251494,13776327.552251494,0.0,0.0,0.0,39928385.1708306
18,2018-07-01,1167996.1558922932,9861421.822316939,55750967.70360292,1167996.1558922932,1167996.1558922932,31304443.70568809,31304443.70568809,31304443.70568809,21648982.33667333,21648982.33667333,21648982.33667333,9655461.369014757,9655461.369014757,9655461.369014757,0.0,0.0,0.0,32472439.861580383
19,2018-10-01,515949.70514911215,276166.3839998979,49103972.9975604,515949.70514911215,515949.70514911215,23286202.895816475,23286202.895816475,23286202.895816475,25942624.431360163,25942624.431360163,25942624.431360163,-2656421.5355436984,-2656421.5355436984,-2656421.5355436984,0.0,0.0,0.0,23802152.600965586
20,2019-01-01,-136096.74538179205,-816153.6482153527,46118722.49901271,-136096.74538179205,-136096.74538179205,22276438.59058177,22276438.59058177,22276438.59058177,22098126.316276092,22098126.316276092,22098126.316276092,178312.27430565728,178312.27430565728,178312.27430565728,0.0,0.0,0.0,22140341.84519998
21,2019-04-01,-773968.2731077409,12131608.430823792,57800224.14419687,-773968.2731077409,-773968.2731077409,35782414.686817534,35782414.686817534,35782414.686817534,24339102.473393116,24339102.473393116,24339102.473393116,11443312.213424427,11443312.213424427,11443312.213424427,0.0,0.0,0.0,35008446.4137098
22,2019-07-01,-1418927.2622639113,9606152.448945524,56711793.07231018,-1418927.2622639113,-1418927.2622639113,34922150.11580295,34922150.11580295,34922150.11580295,21648982.33669507,21648982.33669507,21648982.33669507,13273167.77910788,13273167.77910788,13273167.77910788,0.0,0.0,0.0,33503222.85353904
23,2019-10-01,-2070973.7130985607,-9630226.126189716,38105656.73607276,-2070973.7130985607,-2070973.7130985607,15931736.089064192,15931736.089064192,15931736.089064192,25942624.43153376,25942624.43153376,25942624.43153376,-10010888.34246957,-10010888.34246957,-10010888.34246957,0.0,0.0,0.0,13860762.37596563
24,2020-01-01,-2723020.163827753,-2786369.4913206594,45129151.03823236,-2723020.163827753,-2723020.163827753,23972118.11463945,23972118.11463945,23972118.11463945,22098126.316074587,22098126.316074587,22098126.316074587,1873991.7985649034,1873991.7985649034,1873991.7985649034,0.0,0.0,0.0,21249097.950811695
25,2020-04-01,-3367979.153079358,12915097.633782964,61130230.33342897,-3367979.153079358,-3367979.153079358,40505270.37599791,40505270.37599791,40505270.37599791,23835497.13755012,23835497.13755012,23835497.13755012,16669773.238447828,16669773.238447828,16669773.238447828,0.0,0.0,0.0,37137291.22291855
26,2020-07-01,-4012938.1423309594,2368545.6256218594,46318346.30058187,-4012938.1423309594,-4012938.1423309594,28528674.179738317,28528674.179738317,28528674.179738317,25223472.532188445,25223472.532188445,25223472.532188445,3305201.6475498504,3305201.6475498504,3305201.6475498504,0.0,0.0,0.0,24515736.037407357
27,2020-10-01,-4664984.593002913,1982266.9426442964,49641719.845700994,-4664984.593002913,-4664984.593002913,31739808.39381208,31739808.39381208,31739808.39381208,20365087.567772057,20365087.567772057,20365087.567772057,11374720.826040003,11374720.826040003,11374720.826040003,0.0,0.0,0.0,27074823.800809167
28,2021-01-01,-5317031.043674865,-10156420.202470357,37092855.231537014,-5317031.043674865,-5317031.043674865,17537896.885192987,17537896.885192987,17537896.885192987,18955629.531272203,18955629.531272203,18955629.531272203,-1417732.6460791605,-1417732.6460791605,-1417732.6460791605,0.0,0.0,0.0,12220865.841518123
29,2021-04-01,-5954902.571506121,9681633.56796422,57467450.81660009,-5954902.571506121,-5954902.571506121,39355989.286774255,39355989.286774255,39355989.286774255,23835497.137614053,23835497.137614053,23835497.137614053,15520492.149160145,15520492.149160145,15520492.149160145,0.0,0.0,0.0,33401086.715268135
30,2021-07-01,-6599861.5607577255,2146832.094931615,49720356.94871081,-6599861.5607577255,-6599861.5607577255,31553436.627501816,31553436.627501816,31553436.627501816,25223472.53210962,25223472.53210962,25223472.53210962,6329964.09539216,6329964.09539216,6329964.09539216,0.0,0.0,0.0,24953575.06674409
31,2021-10-01,-7251908.011429676,-4736350.588144646,41061826.761067644,-7251908.011429676,-7251908.011429676,24839513.120418843,24839513.120418843,24839513.120418843,20365087.568020955,20365087.568020955,20365087.568020955,4474425.552397892,4474425.552397892,4474425.552397892,0.0,0.0,0.0,17587605.108989168
32,2022-01-01,-7903954.462101625,-12408432.64501638,33003439.64291741,-7903961.067379025,-7903947.13314989,18036890.205647387,18036890.205647387,18036890.205647387,18955629.531108912,18955629.531108912,18955629.531108912,-918739.3254615128,-918739.3254615128,-918739.3254615128,0.0,0.0,0.0,10132935.743545761
33,2022-04-01,-8541825.989932885,6207031.493798916,52747170.67970284,-8541850.30152729,-8541799.777403528,37611824.6899165,37611824.6899165,37611824.6899165,23835497.137638707,23835497.137638707,23835497.137638707,13776327.552277794,13776327.552277794,13776327.552277794,0.0,0.0,0.0,29069998.69998361
34,2022-07-01,-9186784.97918449,2591105.38475281,49581217.76837339,-9186831.93661323,-9186734.799891679,34878933.901069574,34878933.901069574,34878933.901069574,25223472.532075547,25223472.532075547,25223472.532075547,9655461.368994052,9655461.368994052,9655461.368994052,0.0,0.0,0.0,25692148.921885084
35,2022-10-01,-9838831.429856438,-14638216.203571906,31563027.476629194,-9838905.04076672,-9838749.520836048,17708666.03242124,17708666.03242124,17708666.03242124,20365087.56796637,20365087.56796637,20365087.56796637,-2656421.5355451265,-2656421.5355451265,-2656421.5355451265,0.0,0.0,0.0,7869834.6025648005
