,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,13179945.428562865,10936900.300584262,65623362.9022691,13179945.428562865,13179945.428562865,24521954.994567785,24521954.994567785,24521954.994567785,-534079452.78902763,-534079452.78902763,-534079452.78902763,558601407.7835954,558601407.7835954,558601407.7835954,0.0,0.0,0.0,37701900.42313065
1,2014-04-01,12421368.460435133,32491422.260376293,86990535.93883009,12421368.460435133,12421368.460435133,47112692.22004529,47112692.22004529,47112692.22004529,-540167394.6703448,-540167394.6703448,-540167394.6703448,587280086.8903903,587280086.8903903,587280086.8903903,0.0,0.0,0.0,59534060.68048042
2,2014-07-01,11654362.858832711,16521253.751226172,71657080.62246984,11654362.858832711,11654362.858832711,31907505.306901406,31907505.306901406,31907505.306901406,-536669416.9618449,-536669416.9618449,-536669416.9618449,568576922.2687463,568576922.2687463,568576922.2687463,0.0,0.0,0.0,43561868.16573412
3,2014-10-01,10878928.623832995,4631058.04595106,60419747.275079355,10878928.623832995,10878928.623832995,20116223.10407168,20116223.10407168,20116223.10407168,-539957109.6259102,-539957109.6259102,-539957109.6259102,560073332.7299817,560073332.7299817,560073332.7299817,0.0,0.0,0.0,30995151.727904677
4,2015-01-01,10103494.389567025,3666418.5826895786,57690602.08922506,10103494.389567025,10103494.389567025,20132769.885447074,20132769.885447074,20132769.885447074,-534079452.7890195,-534079452.7890195,-534079452.7890195,554212222.6744667,554212222.6744667,554212222.6744667,0.0,0.0,0.0,30236264.2750141
5,2015-04-01,9344917.420912998,39750750.718142964,93580421.21676694,9344917.420912998,9344917.420912998,56796686.5834717,56796686.5834717,56796686.5834717,-540167394.6700394,-540167394.6700394,-540167394.6700394,596964081.2535111,596964081.2535111,596964081.2535111,0.0,0.0,0.0,66141604.0043847
6,2015-07-01,8577911.819500696,13656533.734041888,65692538.45822434,8577911.819500696,8577911.819500696,30171488.810730126,30171488.810730126,30171488.810730126,-536669416.96220195,-536669416.96220195,-536669416.96220195,566840905.772932,566840905.772932,566840905.772932,0.0,0.0,0.0,38749400.63023082
7,2015-10-01,7802477.585577708,-2787602.73803432,52273530.65965489,7802477.585577708,7802477.585577708,16937970.801378064,16937970.801378064,16937970.801378064,-539957109.6259809,-539957109.6259809,-539957109.6259809,556895080.427359,556895080.427359,556895080.427359,0.0,0.0,0.0,24740448.38695577
8,2016-01-01,7027043.351193282,-3828844.8836206957,49037389.42627462,7027043.351193282,7027043.351193282,15940115.529326072,15940115.529326072,15940115.529326072,-534079452.7889411,-534079452.7889411,-534079452.7889411,550019568.3182672,550019568.3182672,550019568.3182672,0.0,0.0,0.0,22967158.880519353
9,2016-04-01,6260037.7493846435,6342340.609253813,62309554.854628466,6260037.7493846435,6260037.7493846435,27600212.665268227,27600212.665268227,27600212.665268227,-535884022.11736,-535884022.11736,-535884022.11736,563484234.7826283,563484234.7826283,563484234.7826283,0.0,0.0,0.0,33860250.41465287
