,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,2305106.8883247683,6529675.249072208,51204615.15360955,2305106.8883247683,2305106.8883247683,26013333.30870638,26013333.30870638,26013333.30870638,-40943947.58866319,-40943947.58866319,-40943947.58866319,66957280.89736956,66957280.89736956,66957280.89736956,0.0,0.0,0.0,28318440.197031148
1,2014-04-01,2318471.5393504123,13896870.194629544,55557667.17262363,2318471.5393504123,2318471.5393504123,32613104.64358342,32613104.64358342,32613104.64358342,-44151171.27094218,-44151171.27094218,-44151171.27094218,76764275.9145256,76764275.9145256,76764275.9145256,0.0,0.0,0.0,34931576.18293383
2,2014-07-01,2331984.6865792186,9570315.4773767,52773844.46475122,2331984.6865792186,2331984.6865792186,28340592.018477254,28340592.018477254,28340592.018477254,-49399444.12182164,-49399444.12182164,-49399444.12182164,77740036.14029889,77740036.14029889,77740036.14029889,0.0,0.0,0.0,30672576.705056474
3,2014-10-01,2345646.3300814307,14318565.005076075,55197321.24125691,2345646.3300814307,2345646.3300814307,32428299.01722245,32428299.01722245,32428299.01722245,-38735560.511053,-38735560.511053,-38735560.511053,71163859.52827545,71163859.52827545,71163859.52827545,0.0,0.0,0.0,34773945.34730388
4,2015-01-01,2359307.9734120816,5268751.58125849,46624927.02247751,2359307.9734120816,2359307.9734120816,23292414.998168193,23292414.998168193,23292414.998168193,-40943947.58872463,-40943947.58872463,-40943947.58872463,64236362.58689281,64236362.58689281,64236362.58689281,0.0,0.0,0.0,25651722.971580274
5,2015-04-01,2372672.6245448976,14915549.600600116,57255011.17003557,2372672.6245448976,2372672.6245448976,33519499.68022004,33519499.68022004,33519499.68022004,-44151171.27095991,-44151171.27095991,-44151171.27095991,77670670.95117995,77670670.95117995,77670670.95117995,0.0,0.0,0.0,35892172.30476494
6,2015-07-01,2386185.771772565,16052101.354872629,57394860.51130144,2386185.771772565,2386185.771772565,33916424.79392878,33916424.79392878,33916424.79392878,-49399444.121817224,-49399444.121817224,-49399444.121817224,83315868.915746,83315868.915746,83315868.915746,0.0,0.0,0.0,36302610.56570134
7,2015-10-01,2399847.415282551,7496018.274032136,50558861.635533005,2399847.415282551,2399847.415282551,25733404.20494757,25733404.20494757,25733404.20494757,-38735560.51104215,-38735560.51104215,-38735560.51104215,64468964.71598972,64468964.71598972,64468964.71598972,0.0,0.0,0.0,28133251.62023012
8,2016-01-01,2413509.058820128,537654.7650910884,44946492.92139346,2413509.058820128,2413509.058820128,20643047.785223983,20643047.785223983,20643047.785223983,-40943947.5888273,-40943947.5888273,-40943947.5888273,61586995.37405129,61586995.37405129,61586995.37405129,0.0,0.0,0.0,23056556.84404411
9,2016-04-01,2427022.20607733,16306261.455119995,58620986.795554325,2427022.20607733,2427022.20607733,35307426.27752388,35307426.27752388,35307426.27752388,-39152952.93992054,-39152952.93992054,-39152952.93992054,74460379.21744442,74460379.21744442,74460379.21744442,0.0,0.0,0.0,37734448.48360121
10,2016-07-01,2440535.353172776,7702763.205887287,50680294.50402885,2440535.353172776,2440535.353172776,28013274.52951515,28013274.52951515,28013274.52951515,-38320812.25729905,-38320812.25729905,-38320812.25729905,66334086.78681418,66334086.78681418,66334086.78681418,0.0,0.0,0.0,30453809.882687926
11,2016-10-01,2454196.996258043,21360218.53084823,64016659.60933746,2454196.996258043,2454196.996258043,40917170.75214873,40917170.75214873,40917170.75214873,-43356106.45706455,-43356106.45706455,-43356106.45706455,84273277.20921329,84273277.20921329,84273277.20921329,0.0,0.0,0.0,43371367.748406775
12,2017-01-01,2467858.6394100785,2004303.930602912,43835923.99113648,2467858.6394100785,2467858.6394100785,19294037.645682964,19294037.645682964,19294037.645682964,-50453840.57320542,-50453840.57320542,-50453840.57320542,69747878.21888839,69747878.21888839,69747878.21888839,0.0,0.0,0.0,21761896.285093043
