,ds,분기당_매출_금액,분기당_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
0,2014-1분기,225855349.704652,1890.6747007051079,191866549.309984,34119924.55222477,39706514.68158698,48789850.923423685,37605048.88064788,37701900.42313065,28318440.197031148,31707416.381883543,2380025.3586675557,1040415.9736725423,28713946.880938362,46944845.62005511,97291197.47117108,48600902.139051415,3555472.7181529477,101268427.87035677,37588592.84568794,13045.861171146647,10005505.089017328,49389017.304688506,37922765.02711813,19582271.27205912,22188451.28839642,1611.6129720091687,281.17254088000107,329.2447940906394,336.9094013866901,302.70902882187414,333.5243900692269,306.7056265192623,267.70699237494284,12.849378043329308,13.249946175822819,254.49842480512436,495.3922510441518,722.0337862389932,371.1462230930734,33.72030011923391,873.7818535860204,387.6398018267638,0.3746851443508201,141.0704622743071,589.3932449466215,340.12476437441296,105.03232377304775,85.19646790695435,18.96883717204907
1,2014-2분기,208599176.70458454,1602.747865207395,183654069.86826417,24697040.94216492,34592847.073467,23072825.084804494,31237810.332966477,59534060.68048042,34931576.18293383,20071685.748326227,4636045.023418201,1722432.036155725,22267817.511018217,41647676.10857494,66439089.02110842,74544788.80343366,1798934.6169280428,103746486.87173316,40145241.66220062,11826.58295229555,16127874.858918758,64872541.123621,32305549.884667203,12354772.792716457,18413444.839485638,1315.8099223419563,288.11429404225805,270.0535265213328,229.67494910242323,222.97909539598157,286.9095612401389,304.79421162813463,258.2932392661106,29.624101801744658,41.816447324869046,167.695881071958,365.40683518006193,475.46338155525024,479.42257104260796,72.06528566598085,850.5388780598536,370.6642290826042,0.15625048253652807,204.39962163046684,607.1989719475275,249.57258114791387,82.8951610934858,77.98636928099916,14.22665632533803
2,2014-3분기,150675055.67587566,1444.3071349624468,129660464.67267223,21275158.402792275,30676943.570877373,6426035.18887572,18490755.668814205,43561868.16573412,30672576.705056474,18469426.348770842,2757375.859963385,2071703.3183739833,8693048.314102624,42068958.269883916,33306296.14555098,58675764.192333184,5843609.071140386,71496969.2198186,29150060.699584518,-12233.3437627026,17052912.53158613,32723378.65913581,24708362.933154088,8875378.70323634,17459488.067938518,1165.3252622074729,279.2897408722548,265.1638949059116,176.3454336897451,195.87939832507828,239.8368519496,284.9917928705028,247.34905398246156,31.59676466125136,51.106238920736764,145.18728477485797,356.3065846445208,367.1299447120314,397.26665587808145,126.79364152584014,790.4516470480675,319.38839680597613,-0.18081433749601206,225.65261480483542,536.3146424816755,202.0856924496315,101.63313691469335,45.69868922687539,12.637242213099096
3,2014-4분기,209926068.594074,1640.0339703938637,178124709.47178,31473996.201218687,42732330.08766483,43676627.79828014,25782884.163319834,30995151.727904677,34773945.34730388,25180602.766959917,6320428.599753934,831898.7369432631,26311172.633735754,56315284.309817135,81455558.17263561,41636240.60709339,3363527.426442055,104054785.64125812,31497580.701585762,4702.389441423205,12912511.621084625,48077142.57912945,30510414.404973373,16753958.563874036,27498877.09304742,1377.711558400933,264.06155195188694,307.9281950021566,266.89434694038687,251.4884698954835,250.52897961101024,300.34728553197607,240.9057379502756,23.04398781253573,14.99261781799381,205.48692437812574,428.53485017165934,604.8488193385167,337.8047733953534,47.50297271407083,878.1464395819524,297.05881645295847,0.1906440565248988,162.08037053992058,565.8780771910583,263.2910212827613,83.53009387181667,100.98848624982344,16.937977308050147
4,2015-1분기,193506071.9807729,1761.887500051539,165053322.67082474,28646762.969325207,33461991.685429882,39858189.28217378,36116341.358587936,30236264.2750141,25651722.971580274,25957021.33604838,2654504.3735705647,2566747.4004581347,27273625.1909678,43317398.17142221,77597092.09867316,38769902.317874886,4228903.6417448465,92844969.78691895,33935593.558663115,9555.809071564097,7293195.695357005,41562115.82574169,33704316.14310451,26499598.087297935,17757527.78648068,1500.0113103937313,263.08696628187926,304.2550072813901,311.38255366115544,285.33609280247623,302.190220834702,295.0539194708107,248.6241233903031,14.041346422258187,22.84682493086013,276.89075945622704,456.7638976625154,635.7086379528888,334.86152483530896,34.60642019527303,815.5077692064492,389.5175446440031,0.26706544096564966,127.10331683569278,557.8282759587973,286.0772809214089,143.9496330573332,90.60818254365698,17.201010327304992
5,2015-2분기,214668263.9212433,1498.5091958842545,187530297.25566286,26728532.30697118,34846491.42644821,25140544.60707427,26319035.87198814,66141604.0043847,35892172.30476494,24300841.12485007,2439324.6266738665,1355748.9994467264,25799890.99708592,38535791.126253076,69336317.90394315,78761349.06306458,1044961.8703070153,97497458.51127428,39921224.906341396,18864.60609728176,14788825.516603759,67506893.90246002,34294782.07539053,10972256.021710655,10023816.750644142,1230.3580594676312,268.93832567330014,241.6712897353044,214.83547584909326,198.71758030223523,282.9156222798203,292.7813007122251,248.9703884200485,20.029488340452794,35.6711166648265,168.79625741599284,358.30089004460615,429.86982996036215,450.41950496021934,54.19772675361086,767.3301097034157,359.7600652182165,0.2401326086027329,193.45070512888182,529.7538765228468,260.9441204966422,69.65737757259295,71.41211945212797,13.123855653437275
6,2015-3분기,176975605.90880355,1358.2520357365956,153328843.65292323,23924868.68823004,36664990.097154886,22515484.79432901,19522702.956718244,38749400.63023082,36302610.56570134,21957988.05883464,1930907.0335229202,1630838.129583063,15047650.43928477,43744600.366802156,46740964.90384415,63579652.32229456,6246680.101787452,85690692.09556657,23036769.051975176,-9070.165573673585,15322143.19572001,34507421.74798954,39516570.42750471,10612935.312546257,8962846.847372571,1093.3730897819946,263.88532009360455,259.7754774167794,165.55171269778896,193.67657339927436,201.80194158822752,270.4179971462803,239.0218891510507,24.61817294815892,41.611181832295614,147.3376387731303,343.0571020931818,379.6089292024152,336.74636767607694,109.41183764040755,731.2499202019678,303.47899738339976,-0.146905205605673,204.65420818034244,480.41157855355476,231.13056523760568,92.82242128091617,25.21045511002847,12.46433975356224
7,2015-4분기,163610836.82987854,1352.4866378521688,139450207.93311298,23642123.822907753,29912002.45804227,41175548.136850536,15842364.76943519,24740448.38695577,28133251.62023012,16371078.14377319,7333748.057274894,418345.10427984595,16818376.63013079,38990409.450451136,73100015.4000709,31881955.108635195,2576911.6652794704,87772677.95157816,25084848.294870425,-11408.32608244141,10106546.459413916,43383185.492180765,24711289.331188,10026080.397735877,24797862.16038775,1142.0548064300974,211.4778678106669,280.0208623867537,219.05773176105154,203.17621646175053,197.17110776730206,243.49937040018645,191.7690068523369,19.76395986297674,9.113903085387449,180.72012624731718,344.56893263869335,512.8769758877044,264.9298995714904,38.20853888035384,747.029436309884,255.22599747336955,-0.34785007330991347,137.69280552177935,466.60654456971855,234.54759670507116,69.31282320436989,95.66962785675142,14.935143732179466
8,2016-1분기,162936048.40572357,1644.6239950152592,139832751.89296645,23381396.81993235,27397543.821231894,30912553.713439215,35225674.83107593,22967158.880519353,23056556.84404411,20336415.518026933,3027014.296034969,4138687.10882771,26084558.868519515,39794529.469292685,58506721.852652326,29500991.450291306,4939235.653216058,85332800.18347482,30678796.5403385,5854.03760238344,4625132.918091411,34413206.92730947,29724015.293935392,33529038.00950232,13799557.795168582,1399.5374558913195,244.79713387645,281.19621598335084,287.0650980335524,271.4309185939686,273.88734866890337,283.75548482944225,228.9272055328458,15.412470462850003,32.408973444962356,303.09794062775455,419.9842701947965,552.8179275688861,300.57703468917657,35.20907246918835,762.2947845373374,396.19578969394917,0.15238701533134447,111.8655379853696,531.9553340932334,232.72603671718431,184.90800460298124,97.29306507576675,15.482049083427782
9,2016-2분기,241915404.8094169,1673.3588458111706,212544014.09218577,29129066.640393272,39695795.46959519,53786968.27438016,47995677.69127011,33860250.41465287,37734448.48360121,22832779.636394527,6313670.89639644,795884.7466881941,34322138.313048705,49243520.547369346,99943888.94383058,55665751.36329968,2156889.62370809,132540141.78272468,34111677.76115592,11534.261201428606,10266236.411434863,51934314.64130108,50840101.137912214,21542160.778510712,32191082.472288337,1436.3767605449461,237.76687453802964,306.73947025600387,291.3257575408528,265.26965279693314,270.36517479155066,302.26210304422887,214.0135790024927,23.519958633198204,12.542270647223626,234.9084842028494,388.80069574091306,650.9996401689189,361.4462739198814,23.47871486689987,850.8789081015541,324.51898073675176,0.24532626608192531,118.43530375683605,558.4677564977789,292.9919537909262,108.5030269006262,97.87006447176225,16.289297163429048
