,accuracy
ALL,0.866323544228412
thsmon_selng_amt,0.9583651764789121
thsmon_selng_co,0.8301861759311505
mdwk_selng_amt,0.977102541883376
wkend_selng_amt,0.8989443488263402
mon_selng_amt,0.8762665029355502
tues_selng_amt,0.871796646117561
wed_selng_amt,0.9577546154886436
thur_selng_amt,0.934366976546604
fri_selng_amt,0.8826269022673027
sat_selng_amt,0.9255295620958436
sun_selng_amt,0.8750461834031804
tmzon_00_06_selng_amt,0.5108550856554832
tmzon_06_11_selng_amt,0.9569777384247713
tmzon_11_14_selng_amt,0.9315926975319032
tmzon_14_17_selng_amt,0.9691909032420758
tmzon_17_21_selng_amt,0.9637652162837733
tmzon_21_24_selng_amt,0.885305368022802
ml_selng_amt,0.9249846727411587
fml_selng_amt,0.938862438943037
agrde_10_selng_amt,0.9271386467760402
agrde_20_selng_amt,0.8892011439023909
agrde_30_selng_amt,0.949609470028161
agrde_40_selng_amt,0.9762060567995423
agrde_50_selng_amt,0.9789634982603757
agrde_60_above_selng_amt,0.970424630887075
mdwk_selng_co,0.844009931949548
wkend_selng_co,0.8337032945822092
mon_selng_co,0.7846638199778218
tues_selng_co,0.805665167539189
wed_selng_co,0.8135940249234147
thur_selng_co,0.7881802475649115
fri_selng_co,0.8766617298754216
sat_selng_co,0.8008800368519582
sun_selng_co,0.7398625362257452
tmzon_00_06_selng_co,0.31688617126266677
tmzon_06_11_selng_co,0.8335815382092678
tmzon_11_14_selng_co,0.8373763356145648
tmzon_14_17_selng_co,0.8698784915104605
tmzon_17_21_selng_co,0.9040309143399684
tmzon_21_24_selng_co,0.8658561184951424
ml_selng_co,0.8204524635170651
fml_selng_co,0.8127111045284869
agrde_10_selng_co,0.8238267141038339
agrde_20_selng_co,0.678205331269445
agrde_30_selng_co,0.9317395808137525
agrde_40_selng_co,0.8803938750586343
agrde_50_selng_co,0.9029831420437415
agrde_60_above_selng_co,0.9618642652227998
stor_co,0.961783632239078
