,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-372837002.7446289,3581756309.397314,4492947510.596606,-372837002.7446289,-372837002.7446289,4417747970.013349,4417747970.013349,4417747970.013349,57368116.73417291,57368116.73417291,57368116.73417291,4360379853.279176,4360379853.279176,4360379853.279176,0.0,0.0,0.0,4044910967.2687197
1,2014-04-01,-382177647.2391837,3430805221.3807044,4311495052.881509,-382177647.2391837,-382177647.2391837,4258998986.43025,4258998986.43025,4258998986.43025,-192715346.70369494,-192715346.70369494,-192715346.70369494,4451714333.1339445,4451714333.1339445,4451714333.1339445,0.0,0.0,0.0,3876821339.1910663
2,2014-07-01,-391622075.1108413,3426220365.755031,4287485378.8580546,-391622075.1108413,-391622075.1108413,4239606836.1885595,4239606836.1885595,4239606836.1885595,-388079010.7664812,-388079010.7664812,-388079010.7664812,4627685846.95504,4627685846.95504,4627685846.95504,0.0,0.0,0.0,3847984761.0777183
3,2014-10-01,-401170289.63862354,3772294507.7338705,4622111507.979632,-401170289.63862354,-401170289.63862354,4603635084.903666,4603635084.903666,4603635084.903666,44117630.71869898,44117630.71869898,44117630.71869898,4559517454.184966,4559517454.184966,4559517454.184966,0.0,0.0,0.0,4202464795.265042
4,2015-01-01,-410718503.8258015,3479919226.767948,4385997752.683372,-410718503.8258015,-410718503.8258015,4351404325.875008,4351404325.875008,4351404325.875008,57368116.73114219,57368116.73114219,57368116.73114219,4294036209.143865,4294036209.143865,4294036209.143865,0.0,0.0,0.0,3940685822.0492063
5,2015-04-01,-420059150.0577282,3460766960.850475,4329872505.789227,-420059150.0577282,-420059150.0577282,4311254169.487764,4311254169.487764,4311254169.487764,-192715346.70473903,-192715346.70473903,-192715346.70473903,4503969516.192503,4503969516.192503,4503969516.192503,0.0,0.0,0.0,3891195019.430036
6,2015-07-01,-429503581.1507742,3515857372.6286674,4419530649.177135,-429503581.1507742,-429503581.1507742,4393904618.938889,4393904618.938889,4393904618.938889,-388079010.76423097,-388079010.76423097,-388079010.76423097,4781983629.703121,4781983629.703121,4781983629.703121,0.0,0.0,0.0,3964401037.7881145
7,2015-10-01,-439055484.3963113,3726292918.4698653,4627692508.011943,-439055484.3963113,-439055484.3963113,4610044461.159666,4610044461.159666,4610044461.159666,44117630.71932919,44117630.71932919,44117630.71932919,4565926830.440337,4565926830.440337,4565926830.440337,0.0,0.0,0.0,4170988976.763355
8,2016-01-01,-448607387.61045706,3407224357.604938,4273783560.2642655,-448607387.61045706,-448607387.61045706,4286235373.827761,4286235373.827761,4286235373.827761,57368116.729317226,57368116.729317226,57368116.729317226,4228867257.0984445,4228867257.0984445,4228867257.0984445,0.0,0.0,0.0,3837627986.217304
9,2016-04-01,-458055467.0590938,3499420102.493284,4398936715.904225,-458055467.0590938,-458055467.0590938,4398819767.674892,4398819767.674892,4398819767.674892,93124484.62630327,93124484.62630327,93124484.62630327,4305695283.048591,4305695283.048591,4305695283.048591,0.0,0.0,0.0,3940764300.6157985
