,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-189987354.46016714,2351235105.8381324,2708877243.2858815,-189987354.46016714,-189987354.46016714,2715409214.156515,2715409214.156515,2715409214.156515,1823781887.956428,1823781887.956428,1823781887.956428,891627326.2000822,891627326.2000822,891627326.2000822,0.0,0.0,0.0,2525421859.696348
1,2014-04-01,-176157206.7424093,2582724420.9109564,2924695338.8752627,-176157206.7424093,-176157206.7424093,2928138856.264355,2928138856.264355,2928138856.264355,1430896592.3831036,1430896592.3831036,1430896592.3831036,1497242263.8812518,1497242263.8812518,1497242263.8812518,0.0,0.0,0.0,2751981649.521946
2,2014-07-01,-162173390.70986792,2689824600.1347995,3057375168.2773128,-162173390.70986792,-162173390.70986792,3033253311.4480295,3033253311.4480295,3033253311.4480295,1317105063.9529872,1317105063.9529872,1317105063.9529872,1716148247.4950423,1716148247.4950423,1716148247.4950423,0.0,0.0,0.0,2871079920.7381616
3,2014-10-01,-148035906.35735118,2847154746.3221903,3195564085.6721997,-148035906.35735118,-148035906.35735118,3156605237.3496513,3156605237.3496513,3156605237.3496513,1617879151.8392534,1617879151.8392534,1617879151.8392534,1538726085.510398,1538726085.510398,1538726085.510398,0.0,0.0,0.0,3008569330.9923
4,2015-01-01,-133898421.9952627,2423355165.7665596,2795413791.3130116,-133898421.9952627,-133898421.9952627,2742018815.079458,2742018815.079458,2742018815.079458,1823781887.9529126,1823781887.9529126,1823781887.9529126,918236927.126547,918236927.126547,918236927.126547,0.0,0.0,0.0,2608120393.0841956
5,2015-04-01,-120068274.25075264,2702999976.8435383,3070089664.582234,-120068274.25075264,-120068274.25075264,3008856826.9616346,3008856826.9616346,3008856826.9616346,1430896592.3818605,1430896592.3818605,1430896592.3818605,1577960234.5797732,1577960234.5797732,1577960234.5797732,0.0,0.0,0.0,2888788552.710882
6,2015-07-01,-106084458.21776612,2907479697.453336,3264033548.347607,-106084458.21776612,-106084458.21776612,3199432532.5306196,3199432532.5306196,3199432532.5306196,1317105063.9551234,1317105063.9551234,1317105063.9551234,1882327468.5754967,1882327468.5754967,1882327468.5754967,0.0,0.0,0.0,3093348074.3128533
7,2015-10-01,-91946973.87913826,3016792913.1111646,3377106295.8187113,-91946973.87913826,-91946973.87913826,3297379697.8797607,3297379697.8797607,3297379697.8797607,1617879151.839826,1617879151.839826,1617879151.839826,1679500546.039936,1679500546.039936,1679500546.039936,0.0,0.0,0.0,3205432724.0006223
8,2016-01-01,-77809489.55053398,2554037462.204368,2905953810.313733,-77809489.55053398,-77809489.55053398,2802272032.454261,2802272032.454261,2802272032.454261,1823781887.952137,1823781887.952137,1823781887.952137,978490144.5021226,978490144.5021226,978490144.5021226,0.0,0.0,0.0,2724462542.903727
9,2016-04-01,-63825673.52108053,2775364816.5636735,3126282803.448289,-63825673.52108053,-63825673.52108053,3013658941.306764,3013658941.306764,3013658941.306764,1762875777.4897444,1762875777.4897444,1762875777.4897444,1250783163.8170173,1250783163.8170173,1250783163.8170173,0.0,0.0,0.0,2949833267.7856836
10,2016-07-01,-49841857.60537727,2856009627.198694,3212179140.455322,-49841857.60537727,-49841857.60537727,3085207729.130351,3085207729.130351,3085207729.130351,1694733626.976509,1694733626.976509,1694733626.976509,1390474102.1538417,1390474102.1538417,1390474102.1538417,0.0,0.0,0.0,3035365871.524974
11,2016-10-01,-35721589.33907116,2878450044.1510315,3229033400.981581,-35721589.33907116,-35721589.33907116,3090755978.4074435,3090755978.4074435,3090755978.4074435,1878489206.1847138,1878489206.1847138,1878489206.1847138,1212266772.2227304,1212266772.2227304,1212266772.2227304,0.0,0.0,0.0,3055034389.0683722
