,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,37371923.027402826,3458399789.388716,4008066843.7342916,37371923.027402826,37371923.027402826,3711637484.0981,3711637484.0981,3711637484.0981,20675472763.299152,20675472763.299152,20675472763.299152,-16963835279.201052,-16963835279.201052,-16963835279.201052,0.0,0.0,0.0,3749009407.125503
1,2014-04-01,61283900.5565253,3722600450.7514424,4268509483.648715,61283900.5565253,61283900.5565253,3935884973.832808,3935884973.832808,3935884973.832808,19552693373.481457,19552693373.481457,19552693373.481457,-15616808399.648655,-15616808399.648655,-15616808399.648655,0.0,0.0,0.0,3997168874.3893332
2,2014-07-01,85461566.74971189,4114739508.4281297,4660787097.726448,85461566.74971189,85461566.74971189,4290840846.40416,4290840846.40416,4290840846.40416,19260631917.651134,19260631917.651134,19260631917.651134,-14969791071.246973,-14969791071.246973,-14969791071.246973,0.0,0.0,0.0,4376302413.153872
3,2014-10-01,109904921.64528991,3869886758.548436,4402119073.230466,109904921.64528991,109904921.64528991,4021929177.728769,4021929177.728769,4021929177.728769,20026558669.307663,20026558669.307663,20026558669.307663,-16004629491.578894,-16004629491.578894,-16004629491.578894,0.0,0.0,0.0,4131834099.3740587
4,2015-01-01,134348276.4679506,3738996914.057311,4254787495.6267695,134348276.4679506,134348276.4679506,3872833249.443374,3872833249.443374,3872833249.443374,20675472763.291443,20675472763.291443,20675472763.291443,-16802639513.84806,-16802639513.84806,-16802639513.84806,0.0,0.0,0.0,4007181525.911325
5,2015-04-01,158260253.9948457,3961186386.981326,4492062011.523452,158260253.9948457,158260253.9948457,4067482117.1770716,4067482117.1770716,4067482117.1770716,19552693373.474083,19552693373.474083,19552693373.474083,-15485211256.297007,-15485211256.297007,-15485211256.297007,0.0,0.0,0.0,4225742371.1719174
6,2015-07-01,182437920.2040288,4496416680.242262,5026203595.712972,182437920.2040288,182437920.2040288,4589251399.776906,4589251399.776906,4589251399.776906,19260631917.66162,19260631917.66162,19260631917.66162,-14671380517.88472,-14671380517.88472,-14671380517.88472,0.0,0.0,0.0,4771689319.980935
7,2015-10-01,206881275.06573033,4327924605.0439825,4862200786.850734,206881275.06573033,206881275.06573033,4386581863.545382,4386581863.545382,4386581863.545382,20026558669.309765,20026558669.309765,20026558669.309765,-15639976805.764374,-15639976805.764374,-15639976805.764374,0.0,0.0,0.0,4593463138.611112
8,2016-01-01,231324629.7700684,4058828057.686213,4601476655.280823,231324629.7700684,231324629.7700684,4103285607.086671,4103285607.086671,4103285607.086671,20675472763.290245,20675472763.290245,20675472763.290245,-16572187156.203568,-16572187156.203568,-16572187156.203568,0.0,0.0,0.0,4334610236.856739
9,2016-04-01,255502295.72998276,4396044625.885947,4917791354.676596,255502295.72998276,255502295.72998276,4397991965.876232,4397991965.876232,4397991965.876232,20454328337.144905,20454328337.144905,20454328337.144905,-16056336371.268667,-16056336371.268667,-16056336371.268667,0.0,0.0,0.0,4653494261.606215
