,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,693282163.4839885,11653428047.574018,13132840229.444378,693282163.4839885,693282163.4839885,11709277842.86247,11709277842.86247,11709277842.86247,79881595013.74217,79881595013.74217,79881595013.74217,-68172317170.87971,-68172317170.87971,-68172317170.87971,0.0,0.0,0.0,12402560006.346458
1,2014-04-01,937510792.5918399,13662067352.272459,15190817627.419422,937510792.5918399,937510792.5918399,13441664173.54325,13441664173.54325,13441664173.54325,77669208072.92897,77669208072.92897,77669208072.92897,-64227543899.38573,-64227543899.38573,-64227543899.38573,0.0,0.0,0.0,14379174966.13509
2,2014-07-01,1184453073.0187185,14950088579.859402,16509597574.028736,1184453073.0187185,1184453073.0187185,14514011117.715904,14514011117.715904,14514011117.715904,77041938623.05888,77041938623.05888,77041938623.05888,-62527927505.34299,-62527927505.34299,-62527927505.34299,0.0,0.0,0.0,15698464190.734623
3,2014-10-01,1434109005.027508,14340349056.984676,15894621274.60783,1434109005.027508,1434109005.027508,13710874041.778711,13710874041.778711,13710874041.778711,78576536808.36655,78576536808.36655,78576536808.36655,-64865662766.587814,-64865662766.587814,-64865662766.587814,0.0,0.0,0.0,15144983046.80622
4,2015-01-01,1683764936.947589,13139865371.395718,14662770174.285408,1683764936.947589,1683764936.947589,12177039203.107145,12177039203.107145,12177039203.107145,79881595013.71353,79881595013.71353,79881595013.71353,-67704555810.60639,-67704555810.60639,-67704555810.60639,0.0,0.0,0.0,13860804140.054733
5,2015-04-01,1927993566.1447327,15109970307.024017,16664560830.28859,1927993566.1447327,1927993566.1447327,13966184028.235823,13966184028.235823,13966184028.235823,77669208072.90158,77669208072.90158,77669208072.90158,-63703024044.66577,-63703024044.66577,-63703024044.66577,0.0,0.0,0.0,15894177594.380556
6,2015-07-01,2174935846.680968,17119456421.445526,18655287308.25467,2174935846.680968,2174935846.680968,15711159646.099567,15711159646.099567,15711159646.099567,77041938623.09648,77041938623.09648,77041938623.09648,-61330778976.99692,-61330778976.99692,-61330778976.99692,0.0,0.0,0.0,17886095492.780537
7,2015-10-01,2424591778.6355553,16718882259.929842,18217780400.76509,2424591778.6355553,2424591778.6355553,15042469619.974272,15042469619.974272,15042469619.974272,78576536808.3752,78576536808.3752,78576536808.3752,-63534067188.40094,-63534067188.40094,-63534067188.40094,0.0,0.0,0.0,17467061398.609825
8,2016-01-01,2674247710.622235,14562954449.83866,16196713357.459726,2674247710.622235,2674247710.622235,12742124063.104584,12742124063.104584,12742124063.104584,79881595013.7095,79881595013.7095,79881595013.7095,-67139470950.604904,-67139470950.604904,-67139470950.604904,0.0,0.0,0.0,15416371773.726818
9,2016-04-01,2921189991.083489,15996029416.670345,17515761711.553944,2921189991.083489,2921189991.083489,13851417987.19105,13851417987.19105,13851417987.19105,79404667050.53825,79404667050.53825,79404667050.53825,-65553249063.34719,-65553249063.34719,-65553249063.34719,0.0,0.0,0.0,16772607978.274538
