,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,346497254.9454568,9023079185.291237,10039876735.130455,346497254.9454568,346497254.9454568,9191446836.668474,9191446836.668474,9191446836.668474,60554444187.73557,60554444187.73557,60554444187.73557,-51362997351.067085,-51362997351.067085,-51362997351.067085,0.0,0.0,0.0,9537944091.613932
1,2014-04-01,408123736.57760966,9733880655.436672,10767673032.462057,408123736.57760966,408123736.57760966,9853212770.431238,9853212770.431238,9853212770.431238,60093538795.66101,60093538795.66101,60093538795.66101,-50240326025.229774,-50240326025.229774,-50240326025.229774,0.0,0.0,0.0,10261336507.008848
2,2014-07-01,470434956.86943233,10571612351.846306,11558092784.566029,470434956.86943233,470434956.86943233,10571798603.131903,10571798603.131903,10571798603.131903,59872077061.88346,59872077061.88346,59872077061.88346,-49300278458.751564,-49300278458.751564,-49300278458.751564,0.0,0.0,0.0,11042233560.001335
3,2014-10-01,533430915.77530414,10168478400.515495,11081085918.24798,533430915.77530414,533430915.77530414,10103728318.751139,10103728318.751139,10103728318.751139,60283571883.39141,60283571883.39141,60283571883.39141,-50179843564.64026,-50179843564.64026,-50179843564.64026,0.0,0.0,0.0,10637159234.526443
4,2015-01-01,596426874.6410981,9292873025.213041,10264735954.611881,596426874.6410981,596426874.6410981,9187969154.760754,9187969154.760754,9187969154.760754,60554444187.722206,60554444187.722206,60554444187.722206,-51366475032.96146,-51366475032.96146,-51366475032.96146,0.0,0.0,0.0,9784396029.401852
5,2015-04-01,658053356.180793,10172724883.745071,11193265354.441528,658053356.180793,658053356.180793,10029318916.983644,10029318916.983644,10029318916.983644,60093538795.64079,60093538795.64079,60093538795.64079,-50064219878.65715,-50064219878.65715,-50064219878.65715,0.0,0.0,0.0,10687372273.164438
6,2015-07-01,720364576.295592,11381247933.28155,12432110823.354727,720364576.295592,720364576.295592,11197223695.660824,11197223695.660824,11197223695.660824,59872077061.91034,59872077061.91034,59872077061.91034,-48674853366.24952,-48674853366.24952,-48674853366.24952,0.0,0.0,0.0,11917588271.956415
7,2015-10-01,783360535.0213832,11130752541.825224,12092840612.298706,783360535.0213832,783360535.0213832,10831187740.933256,10831187740.933256,10831187740.933256,60283571883.39726,60283571883.39726,60283571883.39726,-49452384142.463974,-49452384142.463974,-49452384142.463974,0.0,0.0,0.0,11614548275.95464
8,2016-01-01,846356493.7422394,9568152627.561378,10566915230.80318,846356493.7422394,846356493.7422394,9230929166.879147,9230929166.879147,9230929166.879147,60554444187.7215,60554444187.7215,60554444187.7215,-51323515020.842354,-51323515020.842354,-51323515020.842354,0.0,0.0,0.0,10077285660.621386
9,2016-04-01,908667713.6658223,10013645997.180367,11038243823.07262,908667713.6658223,908667713.6658223,9603553576.51444,9603553576.51444,9603553576.51444,60430616534.41004,60430616534.41004,60430616534.41004,-50827062957.8956,-50827062957.8956,-50827062957.8956,0.0,0.0,0.0,10512221290.180264
10,2016-07-01,970972578.0068996,10520853665.368446,11573249360.508099,970972578.0068996,970972578.0068996,10093099146.37775,10093099146.37775,10093099146.37775,60345906636.92362,60345906636.92362,60345906636.92362,-50252807490.54586,-50252807490.54586,-50252807490.54586,0.0,0.0,0.0,11064071724.38465
11,2016-10-01,1033950541.8274391,10017566268.630363,11030746341.100464,1033950541.8274391,1033950541.8274391,9475830542.122381,9475830542.122381,9475830542.122381,60719637626.48545,60719637626.48545,60719637626.48545,-51243807084.36308,-51243807084.36308,-51243807084.36308,0.0,0.0,0.0,10509781083.94982
12,2017-01-01,1096719846.9378903,10569059687.535147,11532964045.463743,1096719846.9378903,1096719846.9378903,9947278483.168896,9947278483.168896,9947278483.168896,61261885166.270226,61261885166.270226,61261885166.270226,-51314606683.101326,-51314606683.101326,-51314606683.101326,0.0,0.0,0.0,11043998330.106787
13,2017-04-01,1157913680.7914524,10575494518.098932,11568543436.424402,1157913680.7914524,1157913680.7914524,9935776096.241549,9935776096.241549,9935776096.241549,60430616534.44449,60430616534.44449,60430616534.44449,-50494840438.20295,-50494840438.20295,-50494840438.20295,0.0,0.0,0.0,11093689777.033
14,2017-07-01,1219397299.5265572,11201092564.15242,12228504619.617838,1219397299.5265572,1219397299.5265572,10519047728.345087,10519047728.345087,10519047728.345087,60345906636.92918,60345906636.92918,60345906636.92918,-49826858908.58408,-49826858908.58408,-49826858908.58408,0.0,0.0,0.0,11738445027.871645
