,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-13171352449.479744,22627038995.206535,25128674432.32295,-13171352449.479744,-13171352449.479744,37044907223.19107,37044907223.19107,37044907223.19107,-21543238806.159992,-21543238806.159992,-21543238806.159992,58588146029.35108,58588146029.35108,58588146029.35108,0.0,0.0,0.0,23873554773.711327
1,2014-04-01,-13018332905.807001,25378214443.274628,27850951341.97108,-13018332905.807001,-13018332905.807001,39614414557.481125,39614414557.481125,39614414557.481125,-27607021284.545895,-27607021284.545895,-27607021284.545895,67221435842.02707,67221435842.02707,67221435842.02707,0.0,0.0,0.0,26596081651.674126
2,2014-07-01,-12863613155.914177,27645736050.677574,30163963150.082264,-12863613155.914177,-12863613155.914177,41753234817.15248,41753234817.15248,41753234817.15248,-29024595204.90816,-29024595204.90816,-29024595204.90816,70777830022.06065,70777830022.06065,70777830022.06065,0.0,0.0,0.0,28889621661.238304
3,2014-10-01,-12707193192.728214,26632427895.550106,29200285426.718422,-12707193192.728214,-12707193192.728214,40609968936.16513,40609968936.16513,40609968936.16513,-25182335596.31612,-25182335596.31612,-25182335596.31612,65792304532.48128,65792304532.48128,65792304532.48128,0.0,0.0,0.0,27902775743.436916
4,2015-01-01,-12550773215.377195,24112255232.067005,26800525060.289093,-12550773215.377195,-12550773215.377195,38051907201.409874,38051907201.409874,38051907201.409874,-21543238806.214935,-21543238806.214935,-21543238806.214935,59595146007.62482,59595146007.62482,59595146007.62482,0.0,0.0,0.0,25501133986.032677
5,2015-04-01,-12397753684.327105,26792769594.562904,29358802270.309444,-12397753684.327105,-12397753684.327105,40515110725.7514,40515110725.7514,40515110725.7514,-27607021284.587284,-27607021284.587284,-27607021284.587284,68122132010.33869,68122132010.33869,68122132010.33869,0.0,0.0,0.0,28117357041.4243
6,2015-07-01,-12243033936.16452,30225309917.1234,32785684441.310005,-12243033936.16452,-12243033936.16452,43832715205.83749,43832715205.83749,43832715205.83749,-29024595204.84064,-29024595204.84064,-29024595204.84064,72857310410.67812,72857310410.67812,72857310410.67812,0.0,0.0,0.0,31589681269.672966
7,2015-10-01,-12086613962.318348,29566001579.44021,32201703913.601955,-12086613962.318348,-12086613962.318348,42949718041.41842,42949718041.41842,42949718041.41842,-25182335596.30121,-25182335596.30121,-25182335596.30121,68132053637.71961,68132053637.71961,68132053637.71961,0.0,0.0,0.0,30863104079.10007
8,2016-01-01,-11930193996.062056,26015274272.719116,28540887062.13715,-11930193996.062056,-11930193996.062056,39221200665.36019,39221200665.36019,39221200665.36019,-21543238806.221825,-21543238806.221825,-21543238806.221825,60764439471.58202,60764439471.58202,60764439471.58202,0.0,0.0,0.0,27291006669.298134
9,2016-04-01,-11775474242.298738,27904164329.41289,30370068871.26403,-11775474242.298738,-11775474242.298738,40960202423.323235,40960202423.323235,40960202423.323235,-22817683920.46117,-22817683920.46117,-22817683920.46117,63777886343.7844,63777886343.7844,63777886343.7844,0.0,0.0,0.0,29184728181.024498
10,2016-07-01,-11620815133.53536,29475891978.8323,32125172696.987488,-11620815133.53536,-11620815133.53536,42441074324.03576,42441074324.03576,42441074324.03576,-24020818939.49302,-24020818939.49302,-24020818939.49302,66461893263.528786,66461893263.528786,66461893263.528786,0.0,0.0,0.0,30820259190.500397
11,2016-10-01,-11464456480.687876,28336853475.420094,30891904704.257587,-11464456480.687876,-11464456480.687876,41051027230.83422,41051027230.83422,41051027230.83422,-20193162362.584,-20193162362.584,-20193162362.584,61244189593.41823,61244189593.41823,61244189593.41823,0.0,0.0,0.0,29586570750.146347
12,2017-01-01,-11308407409.128193,29123705104.316826,31541580433.044056,-11308407409.128193,-11308407409.128193,41680960803.64205,41680960803.64205,41680960803.64205,-16059144657.056921,-16059144657.056921,-16059144657.056921,57740105460.69895,57740105460.69895,57740105460.69895,0.0,0.0,0.0,30372553394.51386
13,2017-04-01,-11156494934.412949,30502847237.895496,33071823186.340298,-11156494934.412949,-11156494934.412949,42955661215.29968,42955661215.29968,42955661215.29968,-22817683920.337547,-22817683920.337547,-22817683920.337547,65773345135.6372,65773345135.6372,65773345135.6372,0.0,0.0,0.0,31799166280.886734
14,2017-07-01,-11003471853.888147,32374473127.74193,34921568855.992355,-11003471853.888147,-11003471853.888147,44623154448.18511,44623154448.18511,44623154448.18511,-24020818939.481445,-24020818939.481445,-24020818939.481445,68643973387.66657,68643973387.66657,68643973387.66657,0.0,0.0,0.0,33619682594.296967
15,2017-10-01,-11818675603.797104,30224203485.588486,32714096353.59072,-11818675603.797104,-11818675603.797104,43301943448.76015,43301943448.76015,43301943448.76015,-20193162362.63333,-20193162362.63333,-20193162362.63333,63495105811.39349,63495105811.39349,63495105811.39349,0.0,0.0,0.0,31483267844.963043
16,2018-01-01,-12634696134.922197,28611347716.85393,31191666017.77859,-12634696134.922197,-12634696134.922197,42529001372.21097,42529001372.21097,42529001372.21097,-16059144657.051294,-16059144657.051294,-16059144657.051294,58588146029.26228,58588146029.26228,58588146029.26228,0.0,0.0,0.0,29894305237.288773
17,2018-04-01,-13433110599.614029,29755088729.90581,32174957318.45974,-13433110599.614029,-13433110599.614029,44403751921.62008,44403751921.62008,44403751921.62008,-22817683920.40999,-22817683920.40999,-22817683920.40999,67221435842.0301,67221435842.0301,67221435842.0301,0.0,0.0,0.0,30970641322.00605
18,2018-07-01,-14240487376.68072,31189887071.527912,33809983232.422462,-14240487376.68072,-14240487376.68072,46757011082.52749,46757011082.52749,46757011082.52749,-24020818939.50479,-24020818939.50479,-24020818939.50479,70777830022.03227,70777830022.03227,70777830022.03227,0.0,0.0,0.0,32516523705.84677
19,2018-10-01,-15057166763.984463,29221303738.941566,31791154912.205933,-15057166763.984463,-15057166763.984463,45599142169.83014,45599142169.83014,45599142169.83014,-20193162362.65863,-20193162362.65863,-20193162362.65863,65792304532.48877,65792304532.48877,65792304532.48877,0.0,0.0,0.0,30541975405.845676
20,2019-01-01,-15874231284.35981,26460531708.16978,28907834085.782986,-15874231284.35981,-15874231284.35981,43536001350.544044,43536001350.544044,43536001350.544044,-16059144657.102806,-16059144657.102806,-16059144657.102806,59595146007.64687,59595146007.64687,59595146007.64687,0.0,0.0,0.0,27661770066.184235
21,2019-04-01,-16673796868.129318,27392863157.40057,29896388519.406796,-16673796868.129318,-16673796868.129318,45304448089.895355,45304448089.895355,45304448089.895355,-22817683920.425728,-22817683920.425728,-22817683920.425728,68122132010.32112,68122132010.32112,68122132010.32112,0.0,0.0,0.0,28630651221.766037
