,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-234741922.36310068,392688520.66596514,571383984.9740595,-234741922.36310068,-234741922.36310068,723881372.7552692,723881372.7552692,723881372.7552692,4617272694.772661,4617272694.772661,4617272694.772661,-3893391322.0173917,-3893391322.0173917,-3893391322.0173917,0.0,0.0,0.0,489139450.3921685
1,2014-04-01,-231324456.55948272,347989874.5950871,522681851.5563453,-231324456.55948272,-231324456.55948272,667958729.7561991,667958729.7561991,667958729.7561991,4563827183.622436,4563827183.622436,4563827183.622436,-3895868453.866237,-3895868453.866237,-3895868453.866237,0.0,0.0,0.0,436634273.1967164
2,2014-07-01,-227869018.92464978,435784359.08593607,612777030.6602294,-227869018.92464978,-227869018.92464978,752805491.320087,752805491.320087,752805491.320087,4478400742.8248205,4478400742.8248205,4478400742.8248205,-3725595251.504733,-3725595251.504733,-3725595251.504733,0.0,0.0,0.0,524936472.3954372
3,2014-10-01,-224375609.49182156,460681521.2805776,647373539.4769706,-224375609.49182156,-224375609.49182156,779428904.7907846,779428904.7907846,779428904.7907846,4639973888.096501,4639973888.096501,4639973888.096501,-3860544983.3057175,-3860544983.3057175,-3860544983.3057175,0.0,0.0,0.0,555053295.2989631
4,2015-01-01,-220882200.03901726,362161852.1011716,540618476.8042114,-220882200.03901726,-220882200.03901726,671559507.7636772,671559507.7636772,671559507.7636772,4617272694.771257,4617272694.771257,4617272694.771257,-3945713187.0075803,-3945713187.0075803,-3945713187.0075803,0.0,0.0,0.0,450677307.72466
5,2015-04-01,-217464734.30139405,395219812.238094,575060869.6991491,-217464734.30139405,-217464734.30139405,700370101.3855696,700370101.3855696,700370101.3855696,4563827183.619768,4563827183.619768,4563827183.619768,-3863457082.2342,-3863457082.2342,-3863457082.2342,0.0,0.0,0.0,482905367.0841755
6,2015-07-01,-214009296.70546165,543004513.5219918,715621614.3882538,-214009296.70546165,-214009296.70546165,844503888.5107205,844503888.5107205,844503888.5107205,4478400742.82841,4478400742.82841,4478400742.82841,-3633896854.317689,-3633896854.317689,-3633896854.317689,0.0,0.0,0.0,630494591.8052589
7,2015-10-01,-210515887.37033844,504582724.6278912,693509678.0064064,-210515887.37033844,-210515887.37033844,808206548.8619471,808206548.8619471,808206548.8619471,4639973888.097282,4639973888.097282,4639973888.097282,-3831767339.235335,-3831767339.235335,-3831767339.235335,0.0,0.0,0.0,597690661.4916086
8,2016-01-01,-207022478.0863632,322648252.5236232,511380586.13969344,-207022478.0863632,-207022478.0863632,624259067.5717648,624259067.5717648,624259067.5717648,4617272694.770311,4617272694.770311,4617272694.770311,-3993013627.1985474,-3993013627.1985474,-3993013627.1985474,0.0,0.0,0.0,417236589.48540163
9,2016-04-01,-203567040.66062778,380973259.2625296,564232360.5733762,-203567040.66062778,-203567040.66062778,677748214.1453207,677748214.1453207,677748214.1453207,4635587750.041551,4635587750.041551,4635587750.041551,-3957839535.89623,-3957839535.89623,-3957839535.89623,0.0,0.0,0.0,474181173.4846929
