,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-428650723.36649776,370685746.5517268,465670388.04757047,-428650723.36649776,-428650723.36649776,848461583.9271435,848461583.9271435,848461583.9271435,-3444182332.032292,-3444182332.032292,-3444182332.032292,4292643915.959434,4292643915.959434,4292643915.959434,0.0,0.0,0.0,419810860.5606457
1,2014-04-01,-414891799.5971199,439344069.6340893,533790236.5227735,-414891799.5971199,-414891799.5971199,902385975.2284011,902385975.2284011,902385975.2284011,-3676428967.907555,-3676428967.907555,-3676428967.907555,4578814943.135954,4578814943.135954,4578814943.135954,0.0,0.0,0.0,487494175.63128114
2,2014-07-01,-400979998.9027406,477798117.9226222,569656947.7437997,-400979998.9027406,-400979998.9027406,925264180.0980896,925264180.0980896,925264180.0980896,-3725008061.390535,-3725008061.390535,-3725008061.390535,4650272241.488625,4650272241.488625,4650272241.488625,0.0,0.0,0.0,524284181.195349
3,2014-10-01,-386915321.2705792,433214412.5966273,526703050.7862266,-386915321.2705792,-386915321.2705792,865589884.3770453,865589884.3770453,865589884.3770453,-3582658191.1205797,-3582658191.1205797,-3582658191.1205797,4448248075.497624,4448248075.497624,4448248075.497624,0.0,0.0,0.0,478674563.10646605
4,2015-01-01,-372850643.6423428,446769820.3116994,540849999.7675788,-372850643.6423428,-372850643.6423428,865713554.9868996,865713554.9868996,865713554.9868996,-3444182332.031041,-3444182332.031041,-3444182332.031041,4309895887.017941,4309895887.017941,4309895887.017941,0.0,0.0,0.0,492862911.3445568
5,2015-04-01,-359091719.8738674,488365428.7645727,585911388.5223264,-359091719.8738674,-359091719.8738674,895334011.5315737,895334011.5315737,895334011.5315737,-3676428967.9077935,-3676428967.9077935,-3676428967.9077935,4571762979.439367,4571762979.439367,4571762979.439367,0.0,0.0,0.0,536242291.65770626
6,2015-07-01,-345179919.1766953,563947095.8416193,656610265.9339961,-345179919.1766953,-345179919.1766953,955481674.6172566,955481674.6172566,955481674.6172566,-3725008061.3897624,-3725008061.3897624,-3725008061.3897624,4680489736.007019,4680489736.007019,4680489736.007019,0.0,0.0,0.0,610301755.4405613
7,2015-10-01,-331115241.54873085,532374551.7041761,625829285.2672769,-331115241.54873085,-331115241.54873085,910613597.1493334,910613597.1493334,910613597.1493334,-3582658191.1207175,-3582658191.1207175,-3582658191.1207175,4493271788.270051,4493271788.270051,4493271788.270051,0.0,0.0,0.0,579498355.6006025
8,2016-01-01,-317050563.9185965,534962292.18263817,629790005.7961937,-317050563.9185965,-317050563.9185965,900793862.3808888,900793862.3808888,900793862.3808888,-3444182332.0307546,-3444182332.0307546,-3444182332.0307546,4344976194.411644,4344976194.411644,4344976194.411644,0.0,0.0,0.0,583743298.4622923
9,2016-04-01,-303138763.2142647,654600495.7523959,749344814.5493435,-303138763.2142647,-303138763.2142647,1007372805.6721327,1007372805.6721327,1007372805.6721327,-3490134206.5732083,-3490134206.5732083,-3490134206.5732083,4497507012.24534,4497507012.24534,4497507012.24534,0.0,0.0,0.0,704234042.4578681
10,2016-07-01,-289226962.5099799,696832339.7148752,789144969.8605921,-289226962.5099799,-289226962.5099799,1031034672.4222813,1031034672.4222813,1031034672.4222813,-3536342984.3757935,-3536342984.3757935,-3536342984.3757935,4567377656.798076,4567377656.798076,4567377656.798076,0.0,0.0,0.0,741807709.9123013
11,2016-10-01,-275162284.8837586,634174757.6096989,730168936.0427747,-275162284.8837586,-275162284.8837586,956073468.0902551,956073468.0902551,956073468.0902551,-3398898814.5172276,-3398898814.5172276,-3398898814.5172276,4354972282.607483,4354972282.607483,4354972282.607483,0.0,0.0,0.0,680911183.2064965
12,2017-01-01,-261097607.29770726,707264394.494559,804863021.1200162,-261097607.29770726,-261097607.29770726,1018807780.0432736,1018807780.0432736,1018807780.0432736,-3274207176.646251,-3274207176.646251,-3274207176.646251,4293014956.689523,4293014956.689523,4293014956.689523,0.0,0.0,0.0,757710172.7455664
13,2017-04-01,-247338702.9926746,768459313.1501168,862531091.076266,-247338702.9926746,-247338702.9926746,1063982632.7776315,1063982632.7776315,1063982632.7776315,-3490134206.5750885,-3490134206.5750885,-3490134206.5750885,4554116839.3527155,4554116839.3527155,4554116839.3527155,0.0,0.0,0.0,816643929.7849569
14,2017-07-01,-233433604.44967082,794978579.4639488,890914550.1451428,-233433604.44967082,-233433604.44967082,1076135449.4999616,1076135449.4999616,1076135449.4999616,-3536342984.3760667,-3536342984.3760667,-3536342984.3760667,4612478433.876028,4612478433.876028,4612478433.876028,0.0,0.0,0.0,842701845.0502908
15,2017-10-01,-219400329.04387623,735201169.7881955,832045316.1644374,-219400329.04387623,-219400329.04387623,1003182726.9593498,1003182726.9593498,1003182726.9593498,-3398898814.51558,-3398898814.51558,-3398898814.51558,4402081541.474931,4402081541.474931,4402081541.474931,0.0,0.0,0.0,783782397.9154735
16,2018-01-01,-205369102.02247605,765693579.6494193,862927808.5917752,-205369102.02247605,-205369102.02247605,1018436739.3099808,1018436739.3099808,1018436739.3099808,-3274207176.6448603,-3274207176.6448603,-3274207176.6448603,4292643915.9548397,4292643915.9548397,4292643915.9548397,0.0,0.0,0.0,813067637.2875047
17,2018-04-01,-194862425.15743512,845461115.7663037,941585706.6728688,-194862425.15743512,-194862425.15743512,1088680736.5634067,1088680736.5634067,1088680736.5634067,-3490134206.574013,-3490134206.574013,-3490134206.574013,4578814943.137415,4578814943.137415,4578814943.137415,0.0,0.0,0.0,893818311.4059715
18,2018-07-01,-184262205.72673312,880880238.5820931,976427178.9901323,-184262205.72673312,-184262205.72673312,1113929257.1104567,1113929257.1104567,1113929257.1104567,-3536342984.376257,-3536342984.376257,-3536342984.376257,4650272241.486712,4650272241.486712,4650272241.486712,0.0,0.0,0.0,929667051.3837236
19,2018-10-01,-173568376.7611248,829074030.9009981,925966991.405234,-173568376.7611248,-173568376.7611248,1049349260.9828578,1049349260.9828578,1049349260.9828578,-3398898814.5144734,-3398898814.5144734,-3398898814.5144734,4448248075.497331,4448248075.497331,4448248075.497331,0.0,0.0,0.0,875780884.2217331
20,2019-01-01,-162894417.65952256,827586962.0827216,919651677.2201955,-162894417.65952256,-162894417.65952256,1035688710.3704519,1035688710.3704519,1035688710.3704519,-3274207176.6484666,-3274207176.6484666,-3274207176.6484666,4309895887.018919,4309895887.018919,4309895887.018919,0.0,0.0,0.0,872794292.7109294
21,2019-04-01,-152465801.6659349,881693317.0809804,975964294.0380961,-152465801.6659349,-152465801.6659349,1081628772.8651996,1081628772.8651996,1081628772.8651996,-3490134206.5738235,-3490134206.5738235,-3490134206.5738235,4571762979.439024,4571762979.439024,4571762979.439024,0.0,0.0,0.0,929162971.1992646
22,2019-07-01,-141923360.67443046,955752972.4783527,1051300913.1502416,-141923360.67443046,-141923360.67443046,1144146751.6270158,1144146751.6270158,1144146751.6270158,-3536342984.375776,-3536342984.375776,-3536342984.375776,4680489736.002791,4680489736.002791,4680489736.002791,0.0,0.0,0.0,1002223390.9525853
23,2019-10-01,-131266060.88591081,915973364.1932483,1008733837.1464432,-131266060.88591081,-131266060.88591081,1094372973.7514434,1094372973.7514434,1094372973.7514434,-3398898814.51865,-3398898814.51865,-3398898814.51865,4493271788.270093,4493271788.270093,4493271788.270093,0.0,0.0,0.0,963106912.8655326
24,2020-01-01,-120620171.29738492,900516031.5065161,1000746704.8523546,-120620171.29738492,-120620171.29738492,1070769017.7646511,1070769017.7646511,1070769017.7646511,-3274207176.648269,-3274207176.648269,-3274207176.648269,4344976194.412917,4344976194.412917,4344976194.412917,0.0,0.0,0.0,950148846.4672661
25,2020-04-01,-110107305.17463289,1030014147.1526511,1122375942.8546221,-110107305.17463289,-110107305.17463289,1184458213.7384007,1184458213.7384007,1184458213.7384007,-3313048798.5068464,-3313048798.5068464,-3313048798.5068464,4497507012.245246,4497507012.245246,4497507012.245246,0.0,0.0,0.0,1074350908.563768
26,2020-07-01,-99594439.05188088,1062466889.774298,1161817568.7444344,-99594439.05188088,-99594439.05188088,1212459124.1914012,1212459124.1914012,1212459124.1914012,-3354918532.6074505,-3354918532.6074505,-3354918532.6074505,4567377656.798852,4567377656.798852,4567377656.798852,0.0,0.0,0.0,1112864685.1395204
27,2020-10-01,-88966046.92777994,981056711.098919,1073799673.0215383,-88966046.92777994,-88966046.92777994,1115621481.8345776,1115621481.8345776,1115621481.8345776,-3239350800.7712655,-3239350800.7712655,-3239350800.7712655,4354972282.605844,4354972282.605844,4354972282.605844,0.0,0.0,0.0,1026655434.9067976
28,2021-01-01,-78337654.80367897,997624997.3316507,1093539839.736208,-78337654.80367897,-78337654.80367897,1125768023.795996,1125768023.795996,1125768023.795996,-3167246932.8951735,-3167246932.8951735,-3167246932.8951735,4293014956.69117,4293014956.69117,4293014956.69117,0.0,0.0,0.0,1047430368.992317
29,2021-04-01,-67940314.68227585,1122917590.7616894,1219741182.184771,-67940314.68227585,-67940314.68227585,1241068040.8436525,1241068040.8436525,1241068040.8436525,-3313048798.5096626,-3313048798.5096626,-3313048798.5096626,4554116839.353314,4554116839.353314,4554116839.353314,0.0,0.0,0.0,1173127726.1613767
30,2021-07-01,-57427448.55952384,1157324957.1069233,1249969049.587782,-57427448.55952384,-57427448.55952384,1257559901.263225,1257559901.263225,1257559901.263225,-3354918532.6071725,-3354918532.6071725,-3354918532.6071725,4612478433.870398,4612478433.870398,4612478433.870398,0.0,0.0,0.0,1200132452.7037013
31,2021-10-01,-46799056.435422905,1065698869.2390283,1163853822.7303731,-46799056.435422905,-46799056.435422905,1162730740.700958,1162730740.700958,1162730740.700958,-3239350800.7751083,-3239350800.7751083,-3239350800.7751083,4402081541.476066,4402081541.476066,4402081541.476066,0.0,0.0,0.0,1115931684.265535
32,2022-01-01,-36170664.31132196,1037869502.9418889,1139369727.2525072,-36250118.04130865,-36100390.60376514,1125396983.0673192,1125396983.0673192,1125396983.0673192,-3167246932.8948917,-3167246932.8948917,-3167246932.8948917,4292643915.962211,4292643915.962211,4292643915.962211,0.0,0.0,0.0,1089226318.7559972
33,2022-04-01,-25773324.18991884,1190411544.1041484,1284938916.688903,-26079794.280732334,-25490619.430785086,1265766144.6271207,1265766144.6271207,1265766144.6271207,-3313048798.508151,-3313048798.508151,-3313048798.508151,4578814943.135274,4578814943.135274,4578814943.135274,0.0,0.0,0.0,1239992820.437202
34,2022-07-01,-15260458.067166803,1232169495.3990562,1325659731.1346695,-15833129.07999146,-14677630.369838713,1295353708.8795624,1295353708.8795624,1295353708.8795624,-3354918532.605129,-3354918532.605129,-3354918532.605129,4650272241.484691,4650272241.484691,4650272241.484691,0.0,0.0,0.0,1280093250.8123956
35,2022-10-01,-4632065.943065861,1153489069.3584073,1247834168.9902449,-5599772.299352321,-3690487.7378760944,1208897274.7229803,1208897274.7229803,1208897274.7229803,-3239350800.774595,-3239350800.774595,-3239350800.774595,4448248075.497575,4448248075.497575,4448248075.497575,0.0,0.0,0.0,1204265208.7799144
