,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-1170944.5155283671,4187774.124588136,4819216.39520175,-1170944.5155283671,-1170944.5155283671,5677267.984818408,5677267.984818408,5677267.984818408,21949960.012272853,21949960.012272853,21949960.012272853,-16272692.027454449,-16272692.027454449,-16272692.027454449,0.0,0.0,0.0,4506323.469290041
1,2014-04-01,-1202133.569496599,4669161.452527516,5291048.617302591,-1202133.569496599,-1202133.569496599,6191311.3092573825,6191311.3092573825,6191311.3092573825,21088435.61211561,21088435.61211561,21088435.61211561,-14897124.30285823,-14897124.30285823,-14897124.30285823,0.0,0.0,0.0,4989177.7397607835
2,2014-07-01,-1233669.1685413478,5167935.798015192,5792512.669291059,-1233669.1685413478,-1233669.1685413478,6730255.068459571,6730255.068459571,6730255.068459571,20811635.60456453,20811635.60456453,20811635.60456453,-14081380.536104959,-14081380.536104959,-14081380.536104959,0.0,0.0,0.0,5496585.899918224
3,2014-10-01,-1265551.3126094497,4679392.413517304,5306818.643389594,-1265551.3126094497,-1265551.3126094497,6261717.341592749,6261717.341592749,6261717.341592749,21459424.433847293,21459424.433847293,21459424.433847293,-15197707.092254546,-15197707.092254546,-15197707.092254546,0.0,0.0,0.0,4996166.028983299
4,2015-01-01,-1297433.4567113365,4146418.7761006956,4799579.777404569,-1297433.4567113365,-1297433.4567113365,5769882.993769485,5769882.993769485,5769882.993769485,21949960.012261495,21949960.012261495,21949960.012261495,-16180077.01849201,-16180077.01849201,-16180077.01849201,0.0,0.0,0.0,4472449.5370581485
5,2015-04-01,-1328622.5106584397,4660353.1342420755,5276184.650173139,-1328622.5106584397,-1328622.5106584397,6289361.47038803,6289361.47038803,6289361.47038803,21088435.612102713,21088435.612102713,21088435.612102713,-14799074.141714681,-14799074.141714681,-14799074.141714681,0.0,0.0,0.0,4960738.9597295895
6,2015-07-01,-1360158.1096123806,5463764.665454063,6065134.541334314,-1360158.1096123806,-1360158.1096123806,7108223.315890938,7108223.315890938,7108223.315890938,20811635.604582936,20811635.604582936,20811635.604582936,-13703412.288691998,-13703412.288691998,-13703412.288691998,0.0,0.0,0.0,5748065.206278557
7,2015-10-01,-1392040.2535953664,4929532.607125407,5550766.454568141,-1392040.2535953664,-1392040.2535953664,6642876.671929302,6642876.671929302,6642876.671929302,21459424.433851354,21459424.433851354,21459424.433851354,-14816547.761922052,-14816547.761922052,-14816547.761922052,0.0,0.0,0.0,5250836.418333936
8,2016-01-01,-1423922.3975577354,4190200.455782065,4831073.1557072345,-1423922.3975577354,-1423922.3975577354,5939457.996783052,5939457.996783052,5939457.996783052,21949960.01225958,21949960.01225958,21949960.01225958,-16010502.015476525,-16010502.015476525,-16010502.015476525,0.0,0.0,0.0,4515535.599225316
9,2016-04-01,-1455457.9965647885,4727428.140419276,5325840.697859419,-1455457.9965647885,-1455457.9965647885,6499366.085192916,6499366.085192916,6499366.085192916,21770894.711023733,21770894.711023733,21770894.711023733,-15271528.625830809,-15271528.625830809,-15271528.625830809,0.0,0.0,0.0,5043908.088628127
10,2016-07-01,-1486995.0802138387,5033101.506610189,5627766.089567338,-1486995.0802138387,-1486995.0802138387,6821270.248338285,6821270.248338285,6821270.248338285,21611667.23761673,21611667.23761673,21611667.23761673,-14790396.989278443,-14790396.989278443,-14790396.989278443,0.0,0.0,0.0,5334275.168124447
11,2016-10-01,-1518881.6442418604,4412521.677287836,5032402.148951908,-1518881.6442418604,-1518881.6442418604,6240806.510264285,6240806.510264285,6240806.510264285,22153430.92155328,22153430.92155328,22153430.92155328,-15912624.411288992,-15912624.411288992,-15912624.411288992,0.0,0.0,0.0,4721924.866022425
12,2017-01-01,-1550779.2456743126,4675956.251778969,5282546.442201908,-1550779.2456743126,-1550779.2456743126,6534563.811842334,6534563.811842334,6534563.811842334,22823377.27026325,22823377.27026325,22823377.27026325,-16288813.458420923,-16288813.458420923,-16288813.458420923,0.0,0.0,0.0,4983784.566168021
13,2017-04-01,-1582017.52621971,4834242.335332331,5450594.096310789,-1582017.52621971,-1582017.52621971,6716383.805440052,6716383.805440052,6716383.805440052,21770894.71105166,21770894.71105166,21770894.71105166,-15054510.905611595,-15054510.905611595,-15054510.905611595,0.0,0.0,0.0,5134366.279220343
14,2017-07-01,-1613661.2504775464,5231267.88216229,5854122.664161972,-1613661.2504775464,-1613661.2504775464,7167641.781921026,7167641.781921026,7167641.781921026,21611667.237620495,21611667.237620495,21611667.237620495,-14444025.455699474,-14444025.455699474,-14444025.455699474,0.0,0.0,0.0,5553980.53144348
15,2017-10-01,-1645783.7301498053,4618024.646884987,5256350.5132871345,-1645783.7301498053,-1645783.7301498053,6590124.437737644,6590124.437737644,6590124.437737644,22153430.921543706,22153430.921543706,22153430.921543706,-15563306.483806062,-15563306.483806062,-15563306.483806062,0.0,0.0,0.0,4944340.707587838
16,2018-01-01,-1677974.1674200895,4577502.630289242,5191373.830486095,-1677974.1674200895,-1677974.1674200895,6550685.24280041,6550685.24280041,6550685.24280041,22823377.27026615,22823377.27026615,22823377.27026615,-16272692.027465736,-16272692.027465736,-16272692.027465736,0.0,0.0,0.0,4872711.075380321
17,2018-04-01,-1709614.8420089372,4838095.325535536,5473631.547004239,-1709614.8420089372,-1709614.8420089372,6873770.4081796175,6873770.4081796175,6873770.4081796175,21770894.71103623,21770894.71103623,21770894.71103623,-14897124.302856605,-14897124.302856605,-14897124.302856605,0.0,0.0,0.0,5164155.56617068
18,2018-07-01,-1867741.5334360208,5345904.273872244,5972341.265344852,-1867741.5334360208,-1867741.5334360208,7530286.701507239,7530286.701507239,7530286.701507239,21611667.237615198,21611667.237615198,21611667.237615198,-14081380.536107961,-14081380.536107961,-14081380.536107961,0.0,0.0,0.0,5662545.168071218
19,2018-10-01,-2027774.469818421,4611751.815259071,5255232.783655878,-2027774.469818421,-2027774.469818421,6955723.829284518,6955723.829284518,6955723.829284518,22153430.9215388,22153430.9215388,22153430.9215388,-15197707.092254281,-15197707.092254281,-15197707.092254281,0.0,0.0,0.0,4927949.359466097
20,2019-01-01,-2187895.066928106,4145913.6726660957,4787746.155857657,-2187895.066928106,-2187895.066928106,6643300.251757808,6643300.251757808,6643300.251757808,22823377.270246897,22823377.270246897,22823377.270246897,-16180077.018489087,-16180077.018489087,-16180077.018489087,0.0,0.0,0.0,4455405.184829703
21,2019-04-01,-2344556.9018130135,4301245.4515844295,4967466.046155249,-2344556.9018130135,-2344556.9018130135,6971820.569313821,6971820.569313821,6971820.569313821,21770894.71103158,21770894.71103158,21770894.71103158,-14799074.14171777,-14799074.14171777,-14799074.14171777,0.0,0.0,0.0,4627263.667500808
22,2019-07-01,-2503020.7549195206,5110271.798482854,5701209.4782338785,-2503020.7549195206,-2503020.7549195206,7908254.948909193,7908254.948909193,7908254.948909193,21611667.237613156,21611667.237613156,21611667.237613156,-13703412.288703965,-13703412.288703965,-13703412.288703965,0.0,0.0,0.0,5405234.193989673
23,2019-10-01,-2663252.0259238305,4362321.503120632,4995265.803495113,-2663252.0259238305,-2663252.0259238305,7336883.159639853,7336883.159639853,7336883.159639853,22153430.92156059,22153430.92156059,22153430.92156059,-14816547.761920733,-14816547.761920733,-14816547.761920733,0.0,0.0,0.0,4673631.133716023
24,2020-01-01,-2823505.19316815,3687543.981614359,4315413.129253572,-2823505.19316815,-2823505.19316815,6812875.254790781,6812875.254790781,6812875.254790781,22823377.270264998,22823377.270264998,22823377.270264998,-16010502.015474213,-16010502.015474213,-16010502.015474213,0.0,0.0,0.0,3989370.0616226313
25,2020-04-01,-2982023.708993161,4057218.539870906,4678892.15057353,-2982023.708993161,-2982023.708993161,7336176.115596917,7336176.115596917,7336176.115596917,22607704.74142629,22607704.74142629,22607704.74142629,-15271528.625829378,-15271528.625829378,-15271528.625829378,0.0,0.0,0.0,4354152.406603756
26,2020-07-01,-3140542.2248181724,4161446.9014976965,4777363.32959173,-3140542.2248181724,-3140542.2248181724,7586678.776074778,7586678.776074778,7586678.776074778,22377075.765349828,22377075.765349828,22377075.765349828,-14790396.989275048,-14790396.989275048,-14790396.989275048,0.0,0.0,0.0,4446136.551256606
27,2020-10-01,-3300802.702355547,3475161.027002336,4096303.305339881,-3300802.702355547,-3300802.702355547,7081349.407110368,7081349.407110368,7081349.407110368,22993973.818402346,22993973.818402346,22993973.818402346,-15912624.411291981,-15912624.411291981,-15912624.411291981,0.0,0.0,0.0,3780546.704754821
28,2021-01-01,-3461063.1798929214,2763183.0544686886,3386185.1307202135,-3461063.1798929214,-3461063.1798929214,6544225.435753643,6544225.435753643,6544225.435753643,22833038.894171283,22833038.894171283,22833038.894171283,-16288813.458417635,-16288813.458417635,-16288813.458417635,0.0,0.0,0.0,3083162.255860721
29,2021-04-01,-3617839.7340055704,3631028.1758191236,4258082.942090522,-3617839.7340055704,-3617839.7340055704,7553193.835822572,7553193.835822572,7553193.835822572,22607704.741433743,22607704.741433743,22607704.741433743,-15054510.90561117,-15054510.90561117,-15054510.90561117,0.0,0.0,0.0,3935354.1018170016
30,2021-07-01,-3776358.2498305817,3833232.8043855624,4488634.2705450775,-3776358.2498305817,-3776358.2498305817,7933050.309638966,7933050.309638966,7933050.309638966,22377075.765353207,22377075.765353207,22377075.765353207,-14444025.45571424,-14444025.45571424,-14444025.45571424,0.0,0.0,0.0,4156692.059808384
31,2021-10-01,-3936618.7273679557,3152556.1963414056,3822631.2503231703,-3936618.7273679557,-3936618.7273679557,7430667.334581596,7430667.334581596,7430667.334581596,22993973.81838645,22993973.81838645,22993973.81838645,-15563306.483804854,-15563306.483804854,-15563306.483804854,0.0,0.0,0.0,3494048.60721364
32,2022-01-01,-4096879.2049053293,2148039.526846024,2771373.21386884,-4100178.7969287606,-4093616.9980842634,6560346.866748141,6560346.866748141,6560346.866748141,22833038.894195646,22833038.894195646,22833038.894195646,-16272692.027447509,-16272692.027447509,-16272692.027447509,0.0,0.0,0.0,2463467.661842812
33,2022-04-01,-4253655.759017979,3160774.707723271,3777315.112193238,-4265367.748750875,-4242406.439663804,7710580.438563374,7710580.438563374,7710580.438563374,22607704.741426446,22607704.741426446,22607704.741426446,-14897124.302863067,-14897124.302863067,-14897124.302863067,0.0,0.0,0.0,3456924.679545395
34,2022-07-01,-4412174.274842991,3555122.3474090374,4191461.9445762243,-4436281.323267182,-4391287.569703672,8295695.22923029,8295695.22923029,8295695.22923029,22377075.76534474,22377075.76534474,22377075.76534474,-14081380.536114449,-14081380.536114449,-14081380.536114449,0.0,0.0,0.0,3883520.9543872997
35,2022-10-01,-4572434.752380365,2899597.5060093757,3553397.008825367,-4608619.243322486,-4539179.778601666,7796266.726135709,7796266.726135709,7796266.726135709,22993973.81839097,22993973.81839097,22993973.81839097,-15197707.092255257,-15197707.092255257,-15197707.092255257,0.0,0.0,0.0,3223831.9737553447
