,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-394163.07837355544,1355371.8684679454,1691358.6781762643,-394163.07837355544,-394163.07837355544,1913314.191433023,1913314.191433023,1913314.191433023,1681408.685630649,1681408.685630649,1681408.685630649,231905.50580237375,231905.50580237375,231905.50580237375,0.0,0.0,0.0,1519151.1130594676
1,2014-04-01,-405702.617432116,1367384.400671853,1700170.4661531795,-405702.617432116,-405702.617432116,1940372.9511295909,1940372.9511295909,1940372.9511295909,1607495.6383603397,1607495.6383603397,1607495.6383603397,332877.31276925124,332877.31276925124,332877.31276925124,0.0,0.0,0.0,1534670.3336974748
2,2014-07-01,-417370.3736090928,1360124.8291480911,1695894.9431801955,-417370.3736090928,-417370.3736090928,1949666.547980995,1949666.547980995,1949666.547980995,1521099.469964602,1521099.469964602,1521099.469964602,428567.07801639277,428567.07801639277,428567.07801639277,0.0,0.0,0.0,1532296.1743719021
3,2014-10-01,-429166.3468958068,1431258.5437127082,1769828.7026845796,-429166.3468958068,-429166.3468958068,2033239.9818767766,2033239.9818767766,2033239.9818767766,1694039.0575212433,1694039.0575212433,1694039.0575212433,339200.92435553344,339200.92435553344,339200.92435553344,0.0,0.0,0.0,1604073.6349809698
4,2015-01-01,-440962.32019035803,1264191.459014516,1598572.7701967102,-440962.32019035803,-440962.32019035803,1868973.0268318153,1868973.0268318153,1868973.0268318153,1681408.6856290654,1681408.6856290654,1681408.6856290654,187564.34120275022,187564.34120275022,187564.34120275022,0.0,0.0,0.0,1428010.7066414573
5,2015-04-01,-452501.8592675224,1347400.6481927622,1699904.4045037434,-452501.8592675224,-452501.8592675224,1963734.9666567778,1963734.9666567778,1963734.9666567778,1607495.638358297,1607495.638358297,1607495.638358297,356239.32829848037,356239.32829848037,356239.32829848037,0.0,0.0,0.0,1511233.1073892554
6,2015-07-01,-464169.6154587153,1379340.0908552196,1739139.0668325794,-464169.6154587153,-464169.6154587153,2022357.967805671,2022357.967805671,2022357.967805671,1521099.4699676356,1521099.4699676356,1521099.4699676356,501258.49783803505,501258.49783803505,501258.49783803505,0.0,0.0,0.0,1558188.3523469558
7,2015-10-01,-475965.5887348751,1409274.5146184317,1751601.9129455634,-475965.5887348751,-475965.5887348751,2049090.23990116,2049090.23990116,2049090.23990116,1694039.0575219295,1694039.0575219295,1694039.0575219295,355051.1823792303,355051.1823792303,355051.1823792303,0.0,0.0,0.0,1573124.651166285
8,2016-01-01,-487761.5621550934,1184556.3135799267,1496923.0835413053,-487761.5621550934,-487761.5621550934,1828108.86715284,1828108.86715284,1828108.86715284,1681408.6856281946,1681408.6856281946,1681408.6856281946,146700.18152464417,146700.18152464417,146700.18152464417,0.0,0.0,0.0,1340347.3049977464
9,2016-04-01,-499429.31848991447,1306664.986451351,1652602.543911554,-499429.31848991447,-499429.31848991447,1970964.2877202558,1970964.2877202558,1970964.2877202558,1698872.6430654859,1698872.6430654859,1698872.6430654859,272091.6446547701,272091.6446547701,272091.6446547701,0.0,0.0,0.0,1471534.9692303413
