,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-139412.31044850685,911026.5423552393,1110318.87014227,-139412.31044850685,-139412.31044850685,1151493.5145937942,1151493.5145937942,1151493.5145937942,5417390.387104195,5417390.387104195,5417390.387104195,-4265896.872510401,-4265896.872510401,-4265896.872510401,0.0,0.0,0.0,1012081.2041452874
1,2014-04-01,-145150.1614733711,870351.0297972766,1073841.2144347965,-145150.1614733711,-145150.1614733711,1118007.6520640582,1118007.6520640582,1118007.6520640582,5359667.797371983,5359667.797371983,5359667.797371983,-4241660.145307924,-4241660.145307924,-4241660.145307924,0.0,0.0,0.0,972857.4905906871
2,2014-07-01,-150951.76638973155,916540.9955948236,1123988.5411896387,-150951.76638973155,-150951.76638973155,1174864.2249880563,1174864.2249880563,1174864.2249880563,5290953.886527036,5290953.886527036,5290953.886527036,-4116089.661538981,-4116089.661538981,-4116089.661538981,0.0,0.0,0.0,1023912.4585983248
3,2014-10-01,-156817.12522103311,907435.573984233,1117093.287308094,-156817.12522103311,-156817.12522103311,1170070.3773293537,1170070.3773293537,1170070.3773293537,5421832.879088407,5421832.879088407,5421832.879088407,-4251762.501759054,-4251762.501759054,-4251762.501759054,0.0,0.0,0.0,1013253.2521083206
4,2015-01-01,-162682.48404960232,842020.1863124658,1037188.8201160099,-162682.48404960232,-162682.48404960232,1104585.5884811513,1104585.5884811513,1104585.5884811513,5417390.387103016,5417390.387103016,5417390.387103016,-4312804.798621866,-4312804.798621866,-4312804.798621866,0.0,0.0,0.0,941903.104431549
5,2015-04-01,-168420.33506779745,840419.8246269299,1050155.8031175744,-168420.33506779745,-168420.33506779745,1108960.547872931,1108960.547872931,1108960.547872931,5359667.797369453,5359667.797369453,5359667.797369453,-4250707.249496523,-4250707.249496523,-4250707.249496523,0.0,0.0,0.0,940540.2128051335
6,2015-07-01,-174221.93998987545,979034.9840091073,1184914.4033403704,-174221.93998987545,-174221.93998987545,1256182.9843508035,1256182.9843508035,1256182.9843508035,5290953.8865304515,5290953.8865304515,5290953.8865304515,-4034770.9021796477,-4034770.9021796477,-4034770.9021796477,0.0,0.0,0.0,1081961.044360928
7,2015-10-01,-180087.29881064227,911902.184877579,1121219.8396482153,-180087.29881064227,-180087.29881064227,1199350.3358550204,1199350.3358550204,1199350.3358550204,5421832.879089116,5421832.879089116,5421832.879089116,-4222482.543234096,-4222482.543234096,-4222482.543234096,0.0,0.0,0.0,1019263.0370443782
8,2016-01-01,-185952.6576436986,777319.592076425,987141.6910162752,-185952.6576436986,-185952.6576436986,1068623.0572682898,1068623.0572682898,1068623.0572682898,5417390.387102397,5417390.387102397,5417390.387102397,-4348767.329834106,-4348767.329834106,-4348767.329834106,0.0,0.0,0.0,882670.3996245912
9,2016-04-01,-191754.26257811833,891846.9460874394,1095925.944395208,-191754.26257811833,-191754.26257811833,1186854.2733454392,1186854.2733454392,1186854.2733454392,5425527.172602773,5425527.172602773,5425527.172602773,-4238672.899257333,-4238672.899257333,-4238672.899257333,0.0,0.0,0.0,995100.0107673209
10,2016-07-01,-197556.0837039029,872370.8408905303,1077183.4924761627,-197556.0837039029,-197556.0837039029,1174217.6418174952,1174217.6418174952,1174217.6418174952,5428300.619261468,5428300.619261468,5428300.619261468,-4254082.977443973,-4254082.977443973,-4254082.977443973,0.0,0.0,0.0,976661.5581135923
