,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-24620.237411733953,835989.54494807,992091.0828449227,-24620.237411733953,-24620.237411733953,938197.403474326,938197.403474326,938197.403474326,6102907.353130525,6102907.353130525,6102907.353130525,-5164709.9496562015,-5164709.9496562015,-5164709.9496562015,0.0,0.0,0.0,913577.1660625921
1,2014-04-01,-29176.041403543568,893833.201683262,1052829.324977638,-29176.041403543568,-29176.041403543568,1004497.8393470073,1004497.8393470073,1004497.8393470073,5973704.507245259,5973704.507245259,5973704.507245259,-4969206.667898252,-4969206.667898252,-4969206.667898252,0.0,0.0,0.0,975321.7979434638
2,2014-07-01,-33782.465418615066,993859.3451226515,1151583.1026167437,-33782.465418615066,-33782.465418615066,1107653.2034674492,1107653.2034674492,1107653.2034674492,5925563.718177147,5925563.718177147,5925563.718177147,-4817910.514709698,-4817910.514709698,-4817910.514709698,0.0,0.0,0.0,1073870.738048834
3,2014-10-01,-38439.50953364253,908806.3536946687,1070211.791993782,-38439.50953364253,-38439.50953364253,1030704.7231366506,1030704.7231366506,1030704.7231366506,6033035.075929307,6033035.075929307,6033035.075929307,-5002330.352792657,-5002330.352792657,-5002330.352792657,0.0,0.0,0.0,992265.2136030081
4,2015-01-01,-43096.553676338626,805847.014388994,964377.8222091491,-43096.553676338626,-43096.553676338626,929574.5328710433,929574.5328710433,929574.5328710433,6102907.353128622,6102907.353128622,6102907.353128622,-5173332.820257578,-5173332.820257578,-5173332.820257578,0.0,0.0,0.0,886477.9791947047
5,2015-04-01,-47652.357747926,904966.9752426988,1055179.9053287923,-47652.357747926,-47652.357747926,1029286.6393788256,1029286.6393788256,1029286.6393788256,5973704.507242898,5973704.507242898,5973704.507242898,-4944417.867864075,-4944417.867864075,-4944417.867864075,0.0,0.0,0.0,981634.2816308995
6,2015-07-01,-52258.781913831735,1041699.551984107,1208716.1160832136,-52258.781913831735,-52258.781913831735,1178330.9484567905,1178330.9484567905,1178330.9484567905,5925563.718180404,5925563.718180404,5925563.718180404,-4747232.769723615,-4747232.769723615,-4747232.769723615,0.0,0.0,0.0,1126072.1665429587
7,2015-10-01,-56915.82614644437,977036.2044872114,1133921.1356375187,-56915.82614644437,-56915.82614644437,1114036.6170891735,1114036.6170891735,1114036.6170891735,6033035.075930022,6033035.075930022,6033035.075930022,-4918998.458840849,-4918998.458840849,-4918998.458840849,0.0,0.0,0.0,1057120.7909427292
8,2016-01-01,-61572.87044430003,796021.6143924873,951460.8357367985,-61572.87044430003,-61572.87044430003,933287.9579662574,933287.9579662574,933287.9579662574,6102907.353128319,6102907.353128319,6102907.353128319,-5169619.395162061,-5169619.395162061,-5169619.395162061,0.0,0.0,0.0,871715.0875219573
9,2016-04-01,-66179.29467831139,901492.2847397277,1053174.6548839705,-66179.29467831139,-66179.29467831139,1046706.2474444024,1046706.2474444024,1046706.2474444024,6077636.803091321,6077636.803091321,6077636.803091321,-5030930.555646918,-5030930.555646918,-5030930.555646918,0.0,0.0,0.0,980526.9527660911
10,2016-07-01,-70785.72025107233,952061.3236077816,1110202.6796693213,-70785.72025107233,-70785.72025107233,1102069.5398338924,1102069.5398338924,1102069.5398338924,6055137.1141574895,6055137.1141574895,6055137.1141574895,-4953067.574323597,-4953067.574323597,-4953067.574323597,0.0,0.0,0.0,1031283.81958282
11,2016-10-01,-75442.76810164274,839649.2125885236,995236.9907518233,-75442.76810164274,-75442.76810164274,990460.572097387,990460.572097387,990460.572097387,6131767.187484259,6131767.187484259,6131767.187484259,-5141306.6153868735,-5141306.6153868735,-5141306.6153868735,0.0,0.0,0.0,915017.8039957443
12,2017-01-01,-80101.0178269698,920347.1802315366,1075551.6718088896,-80101.0178269698,-80101.0178269698,1079521.6673242424,1079521.6673242424,1079521.6673242424,6223371.099530107,6223371.099530107,6223371.099530107,-5143849.432205867,-5143849.432205867,-5143849.432205867,0.0,0.0,0.0,999420.6494972727
13,2017-04-01,-84674.71989058534,917433.832754298,1071756.1301471079,-84674.71989058534,-84674.71989058534,1079606.2429611387,1079606.2429611387,1079606.2429611387,6077636.803096052,6077636.803096052,6077636.803096052,-4998030.560134913,-4998030.560134913,-4998030.560134913,0.0,0.0,0.0,994931.5230705533
14,2017-07-01,-89306.51729590984,1003436.1067963308,1161555.741167161,-89306.51729590984,-89306.51729590984,1168561.1911615091,1168561.1911615091,1168561.1911615091,6055137.114158172,6055137.114158172,6055137.114158172,-4886575.9229966635,-4886575.9229966635,-4886575.9229966635,0.0,0.0,0.0,1079254.6738655993
15,2017-10-01,-94007.8832545403,878856.0159214803,1043829.43801775,-94007.8832545403,-94007.8832545403,1055289.2710634074,1055289.2710634074,1055289.2710634074,6131767.187482664,6131767.187482664,6131767.187482664,-5076477.916419256,-5076477.916419256,-5076477.916419256,0.0,0.0,0.0,961281.3878088671
16,2018-01-01,-106016.80917776586,878694.0765554135,1029933.035176086,-106016.80917776586,-106016.80917776586,1058661.1498724073,1058661.1498724073,1058661.1498724073,6223371.099530627,6223371.099530627,6223371.099530627,-5164709.949658219,-5164709.949658219,-5164709.949658219,0.0,0.0,0.0,952644.3406946415
17,2018-04-01,-117770.97851738866,918432.6549531118,1077152.5798367087,-117770.97851738866,-117770.97851738866,1108430.1351955372,1108430.1351955372,1108430.1351955372,6077636.80309346,6077636.80309346,6077636.80309346,-4969206.667897924,-4969206.667897924,-4969206.667897924,0.0,0.0,0.0,990659.1566781485
18,2018-07-01,-141270.91791569334,1018356.378661991,1175938.4425758903,-141270.91791569334,-141270.91791569334,1237226.59944711,1237226.59944711,1237226.59944711,6055137.114157271,6055137.114157271,6055137.114157271,-4817910.514710161,-4817910.514710161,-4817910.514710161,0.0,0.0,0.0,1095955.6815314167
19,2018-10-01,-165052.51924926223,885221.9792204658,1045568.0059991722,-165052.51924926223,-165052.51924926223,1129436.8346891839,1129436.8346891839,1129436.8346891839,6131767.187481847,6131767.187481847,6131767.187481847,-5002330.352792663,-5002330.352792663,-5002330.352792663,0.0,0.0,0.0,964384.3154399216
20,2019-01-01,-188835.77041610132,786896.4921618967,944407.3113494791,-188835.77041610132,-188835.77041610132,1050038.2792700422,1050038.2792700422,1050038.2792700422,6223371.099526995,6223371.099526995,6223371.099526995,-5173332.820256952,-5173332.820256952,-5173332.820256952,0.0,0.0,0.0,861202.5088539409
21,2019-04-01,-212121.22371061466,842436.1389453614,995950.6306193367,-212121.22371061466,-212121.22371061466,1133218.9352279038,1133218.9352279038,1133218.9352279038,6077636.803092649,6077636.803092649,6077636.803092649,-4944417.867864746,-4944417.867864746,-4944417.867864746,0.0,0.0,0.0,921097.711517289
22,2019-07-01,-235668.28697355042,995029.0386385698,1149513.3990060175,-235668.28697355042,-235668.28697355042,1307904.3444312732,1307904.3444312732,1307904.3444312732,6055137.114156924,6055137.114156924,6055137.114156924,-4747232.769725651,-4747232.769725651,-4747232.769725651,0.0,0.0,0.0,1072236.0574577227
23,2019-10-01,-259498.75213317372,871621.6567566207,1033345.4239146117,-259498.75213317372,-259498.75213317372,1212768.7286448288,1212768.7286448288,1212768.7286448288,6131767.1874854695,6131767.1874854695,6131767.1874854695,-4918998.458840641,-4918998.458840641,-4918998.458840641,0.0,0.0,0.0,953269.976511655
24,2020-01-01,-283335.7568581644,695362.4775307183,849046.2494060753,-283335.7568581644,-283335.7568581644,1053751.704368859,1053751.704368859,1053751.704368859,6223371.099530483,6223371.099530483,6223371.099530483,-5169619.395161624,-5169619.395161624,-5169619.395161624,0.0,0.0,0.0,770415.9475106946
25,2020-04-01,-306932.4657378205,776002.5006099369,935705.9121162819,-306932.4657378205,-306932.4657378205,1164365.7715430958,1164365.7715430958,1164365.7715430958,6195296.327189773,6195296.327189773,6195296.327189773,-5030930.5556466775,-5030930.5556466775,-5030930.5556466775,0.0,0.0,0.0,857433.3058052753
26,2020-07-01,-330529.1746174766,808033.7597485794,955358.7768053615,-330529.1746174766,-330529.1746174766,1210325.1485494426,1210325.1485494426,1210325.1485494426,6163392.722872594,6163392.722872594,6163392.722872594,-4953067.574323152,-4953067.574323152,-4953067.574323152,0.0,0.0,0.0,879795.9739319661
