,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-2439387.0520819714,5373946.520497763,6245218.364054694,-2439387.0520819714,-2439387.0520819714,8245282.064241509,8245282.064241509,8245282.064241509,13290692.231555663,13290692.231555663,13290692.231555663,-5045410.16731415,-5045410.16731415,-5045410.16731415,0.0,0.0,0.0,5805895.0121595375
1,2014-04-01,-2461180.6099132686,6016186.140409283,6860820.6121285865,-2461180.6099132686,-2461180.6099132686,8894161.802428156,8894161.802428156,8894161.802428156,12291338.97968137,12291338.97968137,12291338.97968137,-3397177.1772532174,-3397177.1772532174,-3397177.1772532174,0.0,0.0,0.0,6432981.192514887
2,2014-07-01,-2483216.3248047084,6563996.528172202,7422521.779342512,-2483216.3248047084,-2483216.3248047084,9472428.93115277,9472428.93115277,9472428.93115277,11947250.71926439,11947250.71926439,11947250.71926439,-2474821.7881116206,-2474821.7881116206,-2474821.7881116206,0.0,0.0,0.0,6989212.606348062
3,2014-10-01,-2505494.1780392574,6044624.813015809,6899725.386090498,-2505494.1780392574,-2505494.1780392574,8999514.928438153,8999514.928438153,8999514.928438153,12748408.541475136,12748408.541475136,12748408.541475136,-3748893.613036985,-3748893.613036985,-3748893.613036985,0.0,0.0,0.0,6494020.750398896
4,2015-01-01,-2527772.042226511,5397061.789396904,6278703.222919753,-2527772.042226511,-2527772.042226511,8357190.955550769,8357190.955550769,8357190.955550769,13290692.231542416,13290692.231542416,13290692.231542416,-4933501.275991643,-4933501.275991643,-4933501.275991643,0.0,0.0,0.0,5829418.913324258
5,2015-04-01,-2549565.6109811845,6117072.758393939,6917314.624075199,-2549565.6109811845,-2549565.6109811845,9063995.518221388,9063995.518221388,9063995.518221388,12291338.97966689,12291338.97966689,12291338.97966689,-3227343.4614455034,-3227343.4614455034,-3227343.4614455034,0.0,0.0,0.0,6514429.907240203
6,2015-07-01,-2571601.331426139,6938597.920211689,7820144.8561070515,-2571601.331426139,-2571601.331426139,9944522.942819433,9944522.942819433,9944522.942819433,11947250.719285773,11947250.719285773,11947250.719285773,-2002727.7764663405,-2002727.7764663405,-2002727.7764663405,0.0,0.0,0.0,7372921.611393294
7,2015-10-01,-2593879.200843147,6448791.951288202,7286734.959360185,-2593879.200843147,-2593879.200843147,9463912.842742344,9463912.842742344,9463912.842742344,12748408.54147988,12748408.54147988,12748408.54147988,-3284495.6987375356,-3284495.6987375356,-3284495.6987375356,0.0,0.0,0.0,6870033.641899197
8,2016-01-01,-2616157.0613527773,5474409.454385518,6329345.004671544,-2616157.0613527773,-2616157.0613527773,8516554.63012457,8516554.63012457,8516554.63012457,13290692.231539866,13290692.231539866,13290692.231539866,-4774137.601415291,-4774137.601415291,-4774137.601415291,0.0,0.0,0.0,5900397.5687717935
9,2016-04-01,-2638192.7760523004,6120432.73125263,6968763.94743083,-2638192.7760523004,-2638192.7760523004,9165980.688418709,9165980.688418709,9165980.688418709,13101230.680269154,13101230.680269154,13101230.680269154,-3935249.9918504525,-3935249.9918504525,-3935249.9918504525,0.0,0.0,0.0,6527787.912366409
