,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-312482.33150497754,820000.1338703679,936927.1879936199,-312482.33150497754,-312482.33150497754,1188572.681678894,1188572.681678894,1188572.681678894,6599092.247652618,6599092.247652618,6599092.247652618,-5410519.565973723,-5410519.565973723,-5410519.565973723,0.0,0.0,0.0,876090.3501739164
1,2014-04-01,-315032.6192368384,948334.4295042121,1062913.5096609637,-315032.6192368384,-315032.6192368384,1318498.5987389158,1318498.5987389158,1318498.5987389158,6507802.996222507,6507802.996222507,6507802.996222507,-5189304.397483594,-5189304.397483594,-5189304.397483594,0.0,0.0,0.0,1003465.9795020773
2,2014-07-01,-317611.24339177285,1061850.6460395602,1178800.5406211542,-317611.24339177285,-317611.24339177285,1436818.8539678007,1436818.8539678007,1436818.8539678007,6455894.960269803,6455894.960269803,6455894.960269803,-5019076.106302005,-5019076.106302005,-5019076.106302005,0.0,0.0,0.0,1119207.610576028
3,2014-10-01,-320218.2039518391,951126.8310730868,1064332.0658876828,-320218.2039518391,-320218.2039518391,1328530.113704232,1328530.113704232,1328530.113704232,6551480.827903152,6551480.827903152,6551480.827903152,-5222950.71419892,-5222950.71419892,-5222950.71419892,0.0,0.0,0.0,1008311.9097523929
4,2015-01-01,-322825.1646064014,816920.647907651,934320.5523976309,-322825.1646064014,-322825.1646064014,1200685.1024244595,1200685.1024244595,1200685.1024244595,6599092.247650383,6599092.247650383,6599092.247650383,-5398407.145225923,-5398407.145225923,-5398407.145225923,0.0,0.0,0.0,877859.9378180581
5,2015-04-01,-325375.45222108095,942777.3658647715,1058961.9033358104,-325375.45222108095,-325375.45222108095,1326013.144817913,1326013.144817913,1326013.144817913,6507802.996218552,6507802.996218552,6507802.996218552,-5181789.851400641,-5181789.851400641,-5181789.851400641,0.0,0.0,0.0,1000637.692596832
6,2015-07-01,-327954.07630208763,1128052.8187707877,1248375.0266566433,-327954.07630208763,-327954.07630208763,1516575.1581980363,1516575.1581980363,1516575.1581980363,6455894.960275111,6455894.960275111,6455894.960275111,-4939319.802077075,-4939319.802077075,-4939319.802077075,0.0,0.0,0.0,1188621.0818959486
7,2015-10-01,-330561.0368332348,999061.6310224064,1112022.7146328057,-330561.0368332348,-330561.0368332348,1388658.194016348,1388658.194016348,1388658.194016348,6551480.827904305,6551480.827904305,6551480.827904305,-5162822.633887958,-5162822.633887958,-5162822.633887958,0.0,0.0,0.0,1058097.1571831133
8,2016-01-01,-333167.99736650434,837586.2291580453,956765.2058470778,-333167.99736650434,-333167.99736650434,1228169.8342941212,1228169.8342941212,1228169.8342941212,6599092.247649785,6599092.247649785,6599092.247649785,-5370922.413355664,-5370922.413355664,-5370922.413355664,0.0,0.0,0.0,895001.836927617
9,2016-04-01,-335746.62145219685,950981.9010687328,1067841.2351336114,-335746.62145219685,-335746.62145219685,1345555.4891783625,1345555.4891783625,1345555.4891783625,6577040.873295792,6577040.873295792,6577040.873295792,-5231485.384117428,-5231485.384117428,-5231485.384117428,0.0,0.0,0.0,1009808.8677261657
10,2016-07-01,-338325.24592220923,1024984.3016813339,1140694.6617846761,-338325.24592220923,-338325.24592220923,1420669.0997229454,1420669.0997229454,1420669.0997229454,6562758.746948517,6562758.746948517,6562758.746948517,-5142089.647225572,-5142089.647225572,-5142089.647225572,0.0,0.0,0.0,1082343.8538007361
