,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-369816.71895766235,900078.6670458812,1115674.8307329305,-369816.71895766235,-369816.71895766235,1381954.4523737743,1381954.4523737743,1381954.4523737743,4233107.3992938865,4233107.3992938865,4233107.3992938865,-2851152.9469201113,-2851152.9469201113,-2851152.9469201113,0.0,0.0,0.0,1012137.7334161119
1,2014-04-01,-380607.29927651753,939780.8895461526,1156148.2770080604,-380607.29927651753,-380607.29927651753,1426274.139477065,1426274.139477065,1426274.139477065,4120508.063382394,4120508.063382394,4120508.063382394,-2694233.923905329,-2694233.923905329,-2694233.923905329,0.0,0.0,0.0,1045666.8402005476
2,2014-07-01,-391517.7749163188,1010374.447615001,1232796.3687329197,-391517.7749163188,-391517.7749163188,1513678.888010827,1513678.888010827,1513678.888010827,4062692.459606123,4062692.459606123,4062692.459606123,-2549013.5715952963,-2549013.5715952963,-2549013.5715952963,0.0,0.0,0.0,1122161.1130945082
3,2014-10-01,-402548.14592247084,934182.656421571,1153049.660891453,-402548.14592247084,-402548.14592247084,1443798.4637063807,1443798.4637063807,1443798.4637063807,4183447.6140526333,4183447.6140526333,4183447.6140526333,-2739649.1503462526,-2739649.1503462526,-2739649.1503462526,0.0,0.0,0.0,1041250.3177839098
4,2015-01-01,-413578.5169371601,848620.5962106967,1074817.7163066543,-413578.5169371601,-413578.5169371601,1377903.3148968394,1377903.3148968394,1377903.3148968394,4233107.39929245,4233107.39929245,4233107.39929245,-2855204.084395611,-2855204.084395611,-2855204.084395611,0.0,0.0,0.0,964324.7979596793
5,2015-04-01,-424369.0972984033,918904.0693612017,1131031.107939246,-424369.0972984033,-424369.0972984033,1445989.9007104402,1445989.9007104402,1445989.9007104402,4120508.0633795983,4120508.0633795983,4120508.0633795983,-2674518.1626691576,-2674518.1626691576,-2674518.1626691576,0.0,0.0,0.0,1021620.803412037
6,2015-07-01,-435279.57302157814,1033418.6420231521,1256810.35990891,-435279.57302157814,-435279.57302157814,1577282.38761642,1577282.38761642,1577282.38761642,4062692.4596101753,4062692.4596101753,4062692.4596101753,-2485410.071993755,-2485410.071993755,-2485410.071993755,0.0,0.0,0.0,1142002.8145948418
7,2015-10-01,-446309.94406882604,948561.8856518954,1159989.8159219136,-446309.94406882604,-446309.94406882604,1495757.0756407676,1495757.0756407676,1495757.0756407676,4183447.614053433,4183447.614053433,4183447.614053433,-2687690.538412665,-2687690.538412665,-2687690.538412665,0.0,0.0,0.0,1049447.1315719415
8,2016-01-01,-457340.3432588467,817008.6496505664,1037376.9543541741,-457340.3432588467,-457340.3432588467,1384561.630286635,1384561.630286635,1384561.630286635,4233107.399292241,4233107.399292241,4233107.399292241,-2848545.7690056073,-2848545.7690056073,-2848545.7690056073,0.0,0.0,0.0,927221.2870277881
9,2016-04-01,-468251.7366176709,891842.1369051746,1106932.189314186,-468251.7366176709,-468251.7366176709,1469140.823480873,1469140.823480873,1469140.823480873,4217208.488109781,4217208.488109781,4217208.488109781,-2748067.66462891,-2748067.66462891,-2748067.66462891,0.0,0.0,0.0,1000889.086863202
