,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-394330.63975735067,897821.8223254232,1071494.8107619032,-394330.63975735067,-394330.63975735067,1377550.486061909,1377550.486061909,1377550.486061909,-123046.56181541277,-123046.56181541277,-123046.56181541277,1500597.0478773217,1500597.0478773217,1500597.0478773217,0.0,0.0,0.0,983219.8463045583
1,2014-04-01,-402262.5914613034,966664.2458979165,1137351.4605962543,-402262.5914613034,-402262.5914613034,1455214.334874924,1455214.334874924,1455214.334874924,-308074.60993914556,-308074.60993914556,-308074.60993914556,1763288.9448140706,1763288.9448140706,1763288.9448140706,0.0,0.0,0.0,1052951.7434136206
2,2014-07-01,-410282.6759893508,1062337.6164108235,1233366.9422514774,-410282.6759893508,-410282.6759893508,1556732.2135091631,1556732.2135091631,1556732.2135091631,-353138.76905629627,-353138.76905629627,-353138.76905629627,1909870.982565459,1909870.982565459,1909870.982565459,0.0,0.0,0.0,1146449.5375198124
3,2014-10-01,-418390.8933381092,964972.4288072624,1135278.35427585,-418390.8933381092,-418390.8933381092,1467848.537502418,1467848.537502418,1467848.537502418,-230897.9576686711,-230897.9576686711,-230897.9576686711,1698746.4951710894,1698746.4951710894,1698746.4951710894,0.0,0.0,0.0,1049457.644164309
4,2015-01-01,-426499.1106561098,882066.2453551727,1060464.0030191164,-426499.1106561098,-426499.1106561098,1396152.385293601,1396152.385293601,1396152.385293601,-123046.5618173368,-123046.5618173368,-123046.5618173368,1519198.9471109372,1519198.9471109372,1519198.9471109372,0.0,0.0,0.0,969653.2746374912
5,2015-04-01,-434431.06240776496,956554.346532349,1129434.4599881922,-434431.06240776496,-434431.06240776496,1480411.5393826691,1480411.5393826691,1480411.5393826691,-308074.6099403473,-308074.6099403473,-308074.6099403473,1788486.149323017,1788486.149323017,1788486.149323017,0.0,0.0,0.0,1045980.4769749042
6,2015-07-01,-442451.1469824853,1083522.3801484508,1261180.165289195,-442451.1469824853,-442451.1469824853,1613758.137568481,1613758.137568481,1613758.137568481,-353138.7690541451,-353138.7690541451,-353138.7690541451,1966896.9066226261,1966896.9066226261,1966896.9066226261,0.0,0.0,0.0,1171306.9905859958
7,2015-10-01,-450559.36438408506,979099.626367609,1149483.306002797,-450559.36438408506,-450559.36438408506,1524008.290852447,1524008.290852447,1524008.290852447,-230897.95766818602,-230897.95766818602,-230897.95766818602,1754906.248520633,1754906.248520633,1754906.248520633,0.0,0.0,0.0,1073448.926468362
8,2016-01-01,-458667.5818032137,873573.2443770183,1048190.4845308202,-458667.5818032137,-458667.5818032137,1423283.2916829828,1423283.2916829828,1423283.2916829828,-123046.56181743786,-123046.56181743786,-123046.56181743786,1546329.85350042,1546329.85350042,1546329.85350042,0.0,0.0,0.0,964615.7098797691
9,2016-04-01,-466687.6664815471,963363.2351285878,1140463.8579315296,-466687.6664815471,-466687.6664815471,1514457.4586233567,1514457.4586233567,1514457.4586233567,-159145.20519828468,-159145.20519828468,-159145.20519828468,1673602.6638216416,1673602.6638216416,1673602.6638216416,0.0,0.0,0.0,1047769.7921418096
