,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-256537.87383879465,782405.0612263335,979605.5574436856,-256537.87383879465,-256537.87383879465,1133557.6029008606,1133557.6029008606,1133557.6029008606,312310.2886097222,312310.2886097222,312310.2886097222,821247.3142911384,821247.3142911384,821247.3142911384,0.0,0.0,0.0,877019.729062066
1,2014-04-01,-262908.2523357856,784856.896269825,989717.5224805988,-262908.2523357856,-262908.2523357856,1149785.078081662,1149785.078081662,1149785.078081662,271796.84205710335,271796.84205710335,271796.84205710335,877988.2360245585,877988.2360245585,877988.2360245585,0.0,0.0,0.0,886876.8257458764
2,2014-07-01,-269349.41282791935,791921.0311200521,996952.9457661982,-269349.41282791935,-269349.41282791935,1159118.3002010088,1159118.3002010088,1159118.3002010088,225486.37375490865,225486.37375490865,225486.37375490865,933631.9264461,933631.9264461,933631.9264461,0.0,0.0,0.0,889768.8873730894
3,2014-10-01,-275861.35529639595,810534.7389670014,1026611.6260677855,-275861.35529639595,-275861.35529639595,1194852.0804498866,1194852.0804498866,1194852.0804498866,318954.5655480981,318954.5655480981,318954.5655480981,875897.5149017889,875897.5149017889,875897.5149017889,0.0,0.0,0.0,918990.7251534907
4,2015-01-01,-282373.29775638116,736938.802609955,930370.183058415,-282373.29775638116,-282373.29775638116,1115863.9092592408,1115863.9092592408,1115863.9092592408,312310.2886088343,312310.2886088343,312310.2886088343,803553.6206504066,803553.6206504066,803553.6206504066,0.0,0.0,0.0,833490.6115028597
5,2015-04-01,-288743.6762637621,779721.25689456,982221.770590973,-288743.6762637621,-288743.6762637621,1164242.0173662158,1164242.0173662158,1164242.0173662158,271796.84205606946,271796.84205606946,271796.84205606946,892445.1753101463,892445.1753101463,892445.1753101463,0.0,0.0,0.0,875498.3411024536
6,2015-07-01,-295184.8367647961,804705.4498699204,1006984.3076647725,-295184.8367647961,-295184.8367647961,1195844.779987513,1195844.779987513,1195844.779987513,225486.3737565047,225486.3737565047,225486.3737565047,970358.406231008,970358.406231008,970358.406231008,0.0,0.0,0.0,900659.9432227169
7,2015-10-01,-301696.7792430485,810482.4245790903,1000147.9992595025,-301696.7792430485,-301696.7792430485,1204270.5064873556,1204270.5064873556,1204270.5064873556,318954.56554846384,318954.56554846384,318954.56554846384,885315.9409388922,885315.9409388922,885315.9409388922,0.0,0.0,0.0,902573.727244307
8,2016-01-01,-308208.7217344998,688122.3838714875,896937.4350388402,-308208.7217344998,-308208.7217344998,1097509.1427670862,1097509.1427670862,1097509.1427670862,312310.2886083727,312310.2886083727,312310.2886083727,785198.8541587135,785198.8541587135,785198.8541587135,0.0,0.0,0.0,789300.4210325864
9,2016-04-01,-314649.882364578,747992.875430669,942228.6923986317,-314649.882364578,-314649.882364578,1163639.7376183283,1163639.7376183283,1163639.7376183283,321959.785290616,321959.785290616,321959.785290616,841679.9523277123,841679.9523277123,841679.9523277123,0.0,0.0,0.0,848989.8552537502
10,2016-07-01,-321091.15939226776,752651.443712728,951153.9139334868,-321091.15939226776,-321091.15939226776,1172682.1598675975,1172682.1598675975,1172682.1598675975,324820.5485463572,324820.5485463572,324820.5485463572,847861.6113212403,847861.6113212403,847861.6113212403,0.0,0.0,0.0,851591.0004753298
