,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-210421.5651546985,531581.2523540168,631454.0550642661,-210421.5651546985,-210421.5651546985,790004.5389463506,790004.5389463506,790004.5389463506,623809.0521004645,623809.0521004645,623809.0521004645,166195.48684588564,166195.48684588564,166195.48684588564,0.0,0.0,0.0,579582.9737916521
1,2014-04-01,-212969.46121784946,583659.9009241716,681725.7427933902,-212969.46121784946,-212969.46121784946,844689.0346617507,844689.0346617507,844689.0346617507,572903.0175638488,572903.0175638488,572903.0175638488,271786.01709790184,271786.01709790184,271786.01709790184,0.0,0.0,0.0,631719.5734439013
2,2014-07-01,-215545.66725490827,594184.9977293344,693988.1684699795,-215545.66725490827,-215545.66725490827,859472.823886564,859472.823886564,859472.823886564,541067.857607117,541067.857607117,541067.857607117,318404.9662794469,318404.9662794469,318404.9662794469,0.0,0.0,0.0,643927.1566316558
3,2014-10-01,-218150.1832363241,612240.7538440067,711353.8910369218,-218150.1832363241,-218150.1832363241,879955.4192846185,879955.4192846185,879955.4192846185,608585.8409766617,608585.8409766617,608585.8409766617,271369.57830795675,271369.57830795675,271369.57830795675,0.0,0.0,0.0,661805.2360482943
4,2015-01-01,-220754.6992178129,510239.8292632274,615313.2216383984,-220754.6992178129,-220754.6992178129,781256.7802201222,781256.7802201222,781256.7802201222,623809.0520996582,623809.0520996582,623809.0520996582,157447.72812046373,157447.72812046373,157447.72812046373,0.0,0.0,0.0,560502.0810023093
5,2015-04-01,-223302.59530062295,579463.5818583586,683535.1536342853,-223302.59530062295,-223302.59530062295,855641.8001061832,855641.8001061832,855641.8001061832,572903.0175629192,572903.0175629192,572903.0175629192,282738.782543264,282738.782543264,282738.782543264,0.0,0.0,0.0,632339.2048055602
6,2015-07-01,-225878.80133590495,613429.5155166948,714738.2014421431,-225878.80133590495,-225878.80133590495,892821.6791866866,892821.6791866866,892821.6791866866,541067.8576084654,541067.8576084654,541067.8576084654,351753.8215782213,351753.8215782213,351753.8215782213,0.0,0.0,0.0,666942.8778507817
7,2015-10-01,-228483.31731348953,621329.7765889122,720236.2281443551,-228483.31731348953,-228483.31731348953,896783.9668426366,896783.9668426366,896783.9668426366,608585.8409769706,608585.8409769706,608585.8409769706,288198.1258656661,288198.1258656661,288198.1258656661,0.0,0.0,0.0,668300.6495291471
8,2016-01-01,-231087.8333059137,495877.6026442271,594229.4220178077,-231087.8333059137,-231087.8333059137,777064.4699059209,777064.4699059209,777064.4699059209,623809.0520993231,623809.0520993231,623809.0520993231,153255.417806598,153255.417806598,153255.417806598,0.0,0.0,0.0,545976.6366000072
9,2016-04-01,-233664.0393496574,572784.0865951459,678666.4574043464,-233664.0393496574,-233664.0393496574,859886.6239817365,859886.6239817365,859886.6239817365,621483.794097586,621483.794097586,621483.794097586,238402.82988415044,238402.82988415044,238402.82988415044,0.0,0.0,0.0,626222.5846320791
10,2016-07-01,-236240.24589837532,582229.8103907796,681230.2395614472,-236240.24589837532,-236240.24589837532,866907.1316074027,866907.1316074027,866907.1316074027,616910.255811795,616910.255811795,616910.255811795,249996.87579560772,249996.87579560772,249996.87579560772,0.0,0.0,0.0,630666.8857090274
11,2016-10-01,-238844.76253633393,562880.7327179405,662843.915762923,-238844.76253633393,-238844.76253633393,854707.9436405433,854707.9436405433,854707.9436405433,624937.4615524166,624937.4615524166,624937.4615524166,229770.4820881266,229770.4820881266,229770.4820881266,0.0,0.0,0.0,615863.1811042093
12,2017-01-01,-241456.0161451112,513759.7249617023,613252.3128664078,-241456.0161451112,-241456.0161451112,803311.6930398439,803311.6930398439,803311.6930398439,623832.2817550612,623832.2817550612,623832.2817550612,179479.41128478316,179479.41128478316,179479.41128478316,0.0,0.0,0.0,561855.6768947328
13,2017-04-01,-244013.60255861553,584198.0850301888,685909.8053027139,-244013.60255861553,-244013.60255861553,878499.286431552,878499.286431552,878499.286431552,621483.7940997309,621483.7940997309,621483.7940997309,257015.49233182077,257015.49233182077,257015.49233182077,0.0,0.0,0.0,634485.6838729365
14,2017-07-01,-246614.95713742668,606492.8349972886,705512.4595511571,-246614.95713742668,-246614.95713742668,901379.2974549619,901379.2974549619,901379.2974549619,616910.2558121445,616910.2558121445,616910.2558121445,284469.0416428173,284469.0416428173,284469.0416428173,0.0,0.0,0.0,654764.3403175352
15,2017-10-01,-249246.42706849118,577051.1254441452,677311.2070354769,-249246.42706849118,-249246.42706849118,876815.2085357296,876815.2085357296,876815.2085357296,624937.4615517992,624937.4615517992,624937.4615517992,251877.74698393032,251877.74698393032,251877.74698393032,0.0,0.0,0.0,627568.7814672384
16,2018-01-01,-251879.59569720272,487139.9818772087,588480.870770519,-251879.59569720272,-251879.59569720272,790027.7686008539,790027.7686008539,790027.7686008539,623832.2817552397,623832.2817552397,623832.2817552397,166195.48684561366,166195.48684561366,166195.48684561366,0.0,0.0,0.0,538148.1729036511
17,2018-04-01,-254459.6875265007,587452.4149645868,688744.6760749281,-254459.6875265007,-254459.6875265007,893269.8111967705,893269.8111967705,893269.8111967705,621483.7940986637,621483.7940986637,621483.7940986637,271786.0170981071,271786.0170981071,271786.0170981071,0.0,0.0,0.0,638810.1236702699
18,2018-07-01,-269671.88976269704,615556.2337599829,717333.9074447235,-269671.88976269704,-269671.88976269704,935315.2220912137,935315.2220912137,935315.2220912137,616910.2558117334,616910.2558117334,616910.2558117334,318404.9662794803,318404.9662794803,318404.9662794803,0.0,0.0,0.0,665643.3323285166
19,2018-10-01,-285063.95222923055,558537.3218996071,661219.1390353322,-285063.95222923055,-285063.95222923055,896307.039859358,896307.039859358,896307.039859358,624937.4615514142,624937.4615514142,624937.4615514142,271369.578307944,271369.578307944,271369.578307944,0.0,0.0,0.0,611243.0876301274
20,2019-01-01,-300478.54921359697,431700.3260052598,528233.8369944532,-300478.54921359697,-300478.54921359697,781280.0098749881,781280.0098749881,781280.0098749881,623832.2817542385,623832.2817542385,623832.2817542385,157447.72812075017,157447.72812075017,157447.72812075017,0.0,0.0,0.0,480801.46066139115
21,2019-04-01,-315572.8422210641,534721.5174908807,640163.412705608,-315572.8422210641,-315572.8422210641,904222.5766413651,904222.5766413651,904222.5766413651,621483.7940981642,621483.7940981642,621483.7940981642,282738.7825432007,282738.7825432007,282738.7825432007,0.0,0.0,0.0,588649.7344203009
22,2019-07-01,-330837.4927107443,591934.2867899662,690730.683200815,-330837.4927107443,-330837.4927107443,968664.0773896036,968664.0773896036,968664.0773896036,616910.2558115975,616910.2558115975,616910.2558115975,351753.821578006,351753.821578006,351753.821578006,0.0,0.0,0.0,637826.5846788592
23,2019-10-01,-346279.84103709756,516540.12276063865,617857.3121118477,-346279.84103709756,-346279.84103709756,913135.5874186922,913135.5874186922,913135.5874186922,624937.461552943,624937.461552943,624937.461552943,288198.12586574914,288198.12586574914,288198.12586574914,0.0,0.0,0.0,566855.7463815946
24,2020-01-01,-361722.493103823,365653.4714294556,465423.342170539,-361722.493103823,-361722.493103823,777087.6995615738,777087.6995615738,777087.6995615738,623832.281755062,623832.281755062,623832.281755062,153255.41780651239,153255.41780651239,153255.41780651239,0.0,0.0,0.0,415365.2064577508
25,2020-04-01,-377001.15041502385,433047.099398531,536712.8616339118,-377001.15041502385,-377001.15041502385,863632.0005602064,863632.0005602064,863632.0005602064,625229.1706760341,625229.1706760341,625229.1706760341,238402.82988417216,238402.82988417216,238402.82988417216,0.0,0.0,0.0,486630.8501451825
26,2020-07-01,-392279.80772622477,433727.51065156935,531233.2525673305,-392279.80772622477,-392279.80772622477,875408.3700512969,875408.3700512969,875408.3700512969,625411.4942555189,625411.4942555189,625411.4942555189,249996.87579577786,249996.87579577786,249996.87579577786,0.0,0.0,0.0,483128.5623250721
27,2020-10-01,-407726.3623705157,390343.76938233647,492734.82133860694,-407726.3623705157,-407726.3623705157,849889.4052498342,849889.4052498342,849889.4052498342,620118.9231619923,620118.9231619923,620118.9231619923,229770.48208784187,229770.48208784187,229770.48208784187,0.0,0.0,0.0,442163.04287931847
28,2021-01-01,-423172.91701480676,281165.17167660664,383064.5063065998,-423172.91701480676,-423172.91701480676,756313.1100440889,756313.1100440889,756313.1100440889,576833.6987594707,576833.6987594707,576833.6987594707,179479.41128461852,179479.41128461852,179479.41128461852,0.0,0.0,0.0,333140.19302928215
29,2021-04-01,-438283.67699291755,389580.49904421804,493110.65713120485,-438283.67699291755,-438283.67699291755,882244.6630082399,882244.6630082399,882244.6630082399,625229.1706763165,625229.1706763165,625229.1706763165,257015.4923319237,257015.4923319237,257015.4923319237,0.0,0.0,0.0,443960.9860153224
30,2021-07-01,-453562.33430411847,406888.47970186436,503947.2148612234,-453562.33430411847,-453562.33430411847,909880.5358981639,909880.5358981639,909880.5358981639,625411.4942555575,625411.4942555575,625411.4942555575,284469.0416426064,284469.0416426064,284469.0416426064,0.0,0.0,0.0,456318.20159404544
31,2021-10-01,-469008.88894840947,351793.69019963715,453482.05056103953,-469008.88894840947,-469008.88894840947,871996.6701450496,871996.6701450496,871996.6701450496,620118.9231609575,620118.9231609575,620118.9231609575,251877.74698409214,251877.74698409214,251877.74698409214,0.0,0.0,0.0,402987.7811966401
32,2022-01-01,-484455.4435927004,207549.55235373648,312408.1825334108,-484734.3835127616,-484135.6782282232,743029.1856069486,743029.1856069486,743029.1856069486,576833.6987608795,576833.6987608795,576833.6987608795,166195.48684606917,166195.48684606917,166195.48684606917,0.0,0.0,0.0,258573.74201424816
33,2022-04-01,-499566.2035708112,346784.9114203602,449996.35834824736,-500621.69634673576,-498441.53895213525,897015.1877737013,897015.1877737013,897015.1877737013,625229.1706760044,625229.1706760044,625229.1706760044,271786.01709769724,271786.01709769724,271786.01709769724,0.0,0.0,0.0,397448.9842028901
34,2022-07-01,-514844.8608820122,380991.92293605127,483694.20395323,-517164.2524674403,-512724.0586613976,943816.4605344287,943816.4605344287,943816.4605344287,625411.4942551258,625411.4942551258,625411.4942551258,318404.9662793027,318404.9662793027,318404.9662793027,0.0,0.0,0.0,428971.59965241654
35,2022-10-01,-530291.4155263031,312978.37533260655,412787.88377270824,-534099.1942113251,-526880.2337188014,891488.5014691028,891488.5014691028,891488.5014691028,620118.9231611757,620118.9231611757,620118.9231611757,271369.5783079271,271369.5783079271,271369.5783079271,0.0,0.0,0.0,361197.0859427997
