,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-9608895373.843494,17156468695.08314,19162693019.168365,-9608895373.843494,-9608895373.843494,27796254766.948223,27796254766.948223,27796254766.948223,25242601746.87393,25242601746.87393,25242601746.87393,2553653020.0742693,2553653020.0742693,2553653020.0742693,0.0,0.0,0.0,18187359393.10473
1,2014-04-01,-9522029844.312538,19235493232.020424,21288877625.568684,-9522029844.312538,-9522029844.312538,29785529259.902805,29785529259.902805,29785529259.902805,20139194495.118484,20139194495.118484,20139194495.118484,9646334764.7843,9646334764.7843,9646334764.7843,0.0,0.0,0.0,20263499415.590267
2,2014-07-01,-9434199141.892885,21144717584.638317,23213047116.2319,-9434199141.892885,-9434199141.892885,31662035507.414436,31662035507.414436,31662035507.414436,18838609638.130344,18838609638.130344,18838609638.130344,12823425869.284092,12823425869.284092,12823425869.284092,0.0,0.0,0.0,22227836365.521553
3,2014-10-01,-9345403266.689686,20063997420.288116,22162429997.54549,-9345403266.689686,-9345403266.689686,30458843380.49643,30458843380.49643,30458843380.49643,22201426355.204994,22201426355.204994,22201426355.204994,8257417025.291416,8257417025.291416,8257417025.291416,0.0,0.0,0.0,21113440113.806744
4,2015-01-01,-9256607391.623777,18351550079.680996,20335909471.620926,-9256607391.623777,-9256607391.623777,28580375318.716583,28580375318.716583,28580375318.716583,25242601746.826687,25242601746.826687,25242601746.826687,3337773571.8898964,3337773571.8898964,3337773571.8898964,0.0,0.0,0.0,19323767927.092804
5,2015-04-01,-9169741861.801064,20262833007.04909,22401108136.29702,-9169741861.801064,-9169741861.801064,30499346868.172905,30499346868.172905,30499346868.172905,20139194495.072186,20139194495.072186,20139194495.072186,10360152373.100695,10360152373.100695,10360152373.100695,0.0,0.0,0.0,21329605006.37184
6,2015-07-01,-9081911159.596369,23215805686.96826,25278204770.790775,-9081911159.596369,-9081911159.596369,33375874087.340755,33375874087.340755,33375874087.340755,18838609638.200855,18838609638.200855,18838609638.200855,14537264449.139898,14537264449.139898,14537264449.139898,0.0,0.0,0.0,24293962927.744385
7,2015-10-01,-8993115284.84441,22443633763.580303,24463303720.373684,-8993115284.84441,-8993115284.84441,32443162668.20173,32443162668.20173,32443162668.20173,22201426355.220047,22201426355.220047,22201426355.220047,10241736312.981682,10241736312.981682,10241736312.981682,0.0,0.0,0.0,23450047383.35732
8,2016-01-01,-8904319409.983364,19638466840.276367,21796180914.254444,-8904319409.983364,-8904319409.983364,29600170957.709747,29600170957.709747,29600170957.709747,25242601746.819935,25242601746.819935,25242601746.819935,4357569210.889811,4357569210.889811,4357569210.889811,0.0,0.0,0.0,20695851547.726383
9,2016-04-01,-8816488707.486572,21238605147.960754,23324161078.76899,-8816488707.486572,-8816488707.486572,31109367038.504448,31109367038.504448,31109367038.504448,24156961480.99591,24156961480.99591,24156961480.99591,6952405557.508535,6952405557.508535,6952405557.508535,0.0,0.0,0.0,22292878331.017876
10,2016-07-01,-8728658004.939,22812589000.678066,24837395333.016838,-8728658004.939,-8728658004.939,32514791732.341904,32514791732.341904,32514791732.341904,23156611255.926785,23156611255.926785,23156611255.926785,9358180476.415121,9358180476.415121,9358180476.415121,0.0,0.0,0.0,23786133727.402905
11,2016-10-01,-8640130435.196966,21334670986.98757,23381351180.518383,-8640130435.196966,-8640130435.196966,30923147565.15762,30923147565.15762,30923147565.15762,26424310093.364136,26424310093.364136,26424310093.364136,4498837471.793487,4498837471.793487,4498837471.793487,0.0,0.0,0.0,22283017129.960655
