,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-260261.7512742805,784241.1430415153,981032.2247490309,-260261.7512742805,-260261.7512742805,1143209.4688979657,1143209.4688979657,1143209.4688979657,2578752.7405870515,2578752.7405870515,2578752.7405870515,-1435543.2716890846,-1435543.2716890846,-1435543.2716890846,0.0,0.0,0.0,882947.7176236853
1,2014-04-01,-268636.65799821104,807042.037699291,1006273.1573784081,-268636.65799821104,-268636.65799821104,1175318.3656857202,1175318.3656857202,1175318.3656857202,2534404.4887101687,2534404.4887101687,2534404.4887101687,-1359086.1230244497,-1359086.1230244497,-1359086.1230244497,0.0,0.0,0.0,906681.7076875092
2,2014-07-01,-277104.61926361505,835578.0511748989,1029114.5507273936,-277104.61926361505,-277104.61926361505,1205714.7678048336,1205714.7678048336,1205714.7678048336,2482127.086030401,2482127.086030401,2482127.086030401,-1276412.3182255672,-1276412.3182255672,-1276412.3182255672,0.0,0.0,0.0,928610.1485412186
3,2014-10-01,-285665.6350604331,846225.4701573654,1040785.1212862254,-285665.6350604331,-285665.6350604331,1230205.4187661358,1230205.4187661358,1230205.4187661358,2581982.147265384,2581982.147265384,2581982.147265384,-1351776.7284992482,-1351776.7284992482,-1351776.7284992482,0.0,0.0,0.0,944539.7837057028
4,2015-01-01,-294226.65083702863,719920.9198086939,918555.1048667523,-294226.65083702863,-294226.65083702863,1113136.0627405192,1113136.0627405192,1113136.0627405192,2578752.7405859153,2578752.7405859153,2578752.7405859153,-1465616.6778453966,-1465616.6778453966,-1465616.6778453966,0.0,0.0,0.0,818909.4119034905
5,2015-04-01,-302601.55756361474,773590.3058103353,964723.8258285543,-302601.55756361474,-302601.55756361474,1176690.9846656257,1176690.9846656257,1176690.9846656257,2534404.48870822,2534404.48870822,2534404.48870822,-1357713.5040425947,-1357713.5040425947,-1357713.5040425947,0.0,0.0,0.0,874089.4271020109
6,2015-07-01,-311069.5188294297,847495.573131585,1043731.1635615303,-311069.5188294297,-311069.5188294297,1260409.2095785215,1260409.2095785215,1260409.2095785215,2482127.0860331524,2482127.0860331524,2482127.0860331524,-1221717.8764546306,-1221717.8764546306,-1221717.8764546306,0.0,0.0,0.0,949339.6907490918
7,2015-10-01,-319630.53461541096,834112.5732318099,1034868.6825258923,-319630.53461541096,-319630.53461541096,1254824.6299812545,1254824.6299812545,1254824.6299812545,2581982.147265979,2581982.147265979,2581982.147265979,-1327157.5172847244,-1327157.5172847244,-1327157.5172847244,0.0,0.0,0.0,935194.0953658435
8,2016-01-01,-328193.8511384694,666524.129484327,855292.4794011095,-328193.8511384694,-328193.8511384694,1091771.246953007,1091771.246953007,1091771.246953007,2578752.7405854007,2578752.7405854007,2578752.7405854007,-1486981.4936323934,-1486981.4936323934,-1486981.4936323934,0.0,0.0,0.0,763577.3958145377
9,2016-04-01,-336664.3128450161,771106.2207351472,973281.2108245284,-336664.3128450161,-336664.3128450161,1204142.2702216336,1204142.2702216336,1204142.2702216336,2584952.4346905006,2584952.4346905006,2584952.4346905006,-1380810.1644688672,-1380810.1644688672,-1380810.1644688672,0.0,0.0,0.0,867477.9573766175
