,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-830642.4383089775,2951665.0043465793,3453525.9791039033,-830642.4383089775,-830642.4383089775,4036071.9017043924,4036071.9017043924,4036071.9017043924,14651391.357770637,14651391.357770637,14651391.357770637,-10615319.456066241,-10615319.456066241,-10615319.456066241,0.0,0.0,0.0,3205429.463395415
1,2014-04-01,-841803.890239963,3392242.2106945096,3889155.54735398,-841803.890239963,-841803.890239963,4486432.801782394,4486432.801782394,4486432.801782394,14099102.876340961,14099102.876340961,14099102.876340961,-9612670.074558567,-9612670.074558567,-9612670.074558567,0.0,0.0,0.0,3644628.911542431
2,2014-07-01,-853089.3575592291,3710323.2777635595,4190784.3123548185,-853089.3575592291,-853089.3575592291,4801115.3849684745,4801115.3849684745,4801115.3849684745,13899196.529043138,13899196.529043138,13899196.529043138,-9098081.144074664,-9098081.144074664,-9098081.144074664,0.0,0.0,0.0,3948026.0274092453
3,2014-10-01,-864498.8413184729,3424788.6260180557,3924331.2120462065,-864498.8413184729,-864498.8413184729,4535977.917566672,4535977.917566672,4535977.917566672,14352957.174407976,14352957.174407976,14352957.174407976,-9816979.256841302,-9816979.256841302,-9816979.256841302,0.0,0.0,0.0,3671479.076248199
4,2015-01-01,-875908.3240367159,2981068.9554447653,3465688.2661602674,-875908.3240367159,-875908.3240367159,4104799.3327706773,4104799.3327706773,4104799.3327706773,14651391.357762864,14651391.357762864,14651391.357762864,-10546592.024992188,-10546592.024992188,-10546592.024992188,0.0,0.0,0.0,3228891.0087339613
5,2015-04-01,-887069.7740298159,3410611.7036874085,3927025.360434583,-887069.7740298159,-887069.7740298159,4565270.450295372,4565270.450295372,4565270.450295372,14099102.876331944,14099102.876331944,14099102.876331944,-9533832.42603657,-9533832.42603657,-9533832.42603657,0.0,0.0,0.0,3678200.676265556
6,2015-07-01,-898355.2394136436,3945240.4200714226,4413436.184412673,-898355.2394136436,-898355.2394136436,5067096.79028224,5067096.79028224,5067096.79028224,13899196.529055888,13899196.529055888,13899196.529055888,-8832099.738773648,-8832099.738773648,-8832099.738773648,0.0,0.0,0.0,4168741.5508685964
7,2015-10-01,-909764.7217334539,3634008.7660841392,4138844.5965238544,-909764.7217334539,-909764.7217334539,4788246.7536131,4788246.7536131,4788246.7536131,14352957.174410824,14352957.174410824,14352957.174410824,-9564710.420797724,-9564710.420797724,-9564710.420797724,0.0,0.0,0.0,3878482.0318796467
8,2016-01-01,-921174.2048011282,3041518.9426806704,3547095.2773946295,-921174.2048011282,-921174.2048011282,4218506.57183812,4218506.57183812,4218506.57183812,14651391.357761182,14651391.357761182,14651391.357761182,-10432884.785923066,-10432884.785923066,-10432884.785923066,0.0,0.0,0.0,3297332.3670369918
9,2016-04-01,-932459.6723657893,3498018.866556163,3997008.1737958463,-932459.6723657893,-932459.6723657893,4679158.706230614,4679158.706230614,4679158.706230614,14544583.607852897,14544583.607852897,14544583.607852897,-9865424.901622284,-9865424.901622284,-9865424.901622284,0.0,0.0,0.0,3746699.033864825
10,2016-07-01,-943745.1409254358,3659555.0802183673,4151367.484730382,-943745.1409254358,-943745.1409254358,4843984.465724794,4843984.465724794,4843984.465724794,14448486.346280923,14448486.346280923,14448486.346280923,-9604501.880556127,-9604501.880556127,-9604501.880556127,0.0,0.0,0.0,3900239.3247993584
11,2016-10-01,-955155.1170754739,3272145.441537869,3767504.237268047,-955155.1170754739,-955155.1170754739,4480566.849875453,4480566.849875453,4480566.849875453,14773481.930286864,14773481.930286864,14773481.930286864,-10292915.080411408,-10292915.080411408,-10292915.080411408,0.0,0.0,0.0,3525411.732799979
12,2017-01-01,-966571.3181902381,3354872.870719702,3803858.3445196776,-966571.3181902381,-966571.3181902381,4547741.588598713,4547741.588598713,4547741.588598713,15187041.134695532,15187041.134695532,15187041.134695532,-10639299.546096822,-10639299.546096822,-10639299.546096822,0.0,0.0,0.0,3581170.2704084753
13,2017-04-01,-977781.9725596214,3610928.7785888473,4094800.4957431387,-977781.9725596214,-977781.9725596214,4821435.541975722,4821435.541975722,4821435.541975722,14544583.607872318,14544583.607872318,14544583.607872318,-9723148.065896597,-9723148.065896597,-9723148.065896597,0.0,0.0,0.0,3843653.5694161
14,2017-07-01,-989228.437338921,3853803.3650281252,4343453.687158512,-989228.437338921,-989228.437338921,5092742.796353746,5092742.796353746,5092742.796353746,14448486.346283691,14448486.346283691,14448486.346283691,-9355743.549929943,-9355743.549929943,-9355743.549929943,0.0,0.0,0.0,4103514.359014825
15,2017-10-01,-1016949.0865454216,3458873.1827703505,3945476.724302343,-1016949.0865454216,-1016949.0865454216,4713618.163591439,4713618.163591439,4713618.163591439,14773481.93028043,14773481.93028043,14773481.93028043,-10059863.76668899,-10059863.76668899,-10059863.76668899,0.0,0.0,0.0,3696669.077046017
16,2018-01-01,-1044679.8752368324,3277997.9918007646,3769541.078964269,-1044679.8752368324,-1044679.8752368324,4571721.67862476,4571721.67862476,4571721.67862476,15187041.134697493,15187041.134697493,15187041.134697493,-10615319.45607273,-10615319.45607273,-10615319.45607273,0.0,0.0,0.0,3527041.803387928
17,2018-04-01,-1071859.7833903618,3632739.6719557815,4118944.4106508265,-1071859.7833903618,-1071859.7833903618,4931913.533304005,4931913.533304005,4931913.533304005,14544583.60786183,14544583.60786183,14544583.60786183,-9612670.074557824,-9612670.074557824,-9612670.074557824,0.0,0.0,0.0,3860053.749913643
18,2018-07-01,-1179196.9344442994,3909684.4119383846,4422232.45627964,-1179196.9344442994,-1179196.9344442994,5350405.202203974,5350405.202203974,5350405.202203974,14448486.346279986,14448486.346279986,14448486.346279986,-9098081.144076014,-9098081.144076014,-9098081.144076014,0.0,0.0,0.0,4171208.2677596747
19,2018-10-01,-1287725.1521985158,3428124.204401986,3916356.938720803,-1287725.1521985158,-1287725.1521985158,4956502.673436028,4956502.673436028,4956502.673436028,14773481.930277016,14773481.930277016,14773481.930277016,-9816979.256840987,-9816979.256840987,-9816979.256840987,0.0,0.0,0.0,3668777.521237512
20,2019-01-01,-1396476.9283651337,2990980.012959114,3506586.1179593103,-1396476.9283651337,-1396476.9283651337,4640449.109694674,4640449.109694674,4640449.109694674,15187041.134684859,15187041.134684859,15187041.134684859,-10546592.024990182,-10546592.024990182,-10546592.024990182,0.0,0.0,0.0,3243972.18132954
21,2019-04-01,-1502956.7021359936,3262555.022087687,3745147.3968251124,-1502956.7021359936,-1502956.7021359936,5010751.1818197435,5010751.1818197435,5010751.1818197435,14544583.607858295,14544583.607858295,14544583.607858295,-9533832.42603855,-9533832.42603855,-9533832.42603855,0.0,0.0,0.0,3507794.47968375
22,2019-07-01,-1610629.3201470426,3741796.444979928,4237669.628573506,-1610629.3201470426,-1610629.3201470426,5616386.6074982155,5616386.6074982155,5616386.6074982155,14448486.346278628,14448486.346278628,14448486.346278628,-8832099.738780413,-8832099.738780413,-8832099.738780413,0.0,0.0,0.0,4005757.287351173
23,2019-10-01,-1719528.4692705374,3247714.9977313867,3748059.8481182344,-1719528.4692705374,-1719528.4692705374,5208771.509495101,5208771.509495101,5208771.509495101,14773481.930291878,14773481.930291878,14773481.930291878,-9564710.420796778,-9564710.420796778,-9564710.420796778,0.0,0.0,0.0,3489243.0402245633
24,2020-01-01,-1828509.8236174143,2682639.40581247,3181397.926359084,-1828509.8236174143,-1828509.8236174143,4754156.348774476,4754156.348774476,4754156.348774476,15187041.134696528,15187041.134696528,15187041.134696528,-10432884.785922056,-10432884.785922056,-10432884.785922056,0.0,0.0,0.0,2925646.5251570614
25,2020-04-01,-1936352.5147747837,2993354.240589067,3488720.911026336,-1936352.5147747837,-1936352.5147747837,5186400.943050575,5186400.943050575,5186400.943050575,15051825.844671804,15051825.844671804,15051825.844671804,-9865424.901621228,-9865424.901621228,-9865424.901621228,0.0,0.0,0.0,3250048.428275792
26,2020-07-01,-2044195.2059321532,3009812.425421883,3514753.721696825,-2044195.2059321532,-2044195.2059321532,5304961.300260529,5304961.300260529,5304961.300260529,14909463.180814527,14909463.180814527,14909463.180814527,-9604501.880553996,-9604501.880553996,-9604501.880553996,0.0,0.0,0.0,3260766.0943283755
27,2020-10-01,-2153222.981607735,2596589.2780439504,3091537.284795097,-2153222.981607735,-2153222.981607735,5002993.629786622,5002993.629786622,5002993.629786622,15295908.710199624,15295908.710199624,15295908.710199624,-10292915.080413003,-10292915.080413003,-10292915.080413003,0.0,0.0,0.0,2849770.6481788866
28,2021-01-01,-2262250.757283318,2043451.2077319382,2555192.554157153,-2262250.757283318,-2262250.757283318,4561995.703472897,4561995.703472897,4561995.703472897,15201295.249568114,15201295.249568114,15201295.249568114,-10639299.546095215,-10639299.546095215,-10639299.546095215,0.0,0.0,0.0,2299744.9461895796
29,2021-04-01,-2368908.3639224744,2707198.1968241595,3197567.147833525,-2368908.3639224744,-2368908.3639224744,5328677.778780086,5328677.778780086,5328677.778780086,15051825.844676523,15051825.844676523,15051825.844676523,-9723148.065896442,-9723148.065896442,-9723148.065896442,0.0,0.0,0.0,2959769.4148576115
30,2021-07-01,-2476751.0550798434,2829188.748722143,3328006.49958431,-2476751.0550798434,-2476751.0550798434,5553719.630878297,5553719.630878297,5553719.630878297,14909463.180816503,14909463.180816503,14909463.180816503,-9355743.549938206,-9355743.549938206,-9355743.549938206,0.0,0.0,0.0,3076968.5757984533
31,2021-10-01,-2585778.8307554256,2415835.364528783,2908740.144735996,-2585778.8307554256,-2585778.8307554256,5236044.943500346,5236044.943500346,5236044.943500346,15295908.710188815,15295908.710188815,15295908.710188815,-10059863.76668847,-10059863.76668847,-10059863.76668847,0.0,0.0,0.0,2650266.11274492
32,2022-01-01,-2694806.606431008,1645517.6566806755,2122476.9305396276,-2697396.907424455,-2692049.4663929297,4585975.793522051,4585975.793522051,4585975.793522051,15201295.249584444,15201295.249584444,15201295.249584444,-10615319.456062393,-10615319.456062393,-10615319.456062393,0.0,0.0,0.0,1891169.1870910428
33,2022-04-01,-2801464.213070164,2394466.3332487233,2891477.5168365873,-2810108.529700735,-2792699.190914845,5439155.770110146,5439155.770110146,5439155.770110146,15051825.84467191,15051825.84467191,15051825.84467191,-9612670.07456176,-9612670.07456176,-9612670.07456176,0.0,0.0,0.0,2637691.557039982
34,2022-07-01,-2909306.9042275343,2654825.2705137567,3141927.1974574374,-2926055.70668094,-2891697.2522967323,5811382.036731196,5811382.036731196,5811382.036731196,14909463.18081101,14909463.18081101,14909463.18081101,-9098081.144079816,-9098081.144079816,-9098081.144079816,0.0,0.0,0.0,2902075.1325036613
35,2022-10-01,-3018334.6799031165,2222036.5108957863,2706946.0954733193,-3044272.241898125,-2989661.906711645,5478929.4533500215,5478929.4533500215,5478929.4533500215,15295908.710191809,15295908.710191809,15295908.710191809,-9816979.25684179,-9816979.25684179,-9816979.25684179,0.0,0.0,0.0,2460594.773446905
