,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-139924.52564856902,2219896.8254684005,2567948.7982084206,-139924.52564856902,-139924.52564856902,2528103.6435707402,2528103.6435707402,2528103.6435707402,14619604.318267595,14619604.318267595,14619604.318267595,-12091500.674696855,-12091500.674696855,-12091500.674696855,0.0,0.0,0.0,2388179.117922171
1,2014-04-01,-141265.86664295362,2382396.80593809,2735652.8996940046,-141265.86664295362,-141265.86664295362,2700830.992624576,2700830.992624576,2700830.992624576,14478354.82020467,14478354.82020467,14478354.82020467,-11777523.827580096,-11777523.827580096,-11777523.827580096,0.0,0.0,0.0,2559565.1259816224
2,2014-07-01,-142622.1119044533,2632677.7012244184,2975971.3215703536,-142622.1119044533,-142622.1119044533,2944669.541427013,2944669.541427013,2944669.541427013,14396904.800630242,14396904.800630242,14396904.800630242,-11452235.25920323,-11452235.25920323,-11452235.25920323,0.0,0.0,0.0,2802047.4295225595
3,2014-10-01,-143993.25933656137,2403833.855215317,2750490.6217419924,-143993.25933656137,-143993.25933656137,2725933.7996781766,2725933.7996781766,2725933.7996781766,14552884.547455296,14552884.547455296,14552884.547455296,-11826950.747777121,-11826950.747777121,-11826950.747777121,0.0,0.0,0.0,2581940.540341615
4,2015-01-01,-145364.4066313919,2193656.266718542,2554724.4573884043,-145364.4066313919,-145364.4066313919,2515413.794400531,2515413.794400531,2515413.794400531,14619604.318263676,14619604.318263676,14619604.318263676,-12104190.523863144,-12104190.523863144,-12104190.523863144,0.0,0.0,0.0,2370049.387769139
5,2015-04-01,-146705.74873089395,2437034.0544415032,2780048.6413075547,-146705.74873089395,-146705.74873089395,2753578.0264106328,2753578.0264106328,2753578.0264106328,14478354.820198966,14478354.820198966,14478354.820198966,-11724776.793788332,-11724776.793788332,-11724776.793788332,0.0,0.0,0.0,2606872.2776797386
6,2015-07-01,-148061.99292023125,2780691.577407737,3134558.390456915,-148061.99292023125,-148061.99292023125,3111164.173607236,3111164.173607236,3111164.173607236,14396904.800638052,14396904.800638052,14396904.800638052,-11285740.627030818,-11285740.627030818,-11285740.627030818,0.0,0.0,0.0,2963102.1806870047
7,2015-10-01,-149433.14182360494,2562966.209299802,2918077.344610294,-149433.14182360494,-149433.14182360494,2897347.07185131,2897347.07185131,2897347.07185131,14552884.547457006,14552884.547457006,14552884.547457006,-11655537.475605695,-11655537.475605695,-11655537.475605695,0.0,0.0,0.0,2747913.9300277047
8,2016-01-01,-150804.28863732578,2188366.1887837388,2531209.464239787,-150804.28863732578,-150804.28863732578,2515879.791842023,2515879.791842023,2515879.791842023,14619604.318263251,14619604.318263251,14619604.318263251,-12103724.526421228,-12103724.526421228,-12103724.526421228,0.0,0.0,0.0,2365075.5032046973
9,2016-04-01,-152160.53099292278,2364103.6334999944,2713600.6112563075,-152160.53099292278,-152160.53099292278,2694049.0971304104,2694049.0971304104,2694049.0971304104,14592874.217374887,14592874.217374887,14592874.217374887,-11898825.120244477,-11898825.120244477,-11898825.120244477,0.0,0.0,0.0,2541888.5661374875
