,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-296243.5714614637,300869.0809058773,353981.04276740656,-296243.5714614637,-296243.5714614637,623556.1646560952,623556.1646560952,623556.1646560952,982125.798084915,982125.798084915,982125.798084915,-358569.6334288202,-358569.6334288202,-358569.6334288202,0.0,0.0,0.0,327312.5931946315
1,2014-04-01,-293986.48622523295,366280.68435027625,420655.5734833079,-293986.48622523295,-293986.48622523295,687034.619671086,687034.619671086,687034.619671086,828354.5360460943,828354.5360460943,828354.5360460943,-141319.91637500757,-141319.91637500757,-141319.91637500757,0.0,0.0,0.0,393048.133445853
2,2014-07-01,-291704.32223902864,420951.63792189595,474473.47668446833,-291704.32223902864,-291704.32223902864,739303.6676995578,739303.6676995578,739303.6676995578,777622.9058132712,777622.9058132712,777622.9058132712,-38319.23811371357,-38319.23811371357,-38319.23811371357,0.0,0.0,0.0,447599.3454605292
3,2014-10-01,-289397.0795418667,349882.8535584797,403387.6706020855,-289397.0795418667,-289397.0795418667,666697.1596821316,666697.1596821316,666697.1596821316,900088.7990329462,900088.7990329462,900088.7990329462,-233391.63935081463,-233391.63935081463,-233391.63935081463,0.0,0.0,0.0,377300.0801402649
4,2015-01-01,-287089.83680816466,332075.7872660436,386607.3220607789,-287089.83680816466,-287089.83680816466,646482.8067683458,646482.8067683458,646482.8067683458,982125.7980832368,982125.7980832368,982125.7980832368,-335642.99131489074,-335642.99131489074,-335642.99131489074,0.0,0.0,0.0,359392.9699601811
5,2015-04-01,-284832.7515165495,401726.16852246434,453446.1055363033,-284832.7515165495,-284832.7515165495,713402.6321090538,713402.6321090538,713402.6321090538,828354.5360445027,828354.5360445027,828354.5360445027,-114951.90393544898,-114951.90393544898,-114951.90393544898,0.0,0.0,0.0,428569.8805925043
6,2015-07-01,-282550.58748117206,487104.0342299509,540037.9191795515,-282550.58748117206,-282550.58748117206,796082.826589535,796082.826589535,796082.826589535,777622.9058156541,777622.9058156541,777622.9058156541,18459.92077388089,18459.92077388089,18459.92077388089,0.0,0.0,0.0,513532.23910836293
7,2015-10-01,-280243.3447215961,408755.99507501203,460556.2789382276,-280243.3447215961,-280243.3447215961,716082.9718970283,716082.9718970283,716082.9718970283,900088.799033483,900088.799033483,900088.799033483,-184005.82713645467,-184005.82713645467,-184005.82713645467,0.0,0.0,0.0,435839.62717543216
8,2016-01-01,-277936.10199116817,368930.7286729622,421710.95939408505,-277936.10199116817,-277936.10199116817,672372.1540625145,672372.1540625145,672372.1540625145,982125.7980828078,982125.7980828078,982125.7980828078,-309753.6440202933,-309753.6440202933,-309753.6440202933,0.0,0.0,0.0,394436.0520713464
9,2016-04-01,-275653.9379638929,442530.4086550941,493518.3421852527,-275653.9379638929,-275653.9379638929,742387.6039907623,742387.6039907623,742387.6039907623,954853.217611327,954853.217611327,954853.217611327,-212465.61362056492,-212465.61362056492,-212465.61362056492,0.0,0.0,0.0,466733.6660268694
