,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-156469.01470734103,68924.91128803967,83907.57228120642,-156469.01470734103,-156469.01470734103,232952.69433548732,232952.69433548732,232952.69433548732,-1371457.2114022546,-1371457.2114022546,-1371457.2114022546,1604409.9057377423,1604409.9057377423,1604409.9057377423,0.0,0.0,0.0,76483.67962814629
1,2014-04-01,-154191.45934095897,77778.83702498997,93503.45251001425,-154191.45934095897,-154191.45934095897,239733.44141476575,239733.44141476575,239733.44141476575,-1416928.504704786,-1416928.504704786,-1416928.504704786,1656661.9461195515,1656661.9461195515,1656661.9461195515,0.0,0.0,0.0,85541.98207380678
2,2014-07-01,-151888.59780000022,86463.43462318517,101513.39967452985,-151888.59780000022,-151888.59780000022,245868.30384881806,245868.30384881806,245868.30384881806,-1428525.4149100708,-1428525.4149100708,-1428525.4149100708,1674393.7187588888,1674393.7187588888,1674393.7187588888,0.0,0.0,0.0,93979.70604881784
3,2014-10-01,-149560.4300945896,77512.57852151405,92580.83609914177,-149560.4300945896,-149560.4300945896,234630.2585660751,234630.2585660751,234630.2585660751,-1396452.629191412,-1396452.629191412,-1396452.629191412,1631082.887757487,1631082.887757487,1631082.887757487,0.0,0.0,0.0,85069.8284714855
4,2015-01-01,-147232.26239390933,80491.0406282592,95893.0405186069,-147232.26239390933,-147232.26239390933,235148.63823946932,235148.63823946932,235148.63823946932,-1371457.2114021778,-1371457.2114021778,-1371457.2114021778,1606605.849641647,1606605.849641647,1606605.849641647,0.0,0.0,0.0,87916.37584555999
5,2015-04-01,-144954.70703289725,89114.31203644988,103459.70945230534,-144954.70703289725,-144954.70703289725,241322.85629562062,241322.85629562062,241322.85629562062,-1416928.504704848,-1416928.504704848,-1416928.504704848,1658251.361000468,1658251.361000468,1658251.361000468,0.0,0.0,0.0,96368.14926272337
6,2015-07-01,-142651.84549913302,104062.0350755965,119468.94362280784,-142651.84549913302,-142651.84549913302,254316.71426343272,254316.71426343272,254316.71426343272,-1428525.4149098552,-1428525.4149098552,-1428525.4149098552,1682842.1291732881,1682842.1291732881,1682842.1291732881,0.0,0.0,0.0,111664.8687642997
7,2015-10-01,-140323.67778044808,95729.1129884139,111539.510127079,-140323.67778044808,-140323.67778044808,244003.61174455212,244003.61174455212,244003.61174455212,-1396452.6291914065,-1396452.6291914065,-1396452.6291914065,1640456.2409359592,1640456.2409359592,1640456.2409359592,0.0,0.0,0.0,103679.93396410404
8,2016-01-01,-137995.0182630565,93072.70733758276,107839.79657132442,-137995.0182630565,-137995.0182630565,238324.56972512745,238324.56972512745,238324.56972512745,-1371457.2114021762,-1371457.2114021762,-1371457.2114021762,1609781.7811273038,1609781.7811273038,1609781.7811273038,0.0,0.0,0.0,100329.55146207096
9,2016-04-01,-135691.67024668265,114430.35978467806,129394.46646867586,-135691.67024668265,-135691.67024668265,258143.61198875963,258143.61198875963,258143.61198875963,-1379102.4716081342,-1379102.4716081342,-1379102.4716081342,1637246.0835968931,1637246.0835968931,1637246.0835968931,0.0,0.0,0.0,122451.94174207698
10,2016-07-01,-133388.32221871585,123874.63272023313,138314.3106662541,-133388.32221871585,-133388.32221871585,264690.9298289199,264690.9298289199,264690.9298289199,-1387419.4455440873,-1387419.4455440873,-1387419.4455440873,1652110.375373007,1652110.375373007,1652110.375373007,0.0,0.0,0.0,131302.60761020402
11,2016-10-01,-131059.662677214,103877.85958624713,119157.18892822131,-131059.662677214,-131059.662677214,242464.0283167013,242464.0283167013,242464.0283167013,-1364459.6452287228,-1364459.6452287228,-1364459.6452287228,1606923.6735454241,1606923.6735454241,1606923.6735454241,0.0,0.0,0.0,111404.3656394873
12,2017-01-01,-128731.0031447099,119625.01282471478,134649.31537867553,-128731.0031447099,-128731.0031447099,255755.42823560996,255755.42823560996,255755.42823560996,-1347412.7550541514,-1347412.7550541514,-1347412.7550541514,1603168.183289761,1603168.183289761,1603168.183289761,0.0,0.0,0.0,127024.42509090005
13,2017-04-01,-126452.96665194783,136872.55984718224,151385.48391762347,-126452.96665194783,-126452.96665194783,270561.88204405137,270561.88204405137,270561.88204405137,-1379102.471608157,-1379102.471608157,-1379102.471608157,1649664.3536522086,1649664.3536522086,1649664.3536522086,0.0,0.0,0.0,144108.91539210355
14,2017-07-01,-124149.61866362146,144627.77569179086,159989.1346135076,-124149.61866362146,-124149.61866362146,276718.1300690051,276718.1300690051,276718.1300690051,-1387419.445544106,-1387419.445544106,-1387419.445544106,1664137.575613111,1664137.575613111,1664137.575613111,0.0,0.0,0.0,152568.51140538367
15,2017-10-01,-121822.30839470642,125987.33419906734,141160.98721922436,-121822.30839470642,-121822.30839470642,255435.9204650626,255435.9204650626,255435.9204650626,-1364459.6452285633,-1364459.6452285633,-1364459.6452285633,1619895.565693626,1619895.565693626,1619895.565693626,0.0,0.0,0.0,133613.6120703562
16,2018-01-01,-119495.2132644734,129756.48259401381,145086.22943321613,-119495.2132644734,-119495.2132644734,256997.15068323998,256997.15068323998,256997.15068323998,-1347412.7550539428,-1347412.7550539428,-1347412.7550539428,1604409.9057371833,1604409.9057371833,1604409.9057371833,0.0,0.0,0.0,137501.93741876658
17,2018-04-01,-117220.15184179555,153070.3198558109,168332.83966274164,-117220.15184179555,-117220.15184179555,277559.47451156494,277559.47451156494,277559.47451156494,-1379102.4716081396,-1379102.4716081396,-1379102.4716081396,1656661.9461197045,1656661.9461197045,1656661.9461197045,0.0,0.0,0.0,160339.3226697694
18,2018-07-01,-114924.7834747252,164244.28813931133,178672.60703982512,-114924.7834747252,-114924.7834747252,286974.27321449976,286974.27321449976,286974.27321449976,-1387419.4455441744,-1387419.4455441744,-1387419.4455441744,1674393.718758674,1674393.718758674,1674393.718758674,0.0,0.0,0.0,172049.48973977455
19,2018-10-01,-113371.52280031338,146042.87480445328,160898.39998649334,-113371.52280031338,-113371.52280031338,266623.24252902734,266623.24252902734,266623.24252902734,-1364459.645228456,-1364459.645228456,-1364459.645228456,1631082.8877574832,1631082.8877574832,1631082.8877574832,0.0,0.0,0.0,153251.71972871397
20,2019-01-01,-111822.83857840468,139897.86585280308,154921.04565198114,-111822.83857840468,-111822.83857840468,259193.09458736744,259193.09458736744,259193.09458736744,-1347412.7550544497,-1347412.7550544497,-1347412.7550544497,1606605.8496418172,1606605.8496418172,1606605.8496418172,0.0,0.0,0.0,147370.25600896275
21,2019-04-01,-110311.06810343191,161058.84126504636,176531.92253829344,-110311.06810343191,-110311.06810343191,279148.88939227833,279148.88939227833,279148.88939227833,-1379102.4716081528,-1379102.4716081528,-1379102.4716081528,1658251.3610004308,1658251.3610004308,1658251.3610004308,0.0,0.0,0.0,168837.82128884643
22,2019-07-01,-108786.02660599376,179819.12474166355,194234.07808086518,-108786.02660599376,-108786.02660599376,295422.6836287051,295422.6836287051,295422.6836287051,-1387419.4455441267,-1387419.4455441267,-1387419.4455441267,1682842.1291728318,1682842.1291728318,1682842.1291728318,0.0,0.0,0.0,186636.65702271136
23,2019-10-01,-107247.2345660871,161192.47254795965,175951.93052222827,-107247.2345660871,-107247.2345660871,275996.59570712567,275996.59570712567,275996.59570712567,-1364459.6452288576,-1364459.6452288576,-1364459.6452288576,1640456.2409359834,1640456.2409359834,1640456.2409359834,0.0,0.0,0.0,168749.36114103856
24,2020-01-01,-105710.64037429834,148955.31287565685,164166.19859987547,-105710.64037429834,-105710.64037429834,262369.0260729376,262369.0260729376,262369.0260729376,-1347412.7550544718,-1347412.7550544718,-1347412.7550544718,1609781.7811274088,1609781.7811274088,1609781.7811274088,0.0,0.0,0.0,156658.38569863926
25,2020-04-01,-104194.52569597776,172645.60309701742,187776.48205233488,-104194.52569597776,-104194.52569597776,284831.90592641395,284831.90592641395,284831.90592641395,-1352414.1776704972,-1352414.1776704972,-1352414.1776704972,1637246.083596911,1637246.083596911,1637246.083596911,0.0,0.0,0.0,180637.3802304362
26,2020-07-01,-102678.41101765721,183720.65532886115,198852.54658469887,-102678.41101765721,-102678.41101765721,294003.6989068548,294003.6989068548,294003.6989068548,-1358106.6764662175,-1358106.6764662175,-1358106.6764662175,1652110.3753730725,1652110.3753730725,1652110.3753730725,0.0,0.0,0.0,191325.28788919759
27,2020-10-01,-101145.63573847598,155433.3180397526,169644.2148670467,-101145.63573847598,-101145.63573847598,263782.2223266075,263782.2223266075,263782.2223266075,-1343141.451218682,-1343141.451218682,-1343141.451218682,1606923.6735452898,1606923.6735452898,1606923.6735452898,0.0,0.0,0.0,162636.58658813153
28,2021-01-01,-99612.86045929474,161044.57319334187,175943.35968449258,-99612.86045929474,-99612.86045929474,268120.9787214007,268120.9787214007,268120.9787214007,-1335047.2045684434,-1335047.2045684434,-1335047.2045684434,1603168.1832898443,1603168.1832898443,1603168.1832898443,0.0,0.0,0.0,168508.11826210597
29,2021-04-01,-98113.40638183484,191675.52779886327,206767.26706609974,-98113.40638183484,-98113.40638183484,297250.17598133313,297250.17598133313,297250.17598133313,-1352414.177670905,-1352414.177670905,-1352414.177670905,1649664.3536522386,1649664.3536522386,1649664.3536522386,0.0,0.0,0.0,199136.7695994983
30,2021-07-01,-96597.29170351426,201763.26794065782,217688.32324079107,-96597.29170351426,-96597.29170351426,306030.89914621186,306030.89914621186,306030.89914621186,-1358106.6764662063,-1358106.6764662063,-1358106.6764662063,1664137.5756124184,1664137.5756124184,1664137.5756124184,0.0,0.0,0.0,209433.6074426976
31,2021-10-01,-95064.51642433304,174167.18367972696,189133.44857731494,-95064.51642433304,-95064.51642433304,276754.1144744078,276754.1144744078,276754.1144744078,-1343141.4512193094,-1343141.4512193094,-1343141.4512193094,1619895.5656937172,1619895.5656937172,1619895.5656937172,0.0,0.0,0.0,181689.59805007477
32,2022-01-01,-93531.74114515181,168413.06350357214,183590.1017486459,-93551.70504378181,-93515.02756352907,269362.70116966736,269362.70116966736,269362.70116966736,-1335047.2045684168,-1335047.2045684168,-1335047.2045684168,1604409.9057380839,1604409.9057380839,1604409.9057380839,0.0,0.0,0.0,175830.96002451555
33,2022-04-01,-92032.2870676919,204560.99799796086,219994.55337825196,-92105.67084685554,-91971.51201698744,304247.76844878227,304247.76844878227,304247.76844878227,-1352414.1776706697,-1352414.1776706697,-1352414.1776706697,1656661.9461194524,1656661.9461194524,1656661.9461194524,0.0,0.0,0.0,212215.48138109036
