,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,133.83043485111958,104.45088279269845,112.1988504035575,133.83043485111958,133.83043485111958,-25.401352463691786,-25.401352463691786,-25.401352463691786,985.629774069143,985.629774069143,985.629774069143,-1011.0311265328348,-1011.0311265328348,-1011.0311265328348,0.0,0.0,0.0,108.4290823874278
1,2014-04-01,134.26774262770942,101.7574866482605,108.95515414182542,134.26774262770942,134.26774262770942,-28.831500610681623,-28.831500610681623,-28.831500610681623,982.7521322610583,982.7521322610583,982.7521322610583,-1011.5836328717397,-1011.5836328717397,-1011.5836328717397,0.0,0.0,0.0,105.43624201702781
2,2014-07-01,134.70990938350073,102.39685128986851,109.53067362953982,134.70990938350073,134.70990938350073,-28.592360899333634,-28.592360899333634,-28.592360899333634,983.8218202225995,983.8218202225995,983.8218202225995,-1012.4141811219331,-1012.4141811219331,-1012.4141811219331,0.0,0.0,0.0,106.11754848416709
3,2014-10-01,135.15693511325549,104.35437559751671,111.41087205553492,135.15693511325549,135.15693511325549,-27.1674945450035,-27.1674945450035,-27.1674945450035,983.3856529380976,983.3856529380976,983.3856529380976,-1010.5531474831007,-1010.5531474831007,-1010.5531474831007,0.0,0.0,0.0,107.98944056825198
4,2015-01-01,135.60396084020394,105.72318508828826,112.96030896326964,135.60396084020394,135.60396084020394,-26.200050064105206,-26.200050064105206,-26.200050064105206,985.6297740691817,985.6297740691817,985.6297740691817,-1011.8298241332866,-1011.8298241332866,-1011.8298241332866,0.0,0.0,0.0,109.40391077609874
5,2015-04-01,136.0412686258695,102.29729165193551,109.84386374055076,136.0412686258695,136.0412686258695,-29.893332438890507,-29.893332438890507,-29.893332438890507,982.7521322612304,982.7521322612304,982.7521322612304,-1012.6454647001208,-1012.6454647001208,-1012.6454647001208,0.0,0.0,0.0,106.14793618697898
6,2015-07-01,136.48343538553272,103.60975599404802,110.99255904968558,136.48343538553272,136.48343538553272,-29.14024367501623,-29.14024367501623,-29.14024367501623,983.8218202223045,983.8218202223045,983.8218202223045,-1012.9620638973206,-1012.9620638973206,-1012.9620638973206,0.0,0.0,0.0,107.34319171051649
7,2015-10-01,136.93046112492897,110.13937923210446,117.6615359198495,136.93046112492897,136.93046112492897,-23.001655706995628,-23.001655706995628,-23.001655706995628,983.3856529380373,983.3856529380373,983.3856529380373,-1006.3873086450332,-1006.3873086450332,-1006.3873086450332,0.0,0.0,0.0,113.92880541793335
8,2016-01-01,137.37748686845657,108.57275345852342,116.1427382568118,137.37748686845657,137.37748686845657,-25.006034563673012,-25.006034563673012,-25.006034563673012,985.6297740692154,985.6297740692154,985.6297740692154,-1010.6358086328884,-1010.6358086328884,-1010.6358086328884,0.0,0.0,0.0,112.37145230478356
9,2016-04-01,137.81965363293784,109.15526629779235,116.66734572106293,137.81965363293784,137.81965363293784,-24.978629108713136,-24.978629108713136,-24.978629108713136,985.1069716048805,985.1069716048805,985.1069716048805,-1010.0856007135935,-1010.0856007135935,-1010.0856007135935,0.0,0.0,0.0,112.84102452422471
10,2016-07-01,138.26160954383653,109.0237795189376,116.25111387325371,138.26160954383653,138.26160954383653,-25.555361574975088,-25.555361574975088,-25.555361574975088,984.2783485435616,984.2783485435616,984.2783485435616,-1009.8337101185366,-1009.8337101185366,-1009.8337101185366,0.0,0.0,0.0,112.70624796886145
11,2016-10-01,138.7074512057705,110.41260389873175,117.84217301791678,138.7074512057705,138.7074512057705,-24.657230738744882,-24.657230738744882,-24.657230738744882,985.6947816803485,985.6947816803485,985.6947816803485,-1010.3520124190933,-1010.3520124190933,-1010.3520124190933,0.0,0.0,0.0,114.05022046702561
12,2017-01-01,139.15259315667456,110.46077349003055,117.87701792540845,139.15259315667456,139.15259315667456,-25.184204258679458,-25.184204258679458,-25.184204258679458,983.075514183588,983.075514183588,983.075514183588,-1008.2597184422674,-1008.2597184422674,-1008.2597184422674,0.0,0.0,0.0,113.9683888979951
13,2017-04-01,139.5865818734428,110.17257298143159,117.81870743678753,139.5865818734428,139.5865818734428,-25.619533341396355,-25.619533341396355,-25.619533341396355,985.106971604638,985.106971604638,985.106971604638,-1010.7265049460345,-1010.7265049460345,-1010.7265049460345,0.0,0.0,0.0,113.96704853204645
14,2017-07-01,140.0224774214111,109.19095829272095,116.53766500296187,140.0224774214111,140.0224774214111,-27.099614681873284,-27.099614681873284,-27.099614681873284,984.278348543504,984.278348543504,984.278348543504,-1011.3779632253772,-1011.3779632253772,-1011.3779632253772,0.0,0.0,0.0,112.92286273953783
15,2017-10-01,139.4754185480986,109.59706517932423,116.90845324965811,139.4754185480986,139.4754185480986,-26.183152978427014,-26.183152978427014,-26.183152978427014,985.6947816803103,985.6947816803103,985.6947816803103,-1011.8779346587376,-1011.8779346587376,-1011.8779346587376,0.0,0.0,0.0,113.29226556967157
16,2018-01-01,138.92663786994652,107.0603478106579,114.83285755906027,138.92663786994652,138.92663786994652,-27.955612349835356,-27.955612349835356,-27.955612349835356,983.0755141834206,983.0755141834206,983.0755141834206,-1011.0311265332559,-1011.0311265332559,-1011.0311265332559,0.0,0.0,0.0,110.97102552011117
17,2018-04-01,138.3893134170771,108.29290617944976,115.83186940410202,138.3893134170771,138.3893134170771,-26.47666126690182,-26.47666126690182,-26.47666126690182,985.106971604749,985.106971604749,985.106971604749,-1011.5836328716509,-1011.5836328716509,-1011.5836328716509,0.0,0.0,0.0,111.91265215017526
18,2018-07-01,137.84402171976424,105.93189492672774,113.58392769370899,137.84402171976424,137.84402171976424,-28.135832578563615,-28.135832578563615,-28.135832578563615,984.2783485435525,984.2783485435525,984.2783485435525,-1012.4141811221162,-1012.4141811221162,-1012.4141811221162,0.0,0.0,0.0,109.70818914120062
19,2018-10-01,137.2902034635344,108.76717356070053,116.13116270077408,137.2902034635344,137.2902034635344,-24.858365802851203,-24.858365802851203,-24.858365802851203,985.6947816802873,985.6947816802873,985.6947816802873,-1010.5531474831384,-1010.5531474831384,-1010.5531474831384,0.0,0.0,0.0,112.43183766068319
20,2019-01-01,136.7353166733174,104.53519387674605,111.66905925222619,136.7353166733174,136.7353166733174,-28.75430994931663,-28.75430994931663,-28.75430994931663,983.0755141839338,983.0755141839338,983.0755141839338,-1011.8298241332502,-1011.8298241332502,-1011.8298241332502,0.0,0.0,0.0,107.98100672400078
21,2019-04-01,136.19236716962348,104.65673771458664,112.17461142898472,136.19236716962348,136.19236716962348,-27.538493095375635,-27.538493095375635,-27.538493095375635,985.106971604817,985.106971604817,985.106971604817,-1012.6454647001925,-1012.6454647001925,-1012.6454647001925,0.0,0.0,0.0,108.65387407424785
22,2019-07-01,135.6415539551838,103.3540732644703,110.67003490347362,135.6415539551838,135.6415539551838,-28.683715354182876,-28.683715354182876,-28.683715354182876,984.2783485435805,984.2783485435805,984.2783485435805,-1012.9620638977634,-1012.9620638977634,-1012.9620638977634,0.0,0.0,0.0,106.95783860100093
23,2019-10-01,135.081711300782,110.4670574333147,117.90094589313934,135.081711300782,135.081711300782,-20.69252696466205,-20.69252696466205,-20.69252696466205,985.6947816803789,985.6947816803789,985.6947816803789,-1006.3873086450407,-1006.3873086450407,-1006.3873086450407,0.0,0.0,0.0,114.38918433611994
24,2020-01-01,134.45782106627377,103.20279886402353,110.42720303753656,134.45782106627377,134.45782106627377,-27.560294448918896,-27.560294448918896,-27.560294448918896,983.075514183793,983.075514183793,983.075514183793,-1010.6358086327117,-1010.6358086327117,-1010.6358086327117,0.0,0.0,0.0,106.89752661735487
25,2020-04-01,133.83960011532855,104.367231967872,111.70789949776893,133.83960011532855,133.83960011532855,-25.758183194961195,-25.758183194961195,-25.758183194961195,984.3274175186491,984.3274175186491,984.3274175186491,-1010.0856007136102,-1010.0856007136102,-1010.0856007136102,0.0,0.0,0.0,108.08141692036736
26,2020-07-01,133.2213791643833,104.96865803950145,112.43467781801401,133.2213791643833,133.2213791643833,-24.587270109082603,-24.587270109082603,-24.587270109082603,985.246440009394,985.246440009394,985.246440009394,-1009.8337101184766,-1009.8337101184766,-1009.8337101184766,0.0,0.0,0.0,108.63410905530071
27,2020-10-01,132.5963645766145,100.08735944861539,107.6575420245323,132.5963645766145,132.5963645766145,-28.636209070246878,-28.636209070246878,-28.636209070246878,981.7158033489783,981.7158033489783,981.7158033489783,-1010.3520124192253,-1010.3520124192253,-1010.3520124192253,0.0,0.0,0.0,103.96015550636761
28,2021-01-01,131.97134998884567,100.10935421142428,107.51184228411326,131.97134998884567,131.97134998884567,-27.996198684085083,-27.996198684085083,-27.996198684085083,980.263519757881,980.263519757881,980.263519757881,-1008.2597184419661,-1008.2597184419661,-1008.2597184419661,0.0,0.0,0.0,103.97515130476059
29,2021-04-01,131.359922674724,101.0553998217549,108.78982783695844,131.359922674724,131.359922674724,-26.399087427114438,-26.399087427114438,-26.399087427114438,984.3274175188787,984.3274175188787,984.3274175188787,-1010.7265049459933,-1010.7265049459933,-1010.7265049459933,0.0,0.0,0.0,104.96083524760957
30,2021-07-01,130.7417017237788,100.89288451864614,108.18077207415845,130.7417017237788,130.7417017237788,-26.131523216587382,-26.131523216587382,-26.131523216587382,985.2464400093643,985.2464400093643,985.2464400093643,-1011.3779632259517,-1011.3779632259517,-1011.3779632259517,0.0,0.0,0.0,104.6101785071914
31,2021-10-01,130.11668713600994,96.52148904505472,103.64663672445333,130.11668713600994,130.11668713600994,-30.162131309107004,-30.162131309107004,-30.162131309107004,981.7158033495465,981.7158033495465,981.7158033495465,-1011.8779346586534,-1011.8779346586534,-1011.8779346586534,0.0,0.0,0.0,99.95455582690295
32,2022-01-01,129.49167254824113,95.05589860953394,102.60494747614585,129.4661783636245,129.5157260334206,-30.767606774924793,-30.767606774924793,-30.767606774924793,980.2635197576565,980.2635197576565,980.2635197576565,-1011.0311265325812,-1011.0311265325812,-1011.0311265325812,0.0,0.0,0.0,98.72406577331634
33,2022-04-01,128.88024523411949,97.62157520487867,105.03498852989786,128.78511527095583,128.97675075617647,-27.2562153530153,-27.2562153530153,-27.2562153530153,984.3274175187925,984.3274175187925,984.3274175187925,-1011.5836328718078,-1011.5836328718078,-1011.5836328718078,0.0,0.0,0.0,101.62402988110418
34,2022-07-01,128.26202428317424,97.32702853428891,104.64472487840501,128.07255897646087,128.44628757175587,-27.167741113065983,-27.167741113065983,-27.167741113065983,985.2464400092546,985.2464400092546,985.2464400092546,-1012.4141811223207,-1012.4141811223207,-1012.4141811223207,0.0,0.0,0.0,101.09428317010826
35,2022-10-01,127.63700969540542,95.09743279275663,102.66207248575627,127.32877468214495,127.92820851472177,-28.83734413365971,-28.83734413365971,-28.83734413365971,981.715803349464,981.715803349464,981.715803349464,-1010.5531474831234,-1010.5531474831234,-1010.5531474831234,0.0,0.0,0.0,98.79966556174571
