,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-3063681992.2665143,5479342502.216199,6162038180.622985,-3063681992.2665143,-3063681992.2665143,8875923905.174953,8875923905.174953,8875923905.174953,-34580854151.88926,-34580854151.88926,-34580854151.88926,43456778057.0642,43456778057.0642,43456778057.0642,0.0,0.0,0.0,5812241912.90844
1,2014-04-01,-3006411156.7555137,6025616759.079484,6746667470.151429,-3006411156.7555137,-3006411156.7555137,9382832467.039865,9382832467.039865,9382832467.039865,-35407053985.29066,-35407053985.29066,-35407053985.29066,44789886452.33052,44789886452.33052,44789886452.33052,0.0,0.0,0.0,6376421310.284351
2,2014-07-01,-2948503978.451766,6373969064.971507,7061067167.211752,-2948503978.451766,-2948503978.451766,9651555959.355953,9651555959.355953,9651555959.355953,-35573220316.235664,-35573220316.235664,-35573220316.235664,45224776275.591606,45224776275.591606,45224776275.591606,0.0,0.0,0.0,6703051980.904187
3,2014-10-01,-2889960458.4153066,6535546514.042477,7203882034.707722,-2889960458.4153066,-2889960458.4153066,9762150157.669006,9762150157.669006,9762150157.669006,-35050436557.170845,-35050436557.170845,-35050436557.170845,44812586714.83985,44812586714.83985,44812586714.83985,0.0,0.0,0.0,6872189699.2537
4,2015-01-01,-2831416939.320214,5874881547.591278,6558827862.132822,-2831416939.320214,-2831416939.320214,9051246243.644632,9051246243.644632,9051246243.644632,-34580854151.8954,-34580854151.8954,-34580854151.8954,43632100395.54004,43632100395.54004,43632100395.54004,0.0,0.0,0.0,6219829304.324419
5,2015-04-01,-2774146104.12264,6453183095.066237,7149358506.912245,-2774146104.12264,-2774146104.12264,9565820383.90278,9565820383.90278,9565820383.90278,-35407053985.288795,-35407053985.288795,-35407053985.288795,44972874369.191574,44972874369.191574,44972874369.191574,0.0,0.0,0.0,6791674279.78014
6,2015-07-01,-2716238925.235185,6867485687.424847,7586914601.62899,-2716238925.235185,-2716238925.235185,9947060668.111092,9947060668.111092,9947060668.111092,-35573220316.23529,-35573220316.23529,-35573220316.23529,45520280984.34639,45520280984.34639,45520280984.34639,0.0,0.0,0.0,7230821742.875906
7,2015-10-01,-2657695404.7590275,7081003750.593145,7782602147.500769,-2657695404.7590275,-2657695404.7590275,10071501543.996809,10071501543.996809,10071501543.996809,-35050436557.170494,-35050436557.170494,-35050436557.170494,45121938101.16731,45121938101.16731,45121938101.16731,0.0,0.0,0.0,7413806139.237782
8,2016-01-01,-2599151883.9160924,6209229975.850959,6913262104.860389,-2599151883.9160924,-2599151883.9160924,9176774383.464714,9176774383.464714,9176774383.464714,-34580854151.89626,-34580854151.89626,-34580854151.89626,43757628535.360985,43757628535.360985,43757628535.360985,0.0,0.0,0.0,6577622499.548622
9,2016-04-01,-2541244707.560016,6588826908.325296,7251479004.319955,-2541244707.560016,-2541244707.560016,9462344053.534887,9462344053.534887,9462344053.534887,-34721229543.17899,-34721229543.17899,-34721229543.17899,44183573596.71387,44183573596.71387,44183573596.71387,0.0,0.0,0.0,6921099345.974871
10,2016-07-01,-2483400488.5575128,6744435992.141174,7417187407.574899,-2483400488.5575128,-2483400488.5575128,9574469134.202215,9574469134.202215,9574469134.202215,-34879048104.72464,-34879048104.72464,-34879048104.72464,44453517238.92686,44453517238.92686,44453517238.92686,0.0,0.0,0.0,7091068645.644703
11,2016-10-01,-2425063730.1388793,6904799653.349273,7599088242.094324,-2425063730.1388793,-2425063730.1388793,9682512788.092583,9682512788.092583,9682512788.092583,-34459593803.02518,-34459593803.02518,-34459593803.02518,44142106591.11776,44142106591.11776,44142106591.11776,0.0,0.0,0.0,7257449057.953703
12,2017-01-01,-2366842791.6378617,6330027122.349203,6990613892.591484,-2366842791.6378617,-2366842791.6378617,9034016739.261688,9034016739.261688,9034016739.261688,-34197420761.80325,-34197420761.80325,-34197420761.80325,43231437501.06495,43231437501.06495,43231437501.06495,0.0,0.0,0.0,6667173947.623827
13,2017-04-01,-2310099503.299667,7160326231.052433,7837477139.674326,-2310099503.299667,-2310099503.299667,9805481406.162659,9805481406.162659,9805481406.162659,-34721229543.16828,-34721229543.16828,-34721229543.16828,44526710949.33094,44526710949.33094,44526710949.33094,0.0,0.0,0.0,7495381902.862991
14,2017-07-01,-2252743388.282836,7369469314.940485,8089165222.057034,-2252743388.282836,-2252743388.282836,9989899192.53699,9989899192.53699,9989899192.53699,-34879048104.72486,-34879048104.72486,-34879048104.72486,44868947297.261856,44868947297.261856,44868947297.261856,0.0,0.0,0.0,7737155804.254153
15,2017-10-01,-2334201890.1846333,7365819622.440535,8050916538.372469,-2334201890.1846333,-2334201890.1846333,10026249251.475716,10026249251.475716,10026249251.475716,-34459593803.03169,-34459593803.03169,-34459593803.03169,44485843054.50741,44485843054.50741,44485843054.50741,0.0,0.0,0.0,7692047361.291082
16,2018-01-01,-2508251518.988864,6416433700.628303,7114628690.668817,-2508251518.988864,-2508251518.988864,9259357295.246614,9259357295.246614,9259357295.246614,-34197420761.806076,-34197420761.806076,-34197420761.806076,43456778057.05269,43456778057.05269,43456778057.05269,0.0,0.0,0.0,6751105776.2577505
17,2018-04-01,-2678703121.4214377,7072521900.896389,7734894642.110869,-2678703121.4214377,-2678703121.4214377,10068656909.154963,10068656909.154963,10068656909.154963,-34721229543.175354,-34721229543.175354,-34721229543.175354,44789886452.33031,44789886452.33031,44789886452.33031,0.0,0.0,0.0,7389953787.733524
18,2018-07-01,-2851244351.669528,7153511234.036982,7837811466.1021595,-2851244351.669528,-2851244351.669528,10345728170.862421,10345728170.862421,10345728170.862421,-34879048104.726295,-34879048104.726295,-34879048104.726295,45224776275.58872,45224776275.58872,45224776275.58872,0.0,0.0,0.0,7494483819.192893
19,2018-10-01,-3025729306.222927,6991228186.917265,7658285572.578235,-3025729306.222927,-3025729306.222927,10352992911.806046,10352992911.806046,10352992911.806046,-34459593803.0355,-34459593803.0355,-34459593803.0355,44812586714.841545,44812586714.841545,44812586714.841545,0.0,0.0,0.0,7327263605.583118
20,2019-01-01,-3200384434.331193,5894545708.706763,6571791522.684739,-3200384434.331193,-3200384434.331193,9434679633.74906,9434679633.74906,9434679633.74906,-34197420761.796116,-34197420761.796116,-34197420761.796116,43632100395.54518,43632100395.54518,43632100395.54518,0.0,0.0,0.0,6234295199.417867
21,2019-04-01,-3371389370.6471834,6528491973.003493,7215376876.912482,-3371389370.6471834,-3371389370.6471834,10251644826.014278,10251644826.014278,10251644826.014278,-34721229543.17572,-34721229543.17572,-34721229543.17572,44972874369.189995,44972874369.189995,44972874369.189995,0.0,0.0,0.0,6880255455.367095
22,2019-07-01,-3544497344.6106076,6736837429.119332,7446766699.819887,-3544497344.6106076,-3544497344.6106076,10641232879.612,10641232879.612,10641232879.612,-34879048104.7273,-34879048104.7273,-34879048104.7273,45520280984.3393,45520280984.3393,45520280984.3393,0.0,0.0,0.0,7096735535.001392
23,2019-10-01,-3719672362.8550215,6588720924.638823,7316737827.588883,-3719672362.8550215,-3719672362.8550215,10662344298.148981,10662344298.148981,10662344298.148981,-34459593803.01978,-34459593803.01978,-34459593803.01978,45121938101.16876,45121938101.16876,45121938101.16876,0.0,0.0,0.0,6942671935.29396
24,2020-01-01,-3895015388.890499,5342529950.597369,6030429059.240875,-3895015388.890499,-3895015388.890499,9560207773.561481,9560207773.561481,9560207773.561481,-34197420761.80023,-34197420761.80023,-34197420761.80023,43757628535.36171,43757628535.36171,43757628535.36171,0.0,0.0,0.0,5665192384.670982
