,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,352930505.154258,3419133922.9588575,4000583907.286892,352930505.154258,352930505.154258,3355486418.950884,3355486418.950884,3355486418.950884,20354085803.13573,20354085803.13573,20354085803.13573,-16998599384.184843,-16998599384.184843,-16998599384.184843,0.0,0.0,0.0,3708416924.1051416
1,2014-04-01,396016081.96930355,3519824367.113529,4083984647.8616056,396016081.96930355,396016081.96930355,3413903408.351739,3413903408.351739,3413903408.351739,20046075099.00459,20046075099.00459,20046075099.00459,-16632171690.652855,-16632171690.652855,-16632171690.652855,0.0,0.0,0.0,3809919490.3210425
2,2014-07-01,439580387.2739178,3812881439.918627,4366506125.940847,439580387.2739178,439580387.2739178,3636655443.6378536,3636655443.6378536,3636655443.6378536,19864429579.945034,19864429579.945034,19864429579.945034,-16227774136.30718,-16227774136.30718,-16227774136.30718,0.0,0.0,0.0,4076235830.9117713
3,2014-10-01,483623421.07643515,3811031224.4907513,4374893574.73032,483623421.07643515,483623421.07643515,3615107959.087191,3615107959.087191,3615107959.087191,20247470813.567196,20247470813.567196,20247470813.567196,-16632362854.480005,-16632362854.480005,-16632362854.480005,0.0,0.0,0.0,4098731380.163626
4,2015-01-01,527666454.6155782,3531987554.6386733,4084357333.634595,527666454.6155782,527666454.6155782,3269116421.573917,3269116421.573917,3269116421.573917,20354085803.13422,20354085803.13422,20354085803.13422,-17084969381.5603,-17084969381.5603,-17084969381.5603,0.0,0.0,0.0,3796782876.189495
5,2015-04-01,570752030.7357197,3652274634.0026956,4224330632.4569464,570752030.7357197,570752030.7357197,3363198044.220519,3363198044.220519,3363198044.220519,20046075098.998734,20046075098.998734,20046075098.998734,-16682877054.778215,-16682877054.778215,-16682877054.778215,0.0,0.0,0.0,3933950074.9562387
6,2015-07-01,614316335.2659093,4268540493.9265766,4851823194.409142,614316335.2659093,614316335.2659093,3943816897.255945,3943816897.255945,3943816897.255945,19864429579.952534,19864429579.952534,19864429579.952534,-15920612682.696592,-15920612682.696592,-15920612682.696592,0.0,0.0,0.0,4558133232.521854
7,2015-10-01,658359368.5786701,4182781557.6631126,4732116443.632585,658359368.5786701,658359368.5786701,3801037680.6571803,3801037680.6571803,3801037680.6571803,20247470813.56851,20247470813.56851,20247470813.56851,-16446433132.91133,-16446433132.91133,-16446433132.91133,0.0,0.0,0.0,4459397049.23585
8,2016-01-01,702402401.8183637,3680579901.8227,4236934052.927782,702402401.8183637,702402401.8183637,3256449807.9676313,3256449807.9676313,3256449807.9676313,20354085803.133343,20354085803.133343,20354085803.133343,-17097635995.165705,-17097635995.165705,-17097635995.165705,0.0,0.0,0.0,3958852209.785995
9,2016-04-01,745966706.1761354,4122131266.442879,4647519388.80656,745966706.1761354,745966706.1761354,3629012429.8377624,3629012429.8377624,3629012429.8377624,20330715460.80927,20330715460.80927,20330715460.80927,-16701703030.971502,-16701703030.971502,-16701703030.971502,0.0,0.0,0.0,4374979136.013898
