,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,235861527.07618842,3408256538.247296,3944542085.211716,235861527.07618842,235861527.07618842,3423654140.690907,3423654140.690907,3423654140.690907,32645446829.648994,32645446829.648994,32645446829.648994,-29221792688.958096,-29221792688.958096,-29221792688.958096,0.0,0.0,0.0,3659515667.7670956
1,2014-04-01,239341866.477012,3747698756.638565,4295935071.283624,239341866.477012,239341866.477012,3781502177.665977,3781502177.665977,3781502177.665977,31690461776.116035,31690461776.116035,31690461776.116035,-27908959598.450058,-27908959598.450058,-27908959598.450058,0.0,0.0,0.0,4020844044.142989
2,2014-07-01,242860868.8313695,4031895872.7306705,4605468474.446715,242860868.8313695,242860868.8313695,4075499015.2582536,4075499015.2582536,4075499015.2582536,31403326156.55709,31403326156.55709,31403326156.55709,-27327827141.29884,-27327827141.29884,-27327827141.29884,0.0,0.0,0.0,4318359884.089623
3,2014-10-01,246418546.07094094,3897763326.6408167,4466326441.512705,246418546.07094094,246418546.07094094,3937927836.682865,3937927836.682865,3937927836.682865,32095415165.285645,32095415165.285645,32095415165.285645,-28157487328.602783,-28157487328.602783,-28157487328.602783,0.0,0.0,0.0,4184346382.753806
4,2015-01-01,249976227.656291,3450862211.9910483,3997520365.4366713,249976227.656291,249976227.656291,3480410646.949462,3480410646.949462,3480410646.949462,32645446829.63938,32645446829.63938,32645446829.63938,-29165036182.68992,-29165036182.68992,-29165036182.68992,0.0,0.0,0.0,3730386874.605753
5,2015-04-01,253456571.6678677,3911676584.610381,4472195164.680137,253456571.6678677,253456571.6678677,3950331512.816934,3950331512.816934,3950331512.816934,31690461776.104393,31690461776.104393,31690461776.104393,-27740130263.287453,-27740130263.287453,-27740130263.287453,0.0,0.0,0.0,4203788084.484802
6,2015-07-01,256975588.34742573,4382611487.342543,4946122583.507238,256975588.34742573,256975588.34742573,4415795932.069214,4415795932.069214,4415795932.069214,31403326156.572914,31403326156.572914,31403326156.572914,-26987530224.503704,-26987530224.503704,-26987530224.503704,0.0,0.0,0.0,4672771520.416639
7,2015-10-01,260533276.33486563,4374385492.0905695,4921591712.157327,260533276.33486563,260533276.33486563,4374751708.676124,4374751708.676124,4374751708.676124,32095415165.289,32095415165.289,32095415165.289,-27720663456.61288,-27720663456.61288,-27720663456.61288,0.0,0.0,0.0,4635284985.010989
8,2016-01-01,264090963.25513712,3616109627.1369157,4178790723.431258,264090963.25513712,264090963.25513712,3633446189.398634,3633446189.398634,3633446189.398634,32645446829.637634,32645446829.637634,32645446829.637634,-29012000640.239006,-29012000640.239006,-29012000640.239006,0.0,0.0,0.0,3897537152.653771
9,2016-04-01,267609980.9449416,4028597855.0115905,4592242051.127493,267609980.9449416,267609980.9449416,4059264132.993886,4059264132.993886,4059264132.993886,32446876265.45643,32446876265.45643,32446876265.45643,-28387612132.462555,-28387612132.462555,-28387612132.462555,0.0,0.0,0.0,4326874113.9388275
10,2016-07-01,271116562.1351135,4309452773.426814,4868258157.606787,271116562.1351135,271116562.1351135,4318072409.613885,4318072409.613885,4318072409.613885,32267585788.233326,32267585788.233326,32267585788.233326,-27949513378.619434,-27949513378.619434,-27949513378.619434,0.0,0.0,0.0,4589188971.748999
11,2016-10-01,274582536.4335845,3966749580.4904323,4521726183.182127,274582536.4335845,274582536.4335845,3969280441.1355176,3969280441.1355176,3969280441.1355176,32867831092.361416,32867831092.361416,32867831092.361416,-28898550651.225895,-28898550651.225895,-28898550651.225895,0.0,0.0,0.0,4243862977.5691023
12,2017-01-01,277958206.0266054,4422023381.181487,4992640305.876068,277958206.0266054,277958206.0266054,4418507496.355534,4418507496.355534,4418507496.355534,33601372035.57808,33601372035.57808,33601372035.57808,-29182864539.222546,-29182864539.222546,-29182864539.222546,0.0,0.0,0.0,4696465702.382139
13,2017-04-01,281093827.91064245,4317974041.1530485,4871060058.600732,281093827.91064245,281093827.91064245,4322201061.401366,4322201061.401366,4322201061.401366,32446876265.47994,32446876265.47994,32446876265.47994,-28124675204.07857,-28124675204.07857,-28124675204.07857,0.0,0.0,0.0,4603294889.312009
14,2017-07-01,284183929.6842304,4611595231.22785,5186132506.050271,284183929.6842304,284183929.6842304,4618762451.272117,4618762451.272117,4618762451.272117,32267585788.23654,32267585788.23654,32267585788.23654,-27648823336.96442,-27648823336.96442,-27648823336.96442,0.0,0.0,0.0,4902946380.956347
15,2017-10-01,287214612.07868654,4329158513.90447,4872905582.552978,287214612.07868654,287214612.07868654,4317433216.351854,4317433216.351854,4317433216.351854,32867831092.353157,32867831092.353157,32867831092.353157,-28550397876.001305,-28550397876.001305,-28550397876.001305,0.0,0.0,0.0,4604647828.430541
16,2018-01-01,169859793.408737,4263496707.9479284,4834352155.9266815,169859793.408737,169859793.408737,4379579346.608683,4379579346.608683,4379579346.608683,33601372035.580284,33601372035.580284,33601372035.580284,-29221792688.971592,-29221792688.971592,-29221792688.971592,0.0,0.0,0.0,4549439140.01742
17,2018-04-01,55018981.10464645,4304771428.737946,4874170636.765327,55018981.10464645,55018981.10464645,4537916667.019857,4537916667.019857,4537916667.019857,32446876265.467133,32446876265.467133,32446876265.467133,-27908959598.447273,-27908959598.447273,-27908959598.447273,0.0,0.0,0.0,4592935648.124504
18,2018-07-01,-61217176.899952814,4607095921.317264,5159951264.101098,-61217176.899952814,-61217176.899952814,4939758646.92898,4939758646.92898,4939758646.92898,32267585788.231594,32267585788.231594,32267585788.231594,-27327827141.302612,-27327827141.302612,-27327827141.302612,0.0,0.0,0.0,4878541470.029027
19,2018-10-01,-178739049.21220142,4255022037.437617,4810120302.8671875,-178739049.21220142,-178739049.21220142,4710343763.746078,4710343763.746078,4710343763.746078,32867831092.349,32867831092.349,32867831092.349,-28157487328.602924,-28157487328.602924,-28157487328.602924,0.0,0.0,0.0,4531604714.533876
20,2019-01-01,-296263092.3475543,3860310396.813121,4444098059.833539,-296263092.3475543,-296263092.3475543,4436335852.877456,4436335852.877456,4436335852.877456,33601372035.56414,33601372035.56414,33601372035.56414,-29165036182.686676,-29165036182.686676,-29165036182.686676,0.0,0.0,0.0,4140072760.5299015
21,2019-04-01,-411232267.835148,3998268958.911617,4566802414.885251,-411232267.835148,-411232267.835148,4706746002.171815,4706746002.171815,4706746002.171815,32446876265.46292,32446876265.46292,32446876265.46292,-27740130263.2911,-27740130263.2911,-27740130263.2911,0.0,0.0,0.0,4295513734.336667
22,2019-07-01,-527478895.00610036,4465482496.093714,5034613661.028296,-527478895.00610036,-527478895.00610036,5280055563.712084,5280055563.712084,5280055563.712084,32267585788.23037,32267585788.23037,32267585788.23037,-26987530224.518288,-26987530224.518288,-26987530224.518288,0.0,0.0,0.0,4752576668.705983
23,2019-10-01,-645002958.8858205,4192739828.8895926,4773430492.034643,-645002958.8858205,-645002958.8858205,5147167635.756181,5147167635.756181,5147167635.756181,32867831092.3677,32867831092.3677,32867831092.3677,-27720663456.61152,-27720663456.61152,-27720663456.61152,0.0,0.0,0.0,4502164676.87036
24,2020-01-01,-762527026.9153187,3548527343.8970485,4101692967.6065392,-762527026.9153187,-762527026.9153187,4589371395.344484,4589371395.344484,4589371395.344484,33601372035.58021,33601372035.58021,33601372035.58021,-29012000640.235725,-29012000640.235725,-29012000640.235725,0.0,0.0,0.0,3826844368.429166
25,2020-04-01,-878773659.7295722,3819141202.8193307,4368747641.527649,-878773659.7295722,-878773659.7295722,4973988295.717688,4973988295.717688,4973988295.717688,33361600428.179276,33361600428.179276,33361600428.179276,-28387612132.461586,-28387612132.461586,-28387612132.461586,0.0,0.0,0.0,4095214635.9881153
26,2020-07-01,-995020292.5438256,3900427302.0236034,4458050792.060132,-995020292.5438256,-995020292.5438256,5160963083.462727,5160963083.462727,5160963083.462727,33110476462.07824,33110476462.07824,33110476462.07824,-27949513378.615513,-27949513378.615513,-27949513378.615513,0.0,0.0,0.0,4165942790.918901
27,2020-10-01,-1112544360.8835104,3492609678.1982856,4073122625.591797,-1112544360.8835104,-1112544360.8835104,4903866592.272175,4903866592.272175,4903866592.272175,33802417243.50256,33802417243.50256,33802417243.50256,-28898550651.230385,-28898550651.230385,-28898550651.230385,0.0,0.0,0.0,3791322231.3886642
28,2021-01-01,-1230068429.2231958,3118007444.738765,3678364818.983473,-1230068429.2231958,-1230068429.2231958,4622600269.571665,4622600269.571665,4622600269.571665,33805464808.788982,33805464808.788982,33805464808.788982,-29182864539.217323,-29182864539.217323,-29182864539.217323,0.0,0.0,0.0,3392531840.348469
29,2021-04-01,-1345037626.5120184,3602050884.4842424,4159792012.391523,-1345037626.5120184,-1345037626.5120184,5236925224.108532,5236925224.108532,5236925224.108532,33361600428.186474,33361600428.186474,33361600428.186474,-28124675204.07794,-28124675204.07794,-28124675204.07794,0.0,0.0,0.0,3891887597.5965137
30,2021-07-01,-1461284259.3262718,3712715790.4549713,4307776719.586506,-1461284259.3262718,-1461284259.3262718,5461653125.098761,5461653125.098761,5461653125.098761,33110476462.081173,33110476462.081173,33110476462.081173,-27648823336.98241,-27648823336.98241,-27648823336.98241,0.0,0.0,0.0,4000368865.7724886
31,2021-10-01,-1578808327.6659565,3383554493.93011,3937830907.6401105,-1578808327.6659565,-1578808327.6659565,5252019367.4906645,5252019367.4906645,5252019367.4906645,33802417243.48982,33802417243.48982,33802417243.48982,-28550397875.99915,-28550397875.99915,-28550397875.99915,0.0,0.0,0.0,3673211039.824708
32,2022-01-01,-1696332396.0056415,2608135431.650566,3155574350.466505,-1699607717.0020444,-1693065609.6903126,4583672119.861265,4583672119.861265,4583672119.861265,33805464808.811047,33805464808.811047,33805464808.811047,-29221792688.949768,-29221792688.949768,-29221792688.949768,0.0,0.0,0.0,2887339723.8556237
33,2022-04-01,-1811301593.294464,3363326274.568453,3917499524.6300406,-1822089222.8939307,-1799270290.4155095,5452640829.724471,5452640829.724471,5452640829.724471,33361600428.17996,33361600428.17996,33361600428.17996,-27908959598.455482,-27908959598.455482,-27908959598.455482,0.0,0.0,0.0,3641339236.430007
34,2022-07-01,-1927548226.1087174,3579007754.904148,4121195071.060843,-1949069357.6808913,-1904231153.4360483,5782649320.763288,5782649320.763288,5782649320.763288,33110476462.073696,33110476462.073696,33110476462.073696,-27327827141.31041,-27327827141.31041,-27327827141.31041,0.0,0.0,0.0,3855101094.65457
35,2022-10-01,-2045072294.448403,3302157701.7327037,3870058251.5979495,-2078714144.199033,-2010803725.7048142,5644929914.890301,5644929914.890301,5644929914.890301,33802417243.493847,33802417243.493847,33802417243.493847,-28157487328.603546,-28157487328.603546,-28157487328.603546,0.0,0.0,0.0,3599857620.441898
