,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-1818816961.9846833,3333732263.64754,3723099911.2633953,-1818816961.9846833,-1818816961.9846833,5345044195.712252,5345044195.712252,5345044195.712252,25152098058.678726,25152098058.678726,25152098058.678726,-19807053862.96648,-19807053862.96648,-19807053862.96648,0.0,0.0,0.0,3526227233.7275686
1,2014-04-01,-1769198565.9886825,3876775978.1055465,4287747029.439251,-1769198565.9886825,-1769198565.9886825,5842322060.8964205,5842322060.8964205,5842322060.8964205,24960872307.26901,24960872307.26901,24960872307.26901,-19118550246.37259,-19118550246.37259,-19118550246.37259,0.0,0.0,0.0,4073123494.9077377
2,2014-07-01,-1719028854.5072324,4323938115.453557,4718961948.752869,-1719028854.5072324,-1719028854.5072324,6233049346.818832,6233049346.818832,6233049346.818832,24785819646.98212,24785819646.98212,24785819646.98212,-18552770300.16329,-18552770300.16329,-18552770300.16329,0.0,0.0,0.0,4514020492.3116
3,2014-10-01,-1668307827.5454884,4059826209.5211463,4479124062.855579,-1668307827.5454884,-1668307827.5454884,5935836502.076326,5935836502.076326,5935836502.076326,25052791132.829685,25052791132.829685,25052791132.829685,-19116954630.753365,-19116954630.753365,-19116954630.753365,0.0,0.0,0.0,4267528674.530838
4,2015-01-01,-1617586800.5511334,3540595882.7689304,3950244229.0629935,-1617586800.5511334,-1617586800.5511334,5364934358.585935,5364934358.585935,5364934358.585935,25152098058.672203,25152098058.672203,25152098058.672203,-19787163700.086266,-19787163700.086266,-19787163700.086266,0.0,0.0,0.0,3747347558.0348015
5,2015-04-01,-1567968404.6123006,4090045897.7958226,4485846448.054333,-1567968404.6123006,-1567968404.6123006,5848836716.274135,5848836716.274135,5848836716.274135,24960872307.251297,24960872307.251297,24960872307.251297,-19112035590.977165,-19112035590.977165,-19112035590.977165,0.0,0.0,0.0,4280868311.661834
6,2015-07-01,-1517798693.1631823,4775459919.256784,5193609427.510353,-1517798693.1631823,-1517798693.1631823,6507975891.04445,6507975891.04445,6507975891.04445,24785819647.005466,24785819647.005466,24785819647.005466,-18277843755.961018,-18277843755.961018,-18277843755.961018,0.0,0.0,0.0,4990177197.881268
7,2015-10-01,-1467077666.2264478,4579116434.828761,4963316571.609955,-1467077666.2264478,-1467077666.2264478,6236340269.353605,6236340269.353605,6236340269.353605,25052791132.834476,25052791132.834476,25052791132.834476,-18816450863.480873,-18816450863.480873,-18816450863.480873,0.0,0.0,0.0,4769262603.127157
8,2016-01-01,-1416356639.3375714,3788007788.424942,4190073383.1601663,-1416356639.3375714,-1416356639.3375714,5395365818.405414,5395365818.405414,5395365818.405414,25152098058.670105,25152098058.670105,25152098058.670105,-19756732240.26469,-19756732240.26469,-19756732240.26469,0.0,0.0,0.0,3979009179.0678425
9,2016-04-01,-1366186927.9439294,4264762916.441511,4686470849.491003,-1366186927.9439294,-1366186927.9439294,5842212778.073013,5842212778.073013,5842212778.073013,25085200610.840282,25085200610.840282,25085200610.840282,-19242987832.767258,-19242987832.767258,-19242987832.767258,0.0,0.0,0.0,4476025850.129084
10,2016-07-01,-1316017216.5733845,4597591427.476473,5002493438.323559,-1316017216.5733845,-1316017216.5733845,6112914616.900193,6112914616.900193,6112914616.900193,25059267002.534637,25059267002.534637,25059267002.534637,-18946352385.63444,-18946352385.63444,-18946352385.63444,0.0,0.0,0.0,4796897400.326809
11,2016-10-01,-1265325548.9889445,4172041747.3034077,4572536573.82386,-1265325548.9889445,-1265325548.9889445,5651858877.67073,5651858877.67073,5651858877.67073,25269896350.821518,25269896350.821518,25269896350.821518,-19618037473.150787,-19618037473.150787,-19618037473.150787,0.0,0.0,0.0,4386533328.681786
12,2017-01-01,-1214676088.2235954,4603609922.712046,5013770133.104444,-1214676088.2235954,-1214676088.2235954,6029393723.684514,6029393723.684514,6029393723.684514,25846369158.96851,25846369158.96851,25846369158.96851,-19816975435.283993,-19816975435.283993,-19816975435.283993,0.0,0.0,0.0,4814717635.460918
13,2017-04-01,-1165127738.9380357,4552710357.834519,4974560706.635611,-1165127738.9380357,-1165127738.9380357,5922870753.467096,5922870753.467096,5922870753.467096,25085200610.863186,25085200610.863186,25085200610.863186,-19162329857.3961,-19162329857.3961,-19162329857.3961,0.0,0.0,0.0,4757743014.52906
14,2017-07-01,-1115111504.2247965,4968784907.477859,5388800564.7542925,-1115111504.2247965,-1115111504.2247965,6283455062.763253,6283455062.763253,6283455062.763253,25059267002.539787,25059267002.539787,25059267002.539787,-18775811939.77654,-18775811939.77654,-18775811939.77654,0.0,0.0,0.0,5168343558.538457
15,2017-10-01,-1188988204.9432762,4486000837.616035,4913331653.790002,-1188988204.9432762,-1188988204.9432762,5885715357.426504,5885715357.426504,5885715357.426504,25269896350.818653,25269896350.818653,25269896350.818653,-19384180993.392155,-19384180993.392155,-19384180993.392155,0.0,0.0,0.0,4696727152.483228
16,2018-01-01,-1262921108.4204214,4579563656.756013,4974411909.620313,-1262921108.4204214,-1262921108.4204214,6039315296.003116,6039315296.003116,6039315296.003116,25846369158.97708,25846369158.97708,25846369158.97708,-19807053862.97397,-19807053862.97397,-19807053862.97397,0.0,0.0,0.0,4776394187.582694
17,2018-04-01,-1373019392.1340294,4395470011.1096325,4805220936.390531,-1373019392.1340294,-1373019392.1340294,5966650364.475597,5966650364.475597,5966650364.475597,25085200610.852184,25085200610.852184,25085200610.852184,-19118550246.376595,-19118550246.376595,-19118550246.376595,0.0,0.0,0.0,4593630972.341568
18,2018-07-01,-1484512360.9658108,4827812414.197221,5236522236.8106165,-1484512360.9658108,-1484512360.9658108,6506496702.367882,6506496702.367882,6506496702.367882,25059267002.534523,25059267002.534523,25059267002.534523,-18552770300.16664,-18552770300.16664,-18552770300.16664,0.0,0.0,0.0,5021984341.402071
19,2018-10-01,-1597262827.357821,4359656837.335377,4756532784.299117,-1597262827.357821,-1597262827.357821,6152941720.066168,6152941720.066168,6152941720.066168,25269896350.817646,25269896350.817646,25269896350.817646,-19116954630.75148,-19116954630.75148,-19116954630.75148,0.0,0.0,0.0,4555678892.708347
20,2019-01-01,-1710070291.2695267,4134049772.171533,4545497618.955849,-1710070291.2695267,-1710070291.2695267,6059205458.852925,6059205458.852925,6059205458.852925,25846369158.94002,25846369158.94002,25846369158.94002,-19787163700.087093,-19787163700.087093,-19787163700.087093,0.0,0.0,0.0,4349135167.583399
21,2019-04-01,-1820435749.3722544,3960185061.827407,4355652521.657337,-1820435749.3722544,-1820435749.3722544,5973165019.865956,5973165019.865956,5973165019.865956,25085200610.84633,25085200610.84633,25085200610.84633,-19112035590.980377,-19112035590.980377,-19112035590.980377,0.0,0.0,0.0,4152729270.493702
22,2019-07-01,-1932027490.3283637,4651663213.429744,5055451708.085174,-1932027490.3283637,-1932027490.3283637,6781423246.562477,6781423246.562477,6781423246.562477,25059267002.533054,25059267002.533054,25059267002.533054,-18277843755.970577,-18277843755.970577,-18277843755.970577,0.0,0.0,0.0,4849395756.234114
23,2019-10-01,-2044845514.184568,4205065689.0284452,4620324894.344439,-2044845514.184568,-2044845514.184568,6453445487.343419,6453445487.343419,6453445487.343419,25269896350.823303,25269896350.823303,25269896350.823303,-18816450863.47988,-18816450863.47988,-18816450863.47988,0.0,0.0,0.0,4408599973.158852
24,2020-01-01,-2157673958.331031,3707216629.889317,4131275791.46497,-2157673958.331031,-2157673958.331031,6089636918.701621,6089636918.701621,6089636918.701621,25846369158.96298,25846369158.96298,25846369158.96298,-19756732240.26136,-19756732240.26136,-19756732240.26136,0.0,0.0,0.0,3931962960.37059
25,2020-04-01,-2269276006.36092,3929482475.42841,4321192473.180461,-2269276006.36092,-2269276006.36092,6394290874.390127,6394290874.390127,6394290874.390127,25637278707.155003,25637278707.155003,25637278707.155003,-19242987832.764877,-19242987832.764877,-19242987832.764877,0.0,0.0,0.0,4125014868.029207
26,2020-07-01,-2380878054.39081,3902212627.0265646,4312728965.448452,-2380878054.39081,-2380878054.39081,6490060068.147726,6490060068.147726,6490060068.147726,25436412453.78244,25436412453.78244,25436412453.78244,-18946352385.63472,-18946352385.63472,-18946352385.63472,0.0,0.0,0.0,4109182013.756916
27,2020-10-01,-2493706498.5528955,3723048098.124914,4112163040.3976154,-2493706498.5528955,-2493706498.5528955,6408667661.376142,6408667661.376142,6408667661.376142,26026705134.52267,26026705134.52267,26026705134.52267,-19618037473.146526,-19618037473.146526,-19618037473.146526,0.0,0.0,0.0,3914961162.823246
28,2021-01-01,-2606534942.714982,3275185742.288077,3689985790.204678,-2606534942.714982,-2606534942.714982,6076939068.939493,6076939068.939493,6076939068.939493,25893914504.22009,25893914504.22009,25893914504.22009,-19816975435.280594,-19816975435.280594,-19816975435.280594,0.0,0.0,0.0,3470404126.224511
29,2021-04-01,-2716910594.612674,3554292213.460358,3945237156.146876,-2716910594.612674,-2716910594.612674,6474948849.752768,6474948849.752768,6474948849.752768,25637278707.1519,25637278707.1519,25637278707.1519,-19162329857.39913,-19162329857.39913,-19162329857.39913,0.0,0.0,0.0,3758038255.1400933
30,2021-07-01,-2828512642.6425643,3621518215.3587284,4041513620.7105875,-2828512642.6425643,-2828512642.6425643,6660600513.995381,6660600513.995381,6660600513.995381,25436412453.78726,25436412453.78726,25436412453.78726,-18775811939.791874,-18775811939.791874,-18775811939.791874,0.0,0.0,0.0,3832087871.352817
31,2021-10-01,-2941341086.80465,3502809677.2752314,3908787316.763583,-2941341086.80465,-2941341086.80465,6642524141.094197,6642524141.094197,6642524141.094197,26026705134.48989,26026705134.48989,26026705134.48989,-19384180993.395695,-19384180993.395695,-19384180993.395695,0.0,0.0,0.0,3701183054.2895474
32,2022-01-01,-3054169530.966736,2833157713.2571244,3231734931.4456353,-3058163523.7179804,-3050451473.383431,6086860641.290494,6086860641.290494,6086860641.290494,25893914504.251232,25893914504.251232,25893914504.251232,-19807053862.960735,-19807053862.960735,-19807053862.960735,0.0,0.0,0.0,3032691110.323758
33,2022-04-01,-3164545182.864429,3154574680.0048065,3552722754.0514445,-3179155317.663816,-3150189168.071619,6518728460.772841,6518728460.772841,6518728460.772841,25637278707.1486,25637278707.1486,25637278707.1486,-19118550246.37576,-19118550246.37576,-19118550246.37576,0.0,0.0,0.0,3354183277.9084125
34,2022-07-01,-3276147230.8943186,3402403120.265957,3811173818.067508,-3304832986.678885,-3248598542.3032575,6883642153.614868,6883642153.614868,6883642153.614868,25436412453.786293,25436412453.786293,25436412453.786293,-18552770300.171432,-18552770300.171432,-18552770300.171432,0.0,0.0,0.0,3607494922.7205496
35,2022-10-01,-3388975675.0564046,3307625022.7281113,3742711330.4091144,-3433678074.655002,-3343122775.095865,6909750503.743989,6909750503.743989,6909750503.743989,26026705134.496925,26026705134.496925,26026705134.496925,-19116954630.752937,-19116954630.752937,-19116954630.752937,0.0,0.0,0.0,3520774828.6875844
