,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-3579777535.092786,3331033044.36152,3801407033.8637214,-3579777535.092786,-3579777535.092786,7145729814.797935,7145729814.797935,7145729814.797935,-4879718790.956448,-4879718790.956448,-4879718790.956448,12025448605.75438,12025448605.75438,12025448605.75438,0.0,0.0,0.0,3565952279.7051487
1,2014-04-01,-3582808908.128133,3895716641.743752,4361856033.309423,-3582808908.128133,-3582808908.128133,7707459838.616593,7707459838.616593,7707459838.616593,-6252738657.991396,-6252738657.991396,-6252738657.991396,13960198496.607988,13960198496.607988,13960198496.607988,0.0,0.0,0.0,4124650930.4884605
2,2014-07-01,-3585873962.8865857,4333850864.1472845,4798560930.412021,-3585873962.8865857,-3585873962.8865857,8154911397.385206,8154911397.385206,8154911397.385206,-6574194659.823799,-6574194659.823799,-6574194659.823799,14729106057.209007,14729106057.209007,14729106057.209007,0.0,0.0,0.0,4569037434.498621
3,2014-10-01,-3588972699.490529,3952503134.696955,4442081841.02768,-3588972699.490529,-3588972699.490529,7775253345.302392,7775253345.302392,7775253345.302392,-5719433904.3561325,-5719433904.3561325,-5719433904.3561325,13494687249.658524,13494687249.658524,13494687249.658524,0.0,0.0,0.0,4186280645.811863
4,2015-01-01,-3592071437.8299813,3672265385.151079,4121053446.7495685,-3592071437.8299813,-3592071437.8299813,7472361880.467001,7472361880.467001,7472361880.467001,-4879718790.966648,-4879718790.966648,-4879718790.966648,12352080671.43365,12352080671.43365,12352080671.43365,0.0,0.0,0.0,3880290442.6370196
5,2015-04-01,-3595102811.635114,4139974172.477648,4574595474.635128,-3595102811.635114,-3595102811.635114,7959829075.939562,7959829075.939562,7959829075.939562,-6252738658.003049,-6252738658.003049,-6252738658.003049,14212567733.942604,14212567733.942604,14212567733.942604,0.0,0.0,0.0,4364726264.304447
6,2015-07-01,-3598167869.0106354,4652171903.467143,5137160651.362913,-3598167869.0106354,-3598167869.0106354,8492555547.527366,8492555547.527366,8492555547.527366,-6574194659.8053,-6574194659.8053,-6574194659.8053,15066750207.332664,15066750207.332664,15066750207.332664,0.0,0.0,0.0,4894387678.51673
7,2015-10-01,-3601266610.2993574,4432638788.87247,4876359835.991167,-3601266610.2993574,-3601266610.2993574,8262107536.382326,8262107536.382326,8262107536.382326,-5719433904.35246,-5719433904.35246,-5719433904.35246,13981541440.734785,13981541440.734785,13981541440.734785,0.0,0.0,0.0,4660840926.082969
8,2016-01-01,-3604365352.0610313,4004800963.778506,4478448171.311522,-3604365352.0610313,-3604365352.0610313,7835757374.017775,7835757374.017775,7835757374.017775,-4879718790.967613,-4879718790.967613,-4879718790.967613,12715476164.985374,12715476164.985374,12715476164.985374,0.0,0.0,0.0,4231392021.9567432
9,2016-04-01,-3607431338.4052706,4174725561.641881,4658349169.745278,-3607431338.4052706,-3607431338.4052706,8029357962.939569,8029357962.939569,8029357962.939569,-5183038613.095924,-5183038613.095924,-5183038613.095924,13212396576.0355,13212396576.0355,13212396576.0355,0.0,0.0,0.0,4421926624.534299
10,2016-07-01,-3610553809.2717323,4480456602.661024,4964268491.748383,-3610553809.2717323,-3610553809.2717323,8337045983.402733,8337045983.402733,8337045983.402733,-5460100794.657848,-5460100794.657848,-5460100794.657848,13797146778.060587,13797146778.060587,13797146778.060587,0.0,0.0,0.0,4726492174.1310005
11,2016-10-01,-3613753248.073184,4246445106.140249,4719989898.6574135,-3613753248.073184,-3613753248.073184,8097845627.001492,8097845627.001492,8097845627.001492,-4549271324.739629,-4549271324.739629,-4549271324.739629,12647116951.74112,12647116951.74112,12647116951.74112,0.0,0.0,0.0,4484092378.928308
12,2017-01-01,-3616962969.4618797,4383338930.570634,4845710146.160093,-3616962969.4618797,-3616962969.4618797,8228061320.250734,8228061320.250734,8228061320.250734,-3507120119.0877013,-3507120119.0877013,-3507120119.0877013,11735181439.338438,11735181439.338438,11735181439.338438,0.0,0.0,0.0,4611098350.788855
13,2017-04-01,-3620180667.9522214,4578108427.682384,5058841302.82176,-3620180667.9522214,-3620180667.9522214,8443942076.103684,8443942076.103684,8443942076.103684,-5183038613.070327,-5183038613.070327,-5183038613.070327,13626980689.174013,13626980689.174013,13626980689.174013,0.0,0.0,0.0,4823761408.151463
14,2017-07-01,-3631183397.5025783,4980715071.624735,5465429666.113246,-3631183397.5025783,-3631183397.5025783,8845380304.850506,8845380304.850506,8845380304.850506,-5460100794.655004,-5460100794.655004,-5460100794.655004,14305481099.50552,14305481099.50552,14305481099.50552,0.0,0.0,0.0,5214196907.347927
15,2017-10-01,-3776015712.723329,4494210209.956273,4953178492.019107,-3776015712.723329,-3776015712.723329,8500230705.756217,8500230705.756217,8500230705.756217,-4549271324.747558,-4549271324.747558,-4549271324.747558,13049502030.503765,13049502030.503765,13049502030.503765,0.0,0.0,0.0,4724214993.032888
16,2018-01-01,-3920958713.884014,4380427243.5174,4850757478.839034,-3920958713.884014,-3920958713.884014,8518328486.648563,8518328486.648563,8518328486.648563,-3507120119.082988,-3507120119.082988,-3507120119.082988,12025448605.731554,12025448605.731554,12025448605.731554,0.0,0.0,0.0,4597369772.764549
17,2018-04-01,-4062838105.724624,4468339680.225113,4942593020.089312,-4062838105.724624,-4062838105.724624,8777159883.529022,8777159883.529022,8777159883.529022,-5183038613.085115,-5183038613.085115,-5183038613.085115,13960198496.614141,13960198496.614141,13960198496.614141,0.0,0.0,0.0,4714321777.804398
18,2018-07-01,-4206348906.0787487,4820960736.593698,5296386669.976093,-4206348906.0787487,-4206348906.0787487,9269005262.542934,9269005262.542934,9269005262.542934,-5460100794.660515,-5460100794.660515,-5460100794.660515,14729106057.203447,14729106057.203447,14729106057.203447,0.0,0.0,0.0,5062656356.464186
19,2018-10-01,-4351449441.196302,4373923902.961067,4839588093.80567,-4351449441.196302,-4351449441.196302,8945415924.907293,8945415924.907293,8945415924.907293,-4549271324.751121,-4549271324.751121,-4549271324.751121,13494687249.658407,13494687249.658407,13494687249.658407,0.0,0.0,0.0,4593966483.710991
20,2019-01-01,-4496550199.730237,4108705276.3781295,4582743295.821414,-4496550199.730237,-4496550199.730237,8844960552.336155,8844960552.336155,8844960552.336155,-3507120119.1059027,-3507120119.1059027,-3507120119.1059027,12352080671.442055,12352080671.442055,12352080671.442055,0.0,0.0,0.0,4348410352.605918
21,2019-04-01,-4638496632.957552,4161372088.8069334,4620608088.239547,-4638496632.957552,-4638496632.957552,9029529120.850813,9029529120.850813,9029529120.850813,-5183038613.088697,-5183038613.088697,-5183038613.088697,14212567733.939514,14212567733.939514,14212567733.939514,0.0,0.0,0.0,4391032487.893261
22,2019-07-01,-4782020250.806384,4584441211.99381,5050067393.007106,-4782020250.806384,-4782020250.806384,9606649412.652668,9606649412.652668,9606649412.652668,-5460100794.662137,-5460100794.662137,-5460100794.662137,15066750207.314793,15066750207.314793,15066750207.314793,0.0,0.0,0.0,4824629161.846284
23,2019-10-01,-4927121049.524144,4282289899.770317,4743490398.673916,-4927121049.524144,-4927121049.524144,9432270116.002424,9432270116.002424,9432270116.002424,-4549271324.733889,-4549271324.733889,-4549271324.733889,13981541440.736307,13981541440.736307,13981541440.736307,0.0,0.0,0.0,4505149066.47828
24,2020-01-01,-5072221850.577254,3895365497.7183022,4364640640.793346,-5072221850.577254,-5072221850.577254,9208356045.899445,9208356045.899445,9208356045.899445,-3507120119.0891523,-3507120119.0891523,-3507120119.0891523,12715476164.988602,12715476164.988602,12715476164.988602,0.0,0.0,0.0,4136134195.3221903
25,2020-04-01,-5215745467.284585,3912698810.3443255,4361529626.042362,-5215745467.284585,-5215745467.284585,9368594369.58546,9368594369.58546,9368594369.58546,-3843802206.4513583,-3843802206.4513583,-3843802206.4513583,13212396576.03682,13212396576.03682,13212396576.03682,0.0,0.0,0.0,4152848902.3008757
