,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-1561942305.4511619,3888588800.508568,4575049715.8039255,-1561942305.4511619,-1561942305.4511619,5794441800.335739,5794441800.335739,5794441800.335739,-14971051561.377596,-14971051561.377596,-14971051561.377596,20765493361.71333,20765493361.71333,20765493361.71333,0.0,0.0,0.0,4232499494.8845773
1,2014-04-01,-1551992664.0947096,4047073306.107958,4726358127.30385,-1551992664.0947096,-1551992664.0947096,5924325913.896476,5924325913.896476,5924325913.896476,-15959880693.899815,-15959880693.899815,-15959880693.899815,21884206607.79629,21884206607.79629,21884206607.79629,0.0,0.0,0.0,4372333249.801766
2,2014-07-01,-1541932471.2254217,4435213680.7846155,5113279573.06554,-1541932471.2254217,-1541932471.2254217,6314702778.195879,6314702778.195879,6314702778.195879,-16113417356.882654,-16113417356.882654,-16113417356.882654,22428120135.078533,22428120135.078533,22428120135.078533,0.0,0.0,0.0,4772770306.970457
3,2014-10-01,-1531761726.8285737,4255841418.0942163,4924364757.197935,-1531761726.8285737,-1531761726.8285737,6107591801.408348,6107591801.408348,6107591801.408348,-15582360603.031551,-15582360603.031551,-15582360603.031551,21689952404.4399,21689952404.4399,21689952404.4399,0.0,0.0,0.0,4575830074.579775
4,2015-01-01,-1521590982.441473,4041478967.527787,4714779666.961555,-1521590982.441473,-1521590982.441473,5902243011.358007,5902243011.358007,5902243011.358007,-14971051561.384218,-14971051561.384218,-14971051561.384218,20873294572.74223,20873294572.74223,20873294572.74223,0.0,0.0,0.0,4380652028.916534
5,2015-04-01,-1511641341.1497786,4219338316.184984,4911089633.87348,-1511641341.1497786,-1511641341.1497786,6073743513.324735,6073743513.324735,6073743513.324735,-15959880693.898664,-15959880693.898664,-15959880693.898664,22033624207.2234,22033624207.2234,22033624207.2234,0.0,0.0,0.0,4562102172.174956
6,2015-07-01,-1501581148.2906005,4717460745.761516,5398955014.446053,-1501581148.2906005,-1501581148.2906005,6562980990.978909,6562980990.978909,6562980990.978909,-16113417356.881126,-16113417356.881126,-16113417356.881126,22676398347.860035,22676398347.860035,22676398347.860035,0.0,0.0,0.0,5061399842.688308
7,2015-10-01,-1491410403.882797,4501443413.9226055,5209738298.441862,-1491410403.882797,-1491410403.882797,6339613143.599229,6339613143.599229,6339613143.599229,-15582360603.03114,-15582360603.03114,-15582360603.03114,21921973746.630367,21921973746.630367,21921973746.630367,0.0,0.0,0.0,4848202739.716432
8,2016-01-01,-1481239659.4806042,4178686321.167671,4892780757.510791,-1481239659.4806042,-1481239659.4806042,6029957057.276523,6029957057.276523,6029957057.276523,-14971051561.383524,-14971051561.383524,-14971051561.383524,21001008618.660053,21001008618.660053,21001008618.660053,0.0,0.0,0.0,4548717397.795918
9,2016-04-01,-1471179466.7369657,4346645071.769751,5045677773.667702,-1471179466.7369657,-1471179466.7369657,6179304887.988418,6179304887.988418,6179304887.988418,-15169976796.79086,-15169976796.79086,-15169976796.79086,21349281684.779278,21349281684.779278,21349281684.779278,0.0,0.0,0.0,4708125421.2514515
10,2016-07-01,-1461119274.0088344,4744504620.31848,5435545639.265504,-1461119274.0088344,-1461119274.0088344,6559725235.995103,6559725235.995103,6559725235.995103,-15376329143.14805,-15376329143.14805,-15376329143.14805,21936054379.143154,21936054379.143154,21936054379.143154,0.0,0.0,0.0,5098605961.986269
11,2016-10-01,-1450955282.765844,4514798230.391085,5194715588.90648,-1450955282.765844,-1450955282.765844,6306190092.793884,6306190092.793884,6306190092.793884,-14786751949.072704,-14786751949.072704,-14786751949.072704,21092942041.866592,21092942041.866592,21092942041.866592,0.0,0.0,0.0,4855234810.02804
12,2017-01-01,-1440827723.0220318,4507064140.512484,5176559853.540926,-1440827723.0220318,-1440827723.0220318,6292283082.203286,6292283082.203286,6292283082.203286,-14385094663.996618,-14385094663.996618,-14385094663.996618,20677377746.199905,20677377746.199905,20677377746.199905,0.0,0.0,0.0,4851455359.181254
13,2017-04-01,-1431022307.1133988,4720389175.727328,5404410550.841864,-1431022307.1133988,-1431022307.1133988,6486084668.998766,6486084668.998766,6486084668.998766,-15169976796.780058,-15169976796.780058,-15169976796.780058,21656061465.778824,21656061465.778824,21656061465.778824,0.0,0.0,0.0,5055062361.885367
14,2017-07-01,-1421255809.9799602,5024873910.493214,5717135160.555403,-1421255809.9799602,-1421255809.9799602,6804833573.452927,6804833573.452927,6804833573.452927,-15376329143.148766,-15376329143.148766,-15376329143.148766,22181162716.60169,22181162716.60169,22181162716.60169,0.0,0.0,0.0,5383577763.472966
15,2017-10-01,-1517105260.7128294,4772620940.369092,5456922639.751321,-1517105260.7128294,-1517105260.7128294,6626718734.399457,6626718734.399457,6626718734.399457,-14786751949.080036,-14786751949.080036,-14786751949.080036,21413470683.479496,21413470683.479496,21413470683.479496,0.0,0.0,0.0,5109613473.686627
16,2018-01-01,-1613087196.6782703,4431417357.443518,5111822448.598396,-1613087196.6782703,-1613087196.6782703,6380398697.709297,6380398697.709297,6380398697.709297,-14385094663.99906,-14385094663.99906,-14385094663.99906,20765493361.708355,20765493361.708355,20765493361.708355,0.0,0.0,0.0,4767311501.031027
17,2018-04-01,-1707150794.9057252,4678183200.317797,5332554730.066741,-1707150794.9057252,-1707150794.9057252,6714229811.007943,6714229811.007943,6714229811.007943,-15169976796.788128,-15169976796.788128,-15169976796.788128,21884206607.796074,21884206607.796074,21884206607.796074,0.0,0.0,0.0,5007079016.102218
18,2018-07-01,-1802416771.5382986,4888087591.743494,5602098921.737198,-1802416771.5382986,-1802416771.5382986,7051790991.927111,7051790991.927111,7051790991.927111,-15376329143.150133,-15376329143.150133,-15376329143.150133,22428120135.077244,22428120135.077244,22428120135.077244,0.0,0.0,0.0,5249374220.388812
19,2018-10-01,-1898868361.8816414,4673343419.387737,5335601022.441456,-1898868361.8816414,-1898868361.8816414,6903200455.357254,6903200455.357254,6903200455.357254,-14786751949.083803,-14786751949.083803,-14786751949.083803,21689952404.44106,21689952404.44106,21689952404.44106,0.0,0.0,0.0,5004332093.475613
20,2019-01-01,-1995328964.6445308,4148376550.8983207,4824312124.668647,-1995328964.6445308,-1995328964.6445308,6488199908.750193,6488199908.750193,6488199908.750193,-14385094663.993876,-14385094663.993876,-14385094663.993876,20873294572.74407,20873294572.74407,20873294572.74407,0.0,0.0,0.0,4492870944.105661
21,2019-04-01,-2089777684.7376807,4440247169.345202,5129616138.320102,-2089777684.7376807,-2089777684.7376807,6863647410.434912,6863647410.434912,6863647410.434912,-15169976796.787352,-15169976796.787352,-15169976796.787352,22033624207.22226,22033624207.22226,22033624207.22226,0.0,0.0,0.0,4773869725.697231
22,2019-07-01,-2185276179.7162447,4764627403.825467,5461138130.0141535,-2185276179.7162447,-2185276179.7162447,7300069204.703679,7300069204.703679,7300069204.703679,-15376329143.151297,-15376329143.151297,-15376329143.151297,22676398347.854973,22676398347.854973,22676398347.854973,0.0,0.0,0.0,5114793024.987434
23,2019-10-01,-2281824108.8115516,4517063745.147992,5177911217.061297,-2281824108.8115516,-2281824108.8115516,7135221797.56466,7135221797.56466,7135221797.56466,-14786751949.06709,-14786751949.06709,-14786751949.06709,21921973746.631752,21921973746.631752,21921973746.631752,0.0,0.0,0.0,4853397688.753109
24,2020-01-01,-2378372038.0125,3869282994.0348415,4577317745.041837,-2378372038.0125,-2378372038.0125,6615913954.668052,6615913954.668052,6615913954.668052,-14385094663.992054,-14385094663.992054,-14385094663.992054,21001008618.660103,21001008618.660103,21001008618.660103,0.0,0.0,0.0,4237541916.655552
25,2020-04-01,-2473870533.2901306,4060143523.3884683,4717777740.562531,-2473870533.2901306,-2473870533.2901306,6861283392.657994,6861283392.657994,6861283392.657994,-14487998292.122307,-14487998292.122307,-14487998292.122307,21349281684.7803,21349281684.7803,21349281684.7803,0.0,0.0,0.0,4387412859.367864
26,2020-07-01,-2569369028.5677614,4405500744.224112,5076580549.029431,-2569369028.5677614,-2569369028.5677614,7312341410.766657,7312341410.766657,7312341410.766657,-14623712968.378122,-14623712968.378122,-14623712968.378122,21936054379.14478,21936054379.14478,21936054379.14478,0.0,0.0,0.0,4742972382.198895
27,2020-10-01,-2665916957.859432,3783272478.4128723,4437010339.448333,-2665916957.859432,-2665916957.859432,6773037194.75617,6773037194.75617,6773037194.75617,-14319904847.110765,-14319904847.110765,-14319904847.110765,21092942041.866936,21092942041.866936,21092942041.866936,0.0,0.0,0.0,4107120236.896738
28,2021-01-01,-2762464887.1511035,3182195968.454831,3872644831.0344925,-2762464887.1511035,-2762464887.1511035,6286792257.987366,6286792257.987366,6286792257.987366,-14390585488.210926,-14390585488.210926,-14390585488.210926,20677377746.198296,20677377746.198296,20677377746.198296,0.0,0.0,0.0,3524327370.836262
29,2021-04-01,-2856913948.4146943,3964413120.7151995,4653581916.246616,-2856913948.4146943,-2856913948.4146943,7168063173.664241,7168063173.664241,7168063173.664241,-14487998292.11369,-14487998292.11369,-14487998292.11369,21656061465.77793,21656061465.77793,21656061465.77793,0.0,0.0,0.0,4311149225.249546
30,2021-07-01,-2952412443.692325,4309622223.727239,4979457618.091614,-2952412443.692325,-2952412443.692325,7557449748.216863,7557449748.216863,7557449748.216863,-14623712968.377584,-14623712968.377584,-14623712968.377584,22181162716.59445,22181162716.59445,22181162716.59445,0.0,0.0,0.0,4605037304.524538
31,2021-10-01,-3048960372.9839954,3720789496.770464,4383924532.036427,-3048960372.9839954,-3048960372.9839954,7093565836.373485,7093565836.373485,7093565836.373485,-14319904847.10555,-14319904847.10555,-14319904847.10555,21413470683.47904,21413470683.47904,21413470683.47904,0.0,0.0,0.0,4044605463.389489
32,2022-01-01,-3145508302.275666,2895055713.5319633,3571433218.7198143,-3147910735.8705816,-3142656121.8012466,6374907873.506688,6374907873.506688,6374907873.506688,-14390585488.210121,-14390585488.210121,-14390585488.210121,20765493361.71681,20765493361.71681,20765493361.71681,0.0,0.0,0.0,3229399571.231022
33,2022-04-01,-3239957363.539257,3813958533.182242,4494281532.077787,-3249053274.065599,-3230761881.6638975,7396208315.675691,7396208315.675691,7396208315.675691,-14487998292.118141,-14487998292.118141,-14487998292.118141,21884206607.793842,21884206607.793842,21884206607.793842,0.0,0.0,0.0,4156250952.1364336
34,2022-07-01,-3335455858.8168883,4129266951.7614546,4841887470.917571,-3353651801.23577,-3316236655.7264657,7804407166.689196,7804407166.689196,7804407166.689196,-14623712968.384989,-14623712968.384989,-14623712968.384989,22428120135.074184,22428120135.074184,22428120135.074184,0.0,0.0,0.0,4468951307.872307
35,2022-10-01,-3432003788.1085587,3599916964.106153,4286320393.1867137,-3461248773.649638,-3401413372.140736,7370047557.334657,7370047557.334657,7370047557.334657,-14319904847.105808,-14319904847.105808,-14319904847.105808,21689952404.440468,21689952404.440468,21689952404.440468,0.0,0.0,0.0,3938043769.226098
