,ds,분기당_매출_금액,분기당_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
0,2014-1분기,23873554773.711327,5805895.0121595375,18187359393.10473,5812241912.90844,3708416924.1051416,3659515667.7670956,3526227233.7275686,3565952279.7051487,4232499494.8845773,4044910967.2687197,2525421859.696348,3505424574.5228176,4537454942.510837,3749009407.125503,3723012142.95752,5710793472.443789,4020301488.451688,12402560006.346458,9537944091.613932,489139450.3921685,12658340989.510317,6973496164.901031,2476792989.9259715,1393032155.9655252,419810860.5606457,4506323.469290041,1519151.1130594676,1012081.2041452874,913577.1660625921,876090.3501739164,1012137.7334161119,983219.8463045583,877019.729062066,579582.9737916521,618973.3559035035,1327751.5025799787,1014568.2027488797,866650.9765333898,1325442.542101605,882947.7176236853,3205429.463395415,2388179.117922171,118853.7109691622,3089793.5496676276,1561539.0478083962,517668.53413800127,327312.5931946315,76483.67962814629,108.4290823874278
1,2014-2분기,26596081651.674126,6432981.192514887,20263499415.590267,6376421310.284351,3809919490.3210425,4020844044.142989,4073123494.9077377,4124650930.4884605,4372333249.801766,3876821339.1910663,2751981649.521946,3232871794.464683,5021641641.88019,3997168874.3893332,4070609767.360214,6248709211.32061,4494079903.30287,14379174966.13509,10261336507.008848,436634273.1967164,11926041595.362848,7943486829.300703,3064016797.6014194,1665337686.4502976,487494175.63128114,4989177.7397607835,1534670.3336974748,972857.4905906871,975321.7979434638,1003465.9795020773,1045666.8402005476,1052951.7434136206,886876.8257458764,631719.5734439013,604527.565282103,1481743.8044831445,1077884.8073701353,972803.9310665545,1469674.2167783796,906681.7076875092,3644628.911542431,2559565.1259816224,134586.03245654452,3221596.211660224,1777718.0663708418,649611.7736795103,393048.133445853,85541.98207380678,105.43624201702781
2,2014-3분기,28889621661.238304,6989212.606348062,22227836365.521553,6703051980.904187,4076235830.9117713,4318359884.089623,4514020492.3116,4569037434.498621,4772770306.970457,3847984761.0777183,2871079920.7381616,3276707252.0360637,5502556056.686419,4376302413.153872,4455074372.226489,6796723814.00592,4679409229.057441,15698464190.734623,11042233560.001335,524936472.3954372,12569083575.03142,8085337342.52094,3428036305.7942686,1887910003.5167654,524284181.195349,5496585.899918224,1532296.1743719021,1023912.4585983248,1073870.738048834,1119207.610576028,1122161.1130945082,1146449.5375198124,889768.8873730894,643927.1566316558,627395.5915661645,1629111.2947117626,1195377.89629758,1066021.0834017564,1579904.0159426192,928610.1485412186,3948026.0274092453,2802047.4295225595,178890.77339943708,3542893.6764428224,1787466.4792910872,717096.3973505169,447599.3454605292,93979.70604881784,106.11754848416709
3,2014-4분기,27902775743.436916,6494020.750398896,21113440113.806744,6872189699.2537,4098731380.163626,4184346382.753806,4267528674.530838,4186280645.811863,4575830074.579775,4202464795.265042,3008569330.9923,3692545938.281665,5105035244.304523,4131834099.3740587,4147718304.617909,6680103695.813652,4720118650.686464,15144983046.80622,10637159234.526443,555053295.2989631,12970002358.357595,8018137122.582654,3221185313.6010947,1656835845.1223176,478674563.10646605,4996166.028983299,1604073.6349809698,1013253.2521083206,992265.2136030081,1008311.9097523929,1041250.3177839098,1049457.644164309,918990.7251534907,661805.2360482943,667073.2204406156,1425012.2724185656,1071027.3501771218,965894.7102962408,1512370.1291653304,944539.7837057028,3671479.076248199,2581940.540341615,162929.7550880062,3279263.4621531167,1729986.7003637855,665128.3912050355,377300.0801402649,85069.8284714855,107.98944056825198
4,2015-1분기,25501133986.032677,5829418.913324258,19323767927.092804,6219829304.324419,3796782876.189495,3730386874.605753,3747347558.0348015,3880290442.6370196,4380652028.916534,3940685822.0492063,2608120393.0841956,3375668742.2538586,4647684334.760687,4007181525.911325,3877045532.0666966,6073146804.893451,4123326238.7090607,13860804140.054733,9784396029.401852,450677307.72466,12027999880.537468,7213073617.264188,2979161174.7194247,1650233783.1758292,492862911.3445568,4472449.5370581485,1428010.7066414573,941903.104431549,886477.9791947047,877859.9378180581,964324.7979596793,969653.2746374912,833490.6115028597,560502.0810023093,584169.451546357,1291102.2414659064,1028433.9431424738,872036.9204508563,1337051.0932118664,818909.4119034905,3228891.0087339613,2370049.387769139,123086.96117666212,2974739.8955907878,1512781.6738741838,575198.2608892781,359392.9699601811,87916.37584555999,109.40391077609874
5,2015-2분기,28117357041.4243,6514429.907240203,21329605006.37184,6791674279.78014,3933950074.9562387,4203788084.484802,4280868311.661834,4364726264.304447,4562102172.174956,3891195019.430036,2888788552.710882,3197244331.301862,5171201921.446217,4225742371.1719174,4234200524.9572115,6624464573.745162,4573704646.275267,15894177594.380556,10687372273.164438,482905367.0841755,11796734128.145483,8122321825.753144,3545285868.4795237,1920695113.723619,536242291.65770626,4960738.9597295895,1511233.1073892554,940540.2128051335,981634.2816308995,1000637.692596832,1021620.803412037,1045980.4769749042,875498.3411024536,632339.2048055602,588240.3965303829,1459342.2667919204,1089123.8387780015,977171.7108353508,1499675.9147514044,874089.4271020109,3678200.676265556,2606872.2776797386,154593.19635602087,3154680.0697075566,1726296.2790494857,708412.4985722469,428569.8805925043,96368.14926272337,106.14793618697898
6,2015-3분기,31589681269.672966,7372921.611393294,24293962927.744385,7230821742.875906,4558133232.521854,4672771520.416639,4990177197.881268,4894387678.51673,5061399842.688308,3964401037.7881145,3093348074.3128533,3463102596.6039014,5828295104.894515,4771689319.980935,4724559606.342219,7377628823.678,5044766665.8955345,17886095492.780537,11917588271.956415,630494591.8052589,13044111513.300861,8563890178.154382,4042580378.4892664,2252905320.923158,610301755.4405613,5748065.206278557,1558188.3523469558,1081961.044360928,1126072.1665429587,1188621.0818959486,1142002.8145948418,1171306.9905859958,900659.9432227169,666942.8778507817,653382.3490805696,1661823.9164831736,1259149.448787247,1115030.388316597,1675744.2638455874,949339.6907490918,4168741.5508685964,2963102.1806870047,218907.70243001898,3620524.8994860654,1809978.6890443068,817625.051742447,513532.23910836293,111664.8687642997,107.34319171051649
7,2015-4분기,30863104079.10007,6870033.641899197,23450047383.35732,7413806139.237782,4459397049.23585,4635284985.010989,4769262603.127157,4660840926.082969,4848202739.716432,4170988976.763355,3205432724.0006223,3690402342.4428544,5456778312.418275,4593463138.611112,4492702191.335062,7422426144.8227215,5038451241.638317,17467061398.609825,11614548275.95464,597690661.4916086,13140672106.76406,8605126646.223324,3892889368.4754753,2012477928.1910896,579498355.6006025,5250836.418333936,1573124.651166285,1019263.0370443782,1057120.7909427292,1058097.1571831133,1049447.1315719415,1073448.926468362,902573.727244307,668300.6495291471,655964.0694595771,1463071.1750779266,1140395.5555300598,1023096.0295081765,1618334.6038174503,935194.0953658435,3878482.0318796467,2747913.9300277047,186686.89328246185,3351556.5456453506,1761694.8653028929,756638.1336471371,435839.62717543216,103679.93396410404,113.92880541793335
8,2016-1분기,27291006669.298134,5900397.5687717935,20695851547.726383,6577622499.548622,3958852209.785995,3897537152.653771,3979009179.0678425,4231392021.9567432,4548717397.795918,3837627986.217304,2724462542.903727,3268516488.655644,4785451590.921993,4334610236.856739,4036769233.1998367,6465723533.005795,4280028500.0675297,15416371773.726818,10077285660.621386,417236589.48540163,11494464236.063965,7537872551.373425,3491828861.1184154,1897164526.0333867,583743298.4622923,4515535.599225316,1340347.3049977464,882670.3996245912,871715.0875219573,895001.836927617,927221.2870277881,964615.7098797691,789300.4210325864,545976.6366000072,552934.5033165509,1259940.7988093712,1058180.772978544,884816.5475886196,1360422.03125135,763577.3958145377,3297332.3670369918,2365075.5032046973,127847.05414124075,2884110.3900172883,1491478.7530820318,640742.2356858102,394436.0520713464,100329.55146207096,112.37145230478356
9,2016-2분기,29184728181.024498,6527787.912366409,22292878331.017876,6921099345.974871,4374979136.013898,4326874113.9388275,4476025850.129084,4421926624.534299,4708125421.2514515,3940764300.6157985,2949833267.7856836,3173646904.801849,5305768743.231962,4653494261.606215,4416705398.030368,6824755778.102055,4744635867.4091015,16772607978.274538,10512221290.180264,474181173.4846929,11568098691.028261,8309054659.9097,3866900376.4308352,2133090770.4899154,704234042.4578681,5043908.088628127,1471534.9692303413,995100.0107673209,980526.9527660911,1009808.8677261657,1000889.086863202,1047769.7921418096,848989.8552537502,626222.5846320791,550708.2125283739,1420911.6138863547,1164289.000765997,1008580.0267499958,1496901.3538121658,867477.9573766175,3746699.033864825,2541888.5661374875,158581.7070473974,3040250.883873569,1727611.050652351,762863.4776352465,466733.6660268694,122451.94174207698,112.84102452422471
