,accuracy
ALL,inf
thsmon_selng_amt,0.9305386413361403
thsmon_selng_co,0.8366178643255988
mdwk_selng_amt,0.7482099786398526
wkend_selng_amt,0.7315635292726514
mon_selng_amt,0.6703731813780132
tues_selng_amt,0.8678831314407833
wed_selng_amt,1.2632639784574418
thur_selng_amt,0.9908084865980769
fri_selng_amt,0.836641306037248
sat_selng_amt,0.673331292802637
sun_selng_amt,0.9404434515623766
tmzon_00_06_selng_amt,inf
tmzon_06_11_selng_amt,inf
tmzon_11_14_selng_amt,0.8873615940950427
tmzon_14_17_selng_amt,0.9585963923822659
tmzon_17_21_selng_amt,0.8096935067784936
tmzon_21_24_selng_amt,inf
ml_selng_amt,0.9048645321083874
fml_selng_amt,0.7784600853482918
agrde_10_selng_amt,inf
agrde_20_selng_amt,0.7041765078028416
agrde_30_selng_amt,0.8924022317476067
agrde_40_selng_amt,0.6645492121435645
agrde_50_selng_amt,0.7132849772511336
agrde_60_above_selng_amt,0.701369560772594
mdwk_selng_co,0.9569565561781816
wkend_selng_co,0.7562392995199344
mon_selng_co,0.7933228321807106
tues_selng_co,0.3839602925938584
wed_selng_co,0.71364680244158
thur_selng_co,0.4006598763342283
fri_selng_co,0.8660830905639301
sat_selng_co,0.7943296481307325
sun_selng_co,0.7766619741620822
tmzon_00_06_selng_co,inf
tmzon_06_11_selng_co,inf
tmzon_11_14_selng_co,0.7142735173812134
tmzon_14_17_selng_co,0.7681785102798964
tmzon_17_21_selng_co,0.6829483515340502
tmzon_21_24_selng_co,inf
ml_selng_co,0.5129355218617613
fml_selng_co,0.9326106338035939
agrde_10_selng_co,inf
agrde_20_selng_co,0.621496944840938
agrde_30_selng_co,0.8982190669376777
agrde_40_selng_co,0.929364758644474
agrde_50_selng_co,0.657185749835151
agrde_60_above_selng_co,0.761997551560673
stor_co,0.8531369322235078
