,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-8936231.473412199,7158224.079054611,21605362.26270318,-8936231.473412199,-8936231.473412199,23508335.562184233,23508335.562184233,23508335.562184233,58232780.28871539,58232780.28871539,58232780.28871539,-34724444.726531155,-34724444.726531155,-34724444.726531155,0.0,0.0,0.0,14572104.088772034
1,2014-04-01,-8510124.158261383,4089309.418940365,19389549.12564839,-8510124.158261383,-8510124.158261383,20326086.604214415,20326086.604214415,20326086.604214415,62527594.90803449,62527594.90803449,62527594.90803449,-42201508.303820096,-42201508.303820096,-42201508.303820096,0.0,0.0,0.0,11815962.445953032
2,2014-07-01,-8079282.317174917,7571014.327912219,22354347.945181835,-8079282.317174917,-8079282.317174917,23445181.037131585,23445181.037131585,23445181.037131585,62542003.81900479,62542003.81900479,62542003.81900479,-39096822.781873204,-39096822.781873204,-39096822.781873204,0.0,0.0,0.0,15365898.719956668
3,2014-10-01,-7643705.9500511065,5460458.505648745,20405738.946729288,-7643705.9500511065,-7643705.9500511065,20482497.137909506,20482497.137909506,20482497.137909506,61397778.27458593,61397778.27458593,61397778.27458593,-40915281.13667643,-40915281.13667643,-40915281.13667643,0.0,0.0,0.0,12838791.187858399
4,2015-01-01,-7208129.583202183,11626628.45018312,26898796.90374346,-7208129.583202183,-7208129.583202183,26500456.655337222,26500456.655337222,26500456.655337222,58232780.288712196,58232780.288712196,58232780.288712196,-31732323.633374974,-31732323.633374974,-31732323.633374974,0.0,0.0,0.0,19292327.07213504
5,2015-04-01,-6782022.26774532,5689861.425409878,19678094.097095214,-6782022.26774532,-6782022.26774532,19477016.95919262,19477016.95919262,19477016.95919262,62527594.90799221,62527594.90799221,62527594.90799221,-43050577.94879959,-43050577.94879959,-43050577.94879959,0.0,0.0,0.0,12694994.691447299
6,2015-07-01,-6351180.426319549,11428450.220791068,26429571.687478773,-6351180.426319549,-6351180.426319549,25350315.53287383,25350315.53287383,25350315.53287383,62542003.81906724,62542003.81906724,62542003.81906724,-37191688.286193416,-37191688.286193416,-37191688.286193416,0.0,0.0,0.0,18999135.106554285
7,2015-10-01,-5915604.058762847,8236244.830332304,23182711.839432888,-5915604.058762847,-5915604.058762847,21150632.883377776,21150632.883377776,21150632.883377776,61397778.274598695,61397778.274598695,61397778.274598695,-40247145.39122093,-40247145.39122093,-40247145.39122093,0.0,0.0,0.0,15235028.824614927
8,2016-01-01,-5480027.691084319,16439811.469014276,31745176.982418675,-5480027.691084319,-5480027.691084319,29412952.418006435,29412952.418006435,29412952.418006435,58232780.28871685,58232780.28871685,58232780.28871685,-28819827.870710425,-28819827.870710425,-28819827.870710425,0.0,0.0,0.0,23932924.726922117
9,2016-04-01,-5049185.849191787,7041258.352819027,21702388.78203886,-5049185.849191787,-5049185.849191787,19457095.27362496,19457095.27362496,19457095.27362496,59413389.457613796,59413389.457613796,59413389.457613796,-39956294.183988854,-39956294.183988854,-39956294.183988854,0.0,0.0,0.0,14407909.424433174
10,2016-07-01,-4618344.007070208,4882215.045116839,20310432.719404396,-4618344.007070208,-4618344.007070208,17386018.94108413,17386018.94108413,17386018.94108413,60478825.093405925,60478825.093405925,60478825.093405925,-43092806.15232179,-43092806.15232179,-43092806.15232179,0.0,0.0,0.0,12767674.934013924
11,2016-10-01,-4182767.6388972676,3206180.7566098017,17972131.968980268,-4182767.6388972676,-4182767.6388972676,14817341.37081968,14817341.37081968,14817341.37081968,56937568.83903603,56937568.83903603,56937568.83903603,-42120227.468216345,-42120227.468216345,-42120227.468216345,0.0,0.0,0.0,10634573.731922412
12,2017-01-01,-3747191.2707480327,2915564.6930003497,18560959.38838028,-3747191.2707480327,-3747191.2707480327,14123933.295215776,14123933.295215776,14123933.295215776,51915352.51558109,51915352.51558109,51915352.51558109,-37791419.2203653,-37791419.2203653,-37791419.2203653,0.0,0.0,0.0,10376742.024467744
13,2017-04-01,-3321083.9543569027,6987492.395836668,22479536.549419343,-3321083.9543569027,-3321083.9543569027,18243767.917988826,18243767.917988826,18243767.917988826,59413389.457650006,59413389.457650006,59413389.457650006,-41169621.539661154,-41169621.539661154,-41169621.539661154,0.0,0.0,0.0,14922683.963631922
14,2017-07-01,-2890242.112134181,9191248.235470878,24071642.600573104,-2890242.112134181,-2890242.112134181,19414438.703177497,19414438.703177497,19414438.703177497,60478825.093418464,60478825.093418464,60478825.093418464,-41064386.39024097,-41064386.39024097,-41064386.39024097,0.0,0.0,0.0,16524196.591043316
15,2017-10-01,-2454665.743896928,5569541.129436894,20387059.892460853,-2454665.743896928,-2454665.743896928,15398022.380347231,15398022.380347231,15398022.380347231,56937568.83904494,56937568.83904494,56937568.83904494,-41539546.45869771,-41539546.45869771,-41539546.45869771,0.0,0.0,0.0,12943356.636450304
16,2018-01-01,-2019089.3755592103,7728053.207028516,23009835.77319793,-2019089.3755592103,-2019089.3755592103,17190907.78907936,17190907.78907936,17190907.78907936,51915352.51561384,51915352.51561384,51915352.51561384,-34724444.726534486,-34724444.726534486,-34724444.726534486,0.0,0.0,0.0,15171818.41352015
17,2018-04-01,-1592982.0590461341,8133406.649819846,23276433.317226574,-1592982.0590461341,-1592982.0590461341,17211881.15379076,17211881.15379076,17211881.15379076,59413389.45763102,59413389.45763102,59413389.45763102,-42201508.30384026,-42201508.30384026,-42201508.30384026,0.0,0.0,0.0,15618899.094744626
18,2018-07-01,-1162140.2166510534,12907933.481413838,27799216.464100454,-1162140.2166510534,-1162140.2166510534,21382002.31156002,21382002.31156002,21382002.31156002,60478825.093415946,60478825.093415946,60478825.093415946,-39096822.78185592,-39096822.78185592,-39096822.78185592,0.0,0.0,0.0,20219862.094908968
19,2018-10-01,-726563.848514981,7658077.90093727,22908180.269520663,-726563.848514981,-726563.848514981,16022287.702382486,16022287.702382486,16022287.702382486,56937568.839050665,56937568.839050665,56937568.839050665,-40915281.136668175,-40915281.136668175,-40915281.136668175,0.0,0.0,0.0,15295723.853867505
20,2019-01-01,-290987.480983645,11856774.518257271,27626937.670424826,-290987.480983645,-290987.480983645,20183028.882101808,20183028.882101808,20183028.882101808,51915352.51546675,51915352.51546675,51915352.51546675,-31732323.633364946,-31732323.633364946,-31732323.633364946,0.0,0.0,0.0,19892041.401118163
21,2019-04-01,135119.83508259655,9025085.096878564,24517784.08730039,135119.83508259655,135119.83508259655,16362811.50881582,16362811.50881582,16362811.50881582,59413389.45762519,59413389.45762519,59413389.45762519,-43050577.94880937,-43050577.94880937,-43050577.94880937,0.0,0.0,0.0,16497931.343898416
22,2019-07-01,565961.0685332124,16275728.946023589,30886384.26716612,565961.0685332124,565961.0685332124,23287136.807218052,23287136.807218052,23287136.807218052,60478825.09340523,60478825.09340523,60478825.09340523,-37191688.28618718,-37191688.28618718,-37191688.28618718,0.0,0.0,0.0,23853097.875751264
23,2019-10-01,1001536.8212029662,10167395.78230247,25086438.022679158,1001536.8212029662,1001536.8212029662,16690423.447811006,16690423.447811006,16690423.447811006,56937568.8390262,56937568.8390262,56937568.8390262,-40247145.3912152,-40247145.3912152,-40247145.3912152,0.0,0.0,0.0,17691960.26901397
24,2020-01-01,1437112.574036496,16649864.454222439,32935853.70093851,1437112.574036496,1437112.574036496,23095524.644833975,23095524.644833975,23095524.644833975,51915352.515558526,51915352.515558526,51915352.515558526,-28819827.870724566,-28819827.870724566,-28819827.870724566,0.0,0.0,0.0,24532637.218870472
25,2020-04-01,1867953.807588692,7790488.365254682,23416179.003490724,1867953.807588692,1867953.807588692,13896115.767206969,13896115.767206969,13896115.767206969,53852409.95117481,53852409.95117481,53852409.95117481,-39956294.183967836,-39956294.183967836,-39956294.183967836,0.0,0.0,0.0,15764069.574795661
26,2020-07-01,2298795.041140886,7319888.24070127,22464835.615090832,2298795.041140886,2298795.041140886,12404634.856592713,12404634.856592713,12404634.856592713,55497441.00890001,55497441.00890001,55497441.00890001,-43092806.152307294,-43092806.152307294,-43092806.152307294,0.0,0.0,0.0,14703429.897733599
27,2020-10-01,2734370.7937431047,2411422.9237423455,17684188.011536673,2734370.7937431047,2734370.7937431047,7455560.165022888,7455560.165022888,7455560.165022888,49575787.63322594,49575787.63322594,49575787.63322594,-42120227.468203045,-42120227.468203045,-42120227.468203045,0.0,0.0,0.0,10189930.958765993
28,2021-01-01,3169946.546345325,-3407230.6509481617,11794471.07507214,3169946.546345325,3169946.546345325,1004727.536048362,1004727.536048362,1004727.536048362,38796146.75641527,38796146.75641527,38796146.75641527,-37791419.2203669,-37791419.2203669,-37791419.2203669,0.0,0.0,0.0,4174674.082393687
29,2021-04-01,3596053.2608474963,8368888.309246963,23741273.479794,3596053.2608474963,3596053.2608474963,12682788.411487997,12682788.411487997,12682788.411487997,53852409.9511473,53852409.9511473,53852409.9511473,-41169621.539659314,-41169621.539659314,-41169621.539659314,0.0,0.0,0.0,16278841.672335492
30,2021-07-01,4026894.4943996905,10679033.057083622,26273678.859943114,4026894.4943996905,4026894.4943996905,14433054.61870994,14433054.61870994,14433054.61870994,55497441.008924015,55497441.008924015,55497441.008924015,-41064386.39021408,-41064386.39021408,-41064386.39021408,0.0,0.0,0.0,18459949.11310963
31,2021-10-01,4462470.247001909,5416166.917111064,20470890.52028368,4462470.247001909,4462470.247001909,8036241.174399826,8036241.174399826,8036241.174399826,49575787.63311139,49575787.63311139,49575787.63311139,-41539546.45871156,-41539546.45871156,-41539546.45871156,0.0,0.0,0.0,12498711.421401735
32,2022-01-01,4898045.999604127,1526962.0850013967,16132689.619344436,4898045.977320485,4898046.01746368,4071702.029963819,4071702.029963819,4071702.029963819,38796146.75651008,38796146.75651008,38796146.75651008,-34724444.72654625,-34724444.72654625,-34724444.72654625,0.0,0.0,0.0,8969748.029567946
33,2022-04-01,5324152.714106299,9600023.150207646,24318898.735977016,5324152.6384009635,5324152.781238534,11650901.64728912,11650901.64728912,11650901.64728912,53852409.95112801,53852409.95112801,53852409.95112801,-42201508.303838916,-42201508.303838916,-42201508.303838916,0.0,0.0,0.0,16975054.36139542
34,2022-07-01,5754993.947658495,14993033.82031816,29824154.02251756,5754993.795584703,5754994.0794633515,16400618.227074249,16400618.227074249,16400618.227074249,55497441.008930005,55497441.008930005,55497441.008930005,-39096822.781855755,-39096822.781855755,-39096822.781855755,0.0,0.0,0.0,22155612.174732745
35,2022-10-01,6190569.700260714,6940847.565299214,22113547.852181073,6190569.45237897,6190569.912841038,8660506.496437933,8660506.496437933,8660506.496437933,49575787.63312813,49575787.63312813,49575787.63312813,-40915281.1366902,-40915281.1366902,-40915281.1366902,0.0,0.0,0.0,14851076.196698647
