,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,3796521.52577067,-2850530.5915058,1082459.1405164362,3796521.52577067,3796521.52577067,-4637633.301841536,-4637633.301841536,-4637633.301841536,9485474.913264953,9485474.913264953,9485474.913264953,-14123108.215106493,-14123108.215106493,-14123108.215106493,0.0,0.0,0.0,-841111.7760708658
1,2014-04-01,3776946.66966889,286422.9225358395,4432889.237970072,3776946.66966889,3776946.66966889,-1468079.571953565,-1468079.571953565,-1468079.571953565,9338095.359413996,9338095.359413996,9338095.359413996,-10806174.931367563,-10806174.931367563,-10806174.931367563,0.0,0.0,0.0,2308867.0977153247
2,2014-07-01,3757154.315200851,862125.3166818528,4932696.112248049,3757154.315200851,3757154.315200851,-861049.5378314675,-861049.5378314675,-861049.5378314675,9877993.720834725,9877993.720834725,9877993.720834725,-10739043.258666195,-10739043.258666195,-10739043.258666195,0.0,0.0,0.0,2896104.7773693833
3,2014-10-01,3737144.462339766,-1944341.2860651403,1957567.0453563267,3737144.462339766,3737144.462339766,-3698566.779766232,-3698566.779766232,-3698566.779766232,8793522.111845702,8793522.111845702,8793522.111845702,-12492088.891611932,-12492088.891611932,-12492088.891611932,0.0,0.0,0.0,38577.68257353408
4,2015-01-01,3717134.6094792415,-1668724.091348649,2458691.3544325675,3717134.6094792415,3717134.6094792415,-3494057.6696089567,-3494057.6696089567,-3494057.6696089567,9485474.913269656,9485474.913269656,9485474.913269656,-12979532.582878605,-12979532.582878605,-12979532.582878605,0.0,0.0,0.0,223076.93987028487
5,2015-04-01,3697559.7534077098,-1478730.5756590848,2743883.155734462,3697559.7534077098,3697559.7534077098,-2958961.658409026,-2958961.658409026,-2958961.658409026,9338095.35941336,9338095.35941336,9338095.35941336,-12297057.017822385,-12297057.017822385,-12297057.017822385,0.0,0.0,0.0,738598.0949986838
6,2015-07-01,3677767.3989509447,-599827.2748875737,3445305.2174688815,3677767.3989509447,3677767.3989509447,-2179558.0193023845,-2179558.0193023845,-2179558.0193023845,9877993.720827615,9877993.720827615,9877993.720827615,-12057551.740130002,-12057551.740130002,-12057551.740130002,0.0,0.0,0.0,1498209.3796485602
7,2015-10-01,3657757.546115328,-1646818.2246170721,2399410.393673751,3657757.546115328,3657757.546115328,-3383087.4541267287,-3383087.4541267287,-3383087.4541267287,8793522.111844419,8793522.111844419,8793522.111844419,-12176609.56597115,-12176609.56597115,-12176609.56597115,0.0,0.0,0.0,274670.0919885994
8,2016-01-01,3637747.6933168485,-586165.3359109536,3440335.2509032665,3637747.6933168485,3637747.6933168485,-2279737.833291923,-2279737.833291923,-2279737.833291923,9485474.913268043,9485474.913268043,9485474.913268043,-11765212.746559968,-11765212.746559968,-11765212.746559968,0.0,0.0,0.0,1358009.8600249253
9,2016-04-01,3617955.338916261,2922948.6248605396,6797479.256667451,3617955.338916261,3617955.338916261,1267526.2681191964,1267526.2681191964,1267526.2681191964,9040614.889172861,9040614.889172861,9040614.889172861,-7773088.621053664,-7773088.621053664,-7773088.621053664,0.0,0.0,0.0,4885481.607035458
10,2016-07-01,3598162.9844948803,2278044.156449632,6503536.4971471615,3598162.9844948803,3598162.9844948803,811276.3552323045,811276.3552323045,811276.3552323045,8812896.247523196,8812896.247523196,8812896.247523196,-8001619.892290891,-8001619.892290891,-8001619.892290891,0.0,0.0,0.0,4409439.339727185
11,2016-10-01,3578153.131650592,-1533002.4949790516,2631278.68486461,3578153.131650592,3578153.131650592,-3090490.125716309,-3090490.125716309,-3090490.125716309,10154881.238694167,10154881.238694167,10154881.238694167,-13245371.364410484,-13245371.364410484,-13245371.364410484,0.0,0.0,0.0,487663.00593428314
12,2017-01-01,3558143.2788011353,-45881.54826589988,4100386.1637992277,3558143.2788011353,3558143.2788011353,-1633897.523451886,-1633897.523451886,-1633897.523451886,13560562.24309819,13560562.24309819,13560562.24309819,-15194459.76655007,-15194459.76655007,-15194459.76655007,0.0,0.0,0.0,1924245.7553492493
13,2017-04-01,3538568.4227251583,1314752.9779281877,5246587.586744981,3538568.4227251583,3538568.4227251583,-256947.35897435903,-256947.35897435903,-256947.35897435903,9040614.88916151,9040614.88916151,9040614.88916151,-9297562.248135872,-9297562.248135872,-9297562.248135872,0.0,0.0,0.0,3281621.0637507993
14,2017-07-01,3518776.0682428586,938921.9181494943,4808915.886801357,3518776.0682428586,3518776.0682428586,-573687.0149926209,-573687.0149926209,-573687.0149926209,8812896.247522807,8812896.247522807,8812896.247522807,-9386583.26251543,-9386583.26251543,-9386583.26251543,0.0,0.0,0.0,2945089.053250238
15,2017-10-01,3498766.215338517,-1323405.3518298268,2814495.284605222,3498766.215338517,3498766.215338517,-2693593.6384515595,-2693593.6384515595,-2693593.6384515595,10154881.238697426,10154881.238697426,10154881.238697426,-12848474.877148991,-12848474.877148991,-12848474.877148991,0.0,0.0,0.0,805172.5768869575
16,2018-01-01,3478756.3624251024,773588.3487983445,4943775.986212073,3478756.3624251024,3478756.3624251024,-562545.9720013147,-562545.9720013147,-562545.9720013147,13560562.243097477,13560562.243097477,13560562.243097477,-14123108.215098802,-14123108.215098802,-14123108.215098802,0.0,0.0,0.0,2916210.3904237878
17,2018-04-01,3459181.5063394564,-380022.4704284248,3692858.9642011435,3459181.5063394564,3459181.5063394564,-1765560.042198588,-1765560.042198588,-1765560.042198588,9040614.88916996,9040614.88916996,9040614.88916996,-10806174.931368548,-10806174.931368548,-10806174.931368548,0.0,0.0,0.0,1693621.4641408685
18,2018-07-01,3439389.1518444517,-473512.78717070556,3502035.1096637542,3439389.1518444517,3439389.1518444517,-1926147.0111440492,-1926147.0111440492,-1926147.0111440492,8812896.247521976,8812896.247521976,8812896.247521976,-10739043.258666022,-10739043.258666022,-10739043.258666022,0.0,0.0,0.0,1513242.1407004024
19,2018-10-01,3419379.298939839,-976847.8477820071,3175658.486730763,3419379.298939839,3419379.298939839,-2337207.6529164785,-2337207.6529164785,-2337207.6529164785,10154881.238700392,10154881.238700392,10154881.238700392,-12492088.89161687,-12492088.89161687,-12492088.89161687,0.0,0.0,0.0,1082171.6460233605
20,2019-01-01,3399369.4460065113,2005488.5047093001,5831122.748571681,3399369.4460065113,3399369.4460065113,581029.6602208772,581029.6602208772,581029.6602208772,13560562.243109537,13560562.243109537,13560562.243109537,-12979532.582888657,-12979532.582888657,-12979532.582888657,0.0,0.0,0.0,3980399.1062273886
21,2019-04-01,3379794.5898776883,-1936947.2994591142,2133904.220654702,3379794.5898776883,3379794.5898776883,-3256442.128657666,-3256442.128657666,-3256442.128657666,9040614.889168544,9040614.889168544,9040614.889168544,-12297057.017826209,-12297057.017826209,-12297057.017826209,0.0,0.0,0.0,123352.46122002229
22,2019-07-01,3360002.2353205387,-1907235.1193259456,2013873.64256178,3360002.2353205387,3360002.2353205387,-3244655.492601871,-3244655.492601871,-3244655.492601871,8812896.247525973,8812896.247525973,8812896.247525973,-12057551.74012785,-12057551.74012785,-12057551.74012785,0.0,0.0,0.0,115346.74271866772
23,2019-10-01,3339992.382395757,-627902.7290155608,3225278.7921045977,3339992.382395757,3339992.382395757,-2021728.327283893,-2021728.327283893,-2021728.327283893,10154881.23869153,10154881.23869153,10154881.23869153,-12176609.565975422,-12176609.565975422,-12176609.565975422,0.0,0.0,0.0,1318264.0551118639
