,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,-115168.07905691113,-173547.83194052472,565827.9650272304,-115168.07905691113,-115168.07905691113,302449.4389204767,302449.4389204767,302449.4389204767,3402348.119278453,3402348.119278453,3402348.119278453,-3099898.680357976,-3099898.680357976,-3099898.680357976,0.0,0.0,0.0,187281.3598635656
1,2014-04-01,-101990.1834020981,-414346.33599358646,353183.50747978414,-101990.1834020981,-101990.1834020981,50480.65013224685,50480.65013224685,50480.65013224685,3373304.895848573,3373304.895848573,3373304.895848573,-3322824.2457163255,-3322824.2457163255,-3322824.2457163255,0.0,0.0,0.0,-51509.53326985126
2,2014-07-01,-88665.86666477832,-392375.5679963354,342489.24391999905,-88665.86666477832,-88665.86666477832,54295.6853539702,54295.6853539702,54295.6853539702,3126739.626803619,3126739.626803619,3126739.626803619,-3072443.941449648,-3072443.941449648,-3072443.941449648,0.0,0.0,0.0,-34370.181310808126
3,2014-10-01,-75195.12884744225,-220344.40740741527,511189.419536671,-75195.12884744225,-75195.12884744225,225790.1070733127,225790.1070733127,225790.1070733127,3583107.752316842,3583107.752316842,3583107.752316842,-3357317.6452435288,-3357317.6452435288,-3357317.6452435288,0.0,0.0,0.0,150594.97822587047
4,2015-01-01,-61724.39105227619,-71488.87907730478,681996.5426703063,-61724.39105227619,-61724.39105227619,369653.6986468481,369653.6986468481,369653.6986468481,3402348.1192760807,3402348.1192760807,3402348.1192760807,-3032694.4206292327,-3032694.4206292327,-3032694.4206292327,0.0,0.0,0.0,307929.3075945719
5,2015-04-01,-48546.495376275525,-463732.5890529365,293472.11251508765,-48546.495376275525,-48546.495376275525,-36025.63302342345,-36025.63302342345,-36025.63302342345,3373304.895844906,3373304.895844906,3373304.895844906,-3409330.5288683292,-3409330.5288683292,-3409330.5288683292,0.0,0.0,0.0,-84572.12839969897
6,2015-07-01,-35222.17863006997,-244399.0081088032,513816.7703776935,-35222.17863006997,-35222.17863006997,158508.18209268077,158508.18209268077,158508.18209268077,3126739.626807426,3126739.626807426,3126739.626807426,-2968231.444714745,-2968231.444714745,-2968231.444714745,0.0,0.0,0.0,123286.0034626108
7,2015-10-01,-21751.44082095971,-328683.8639635453,438250.0587067482,-21751.44082095971,-21751.44082095971,70709.37376289706,70709.37376289706,70709.37376289706,3583107.75231798,3583107.75231798,3583107.75231798,-3512398.3785550827,-3512398.3785550827,-3512398.3785550827,0.0,0.0,0.0,48957.932941937346
8,2016-01-01,-8280.703003950191,70497.8254967284,799358.4802274347,-8280.703003950191,-8280.703003950191,441194.2166584396,441194.2166584396,441194.2166584396,3402348.1192713324,3402348.1192713324,3402348.1192713324,-2961153.9026128915,-2961153.9026128915,-2961153.9026128915,0.0,0.0,0.0,432913.5136544894
9,2016-04-01,5043.613729439639,4958.840559056897,775776.2558530513,5043.613729439639,5043.613729439639,386500.50499285024,386500.50499285024,386500.50499285024,3507372.512844226,3507372.512844226,3507372.512844226,-3120872.0078513767,-3120872.0078513767,-3120872.0078513767,0.0,0.0,0.0,391544.11872228986
10,2016-07-01,18367.930475242847,-101564.82585384957,667060.7036229904,18367.930475242847,18367.930475242847,274300.85189224605,274300.85189224605,274300.85189224605,3573192.0108492463,3573192.0108492463,3573192.0108492463,-3298891.1589569994,-3298891.1589569994,-3298891.1589569994,0.0,0.0,0.0,292668.7823674889
11,2016-10-01,31838.66828994313,-117917.21950713401,640995.8037675617,31838.66828994313,31838.66828994313,240618.4561660131,240618.4561660131,240618.4561660131,3275093.9094295623,3275093.9094295623,3275093.9094295623,-3034475.4532635487,-3034475.4532635487,-3034475.4532635487,0.0,0.0,0.0,272457.1244559562
12,2017-01-01,45309.40608455356,-547588.1140171121,166982.07945122517,45309.40608455356,45309.40608455356,-240770.23899540835,-240770.23899540835,-240770.23899540835,2921818.9960760125,2921818.9960760125,2921818.9960760125,-3162589.2350714207,-3162589.2350714207,-3162589.2350714207,0.0,0.0,0.0,-195460.83291085478
13,2017-04-01,58487.301766814344,-23985.596970716364,719210.0649526838,58487.301766814344,58487.301766814344,280775.5806314654,280775.5806314654,280775.5806314654,3507372.512852709,3507372.512852709,3507372.512852709,-3226596.9322212427,-3226596.9322212427,-3226596.9322212427,0.0,0.0,0.0,339262.88239827973
14,2017-07-01,71811.61852934561,103870.18797017915,836864.7734516205,71811.61852934561,71811.61852934561,390483.036290099,390483.036290099,390483.036290099,3573192.010851765,3573192.010851765,3573192.010851765,-3182708.9745616657,-3182708.9745616657,-3182708.9745616657,0.0,0.0,0.0,462294.6548194446
15,2017-10-01,85282.35635528687,-243528.62263640945,525556.6407955528,85282.35635528687,85282.35635528687,77138.87458077933,77138.87458077933,77138.87458077933,3275093.9094282966,3275093.9094282966,3275093.9094282966,-3197955.0348475175,-3197955.0348475175,-3197955.0348475175,0.0,0.0,0.0,162421.2309360662
16,2018-01-01,98753.09417637574,-477376.2716277762,308829.76160405733,98753.09417637574,98753.09417637574,-178079.6842832294,-178079.6842832294,-178079.6842832294,2921818.996075181,2921818.996075181,2921818.996075181,-3099898.6803584103,-3099898.6803584103,-3099898.6803584103,0.0,0.0,0.0,-79326.59010685366
17,2018-04-01,111930.98986338914,-82585.58801332486,646335.3567911542,111930.98986338914,111930.98986338914,184548.26713452255,184548.26713452255,184548.26713452255,3507372.5128507693,3507372.5128507693,3507372.5128507693,-3322824.245716247,-3322824.245716247,-3322824.245716247,0.0,0.0,0.0,296479.2569979117
18,2018-07-01,125255.30661234316,250784.13057886407,1007575.485329797,125255.30661234316,125255.30661234316,500748.06940031983,500748.06940031983,500748.06940031983,3573192.010849654,3573192.010849654,3573192.010849654,-3072443.941449334,-3072443.941449334,-3072443.941449334,0.0,0.0,0.0,626003.376012663
19,2018-10-01,138726.04407427134,-342503.3121901703,425737.58122042724,138726.04407427134,138726.04407427134,-82223.73581722403,-82223.73581722403,-82223.73581722403,3275093.909426384,3275093.909426384,3275093.909426384,-3357317.6452436084,-3357317.6452436084,-3357317.6452436084,0.0,0.0,0.0,56502.308257047305
