,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,1275432.0363054352,3189721.6783971614,13983106.42120647,1275432.0363054352,1275432.0363054352,7163389.286310042,7163389.286310042,7163389.286310042,37270272.85434754,37270272.85434754,37270272.85434754,-30106883.56803749,-30106883.56803749,-30106883.56803749,0.0,0.0,0.0,8438821.322615478
1,2014-04-01,1267993.5183044763,9325778.215460598,20386884.901322197,1267993.5183044763,1267993.5183044763,13708810.561175646,13708810.561175646,13708810.561175646,42725841.141585715,42725841.141585715,42725841.141585715,-29017030.580410067,-29017030.580410067,-29017030.580410067,0.0,0.0,0.0,14976804.079480123
2,2014-07-01,1260472.3452886888,5951833.281293038,16815331.91184072,1260472.3452886888,1260472.3452886888,10047782.577330962,10047782.577330962,10047782.577330962,44710734.47091963,44710734.47091963,44710734.47091963,-34662951.89358867,-34662951.89358867,-34662951.89358867,0.0,0.0,0.0,11308254.92261965
3,2014-10-01,1252868.5215095575,5233062.92467199,15683246.113581948,1252868.5215095575,1252868.5215095575,9172967.998866944,9172967.998866944,9172967.998866944,39671842.890042424,39671842.890042424,39671842.890042424,-30498874.89117548,-30498874.89117548,-30498874.89117548,0.0,0.0,0.0,10425836.520376502
4,2015-01-01,1245264.704276485,1788827.8541751697,12312454.119665073,1245264.704276485,1245264.704276485,6036879.670698215,6036879.670698215,6036879.670698215,37270272.85436082,37270272.85436082,37270272.85436082,-31233393.18366261,-31233393.18366261,-31233393.18366261,0.0,0.0,0.0,7282144.3749747
5,2015-04-01,1237826.1786229392,12069749.632604139,22615798.68793254,1237826.1786229392,1237826.1786229392,15934167.369386349,15934167.369386349,15934167.369386349,42725841.14158204,42725841.14158204,42725841.14158204,-26791673.77219569,-26791673.77219569,-26791673.77219569,0.0,0.0,0.0,17171993.548009288
6,2015-07-01,1230305.0064217127,3317354.0859266017,14049142.145422434,1230305.0064217127,1230305.0064217127,7367326.079853128,7367326.079853128,7367326.079853128,44710734.47092241,44710734.47092241,44710734.47092241,-37343408.391069286,-37343408.391069286,-37343408.391069286,0.0,0.0,0.0,8597631.08627484
7,2015-10-01,1222701.176463734,7655382.8157186005,18176211.63858455,1222701.176463734,1222701.176463734,11532421.807176715,11532421.807176715,11532421.807176715,39671842.890043445,39671842.890043445,39671842.890043445,-28139421.08286673,-28139421.08286673,-28139421.08286673,0.0,0.0,0.0,12755122.98364045
8,2016-01-01,1215097.3491816774,657987.5803406375,11386473.140453897,1215097.3491816774,1215097.3491816774,4874124.480152835,4874124.480152835,4874124.480152835,37270272.85437983,37270272.85437983,37270272.85437983,-32396148.374227,-32396148.374227,-32396148.374227,0.0,0.0,0.0,6089221.829334512
9,2016-04-01,1207576.168999363,862681.4701939187,11192404.585299006,1207576.168999363,1207576.168999363,4590082.210724976,4590082.210724976,4590082.210724976,37818599.60983167,37818599.60983167,37818599.60983167,-33228517.399106685,-33228517.399106685,-33228517.399106685,0.0,0.0,0.0,5797658.379724339
10,2016-07-01,1200054.981106301,5073662.592134876,15566023.634413779,1200054.981106301,1200054.981106301,9370344.47534193,9370344.47534193,9370344.47534193,38605409.30400267,38605409.30400267,38605409.30400267,-29235064.82866074,-29235064.82866074,-29235064.82866074,0.0,0.0,0.0,10570399.45644823
11,2016-10-01,1192451.1431372794,-2360029.57915254,8306319.466974175,1192451.1431372794,1192451.1431372794,1898875.8426292066,1898875.8426292066,1898875.8426292066,36904667.25617209,36904667.25617209,36904667.25617209,-35005791.41354288,-35005791.41354288,-35005791.41354288,0.0,0.0,0.0,3091326.9857664863
12,2017-01-01,1184847.3098160021,3446148.98392161,13856802.968113113,1184847.3098160021,1184847.3098160021,7156106.179141899,7156106.179141899,7156106.179141899,36174737.81531893,36174737.81531893,36174737.81531893,-29018631.636177026,-29018631.636177026,-29018631.636177026,0.0,0.0,0.0,8340953.488957901
13,2017-04-01,1177408.768427977,2245405.529192313,13113862.329483895,1177408.768427977,1177408.768427977,6654765.785366406,6654765.785366406,6654765.785366406,37818599.60980268,37818599.60980268,37818599.60980268,-31163833.824436273,-31163833.824436273,-31163833.824436273,0.0,0.0,0.0,7832174.553794383
14,2017-07-01,1169887.570360669,2470509.1116459663,13163799.890939942,1169887.570360669,1169887.570360669,6646539.753069334,6646539.753069334,6646539.753069334,38605409.304000266,38605409.304000266,38605409.304000266,-31958869.55093094,-31958869.55093094,-31958869.55093094,0.0,0.0,0.0,7816427.323430003
15,2017-10-01,1162283.713630726,160553.45938546336,10645892.31381479,1162283.713630726,1162283.713630726,4115988.122341987,4115988.122341987,4115988.122341987,36904667.25618471,36904667.25618471,36904667.25618471,-32788679.13384272,-32788679.13384272,-32788679.13384272,0.0,0.0,0.0,5278271.835972713
16,2018-01-01,1154679.8584691791,2357397.1163427047,12452536.677851196,1154679.8584691791,1154679.8584691791,6067854.247312537,6067854.247312537,6067854.247312537,36174737.81533353,36174737.81533353,36174737.81533353,-30106883.568020985,-30106883.568020985,-30106883.568020985,0.0,0.0,0.0,7222534.105781716
17,2018-04-01,1147240.471192282,4521656.612839648,15130385.845767347,1147240.471192282,1147240.471192282,8801569.029411959,8801569.029411959,8801569.029411959,37818599.60981115,37818599.60981115,37818599.60981115,-29017030.580399193,-29017030.580399193,-29017030.580399193,0.0,0.0,0.0,9948809.50060424
18,2018-07-01,1139718.4207832313,-416600.9067358008,10560119.261777062,1139718.4207832313,1139718.4207832313,3942457.4104247494,3942457.4104247494,3942457.4104247494,38605409.3040119,38605409.3040119,38605409.3040119,-34662951.89358716,-34662951.89358716,-34662951.89358716,0.0,0.0,0.0,5082175.83120798
19,2018-10-01,1132113.7069462517,2069840.6657872219,12867641.578955695,1132113.7069462517,1132113.7069462517,6405792.365017721,6405792.365017721,6405792.365017721,36904667.256196015,36904667.256196015,36904667.256196015,-30498874.8911783,-30498874.8911783,-30498874.8911783,0.0,0.0,0.0,7537906.071963973
20,2019-01-01,1124508.9897422793,522726.63785624754,11537726.59126123,1124508.9897422793,1124508.9897422793,4941344.631585091,4941344.631585091,4941344.631585091,36174737.81525757,36174737.81525757,36174737.81525757,-31233393.18367248,-31233393.18367248,-31233393.18367248,0.0,0.0,0.0,6065853.62132737
21,2019-04-01,1117069.586975051,6753988.636069904,17631509.43031884,1117069.586975051,1117069.586975051,11026925.837622628,11026925.837622628,11026925.837622628,37818599.609826356,37818599.609826356,37818599.609826356,-26791673.77220372,-26791673.77220372,-26791673.77220372,0.0,0.0,0.0,12143995.424597679
22,2019-07-01,1109547.5302300467,-2942448.5300900545,7494054.321530835,1109547.5302300467,1109547.5302300467,1262000.91293854,1262000.91293854,1262000.91293854,38605409.304005116,38605409.304005116,38605409.304005116,-37343408.39106657,-37343408.39106657,-37343408.39106657,0.0,0.0,0.0,2371548.443168587
23,2019-10-01,1101942.8102106678,4620613.992136529,14937793.261039345,1101942.8102106678,1101942.8102106678,8765246.173291529,8765246.173291529,8765246.173291529,36904667.2561571,36904667.2561571,36904667.2561571,-28139421.082865577,-28139421.082865577,-28139421.082865577,0.0,0.0,0.0,9867188.983502196
