,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,2773404.677000544,37441669.22434869,70846378.42788875,2773404.677000544,2773404.677000544,50737924.540512346,50737924.540512346,50737924.540512346,734181008.591895,734181008.591895,734181008.591895,-683443084.0513827,-683443084.0513827,-683443084.0513827,0.0,0.0,0.0,53511329.21751289
1,2014-04-01,3738727.8757249205,42961554.643149905,77852259.75150596,3738727.8757249205,3738727.8757249205,56247846.116226554,56247846.116226554,56247846.116226554,744105245.7113171,744105245.7113171,744105245.7113171,-687857399.5950905,-687857399.5950905,-687857399.5950905,0.0,0.0,0.0,59986573.99195147
2,2014-07-01,4714776.885902268,40275798.12190532,73676535.89975981,4714776.885902268,4714776.885902268,52085738.34013537,52085738.34013537,52085738.34013537,741569967.3611835,741569967.3611835,741569967.3611835,-689484229.0210482,-689484229.0210482,-689484229.0210482,0.0,0.0,0.0,56800515.226037644
3,2014-10-01,5701551.710548867,36276366.64048701,71290124.74432008,5701551.710548867,5701551.710548867,48861736.76583832,48861736.76583832,48861736.76583832,742976543.0094436,742976543.0094436,742976543.0094436,-694114806.2436054,-694114806.2436054,-694114806.2436054,0.0,0.0,0.0,54563288.47638719
4,2015-01-01,6688326.534476489,40499451.91532864,72835566.62421508,6688326.534476489,6688326.534476489,49335349.71338054,49335349.71338054,49335349.71338054,734181008.5918247,734181008.5918247,734181008.5918247,-684845658.8784443,-684845658.8784443,-684845658.8784443,0.0,0.0,0.0,56023676.24785703
5,2015-04-01,7653649.727089689,48194633.877643175,82262666.47702712,7653649.727089689,7653649.727089689,58257481.72749193,58257481.72749193,58257481.72749193,744105245.7110761,744105245.7110761,744105245.7110761,-685847763.9835843,-685847763.9835843,-685847763.9835843,0.0,0.0,0.0,65911131.45458162
6,2015-07-01,8629698.735987311,49285805.58198688,85762305.67300777,8629698.735987311,8629698.735987311,58559790.177067146,58559790.177067146,58559790.177067146,741569967.361493,741569967.361493,741569967.361493,-683010177.184426,-683010177.184426,-683010177.184426,0.0,0.0,0.0,67189488.91305445
7,2015-10-01,9616473.555021795,46842006.62014529,80002849.99783458,9616473.555021795,9616473.555021795,53370057.98138192,53370057.98138192,53370057.98138192,742976543.0095098,742976543.0095098,742976543.0095098,-689606485.0281279,-689606485.0281279,-689606485.0281279,0.0,0.0,0.0,62986531.536403716
8,2016-01-01,10603248.376176773,41117771.375910625,74572096.7939737,10603248.376176773,10603248.376176773,48065108.086807266,48065108.086807266,48065108.086807266,734181008.5918015,734181008.5918015,734181008.5918015,-686115900.5049942,-686115900.5049942,-686115900.5049942,0.0,0.0,0.0,58668356.46298404
9,2016-04-01,11579297.382215107,42837811.03849507,77301348.54859953,11579297.382215107,11579297.382215107,49108140.50220252,49108140.50220252,49108140.50220252,737520262.1504285,737520262.1504285,737520262.1504285,-688412121.648226,-688412121.648226,-688412121.648226,0.0,0.0,0.0,60687437.88441762
10,2016-07-01,12555346.383407706,36532570.58898827,70236205.31241107,12555346.383407706,12555346.383407706,40351507.10456976,40351507.10456976,40351507.10456976,740551838.5675685,740551838.5675685,740551838.5675685,-700200331.4629987,-700200331.4629987,-700200331.4629987,0.0,0.0,0.0,52906853.48797747
11,2016-10-01,13542121.193613289,26305588.528152823,59840858.81613573,13542121.193613289,13542121.193613289,29870056.217966225,29870056.217966225,29870056.217966225,730675737.1254756,730675737.1254756,730675737.1254756,-700805680.9075093,-700805680.9075093,-700805680.9075093,0.0,0.0,0.0,43412177.41157951
12,2017-01-01,14528896.004291933,35424835.37632907,68526168.0274225,14528896.004291933,14528896.004291933,36218113.36203191,36218113.36203191,36218113.36203191,718124586.636399,718124586.636399,718124586.636399,-681906473.2743671,-681906473.2743671,-681906473.2743671,0.0,0.0,0.0,50747009.36632384
13,2017-04-01,15494219.18471826,47299115.61048696,80504718.31363125,15494219.18471826,15494219.18471826,48806234.68915309,48806234.68915309,48806234.68915309,737520262.1507089,737520262.1507089,737520262.1507089,-688714027.4615558,-688714027.4615558,-688714027.4615558,0.0,0.0,0.0,64300453.87387135
14,2017-07-01,16470268.179156441,45109453.96395369,78513359.43794802,16470268.179156441,16470268.179156441,45336786.81836487,45336786.81836487,45336786.81836487,740551838.567646,740551838.567646,740551838.567646,-695215051.749281,-695215051.749281,-695215051.749281,0.0,0.0,0.0,61807054.99752131
15,2017-10-01,17457042.98909428,32452775.61203336,67772965.82509258,17457042.98909428,17457042.98909428,32827896.91371268,32827896.91371268,32827896.91371268,730675737.1254534,730675737.1254534,730675737.1254534,-697847840.2117406,-697847840.2117406,-697847840.2117406,0.0,0.0,0.0,50284939.90280696
16,2018-01-01,18443817.801673587,36305415.10035177,69859016.86302881,18443817.801673587,18443817.801673587,34681502.585183695,34681502.585183695,34681502.585183695,718124586.6365064,718124586.6365064,718124586.6365064,-683443084.0513227,-683443084.0513227,-683443084.0513227,0.0,0.0,0.0,53125320.386857286
17,2018-04-01,19409140.98459544,52564315.744382456,85532804.16803658,19409140.98459544,19409140.98459544,49662862.5554233,49662862.5554233,49662862.5554233,737520262.1505802,737520262.1505802,737520262.1505802,-687857399.5951568,-687857399.5951568,-687857399.5951568,0.0,0.0,0.0,69072003.54001874
18,2018-07-01,20385189.981706206,54681146.25011996,88233835.43885882,20385189.981706206,20385189.981706206,51067609.546605766,51067609.546605766,51067609.546605766,740551838.5675964,740551838.5675964,740551838.5675964,-689484229.0209906,-689484229.0209906,-689484229.0209906,0.0,0.0,0.0,71452799.52831197
19,2018-10-01,21371964.794752494,41270402.94702459,74332419.32440403,21371964.794752494,21371964.794752494,36560930.8818578,36560930.8818578,36560930.8818578,730675737.1254399,730675737.1254399,730675737.1254399,-694114806.2435821,-694114806.2435821,-694114806.2435821,0.0,0.0,0.0,57932895.67661029
20,2019-01-01,22358739.60334834,38294942.20661087,72307104.4504277,22358739.60334834,22358739.60334834,33278927.75752718,33278927.75752718,33278927.75752718,718124586.635972,718124586.635972,718124586.635972,-684845658.8784449,-684845658.8784449,-684845658.8784449,0.0,0.0,0.0,55637667.36087552
21,2019-04-01,23324062.78820843,57911292.15019229,91128136.59527217,23324062.78820843,23324062.78820843,51672498.166878186,51672498.166878186,51672498.166878186,737520262.1505051,737520262.1505051,737520262.1505051,-685847763.9836268,-685847763.9836268,-685847763.9836268,0.0,0.0,0.0,74996560.95508662
22,2019-07-01,24300111.780717008,64679855.73833372,98965644.47086327,24300111.780717008,24300111.780717008,57541661.38317238,57541661.38317238,57541661.38317238,740551838.5675633,740551838.5675633,740551838.5675633,-683010177.184391,-683010177.184391,-683010177.184391,0.0,0.0,0.0,81841773.16388938
23,2019-10-01,25286886.584566474,49275610.71882426,82969851.42836577,25286886.584566474,25286886.584566474,41069252.09737956,41069252.09737956,41069252.09737956,730675737.1254885,730675737.1254885,730675737.1254885,-689606485.028109,-689606485.028109,-689606485.028109,0.0,0.0,0.0,66356138.68194603
24,2020-01-01,26273661.378608998,41738317.231159836,75700654.64943597,26273661.378608998,26273661.378608998,32008686.131330512,32008686.131330512,32008686.131330512,718124586.6363517,718124586.6363517,718124586.6363517,-686115900.505021,-686115900.505021,-686115900.505021,0.0,0.0,0.0,58282347.50993951
25,2020-04-01,27249710.362470154,44554986.30350671,77593354.77139328,27249710.362470154,27249710.362470154,34500792.7700055,34500792.7700055,34500792.7700055,722912914.4181956,722912914.4181956,722912914.4181956,-688412121.6481903,-688412121.6481903,-688412121.6481903,0.0,0.0,0.0,61750503.13247566
26,2020-07-01,28225759.346331302,39043353.953059874,71987197.0196195,28225759.346331302,28225759.346331302,26781597.821586914,26781597.821586914,26781597.821586914,726981929.2845885,726981929.2845885,726981929.2845885,-700200331.4630015,-700200331.4630015,-700200331.4630015,0.0,0.0,0.0,55007357.16791822
27,2020-10-01,29212534.143201914,24723274.733560666,57086490.253959395,29212534.143201914,29212534.143201914,11322935.22859558,11322935.22859558,11322935.22859558,712128616.1360483,712128616.1360483,712128616.1360483,-700805680.9074528,-700805680.9074528,-700805680.9074528,0.0,0.0,0.0,40535469.371797495
28,2021-01-01,30199308.94007253,11456885.690243846,45342772.08860656,30199308.94007253,30199308.94007253,-1615653.9765103054,-1615653.9765103054,-1615653.9765103054,680290819.2978774,680290819.2978774,680290819.2978774,-681906473.2743878,-681906473.2743878,-681906473.2743878,0.0,0.0,0.0,28583654.963562224
29,2021-04-01,31164632.110924218,49313202.53472954,81902802.0097856,31164632.110924218,31164632.110924218,34198886.9565679,34198886.9565679,34198886.9565679,722912914.4181601,722912914.4181601,722912914.4181601,-688714027.4615923,-688714027.4615923,-688714027.4615923,0.0,0.0,0.0,65363519.06749211
30,2021-07-01,32140681.094785362,46305870.16811675,80577556.13319537,32140681.094785362,32140681.094785362,31766877.535428964,31766877.535428964,31766877.535428964,726981929.2846669,726981929.2846669,726981929.2846669,-695215051.7492379,-695215051.7492379,-695215051.7492379,0.0,0.0,0.0,63907558.630214326
31,2021-10-01,33127455.891655978,30800941.51379642,63479769.04308344,33127455.891655978,33127455.891655978,14280775.923836598,14280775.923836598,14280775.923836598,712128616.1356336,712128616.1356336,712128616.1356336,-697847840.2117971,-697847840.2117971,-697847840.2117971,0.0,0.0,0.0,47408231.81549258
