,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,quarter,quarter_lower,quarter_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-01-01,17269344.37614801,50370030.74621824,79315542.0589239,17269344.37614801,17269344.37614801,47368931.00865413,47368931.00865413,47368931.00865413,875336446.0766187,875336446.0766187,875336446.0766187,-827967515.0679646,-827967515.0679646,-827967515.0679646,0.0,0.0,0.0,64638275.38480215
1,2014-04-01,18273975.05148669,60579194.10299779,91342180.25884269,18273975.05148669,18273975.05148669,56992536.000580765,56992536.000580765,56992536.000580765,890677288.6183563,890677288.6183563,890677288.6183563,-833684752.6177756,-833684752.6177756,-833684752.6177756,0.0,0.0,0.0,75266511.05206746
2,2014-07-01,19289768.28989118,53395234.15797286,83024600.54755177,19289768.28989118,19289768.28989118,49420054.49079159,49420054.49079159,49420054.49079159,890202470.4502038,890202470.4502038,890202470.4502038,-840782415.9594122,-840782415.9594122,-840782415.9594122,0.0,0.0,0.0,68709822.78068277
3,2014-10-01,20316724.091961388,51511722.02423964,80521010.42519298,20316724.091961388,20316724.091961388,46604737.07844375,46604737.07844375,46604737.07844375,886593700.5006169,886593700.5006169,886593700.5006169,-839988963.422173,-839988963.422173,-839988963.422173,0.0,0.0,0.0,66921461.170405135
4,2015-01-01,21343679.893736552,49570034.982188314,80117593.21662068,21343679.893736552,21343679.893736552,44426344.495783165,44426344.495783165,44426344.495783165,875336446.0765638,875336446.0765638,875336446.0765638,-830910101.5807807,-830910101.5807807,-830910101.5807807,0.0,0.0,0.0,65770024.38951972
5,2015-04-01,22348310.569404952,68505915.22440273,97870639.46670535,22348310.569404952,22348310.569404952,61202011.26122246,61202011.26122246,61202011.26122246,890677288.6181341,890677288.6181341,890677288.6181341,-829475277.3569118,-829475277.3569118,-829475277.3569118,0.0,0.0,0.0,83550321.83062741
6,2015-07-01,23364103.80769026,62665497.27138853,92177263.77366334,23364103.80769026,23364103.80769026,53220520.19815088,53220520.19815088,53220520.19815088,890202470.450483,890202470.450483,890202470.450483,-836981950.252332,-836981950.252332,-836981950.252332,0.0,0.0,0.0,76584624.00584114
7,2015-10-01,24391059.60867481,62898896.90884677,92246973.94128825,24391059.60867481,24391059.60867481,52674358.394732535,52674358.394732535,52674358.394732535,886593700.5006771,886593700.5006771,886593700.5006771,-833919342.1059448,-833919342.1059448,-833919342.1059448,0.0,0.0,0.0,77065418.00340734
8,2016-01-01,25418015.41018863,52340010.91059894,81805177.77304587,25418015.41018863,25418015.41018863,41486886.04881245,41486886.04881245,41486886.04881245,875336446.0765656,875336446.0765656,875336446.0765656,-833849560.0277534,-833849560.0277534,-833849560.0277534,0.0,0.0,0.0,66904901.45900108
9,2016-04-01,26433808.648237064,52102730.06729827,83556454.31826535,26433808.648237064,26433808.648237064,42160988.1120042,42160988.1120042,42160988.1120042,879333163.8842648,879333163.8842648,879333163.8842648,-837172175.7722607,-837172175.7722607,-837172175.7722607,0.0,0.0,0.0,68594796.76024127
10,2016-07-01,27449601.886654988,50289408.885185994,80738684.04533048,27449601.886654988,27449601.886654988,37558116.533339754,37558116.533339754,37558116.533339754,883158666.6342821,883158666.6342821,883158666.6342821,-845600550.1009425,-845600550.1009425,-845600550.1009425,0.0,0.0,0.0,65007718.41999474
11,2016-10-01,28476557.687838014,36393674.76164592,66380854.468133934,28476557.687838014,28476557.687838014,21981887.68188987,21981887.68188987,21981887.68188987,871227096.168036,871227096.168036,871227096.168036,-849245208.4861462,-849245208.4861462,-849245208.4861462,0.0,0.0,0.0,50458445.36972788
12,2017-01-01,29503513.488615535,45611816.01178291,75475757.12288746,29503513.488615535,29503513.488615535,31350856.575216513,31350856.575216513,31350856.575216513,856371148.1152354,856371148.1152354,856371148.1152354,-825020291.540019,-825020291.540019,-825020291.540019,0.0,0.0,0.0,60854370.063832045
13,2017-04-01,30508144.162529897,58202615.03530257,88945418.07506576,30508144.162529897,30508144.162529897,43079296.77982001,43079296.77982001,43079296.77982001,879333163.8844917,879333163.8844917,879333163.8844917,-836253867.1046716,-836253867.1046716,-836253867.1046716,0.0,0.0,0.0,73587440.94234991
14,2017-07-01,31523937.39952299,55914236.31467665,86639271.13200027,31523937.39952299,31523937.39952299,39504677.3755321,39504677.3755321,39504677.3755321,883158666.6343498,883158666.6343498,883158666.6343498,-843653989.2588177,-843653989.2588177,-843653989.2588177,0.0,0.0,0.0,71028614.77505508
15,2017-10-01,32550893.199927136,43960474.028897144,73862501.66711311,32550893.199927136,32550893.199927136,26129385.0782721,26129385.0782721,26129385.0782721,871227096.16802,871227096.16802,871227096.16802,-845097711.0897478,-845097711.0897478,-845097711.0897478,0.0,0.0,0.0,58680278.27819924
16,2018-01-01,33577849.00056225,47419025.68906036,76853073.99217705,33577849.00056225,33577849.00056225,28403633.047495805,28403633.047495805,28403633.047495805,856371148.115338,856371148.115338,856371148.115338,-827967515.0678421,-827967515.0678421,-827967515.0678421,0.0,0.0,0.0,61981482.048058055
17,2018-04-01,34582479.674503215,64949409.006851226,94916249.70421855,34582479.674503215,34582479.674503215,45648411.26653325,45648411.26653325,45648411.26653325,879333163.8843802,879333163.8843802,879333163.8843802,-833684752.6178468,-833684752.6178468,-833684752.6178468,0.0,0.0,0.0,80230890.94103646
18,2018-07-01,35598272.910913326,62879251.20267166,92523933.9754568,35598272.910913326,35598272.910913326,42376250.67498537,42376250.67498537,42376250.67498537,883158666.6343193,883158666.6343193,883158666.6343193,-840782415.9593341,-840782415.9593341,-840782415.9593341,0.0,0.0,0.0,77974523.5858987
19,2018-10-01,36625228.71069119,53354059.00622435,83171719.30179425,36625228.71069119,36625228.71069119,31238132.745863378,31238132.745863378,31238132.745863378,871227096.1680138,871227096.1680138,871227096.1680138,-839988963.4221504,-839988963.4221504,-839988963.4221504,0.0,0.0,0.0,67863361.45655456
20,2019-01-01,37652184.509749435,47766657.99164462,77527859.59388027,37652184.509749435,37652184.509749435,25461046.53398057,25461046.53398057,25461046.53398057,856371148.1147835,856371148.1147835,856371148.1147835,-830910101.580803,-830910101.580803,-830910101.580803,0.0,0.0,0.0,63113231.043730006
21,2019-04-01,38656815.17968129,74083210.05356924,103667631.48649749,38656815.17968129,38656815.17968129,49857886.5273717,49857886.5273717,49857886.5273717,879333163.8843305,879333163.8843305,879333163.8843305,-829475277.3569589,-829475277.3569589,-829475277.3569589,0.0,0.0,0.0,88514701.70705299
22,2019-07-01,39672608.412884116,68920252.7647253,100834072.30786984,39672608.412884116,39672608.412884116,46176716.38202459,46176716.38202459,46176716.38202459,883158666.6342801,883158666.6342801,883158666.6342801,-836981950.2522556,-836981950.2522556,-836981950.2522556,0.0,0.0,0.0,85849324.7949087
23,2019-10-01,40699564.208761014,64344460.72730332,92803621.69895718,40699564.208761014,40699564.208761014,37307754.06211387,37307754.06211387,37307754.06211387,871227096.1680393,871227096.1680393,871227096.1680393,-833919342.1059254,-833919342.1059254,-833919342.1059254,0.0,0.0,0.0,78007318.27087489
24,2020-01-01,41726520.00490263,48751173.93008851,79438826.68726733,41726520.00490263,41726520.00490263,22521588.087419648,22521588.087419648,22521588.087419648,856371148.1152092,856371148.1152092,856371148.1152092,-833849560.0277895,-833849560.0277895,-833849560.0277895,0.0,0.0,0.0,64248108.092322275
25,2020-04-01,42742313.23762701,52807210.02013968,81714505.2487351,42742313.23762701,42742313.23762701,24914832.636312958,24914832.636312958,24914832.636312958,862087008.4085453,862087008.4085453,862087008.4085453,-837172175.7722322,-837172175.7722322,-837172175.7722322,0.0,0.0,0.0,67657145.87393996
26,2020-07-01,43758106.47035137,49771864.44770186,79736560.84357281,43758106.47035137,43758106.47035137,21298977.162008714,21298977.162008714,21298977.162008714,866899527.2629691,866899527.2629691,866899527.2629691,-845600550.1009603,-845600550.1009603,-845600550.1009603,0.0,0.0,0.0,65057083.632360086
27,2020-10-01,44785062.26607271,28890125.078578267,59694143.39575672,44785062.26607271,44785062.26607271,-47651.0164268426,-47651.0164268426,-47651.0164268426,849197557.4696486,849197557.4696486,849197557.4696486,-849245208.4860753,-849245208.4860753,-849245208.4860753,0.0,0.0,0.0,44737411.249645874
28,2021-01-01,45812018.06179406,17509089.96636073,47331724.18246274,45812018.06179406,45812018.06179406,-13190794.03349281,-13190794.03349281,-13190794.03349281,811829497.5065684,811829497.5065684,811829497.5065684,-825020291.540061,-825020291.540061,-825020291.540061,0.0,0.0,0.0,32621224.028301246
29,2021-04-01,46816648.73152146,57266237.55120733,87183306.79136343,46816648.73152146,46816648.73152146,25833141.30380212,25833141.30380212,25833141.30380212,862087008.4085331,862087008.4085331,862087008.4085331,-836253867.104731,-836253867.104731,-836253867.104731,0.0,0.0,0.0,72649790.03532358
30,2021-07-01,47832441.96424583,55974269.082512476,85399277.55277112,47832441.96424583,47832441.96424583,23245538.004335117,23245538.004335117,23245538.004335117,866899527.2630688,866899527.2630688,866899527.2630688,-843653989.2587337,-843653989.2587337,-843653989.2587337,0.0,0.0,0.0,71077979.96858095
